AverageAbsY,AverageQLoss,Iteration,MinReturn,AverageQ,AverageY,AverageAbsQ,QFunRegParamNorm,PolicyRegParamNorm,MaxReturn,AverageReturn,StdReturn,AverageEsReturn,AverageDiscountedReturn,MinEsReturn,MaxEsReturn,AverageAction,Epoch,AveragePolicySurr,AverageAbsQYDiff,StdEsReturn
1.51068768715,3.3873,9,9.10246045021,-0.241217,1.51068768715,0.285732,11.1301,11.2296,9.334791501,9.2140190849,0.046779734287,9.85735231354,8.79010684968,3.14695834905,54.8694036965,0.219216,9,-0.00288626,1.75190445333,6.33295015743
1.20314119887,0.0550638,10,5.07220767462,1.18293,1.19207929898,1.19115,11.47,12.2193,5.43500019185,5.29557708117,0.0438196327712,4.82170269574,5.13456887708,2.41978108853,28.4780326979,0.999974,10,-1.27092,0.12234558607,3.04294775183
1.41345774052,0.0123767,11,5.07515349017,1.3969,1.39736541226,1.41373,11.9013,12.3394,5.40646042926,5.29607331899,0.0424634636459,8.01074489005,5.13511656333,4.0162375157,52.7795989318,0.999993,11,-1.39643,0.0685682499711,6.34011966969
1.79489326642,0.0163446,12,5.08528998257,1.7682,1.76859735688,1.7958,12.5487,12.3627,5.42761627907,5.29644591278,0.0432404422315,6.93523118147,5.13536140954,4.38130276532,22.4889947385,0.999995,12,-1.75588,0.0770727264173,2.90882148374
2.46348990204,0.0541355,13,36.7833922795,2.43459,2.43593587547,2.46295,13.5797,12.6046,40.7915619857,38.8133730644,0.919355793599,34.236615552,34.4927561993,1.06955498214,54.4019368625,0.999991,13,-2.79799,0.114348971263,15.4151107165
3.6301313673,0.146545,14,105.081506605,3.60829,3.60969323986,3.63068,14.9737,13.1381,108.595420969,106.836858689,0.756945389179,46.4772684538,80.2883603956,6.37630734794,85.730006147,0.76434,14,-4.12646,0.164632742952,14.5089822959
4.7733424517,0.224028,15,114.10297641,4.75458,4.75605578343,4.77415,16.3483,14.297,124.072346774,118.3443867,2.07337974171,103.715082279,86.5820558174,47.056432673,191.177262671,0.670525,15,-5.39474,0.207132922713,46.6232999023
6.05256765962,0.293911,16,167.232148388,6.03621,6.03844536566,6.05346,17.6895,15.874,175.084446678,171.961693003,1.56822198984,117.927107983,111.508687546,5.01132546271,180.925785044,0.685156,16,-6.84017,0.242525730621,51.7441768421
7.45085951741,0.397689,17,166.614193594,7.4381,7.43983629936,7.45241,18.8789,17.6269,176.133693423,172.061109089,2.78887310846,123.560023898,111.648251103,10.6739305606,196.39488541,0.586153,17,-8.3551,0.274614509957,58.6092032729
8.9187194474,0.570644,18,164.763584645,8.90782,8.91028750323,8.92067,20.2309,18.5721,173.832337998,170.495241894,2.10312397516,153.897238204,110.880191327,39.0846014209,182.584609629,0.616185,18,-9.97537,0.325665515551,48.8198235581
