MinEsReturn,Epoch,MinReturn,MaxEsReturn,AverageY,MaxReturn,AverageEsReturn,AverageReturn,StdReturn,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,AverageQLoss,AverageAbsQYDiff,StdEsReturn,AveragePolicySurr,AverageAbsQ,AverageAction,AverageAbsY,PolicyRegParamNorm
8.27533916053,58,241.181640949,330.382942302,9.05901016227,282.270958467,214.350709352,264.072240297,10.0177780662,58,144.527281901,54.4275,9.05715,0.319988,0.265969442615,95.022934169,-9.34827,9.06056,0.739003,9.06003062782,70.3928
83.7030866604,59,223.349336841,313.16269426,9.23298393606,265.172368488,238.709438033,248.691134627,9.24036000315,59,139.336224559,54.9406,9.23063,0.36129,0.282468901367,77.626402628,-9.5288,9.2352,0.716951,9.23423529406,70.8124
7.17895060793,60,258.40102305,329.274461942,9.44103398991,276.079252015,180.253193072,270.492044734,3.15825942984,60,145.988432748,55.4956,9.43906,0.402864,0.29296167173,99.2791955705,-9.73124,9.44405,0.707448,9.4422543276,71.2492
9.50687937364,61,270.637103482,282.375988192,9.62429427215,283.384077003,166.819954952,277.600337301,3.39447355839,61,149.641750552,55.9737,9.62207,0.381649,0.285667055808,102.183738719,-9.92722,9.62637,0.689689,9.62527869925,71.748
86.8751967948,62,280.083416476,297.494647482,9.88532532491,317.399269037,253.530753535,298.81325482,7.22719136999,62,155.657438696,56.4432,9.883,0.380593,0.283598936165,59.3987561643,-10.1828,9.8876,0.732048,9.88656960595,72.328
52.0083198842,63,256.891710976,345.266440121,10.0369622991,304.192829276,244.843414817,286.365142918,10.8287116747,63,151.900575208,56.882,10.0341,0.411208,0.298198998719,102.566472783,-10.3469,10.0388,0.777591,10.0380348165,72.716
8.84003401562,64,283.161030709,312.066912588,10.2392354652,302.440148397,218.695114395,291.78275367,4.30803766166,64,154.840461419,57.3138,10.238,0.434889,0.300042219539,97.508198788,-10.5428,10.243,0.696442,10.2408444908,73.1688
10.6343220789,65,249.049374355,345.356245605,10.4422558312,297.529751903,183.535304638,274.276346256,11.541771663,65,148.947939905,57.8061,10.4396,0.471809,0.308526587786,133.190296209,-10.7619,10.4437,0.685402,10.4435826476,73.5755
38.8053187881,66,274.724484694,278.388644927,10.6237141386,338.243836364,161.114641999,307.874356032,16.3317777765,66,159.870927291,58.269,10.6211,0.472706,0.307874538997,81.308058058,-10.9573,10.6263,0.685063,10.6257210296,74.0439
10.5334213397,67,279.222537463,358.366297616,10.8474282118,370.333192909,234.157175459,347.242794321,16.369491709,67,172.041625357,58.7934,10.8454,0.482359,0.319661648856,106.948657672,-11.1807,10.8497,0.705734,10.8487163096,74.529
5.04194594462,68,140.577929279,327.844703646,11.0749668793,330.208535708,134.183612931,242.396689278,56.5641261993,68,137.312155223,59.255,11.0727,0.467571,0.311056501687,105.826665079,-11.4032,11.0776,0.708777,11.0768509761,74.9735
7.85927903442,69,296.381816886,357.352207311,11.244213309,380.471874439,150.477692489,371.810350961,10.9621289931,69,179.328884548,59.6752,11.2419,0.45929,0.311307628088,102.215693955,-11.5731,11.2483,0.699988,11.246341458,75.3212
97.9767686659,70,323.272682861,341.780587325,11.5222421694,391.229257665,231.248743384,366.648801477,21.9671118071,70,177.165541256,60.2023,11.5201,0.544311,0.329980000851,87.4369523073,-11.8701,11.528,0.712373,11.5251449025,75.7596
50.3064070366,71,228.090637585,345.090085467,11.7096766195,385.997001935,186.588502364,324.740768205,36.1277293378,71,165.328323786,60.6079,11.7078,0.555978,0.335399988088,102.024201882,-12.0507,11.714,0.697379,11.7123174839,76.125
81.6056358693,72,154.083807975,362.487652803,11.9051155945,354.847414729,254.992313547,295.73174636,33.82211334,72,156.347356711,61.0361,11.9028,0.486562,0.326502698779,104.35267971,-12.253,11.9091,0.697174,11.9067960119,76.4485
10.2370884438,73,269.973233799,391.240944489,12.1631014381,388.00018871,192.05528159,356.822321578,24.1279168688,73,174.314199045,61.4251,12.1606,0.583955,0.336486559137,108.727561675,-12.5019,12.1666,0.712848,12.16536402,76.7877
20.5125494584,74,146.90466064,399.555220567,12.2929326455,358.270837279,213.5665095,236.227073762,82.8477643423,74,134.22244081,61.8913,12.2907,0.596205,0.348036920564,129.529333402,-12.624,12.2977,0.710896,12.2951298242,77.1069
9.18985053162,75,363.493838944,356.452707775,12.4965432262,383.39963507,158.861985862,379.978285504,2.56267204883,75,182.982033356,62.3198,12.4939,0.580405,0.350009139239,105.161410623,-12.8365,12.5014,0.77329,12.4989737225,77.4897
79.0651146873,76,320.888088631,370.253675951,12.672688648,357.345179131,221.392781696,342.375861373,9.27738928996,76,174.729050943,62.819,12.6708,0.789502,0.384629236725,103.509500466,-13.029,12.6777,0.666121,12.6750534089,77.7979
10.1158632332,77,338.405330978,370.918105518,12.890761861,373.855169102,187.182085497,366.343334117,5.52780513992,77,184.108886685,63.1787,12.8895,0.571466,0.343874683417,132.608056506,-13.2451,12.8974,0.735974,12.8942269079,78.1951
46.3900186559,78,365.276058646,361.871248534,13.1290754561,377.253256476,190.909666325,371.491523173,2.22787339508,78,184.341685593,63.6374,13.1263,0.621447,0.360218122461,105.743087026,-13.4887,13.134,0.72011,13.1312450277,78.6595
10.5685114429,79,388.71123898,366.592839109,13.3283087529,405.656463145,216.053898002,396.658668579,4.54478727059,79,191.099283821,64.0734,13.3265,0.689414,0.374116883805,86.3948851833,-13.6906,13.3346,0.731157,13.3311421002,79.0019
16.3500834906,80,368.682989472,344.626166463,13.5556346525,378.374513631,229.959430943,372.903413964,1.93696333753,80,183.039591291,64.4348,13.554,0.634678,0.358099635164,92.7935819743,-13.919,13.5594,0.644791,13.5579423054,79.3141
7.32421555166,81,335.087832339,389.022225736,13.7605848982,344.558607156,221.897426465,339.796525293,2.00072978335,81,174.10626256,64.8213,13.7587,0.721545,0.37702767917,148.894703546,-14.1265,13.7671,0.670019,13.7624031005,79.7053
10.4735885524,82,335.57128789,421.418826841,13.9624654371,365.628132466,210.849282481,348.454453618,6.64089071157,82,174.96573118,65.2117,13.9603,0.77098,0.387764335551,123.367697007,-14.3303,13.967,0.628458,13.9643416491,80.0311
68.6191777706,83,283.815703789,345.278592897,14.1841098813,356.959305507,240.466900548,324.348739041,22.9719699227,83,168.31620911,65.587,14.1811,0.783373,0.390224588659,98.2471864989,-14.5828,14.189,0.673487,14.1856871256,80.339
13.3213031844,84,330.685533813,387.425673671,14.4257920062,344.125559225,238.667063178,337.260457594,2.54930013033,84,171.790961653,65.9682,14.4238,0.706341,0.371340590953,123.276283366,-14.8052,14.4317,0.648542,14.4275973702,80.6666
6.50510484442,85,351.314698738,390.984689947,14.5555798753,361.088813481,215.611789088,357.247255784,1.92247355351,85,177.801480691,66.3583,14.5547,0.783259,0.389267744125,131.859543136,-14.9287,14.5633,0.69007,14.5580509626,80.963
9.05472716455,86,380.466112197,348.152449147,14.7978812914,404.663845,187.945031185,391.802527984,6.11725333893,86,188.053935686,66.8148,14.7954,0.635401,0.377068345177,134.032671671,-15.1783,14.8046,0.673261,14.8011908443,81.2789
14.1778672747,87,345.859071892,386.467739033,14.9136267759,363.942949093,249.101700444,355.602817928,3.62778084518,87,176.685282196,67.1841,14.9123,0.991869,0.417803545797,123.835159037,-15.3111,14.9206,0.640515,14.9168581091,81.5908
6.58962630536,88,268.757032302,345.075793665,15.0899040211,367.614003855,171.884046974,334.644042934,37.7460502345,88,170.454555253,67.4944,15.0873,0.87372,0.40655543399,125.003275289,-15.4903,15.0976,0.675926,15.0925139845,82.0152
28.9977279485,89,209.075664496,363.080054275,15.3338228075,246.312487376,232.759591982,221.254020886,6.10001438708,89,133.422903355,67.8784,15.332,0.797845,0.383566274477,89.305613161,-15.7103,15.3413,0.701415,15.3374066699,82.2329
14.0831922659,90,266.093688142,419.326832311,15.4562010929,344.538607725,263.553303868,303.122295212,17.1028288059,90,158.472102022,68.3365,15.4542,0.893212,0.398182765494,150.545105724,-15.8472,15.4635,0.67208,15.4597278463,82.5012
160.508748149,91,252.196202625,400.885078054,15.6923085204,417.770458404,300.165444216,392.280813565,37.4872599261,91,188.744070715,68.7239,15.6899,0.86501,0.40386570727,76.3569665991,-16.1019,15.6985,0.713323,15.6955697904,82.9387
13.9512117834,92,143.274248601,375.939763339,15.8500943035,355.841567447,226.893645801,296.175139265,55.9409598674,92,151.901359531,69.1242,15.8485,0.928407,0.404588948367,109.89906582,-16.2459,15.8584,0.724787,15.853386485,83.186
45.9446045213,93,310.638099819,437.352596729,16.0733430178,515.95851509,212.658838005,431.040911996,41.4529439489,93,185.774192105,69.5811,16.0707,0.866416,0.395755616315,130.121711635,-16.4606,16.0794,0.685508,16.0762158394,83.461
11.5218776666,94,347.728658732,405.654202243,16.1959710404,419.084472513,122.553104421,372.575485381,16.5661932292,94,183.093439752,69.9659,16.1946,0.965594,0.411556994818,127.652343132,-16.5916,16.2038,0.719945,16.1986707218,83.6864
14.0201181594,95,208.674444132,616.900198108,16.3969240157,407.235494179,264.201091777,263.714291838,80.6003242595,95,147.652501908,70.2632,16.3945,0.94307,0.413924320651,183.032545063,-16.783,16.4024,0.714244,16.3994168383,83.9818
7.81627608043,96,380.915219279,526.975681785,16.5983765621,476.386136161,227.644611215,392.416218476,11.3169561009,96,189.776867843,70.6379,16.5961,0.886053,0.403492104862,171.464947821,-16.9968,16.6042,0.722603,16.6011170247,84.2839
16.7328866625,97,381.19252524,476.408502406,16.7413571591,581.819168152,181.028692174,416.916885707,51.8389544241,97,198.089930149,70.9899,16.7389,0.915806,0.410212165688,152.04131679,-17.1422,16.7491,0.735302,16.7457572286,84.7071
67.6995769968,98,383.543936058,638.564257457,16.9617121021,841.555530732,283.915626398,549.843202983,147.599728207,98,208.446165927,71.4084,16.9599,0.978558,0.423638183513,182.165026078,-17.3503,16.9695,0.717299,16.9666427214,84.94
8.51374272138,99,307.787574485,424.518752892,17.1299627453,419.199526731,239.433824883,339.969362825,19.2424390048,99,173.521557187,71.7576,17.1277,1.00545,0.432156158587,152.035840164,-17.5173,17.1402,0.751338,17.1353573965,85.2243
59.5321213211,100,414.398641555,485.868927475,17.2367378582,549.633569121,236.090679939,468.869565069,37.87683013,100,202.843890914,72.1644,17.2353,0.933772,0.422523766602,138.163902867,-17.613,17.2464,0.746304,17.2413408723,85.46
25.1103232445,101,89.2017841678,655.318390076,17.4070693793,494.442139037,271.43271547,396.691747437,127.798494575,101,180.878952409,72.5191,17.404,1.01401,0.421123761463,193.621065979,-17.7944,17.4151,0.777606,17.4122299477,85.6731
56.806976513,102,310.933576826,376.233703456,17.525061254,555.216774539,207.375729183,369.80151977,46.7360245173,102,175.779630755,72.841,17.523,1.06645,0.446926956357,103.911164903,-17.9126,17.5352,0.76985,17.5320471031,85.8477
7.46514843398,103,93.7223107368,576.603056107,17.6846308189,501.400897335,233.073035781,334.309244229,99.383981733,103,163.407038713,73.2362,17.6831,1.00291,0.432855249946,164.000286421,-18.0782,17.6957,0.800869,17.6909569063,86.1325
108.95362737,104,299.277602785,602.315393657,17.8813680679,616.268339616,243.839214052,444.112965633,80.9178478085,104,191.654106975,73.5318,17.879,1.17296,0.455568325097,147.003940214,-18.2727,17.8919,0.8338,17.8878664057,86.4628
21.3666134754,105,274.537022905,417.245107342,18.0366647481,514.426683331,169.18228141,356.141795408,70.8265903278,105,170.198342137,73.8876,18.0345,1.30991,0.457884281429,116.196615875,-18.4367,18.0464,0.830681,18.0431859796,86.6987
58.9668866615,106,239.643639662,545.482448731,18.1480560684,553.028608858,233.576538723,438.408663169,84.70122614,106,190.826233003,74.2252,18.1459,0.906385,0.430348470595,146.527890161,-18.5708,18.1601,0.837862,18.1554249414,86.9936
66.9758932428,107,45.8530841837,393.106880645,18.2971004094,507.362527471,147.961708872,420.534276186,71.5849235688,107,185.431178022,74.5769,18.2956,1.09497,0.463746770233,85.2115031844,-18.7299,18.3089,0.886769,18.3031631887,87.2407
65.4750510003,108,92.0850599645,392.09078033,18.4870161305,517.857807844,206.548059005,296.485934264,122.509989784,108,150.478429171,74.8773,18.4845,1.28439,0.476912242002,120.446117044,-18.9074,18.4974,0.928313,18.4939889756,87.4997
22.140493304,109,283.570413798,466.138546264,18.6473156465,576.214447882,148.255366639,394.608436572,73.6663470283,109,180.890754085,75.2395,18.6446,1.28501,0.488920416084,137.173249387,-19.0856,18.6595,0.881341,18.6538403329,87.8146
21.0403695164,110,315.984088783,520.705049746,18.8591829186,454.879798729,242.864604772,365.079760659,25.6066757265,110,177.437379339,75.5665,18.8551,1.29672,0.485546915445,158.548471715,-19.3022,18.8675,0.879298,18.8636842828,88.0677
12.8986061601,111,433.387610697,408.132132488,18.9856463203,487.430943627,213.798426195,464.260337461,12.5908883505,111,200.382192884,75.8515,18.9823,1.17977,0.476164274844,112.515222091,-19.4304,18.9941,0.876447,18.9903260153,88.3064
77.6332587172,112,139.211475387,380.727109134,19.1611702023,510.508137725,224.78440741,372.067955124,123.697465603,112,171.17232341,76.1859,19.1586,1.23865,0.482233958236,98.8074479144,-19.6292,19.1704,0.855156,19.1654012359,88.5847
64.0949579364,113,340.320105419,631.067599983,19.3353766304,523.933109357,274.23495862,452.530004974,52.1584070623,113,194.380512918,76.4965,19.3314,1.39012,0.506871442834,163.425869556,-19.8275,19.3431,0.896159,19.3392706184,88.8229
40.13405826,114,379.87671145,559.963727835,19.6055571523,609.421990329,226.026164857,469.620927426,29.6338452895,114,194.329792233,76.8667,19.6033,1.26348,0.488683957708,175.589848621,-20.0948,19.614,0.888476,19.6089845533,89.1677
39.9485681439,115,265.795762477,497.952987894,19.6938992497,502.197048447,200.7500246,401.219209605,82.4121780008,115,182.349402029,77.1919,19.6911,1.34077,0.503865088343,125.605841453,-20.1963,19.7023,0.886314,19.6973530662,89.348
8.85005937919,116,208.810640246,700.742254135,19.9819416908,416.901513035,218.261798944,289.667292211,59.1127518479,116,151.300962695,77.4191,19.9779,1.23789,0.484879525359,222.829257081,-20.4852,19.9881,0.900038,19.9852300864,89.6177
