AverageAbsY,Epoch,AverageQ,AveragePolicySurr,MinEsReturn,AverageAbsQ,AverageAbsQYDiff,PolicyRegParamNorm,MaxEsReturn,StdEsReturn,AverageReturn,AverageQLoss,AverageForwardProgress,MaxForwardProgress,QFunRegParamNorm,MaxReturn,MinReturn,AverageEsReturn,StdReturn,AverageDiscountedReturn,MinForwardProgress,AverageY,AverageAction,StdForwardProgress
0.0152994441135,9,0.00252012,-0.0338831,-43.4343710659,0.0161644,0.00730758234941,14.1539,12.2751759805,5.03139172727,1.41008208652,8.33451e-05,0.00936918987445,0.0579845855004,7.92333,11.2285925935,-9.27994347471,-3.243221248,3.76220631487,1.09770156278,-0.0428547346865,0.00251799505787,0.00169481,0.0185296432719
0.015145928969,10,0.00555136,-0.0139065,-11.0803513827,0.0137075,0.00770761057887,14.7148,4.51838490919,2.16915392237,1.27131799987,0.000123377,0.010517323018,0.0354195098149,7.99058,6.30540388998,-4.87858673041,-3.59608253921,1.75165543901,1.04053369721,-0.0182971974708,0.005608532541,0.985215,0.00838875193218
0.0173096734519,11,0.013499,-0.0221158,-3.95598063067,0.0166635,0.00547734868294,14.9744,6.29764812721,2.38094886109,1.35683195093,5.94357e-05,0.0109078542586,0.0400261313608,8.32494,7.3689234419,-4.71619668576,0.717241010877,1.76064117455,1.11892191784,-0.0181531319329,0.0135134330237,0.999244,0.00843169441892
0.0222683820617,12,0.0190503,-0.0270055,-4.40603890385,0.0218324,0.00474493544148,15.0886,7.44774762654,2.6957483899,1.41524164466,4.43176e-05,0.0111767756871,0.0353893006044,8.7481,6.52132656897,-4.62048144871,1.23668620692,1.79554830999,1.17461672293,-0.01739794716,0.0190633814113,0.999733,0.00863518898152
0.0269576097705,13,0.0239765,-0.031177,-3.31419069362,0.026689,0.00436082821115,15.1332,9.26032775058,2.55723288237,1.34785056819,3.70256e-05,0.0108177668027,0.0359139285674,9.21969,6.56840875904,-4.25247757667,1.3914648972,1.77716408141,1.11855626384,-0.0157501828626,0.0239830768246,0.996781,0.00849363971497
0.0303973524944,14,0.027809,-0.0362427,-9.98349863807,0.0302256,0.00405439685378,15.2412,3.76599554973,2.28753394916,-1.75263254407,3.17126e-05,-0.00264749341499,0.0266184880003,9.76952,4.42911826824,-6.94560256292,-1.65804086941,1.64162849404,-1.61368466087,-0.0276761030231,0.0278153584831,0.970853,0.00777178709492
0.0337102718117,15,0.0313924,-0.0395592,-5.01062915747,0.0335935,0.00373586737559,15.2396,2.00904725828,1.56305703956,-1.6031541151,2.60036e-05,-0.00238391595565,0.0267517397208,10.3347,4.42902087407,-7.47890859801,-1.87633655413,1.59685325261,-1.48498198916,-0.029583285294,0.0313948616224,0.913142,0.0075613938001
0.0368547161798,16,0.034997,-0.0421731,-5.14380289982,0.0367719,0.00363176823129,15.2999,3.59702418552,1.75950361736,-1.86972313816,2.48367e-05,-0.00306021802801,0.0156016709317,10.9297,2.07409479645,-7.09581229948,-1.4080806105,1.58400803385,-1.72153512556,-0.027985970186,0.0350022972805,0.92383,0.00753163724319
0.0386369276946,17,0.0367814,-0.043141,-6.71864798708,0.0385651,0.00350357155977,15.3276,3.84092961961,2.45471630371,-1.92373602234,2.2872e-05,-0.00320962986923,0.0200062006862,11.4773,3.05862269373,-6.48488404043,-1.44262713833,1.69181946912,-1.75599190706,-0.0249557078221,0.0367803298923,0.926928,0.00797872115018
0.0390839467908,18,0.0371342,-0.0426473,-7.30128714094,0.039029,0.0033639948318,15.3343,2.73806970744,1.91393160643,-2.10718425491,2.12357e-05,-0.00416026960001,0.0175889164792,12.0142,2.52844686149,-7.70037658087,-2.37946321195,1.72581581133,-1.91814739338,-0.0315190313589,0.0371311305397,0.911052,0.00815623086195
