Iteration,AveragePolicySurr,AverageDiscountedReturn,AverageAbsQYDiff,AverageQ,AverageAbsQ,AverageAction,QFunRegParamNorm,MaxReturn,AverageAbsY,StdReturn,MaxEsReturn,AverageReturn,StdEsReturn,AverageY,MinReturn,AverageEsReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageQLoss
32,-2.01314,29.280324055,0.0579126345471,1.76273,1.76488,0.115731,28.8051,38.0,1.76308241728,0.787699030717,47.0,34.4742268041,12.4210030726,1.76299608396,33.0,17.4385964912,3.0,32,23.7867,0.0171549
33,-2.09102,30.822041167,0.0565668872531,1.84474,1.84702,0.174919,29.4712,46.0,1.84507517222,2.52153041482,43.0,36.695970696,8.61935418872,1.84499209912,32.0,11.6627906977,3.0,33,24.1998,0.0162614
34,-2.18317,33.7675962048,0.0608902791086,1.92213,1.92431,0.202006,30.1893,50.0,1.92221125875,2.13089531925,51.0,41.0163934426,8.43869813997,1.92217801463,37.0,11.8117647059,3.0,34,24.5768,0.0184367
35,-2.26328,37.0746005461,0.0668054244018,1.99969,2.00199,0.186862,30.8045,58.0,2.00017409087,4.11882584837,41.0,46.1751152074,9.50975048428,2.00006054151,37.0,13.3243243243,3.0,35,25.0762,0.0243895
36,-2.34091,98.419084761,0.0703355693958,2.06772,2.07016,0.131753,31.4333,1000.0,2.06803912276,285.399514108,47.0,731.214285714,11.1309769854,2.06800270736,174.0,13.5,3.0,36,25.5526,0.0273196
37,-2.42693,99.9956828753,0.0747121222652,2.13712,2.13979,0.267623,31.9228,1000.0,2.13749640476,0.0,61.0,1000.0,10.8685253715,2.13739304604,1000.0,12.4875,3.0,37,25.8778,0.0296253
38,-2.51031,99.9956828753,0.0733282397321,2.21607,2.21889,0.136245,32.531,1000.0,2.21628414336,0.0,68.0,1000.0,11.6408631678,2.2162025129,1000.0,13.2631578947,3.0,38,26.2439,0.0282228
39,-2.59126,70.9369638333,0.075974576932,2.29115,2.29405,0.120872,33.1047,923.0,2.29145721837,208.957929737,50.0,203.94,9.81740177191,2.29140505767,72.0,11.8928571429,3.0,39,26.6183,0.031195
40,-2.68272,69.4663285845,0.0824737445241,2.3741,2.3772,0.134875,33.6458,884.0,2.37424870343,159.870355639,45.0,179.428571429,9.45908048391,2.37417755444,53.0,13.1973684211,3.0,40,27.0282,0.036185
41,-2.77444,95.3620476932,0.0826459162367,2.44861,2.45225,0.28398,34.3788,1000.0,2.44910245567,259.078707847,52.0,468.636363636,10.6475258203,2.4489339003,173.0,13.1578947368,3.0,41,27.4323,0.0357124
42,-2.85635,63.5155976835,0.0896007170091,2.52141,2.52546,0.258118,34.9143,469.0,2.52201706989,84.6109606437,46.0,120.674698795,8.37630957797,2.52168202505,64.0,10.7956989247,3.0,42,27.7563,0.0427448
43,-2.95091,36.2898870362,0.0900690182733,2.60728,2.61224,0.209637,35.4994,52.0,2.60797143889,0.905118932699,40.0,44.8609865471,7.10016285154,2.60773961237,42.0,9.94059405941,3.0,43,28.0474,0.0432576
44,-3.04856,32.3604005151,0.0946206804196,2.68575,2.69046,0.383576,36.0516,40.0,2.68631721162,0.500300372489,40.0,38.9031007752,8.10711491926,2.68605762647,38.0,11.7926829268,2.0,44,28.3742,0.0492002
45,-3.15445,30.1308712903,0.0974023176852,2.78575,2.79042,0.134934,36.5733,36.0,2.7866655848,0.467941083945,50.0,35.6761565836,11.8699660772,2.78627659805,35.0,15.8923076923,3.0,45,28.577,0.0523603
46,-3.26049,30.3758342216,0.104775263024,2.88273,2.88841,0.192587,37.1312,37.0,2.88341588314,0.363949859219,55.0,36.0251798561,12.4921752853,2.88305297298,35.0,15.234375,2.0,46,28.7821,0.0599771
47,-3.37006,29.7736061745,0.102711550285,2.97944,2.9844,0.162265,37.543,36.0,2.98010217712,0.4100311904,47.0,35.1684210526,12.135273053,2.97986594996,34.0,15.5230769231,3.0,47,29.0144,0.0582225
48,-3.47067,27.7264764437,0.11617420887,3.06425,3.07048,0.0654363,38.0605,33.0,3.06478959128,0.46236059012,48.0,32.3096774194,13.5754721586,3.06469698607,32.0,16.3548387097,3.0,48,29.1763,0.0748784
49,-3.59104,27.4946901631,0.112096789733,3.17092,3.17673,0.0621848,38.6625,33.0,3.17114574575,0.282454135531,46.0,31.9904153355,12.4416979448,3.17104254227,31.0,14.7058823529,3.0,49,29.2961,0.0723948
50,-3.68749,28.0867046424,0.107134710162,3.26329,3.26902,0.0527549,39.0847,33.0,3.26405226851,0.394996929832,40.0,32.806557377,9.36882774595,3.26397997477,32.0,13.28,3.0,50,29.4807,0.0657372
51,-3.80678,27.7498629062,0.11810282252,3.36986,3.37571,0.0381648,39.6127,33.0,3.37030505816,0.474358101797,44.0,32.3419354839,12.1165000458,3.37008153149,32.0,15.6451612903,3.0,51,29.7009,0.0789495
52,-3.90962,27.9577358011,0.120964316055,3.45422,3.46077,0.058455,40.2035,33.0,3.45489933172,0.483161926995,38.0,32.6286644951,8.78374683315,3.45475652095,32.0,11.2087912088,3.0,52,29.9774,0.0852664
53,-4.03151,28.2221055886,0.124274104354,3.57669,3.58388,0.0844434,40.7275,34.0,3.57713111024,0.162087960457,50.0,32.9934210526,11.4793156454,3.57692173937,32.0,12.1341463415,3.0,53,30.2786,0.0868309
54,-4.13747,28.2435279736,0.121016711598,3.66228,3.66879,0.0790708,41.1962,34.0,3.66316801913,0.15022847098,41.0,33.0231023102,10.4750334562,3.66289518124,33.0,12.9113924051,3.0,54,30.3811,0.0866725
55,-4.25158,27.9115332174,0.139476103299,3.75076,3.7593,0.0476808,41.8177,33.0,3.75134621717,0.495765506406,41.0,32.5649350649,10.9516375512,3.75114277634,32.0,14.3676470588,3.0,55,30.5968,0.111517
56,-4.3633,28.2506342165,0.138991877057,3.84449,3.85338,0.182936,42.2528,34.0,3.8455074732,0.178645130069,57.0,33.0330033003,11.970957332,3.84521628226,33.0,14.2083333333,3.0,56,30.8579,0.11696
57,-4.48053,27.3415570947,0.137039659772,3.95583,3.96414,0.0734157,42.7983,32.0,3.95658115566,0.413600966678,49.0,31.780952381,10.6220567485,3.95607857923,31.0,11.869047619,3.0,57,30.8967,0.109209
58,-4.58508,29.0415831426,0.143935581405,4.06718,4.07713,0.291553,43.3157,35.0,4.06873550856,0.381031692477,48.0,34.1365187713,9.19846709959,4.06777305345,33.0,12.2592592593,3.0,58,31.2124,0.116816
59,-4.68647,28.6556582664,0.146988198862,4.15691,4.16753,0.315062,43.6565,34.0,4.15861521531,0.490438279368,45.0,33.5973154362,10.7153167548,4.15761608994,33.0,13.012987013,3.0,59,31.3877,0.125174
60,-4.78169,29.531327781,0.14666203064,4.24012,4.25003,0.399451,44.132,36.0,4.24164356037,0.544286754375,42.0,34.8263888889,11.6106699299,4.2403620899,34.0,13.7123287671,3.0,60,31.4994,0.12607
61,-4.86605,32.3079930553,0.15203750649,4.31585,4.32688,0.485784,44.6768,49.0,4.31772588489,2.20209964215,62.0,38.8488372093,11.2531753543,4.31636577064,36.0,13.2933333333,3.0,61,31.5765,0.13389
62,-4.96905,22.031682859,0.158736831106,4.40772,4.42072,0.282551,45.0452,35.0,4.40950274835,2.34790634387,54.0,24.7896039604,9.9317965,4.40823278021,21.0,13.1315789474,3.0,62,31.6837,0.147084
63,-5.04591,33.6898234267,0.15978909119,4.47907,4.49221,0.510456,45.5312,52.0,4.48138499487,2.05877809966,97.0,40.8979591837,18.2520616672,4.47950441078,37.0,17.5714285714,3.0,63,31.8293,0.147123
64,-5.13391,31.8104011737,0.157253208832,4.5843,4.59619,0.548338,45.9012,42.0,4.58659869838,1.14736951076,69.0,38.102661597,15.5047310094,4.58450068821,36.0,17.8214285714,3.0,64,31.9178,0.142815
65,-5.21664,33.5927674886,0.160909877554,4.64105,4.65399,0.523651,46.3504,46.0,4.64435989538,1.58096637841,78.0,40.743902439,15.7397172219,4.64183274658,38.0,15.7230769231,3.0,65,32.0631,0.152913
66,-5.31232,34.7464662645,0.162315479103,4.72925,4.74431,0.653859,46.7562,55.0,4.73336608495,3.04826573909,129.0,42.5211864407,20.5322878772,4.72980655416,38.0,16.3606557377,3.0,66,32.2551,0.155698
67,-5.35591,39.1200592856,0.174382849542,4.78371,4.8021,0.708573,47.074,707.0,4.78794967312,62.2392554327,64.0,55.9005524862,15.6910192662,4.78410705073,40.0,17.4137931034,3.0,67,32.3947,0.178627
68,-5.4338,99.9956828753,0.166515570823,4.8669,4.88242,0.587376,47.4308,1000.0,4.87072140215,0.0,110.0,1000.0,19.9180488014,4.86714671122,1000.0,15.6935483871,3.0,68,32.5621,0.160076
69,-5.47307,60.9041458443,0.169024566494,4.91648,4.93206,0.716085,47.7974,1000.0,4.92122794629,294.773224634,79.0,213.744680851,20.5220002517,4.91742163585,43.0,24.4523809524,3.0,69,32.7055,0.173204
70,-5.54164,92.013071953,0.167417396219,4.95728,4.9744,0.336229,48.2302,1000.0,4.96315928018,371.939169169,138.0,796.846153846,19.6808272422,4.95739684392,74.0,15.59375,3.0,70,32.9305,0.168879
71,-5.60343,99.9956828753,0.168957308577,5.02221,5.03959,0.463632,48.642,1000.0,5.02876024979,0.0,74.0,1000.0,15.9451004892,5.02258351296,1000.0,17.5614035088,3.0,71,33.1243,0.165518
72,-5.65975,99.9956828753,0.178692541598,5.08423,5.10299,0.387397,49.0304,1000.0,5.09040154543,0.0,105.0,1000.0,24.441800261,5.08445607423,1000.0,19.72,3.0,72,33.3098,0.190743
73,-5.71548,99.9956828753,0.169939799365,5.13792,5.15718,0.284035,49.3819,1000.0,5.14460823684,0.0,161.0,1000.0,31.2361080233,5.1380116234,1000.0,28.1666666667,3.0,73,33.4752,0.17068
74,-5.76599,98.320787071,0.181677119894,5.18282,5.20116,0.448867,49.6296,1000.0,5.18916612831,300.504329538,250.0,836.615384615,44.0333680293,5.18331313941,185.0,28.25,3.0,74,33.6511,0.196005
