QFunRegParamNorm,Epoch,MinEsReturn,PolicyRegParamNorm,AverageQLoss,AverageY,AverageAction,MaxReturn,MinReturn,AverageEsReturn,AverageAbsY,AverageReturn,AverageDiscountedReturn,AverageAbsQYDiff,MaxEsReturn,StdEsReturn,Iteration,AverageAbsQ,StdReturn,AverageQ,AveragePolicySurr
11.1658,9,1.21458014264,11.1809,5.11416,1.40601006863,0.0392064,12.8296874104,11.3827502428,14.2624284928,1.41307824583,12.1724982125,11.4286179829,2.0807097565,113.784998623,15.0593228561,9,0.675818,0.251447224077,-0.6747,0.434863
11.5192,10,-1.54684217921,12.7944,0.0656462,1.17222350101,0.998293,0.595403583317,-0.0176535466699,1.83439359914,1.20126934884,0.26421861923,0.414780597242,0.125577913283,8.61775553658,1.94972530212,10,1.17816,0.117796848066,1.16042,-1.22822
12.0283,11,-1.30639895827,13.7801,0.0246627,1.50194175924,0.999995,40.3992388484,36.4698013492,24.4822461123,1.5625579898,38.4954326803,34.2334968626,0.0859544039343,65.5783898568,20.8831553845,11,1.55971,0.892083470566,1.50119,-1.59523
13.0806,12,7.20554276109,13.9697,0.0701421,2.2137018017,0.999998,40.7374257603,36.6141990216,40.1220713023,2.32069121167,38.7931327767,34.4747219962,0.128705451007,54.1952493773,5.85630568382,12,2.31788,0.963941461628,2.21283,-2.4131
14.6859,13,8.46626315419,14.2965,0.139729,3.14411561967,0.995825,41.6317005986,36.5263178139,42.0726704046,3.27238232451,38.6167483627,34.3296565761,0.176293861581,73.4976293331,9.18925377765,13,3.26974,0.889043191866,3.1434,-3.44428
16.4029,14,36.4523430589,15.1568,0.195922,4.23489037695,0.907086,47.0088249071,36.9772732443,46.1225174602,4.36855395829,41.4362029187,36.5794009289,0.210376274665,150.96579482,18.9205675774,14,4.3655,1.73045607224,4.23407,-4.66211
18.1281,15,2.88050683455,16.9248,0.250069,5.46992032868,0.684132,42.166016988,35.134285656,52.1654528456,5.59268522792,38.7335882892,34.4223147332,0.240974160525,133.598427328,27.3523387796,15,5.59005,1.25225665719,5.46903,-6.03074
19.7675,16,36.0249989712,17.9603,0.342027,6.82546760639,0.812618,175.859501297,165.543183716,96.0739305427,6.9347367374,172.215379785,111.629605666,0.276877478283,181.176243382,54.523145567,16,6.93209,2.51292962572,6.82395,-7.50674
21.4136,17,101.203553138,18.6698,0.463145,8.3851571854,0.64728,174.678673975,169.846461543,158.725145933,8.47750612127,172.04926081,111.580582888,0.313533448091,186.793598956,24.6476982329,17,8.47486,1.15341498713,8.38308,-9.20182
23.1553,18,12.7641250455,19.6152,0.653102,10.1319057457,0.627596,174.444428951,167.345444879,150.096827468,10.2086553986,171.767751359,111.294705653,0.368389664374,184.633046653,51.7987929521,18,10.2067,1.54476834517,10.1304,-11.0901
24.9208,19,106.087506952,20.6418,0.857265,11.9753212745,0.653932,172.281840209,164.680957463,167.887846551,12.0373496332,169.28207703,110.247085454,0.422886862599,200.109497172,23.7553208245,19,12.0357,1.46130908255,11.9724,-13.1145
26.4634,20,77.2384110233,21.5447,1.04352,13.9771094258,0.628497,174.705287322,170.372811518,159.682827321,14.0310465671,172.405458878,111.787699571,0.470839107964,194.437585673,36.8219600475,20,14.0309,0.977626951467,13.9743,-15.2561
27.9456,21,94.6530462901,22.5746,1.25002,16.0584425468,0.747514,188.70295277,174.821883469,165.796613884,16.1013058236,178.280133424,114.545337538,0.517893253366,207.83051335,31.2224289818,21,16.101,2.70550991435,16.0549,-17.429
29.3963,22,36.6026085262,23.6311,1.41463,18.1856842654,0.689855,182.051844197,174.37092946,161.612298783,18.2188792733,177.226833988,113.874667473,0.56907747271,201.508297688,50.5571431952,22,18.2185,1.55680550062,18.1811,-19.6574
30.7518,23,147.542104138,24.66,1.53721,20.3815354095,0.690409,182.312001608,171.989049727,180.883709715,20.4104917109,178.062516302,114.314796179,0.606459308441,199.049293277,13.7561349252,23,20.4129,1.96022045005,20.3776,-21.9737
32.0441,24,25.1364933815,25.4672,1.75189,22.6004808119,0.602535,179.666348554,171.129662745,168.889889464,22.6250095157,175.64972636,113.047395316,0.640413557904,213.138263682,48.5878963375,24,22.6276,1.84655508476,22.5959,-24.2552
33.2904,25,122.815242559,26.0197,2.0666,24.785819181,0.630605,179.341116346,171.86981334,173.528652919,24.8077577692,176.231400487,113.243474401,0.692744857686,185.499491115,15.9732567511,25,24.8116,1.78480308003,24.7812,-26.5318
34.5114,26,36.399098424,26.5231,2.37383,27.0302123097,0.558168,193.196473435,179.36063127,150.440683194,27.0507592013,185.226245922,117.327024566,0.74354750912,193.081962018,49.36260261,26,27.0554,4.02651527048,27.0256,-28.8351
35.6507,27,74.1216415824,27.0045,2.85977,29.2109346602,0.668311,186.725030169,179.435180929,171.402648165,29.2348392696,183.667720269,116.030154854,0.806492036843,205.048096186,34.3883808738,27,29.2425,1.68155171328,29.2054,-31.0819
36.7702,28,43.2972518102,27.6391,3.26018,31.4653086055,0.648269,194.663176367,189.694005581,154.899075034,31.4867134623,192.009079569,119.174039399,0.858904777023,204.051786779,58.1105974505,28,31.4952,1.11137993038,31.4601,-33.37
37.9368,29,25.1063867677,28.29,3.87263,33.6503712154,0.64283,201.931381018,194.24516759,153.394206526,33.6688596938,197.906129637,121.784706652,0.932985813067,214.866647844,56.8577601058,29,33.6791,1.40847842842,33.6455,-35.6688
38.9916,30,12.2483004895,28.8106,3.99871,35.8512035321,0.630764,197.029552487,192.160405056,151.622519111,35.8709327607,194.513564032,120.125767275,0.97832071287,215.3516944,55.5413578063,30,35.8805,1.10120278861,35.8448,-37.8473
40.0798,31,15.530939749,29.4139,4.54506,37.9932712832,0.687091,196.764954934,190.776158609,154.478995909,38.0091586979,193.218046064,119.616679881,1.01452556284,198.354442519,63.1395152042,31,38.0232,1.06886547631,37.9888,-40.0374
41.1407,32,16.5892261097,30.0284,4.84051,40.1447006435,0.624381,215.510781897,181.319221457,148.491563488,40.1605792999,195.06395407,120.281354174,1.06136407558,208.3380467,57.3444353303,32,40.175,5.68244025128,40.1399,-42.1844
42.1231,33,22.7836877752,30.6346,5.31585,42.1546502656,0.630593,204.803842983,189.769319377,157.829359165,42.1723978114,194.638175536,120.419939587,1.11021723213,222.496057577,69.0620179009,33,42.1917,3.25788324186,42.1494,-44.1892
43.1461,34,9.46331065395,31.2867,5.62839,44.3405654558,0.682963,222.393572041,205.46283915,163.791917865,44.3589250097,213.336168372,127.415795649,1.15918281445,221.900288737,78.5301228708,34,44.3793,3.60462734268,44.3351,-46.4146
44.1225,35,13.6019667352,31.8495,6.11283,46.3294623568,0.674031,223.288311297,204.192675225,160.864731229,46.3487067926,211.947285551,126.884799885,1.19576456978,219.943646001,75.1882148427,35,46.3738,3.97402566755,46.326,-48.3985
45.1806,36,11.4481680614,32.4687,6.53705,48.366524838,0.602525,176.15044676,154.86755145,147.58214381,48.3874123778,167.171451774,109.43539401,1.23698586986,239.475235412,83.5326608107,36,48.4145,4.80790670154,48.3624,-50.4946
46.2047,37,11.3192341386,33.0447,7.13812,50.3974961069,0.638696,215.92135981,206.03904971,174.060206915,50.4207204273,210.542999998,127.177053279,1.30578140156,215.471995318,55.3196371471,37,50.4427,2.05157902187,50.3903,-52.6539
47.1792,38,10.2928222459,33.6224,7.7141,52.5548208795,0.54168,215.454198611,206.510987031,140.00498965,52.5754366807,211.587643785,127.417734714,1.3387414794,241.75851664,80.3140283739,38,52.6036,1.72646249712,52.5511,-54.8581
48.1091,39,21.22578934,34.2667,8.35058,54.6964603,0.580661,238.788117207,213.161271602,162.303955384,54.7181882624,226.367633036,133.825394015,1.39048058402,227.171021281,59.5112077547,39,54.7463,5.81955807592,54.6917,-57.0104
48.9572,40,15.2889610759,34.8505,8.96545,56.7404624458,0.576426,257.708195094,224.33496229,130.593997585,56.7616093181,245.067147915,140.215824738,1.43921233144,267.690523517,97.0461352349,40,56.7889,9.57677200269,56.7331,-59.1373
49.8527,41,14.8005626479,35.3879,9.55151,58.8510448549,0.574675,267.633242063,236.297375612,165.135828792,58.8703703864,254.5903324,144.5387352,1.46956997506,263.362322783,87.9893904346,41,58.9032,8.07070712799,58.8459,-61.2842
50.69,42,95.9499581524,35.8751,9.81371,61.0165634499,0.584043,282.620701671,218.14493669,193.135979418,61.0373865299,264.62292234,147.372076141,1.52059331498,258.798432735,43.9255491185,42,61.0753,12.638425993,61.0127,-63.5411
