MaxReturn,AverageAbsQ,AverageDiscountedReturn,AveragePolicySurr,QFunRegParamNorm,AverageAbsQYDiff,Epoch,AverageAbsY,AverageEsReturn,MinReturn,StdEsReturn,StdReturn,MaxEsReturn,AverageQLoss,AverageY,PolicyRegParamNorm,Iteration,AverageAction,AverageReturn,MinEsReturn,AverageQ
45.0,0.065125,17.3049891369,-0.0581945,10.4453,0.117058555515,9,0.102077358598,5.85245901639,13.0,2.93457341355,6.41503709199,25.0,0.0172274,0.0871550527958,10.4744,9,0.000924219,19.106870229,2.0,0.0589204
3.0,0.133444,2.38921261435,-0.186429,10.732,0.0178892769029,10,0.135396479424,2.8547008547,2.0,0.598168485707,0.491335010709,6.0,0.000957143,0.131604939471,11.26,10,0.999945,2.40731824747,2.0,0.131404
3.0,0.202561,2.3849129505,-0.169633,11.1679,0.0134254686484,11,0.20259857292,2.79329608939,2.0,0.626919199962,0.490487170257,9.0,0.000569797,0.20259857292,11.1064,11,0.999697,2.40293128304,2.0,0.202551
50.0,0.23642,35.6556446699,-0.280252,11.588,0.0143030369019,12,0.236469152734,5.68,41.0,5.43432477078,3.01561482098,40.0,0.000545695,0.236469152734,12.9626,12,0.0534085,43.9166666667,2.0,0.236417
103.0,0.319294,60.6048918612,-0.382285,12.3949,0.0178893160717,13,0.319371129608,28.6285714286,84.0,22.8611782152,4.27380768154,88.0,0.000836789,0.319371129608,14.7686,13,0.0222698,92.7777777778,4.0,0.319292
67.0,0.395947,46.4035266282,-0.476649,13.3578,0.0201138433813,14,0.396049452038,26.1842105263,57.0,19.5688464323,2.18575182721,77.0,0.00112672,0.396049452038,15.9016,14,0.380951,62.0802469136,4.0,0.395943
65.0,0.481561,43.7368590617,-0.575393,14.4766,0.0213063111824,15,0.481679305605,29.5454545455,47.0,21.7800171259,4.83288057931,94.0,0.00142056,0.481679305605,16.6929,15,0.456997,57.3428571429,3.0,0.481539
46.0,0.56809,35.6725258455,-0.668442,15.5253,0.0239586894843,16,0.568135921955,27.7777777778,41.0,17.5390217501,1.10397446453,85.0,0.00184121,0.568135921955,18.0377,16,0.344579,43.9035087719,4.0,0.568009
45.0,0.647782,35.584640768,-0.759478,16.7074,0.0263352194391,17,0.647821343765,31.96875,42.0,17.0449486194,0.727700138427,74.0,0.00242071,0.647821343765,18.9705,17,0.166729,43.7641921397,4.0,0.647675
41.0,0.734487,33.152719976,-0.861103,17.5847,0.0275489737877,18,0.734518992623,25.6666666667,39.0,17.7624399648,0.591797262582,57.0,0.00279423,0.734518992623,19.5695,18,0.153165,40.076,3.0,0.734355
47.0,0.817093,37.1507667549,-0.948846,18.5644,0.0301957016467,19,0.816988241389,24.5365853659,45.0,18.3822522585,0.535594109706,90.0,0.00353983,0.816988241389,19.9765,19,0.13099,46.2119815668,3.0,0.816832
36.0,0.898161,29.6696651653,-1.03707,19.5432,0.0322893820137,20,0.898068287002,21.2978723404,34.0,16.5541212888,0.333838273071,57.0,0.00408309,0.898068287002,20.2651,20,0.087926,35.020979021,3.0,0.897875
