AverageY,MaxEsReturn,AverageAbsQ,AverageAction,AverageEsReturn,AverageReturn,Iteration,StdEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageQLoss,QFunRegParamNorm,AverageAbsY,AveragePolicySurr,MaxReturn,Epoch,StdReturn,MinReturn,PolicyRegParamNorm,AverageQ,MinEsReturn
2.83477117684,12.6508924716,1.17434,0.201748,-4.27506680119,-3.29717511393,9,4.03769846422,3.72770549175,-1.58153865181,20.382,11.4913,2.84307122297,0.300039,3.32260272019,9,1.10290364241,-5.05883827082,11.709,-0.892934,-17.0223951726
1.58938042387,1.6952203834,1.57554,0.999781,-8.30892103854,-8.09331000964,10,3.03292006492,0.404721500837,-7.81597552439,0.457915,11.6834,1.60796238196,-2.0885,-7.93273880427,10,0.0645068407903,-8.24318477388,12.1341,1.56236,-17.2634338969
1.29330148496,0.69920836685,1.30965,0.99999,-7.53539722265,-8.25985642943,11,1.73674138649,0.17380028786,-7.97628963719,0.0561551,11.7976,1.31426493885,-1.61534,-8.05814819022,11,0.0664306328341,-8.44488118638,12.2422,1.28881,-16.4103443161
1.24302223212,-4.44914984947,1.27798,0.999997,-7.83878586174,-8.25958318849,12,1.84424481152,0.12435560039,-7.97598868552,0.0268689,11.8697,1.27634676609,-1.36079,-8.07028547149,12,0.0661112767174,-8.42804860486,12.2769,1.24173,-19.3782773731
0.928809858056,5.44304140399,1.03272,0.999945,-7.52960350007,-8.87765037703,13,8.0655760407,0.10913387226,-5.46870341081,0.0205021,11.952,1.03237042519,-1.09159,-6.14911062274,13,1.30203854509,-11.5361402834,12.6049,0.928275,-71.9442783883
0.815462198466,7.39726013264,0.918117,0.999899,-10.7574462654,-8.54593902419,14,8.73630332669,0.0973313499953,-5.22405201211,0.0164881,12.1566,0.919107573926,-1.27053,-5.69880638393,14,1.25205245192,-11.3379156216,12.5847,0.81484,-37.2474504824
1.03711094578,-4.00164724296,1.09562,0.713459,-14.3727684543,-14.6420046105,15,8.8278444435,0.0904593798822,-8.1750094019,0.0151838,12.3408,1.09681563972,-1.44698,-6.1525277427,15,3.52610107213,-23.4409410965,13.4951,1.03611,-36.6984509187
1.14706665972,-7.19275949898,1.20849,0.66564,-17.81144616,-14.6800985388,16,11.7423797378,0.086542820439,-8.0711725495,0.0144762,12.579,1.20986241694,-1.54874,-8.67931262941,16,2.90739337998,-20.9723060913,14.2256,1.14647,-45.1406539996
1.28628307154,267.573940523,1.33761,0.660234,62.8426636296,355.921991628,17,128.986808331,0.0919469568484,106.232572371,0.016224,12.9096,1.33937193443,-1.71886,459.271567047,17,59.1735136374,134.707568909,15.0219,1.28558,-50.1541349381
1.47299750985,398.448813503,1.51827,0.86991,111.646407244,310.703460267,18,140.31646819,0.0940991467009,104.571263492,0.0185953,13.2996,1.52047397548,-1.88489,536.530933302,18,73.1029765745,180.0892472,15.783,1.4724,-9.30209787677
1.69438675783,494.168264972,1.72898,0.884836,208.195290818,73.021758276,19,206.385363343,0.0978420161457,52.3738496249,0.0218207,13.7415,1.73182764818,-2.097,302.273737901,19,57.4153254675,35.9725994513,16.7803,1.69351,14.6423045232
1.84787096985,398.686489858,1.8818,0.914851,97.7682426445,62.615036932,20,124.725357429,0.0958962481163,49.1821595858,0.0212557,14.2203,1.88445996705,-2.21619,352.150294815,20,43.2512719008,31.428256035,17.4113,1.84705,10.8935681687
1.97821838195,364.963751499,2.01367,0.876914,179.711114271,252.085631862,21,129.429557583,0.0974277406233,95.907137708,0.0232958,14.7112,2.01655684965,-2.32082,407.951157446,21,114.483928473,-6.2846006588,18.1336,1.97753,18.4098799512
2.09336539912,250.614137643,2.12771,0.894556,44.7262121261,65.8558958252,22,87.4605496713,0.0992172620784,37.4090673592,0.0251021,15.2336,2.13016517998,-2.44819,461.994035184,22,102.059305186,3.10428876266,19.2015,2.09267,-18.2844935747
2.19877357684,141.312875975,2.23162,0.870489,22.365924282,-8.44565209418,23,51.1846694447,0.102244324134,12.1428621166,0.0265007,15.7322,2.23374901648,-2.538,10.6311048456,23,8.66104360719,-31.1812753354,19.838,2.19831,-28.5275487364
2.25233770951,28.2533575296,2.28902,0.876722,-0.420365548311,6.80784772548,24,19.4319098509,0.10299553415,17.0414471953,0.0275629,16.2365,2.29067618048,-2.58622,137.243860733,24,44.3882117627,-34.1780421256,20.3483,2.25177,-33.9160467404
2.33059820921,83.7104496446,2.37108,0.828326,-1.12332396187,113.593249657,25,32.8744277787,0.107727535243,59.1481745589,0.0288263,16.7823,2.37201787204,-2.6762,507.101434695,25,91.5797866669,24.9056876822,20.864,2.33001,-27.6650652309
2.40218174072,48.0897914707,2.44034,0.77022,-5.55810175961,-24.5636906557,26,29.5689039115,0.113375369751,-1.45073504047,0.0333292,17.2801,2.44113183213,-2.75133,153.493997042,26,20.7552035296,-50.4722638586,21.3081,2.40174,-39.9582289971
2.49618336128,69.6287234049,2.53269,0.794617,26.1368366403,373.957635807,27,40.7630645764,0.120334285037,83.1677904796,0.0394872,17.7713,2.53324182332,-2.82058,907.421420974,27,169.009419695,69.0569471242,21.6773,2.49549,-24.7991631444
