Iteration,MaxEsReturn,Epoch,AveragePolicySurr,AverageReturn,AverageQ,MinReturn,AverageAbsQ,AverageAbsY,MinEsReturn,StdReturn,AverageQLoss,AverageY,QFunRegParamNorm,StdEsReturn,AverageAbsQYDiff,AverageEsReturn,MaxReturn,PolicyRegParamNorm,AverageAction,AverageDiscountedReturn
27,95384.4752981,27,-1121.08,103076.109476,1110.42,69313.6587049,1110.42,1110.67518614,95384.4752981,15875.4521437,1771.8,1110.67518614,119.459,0.0,25.073711746,95384.4752981,117752.930386,16.8682,1.0,7852.57266818
28,83249.5850838,28,-1187.0,84198.4292983,1176.57,69289.6881889,1176.57,1176.93242911,83249.5850838,15859.6616234,2736.99,1176.93242911,121.968,0.0,28.1985779042,83249.5850838,117392.665427,16.8686,1.0,7041.70630796
29,53014.3865336,29,-1247.6,96194.5509261,1236.93,70115.2389287,1236.93,1237.27935874,53014.3865336,22026.9624544,2757.19,1237.27935874,124.286,0.0,28.0352229155,53014.3865336,117758.003768,16.8693,1.0,7601.35007161
30,96412.7811631,30,-1329.17,91237.1327509,1318.34,69430.0700688,1318.34,1318.64356371,96412.7811631,19592.4020519,3253.13,1318.64356371,126.897,0.0,30.8962893506,96412.7811631,117741.248633,16.8694,1.0,7323.19349341
31,111114.580159,31,-1394.72,93223.6276822,1384.0,63908.2683474,1384.0,1384.36341044,111114.580159,21975.0382594,3127.66,1384.36341044,129.239,0.0,31.5021613339,111114.580159,117819.363896,16.8694,1.0,7424.42608825
32,51907.9046348,32,-1451.98,103019.265984,1441.03,69680.8993473,1441.03,1441.38866925,51907.9046348,21568.8286709,3989.83,1441.38866925,131.517,0.0,33.2839695236,51907.9046348,117713.207253,16.8694,1.0,7808.8963193
33,52272.0207979,33,-1510.78,98543.1716579,1499.49,69407.2428191,1499.49,1499.896577,52272.0207979,17773.4664071,4433.68,1499.896577,133.737,0.0,34.9508336889,52272.0207979,117781.223749,16.8694,1.0,7698.76745331
34,109530.402292,34,-1580.57,96042.0419047,1569.09,69377.2232376,1569.09,1569.49343991,109530.402292,16758.8935728,4660.37,1569.49343991,135.782,0.0,35.3822917354,109530.402292,117676.946405,16.8701,1.0,7580.31987922
35,52635.5643472,35,-1645.46,93457.7612994,1633.81,69506.997174,1633.81,1634.21297067,52635.5643472,18339.2425868,4594.08,1634.21297067,137.811,0.0,35.9651543379,52635.5643472,117332.708837,16.8701,1.0,7391.07487491
36,102604.633376,36,-1711.45,107795.822105,1699.68,69176.1372703,1699.68,1700.01939764,102604.633376,15855.2470542,4704.26,1700.01939764,139.735,0.0,37.1972981532,102604.633376,117720.202505,16.8701,1.0,8039.87785173
37,52587.4252771,37,-1767.54,96234.3997281,1755.48,69931.8863375,1755.48,1755.95483244,52587.4252771,16282.0077937,5519.68,1755.95483244,141.54,0.0,39.5207747023,52587.4252771,117853.621261,16.8701,1.0,7650.91347714
38,105917.053765,38,-1848.67,105574.212259,1836.54,69623.6634027,1836.55,1836.97123121,105917.053765,16117.3621271,5159.47,1836.97123121,143.419,0.0,38.2519564085,105917.053765,117811.304064,16.8701,1.0,8008.45524351
39,97736.0164141,39,-1925.52,93812.4788138,1913.34,69765.5312643,1913.34,1913.76209873,97736.0164141,21180.6665432,7077.46,1913.76209873,145.426,0.0,42.4117664452,97736.0164141,117842.989918,16.8701,1.0,7508.233737
40,97264.3494584,40,-1991.31,96116.8300168,1978.85,69330.9070466,1978.85,1979.21397206,97264.3494584,22557.8676543,4819.4,1979.21397206,147.144,0.0,38.8772558055,97264.3494584,117902.197667,16.8701,1.0,7568.57863582
41,48348.4744177,41,-2047.56,93668.3478604,2034.9,69529.3942385,2034.9,2035.43215387,48348.4744177,18475.3861193,7545.4,2035.43215387,148.989,0.0,44.9078800412,48348.4744177,117726.385191,16.8701,1.0,7465.86877373
42,95897.0066472,42,-2106.28,84958.3971176,2093.21,56987.1774592,2093.23,2093.60169891,95897.0066472,22942.3852185,8285.82,2093.60169891,150.904,0.0,45.3502077632,95897.0066472,117949.319115,16.8701,1.0,6959.34150303
43,51218.9760454,43,-2162.23,100986.411538,2149.22,70630.1188557,2149.22,2149.66038497,51218.9760454,15101.4332703,6136.65,2149.66038497,152.359,0.0,42.3079903808,51218.9760454,117841.359815,16.8701,1.0,7867.9002369
44,86738.3881803,44,-2221.42,98312.9622006,2208.42,69268.4487724,2208.47,2208.83583755,86738.3881803,20902.9376799,8283.8,2208.820597,153.965,0.0,45.6134695794,86738.3881803,117800.683102,16.8701,1.0,7608.03709987
45,33059.1897752,45,-2270.81,91077.3008429,2257.51,69253.8859086,2257.57,2258.0441633,33059.1897752,22439.5029166,8418.51,2258.03846158,155.693,0.0,46.4504003381,33059.1897752,117699.843955,16.8701,1.0,7248.03111035
46,76646.6987754,46,-2338.8,105551.957357,2325.53,70091.5069622,2325.56,2325.88098357,76646.6987754,18990.7968926,9081.83,2325.88098357,157.449,0.0,46.9926967949,76646.6987754,117596.595999,16.8701,1.0,7976.78053244
47,99555.9680531,47,-2403.66,110222.332937,2390.04,69381.5736402,2390.04,2390.55771377,99555.9680531,15373.191902,10772.6,2390.55771377,159.038,0.0,50.7172602093,99555.9680531,117887.933479,16.8701,1.0,8161.53199919
48,50675.0724751,48,-2449.2,98343.1709478,2435.79,69343.2541766,2435.84,2436.35708286,50675.0724751,20899.4168101,9812.33,2436.34015004,160.647,0.0,50.3698621908,50675.0724751,117844.506474,16.8701,1.0,7631.06946682
49,93838.5188464,49,-2509.23,79210.8447179,2495.81,69305.7705807,2495.88,2496.33650912,93838.5188464,15893.439065,10347.4,2496.32525607,162.188,0.0,50.493604767,93838.5188464,117529.864418,16.8701,1.0,6722.79975165
50,65708.3075556,50,-2554.8,98556.8222667,2541.34,70200.5267703,2541.34,2541.87052467,65708.3075556,20374.1302061,11557.6,2541.87052467,163.834,0.0,52.5980954524,65708.3075556,117669.730024,16.8701,1.0,7709.82295076
51,51776.5706632,51,-2614.97,98235.3125733,2601.58,69314.8269292,2601.58,2601.92631791,51776.5706632,20841.7711921,9206.38,2601.92631791,165.348,0.0,49.4575088058,51776.5706632,117698.129457,16.8701,1.0,7587.49412169
52,104091.378725,52,-2667.25,98565.9643111,2653.89,69913.1033706,2653.92,2654.39625256,104091.378725,17647.3011021,10837.6,2654.39625256,166.916,0.0,52.6945990337,104091.378725,118012.513083,16.8701,1.0,7742.0289978
53,51622.7797892,53,-2721.71,89832.6881123,2708.5,55471.8155957,2708.55,2708.93165527,51622.7797892,21711.8010479,10129.7,2708.92029009,168.335,0.0,52.2261396533,51622.7797892,117608.911178,16.8701,1.0,7231.41919142
54,89948.4073038,54,-2773.01,91359.1117993,2759.79,69804.2238802,2759.79,2760.29913762,89948.4073038,19654.8233157,11331.5,2760.29913762,169.874,0.0,53.1052317988,89948.4073038,117517.983783,16.8701,1.0,7383.66302293
55,70909.8655325,55,-2845.88,91368.7004018,2832.74,69442.7592943,2832.76,2833.23899414,70909.8655325,16523.4676155,10666.8,2833.23899414,171.354,0.0,53.2878238687,70909.8655325,117356.149312,16.9462,1.0,7392.18182597
56,95747.8968019,56,-2889.43,88699.8000402,2876.37,67881.7154492,2876.37,2876.79956033,95747.8968019,23460.9550176,10807.8,2876.79956033,173.025,0.0,53.5075595545,95747.8968019,117709.420183,16.9466,1.0,7128.87410582
57,53934.6335457,57,-2942.79,88766.0201565,2929.6,69255.0154709,2929.61,2930.10504651,53934.6335457,20978.1817859,12721.1,2930.10504651,174.453,0.0,55.8848605559,53934.6335457,117896.729909,16.9466,1.0,7166.18583888
58,97004.2418768,58,-3009.26,98330.7679292,2996.15,69598.3186106,2996.2,2996.63523649,97004.2418768,20639.0514865,15546.1,2996.63469019,175.986,0.0,59.7700289618,97004.2418768,117295.572843,16.9466,1.0,7625.82072332
59,99786.3446576,59,-3068.04,95864.642886,3054.94,68953.2939002,3054.94,3055.48745397,99786.3446576,20131.7078554,14755.5,3055.48745397,177.629,0.0,58.1464748432,99786.3446576,117812.862256,16.9466,1.0,7478.61759459
60,53034.9140991,60,-3099.08,98428.1171664,3086.01,69402.2605425,3086.09,3086.55405376,53034.9140991,20901.9989804,19164.3,3086.55405376,179.277,0.0,61.7035779027,53034.9140991,117830.328648,16.9466,1.0,7665.05288025
61,83530.7399689,61,-3143.97,98054.0148694,3131.08,66799.1861017,3131.12,3131.72015878,83530.7399689,18354.9446464,20638.6,3131.7187675,180.589,0.0,64.1956065886,83530.7399689,117605.211361,16.9466,1.0,7581.41638216
62,79491.8732391,62,-3193.13,88910.3584411,3180.24,69372.1084643,3180.24,3180.71545163,79491.8732391,20945.7944011,17924.6,3180.71545163,182.015,0.0,61.6458716637,79491.8732391,117999.750774,16.9466,1.0,7239.34458724
63,54969.8635207,63,-3232.61,86557.3082342,3219.73,69495.5055987,3219.8,3220.18588023,54969.8635207,21217.2905566,12371.4,3220.18588023,183.198,0.0,58.2049453629,54969.8635207,117433.477677,16.9466,1.0,7112.1884619
64,70920.8760087,64,-3272.97,96069.3390339,3260.31,70118.7989381,3260.41,3260.79345359,70920.8760087,19518.4563645,15633.2,3260.76301477,184.749,0.0,62.0890132989,70920.8760087,117383.621224,16.9466,1.0,7579.84312801
65,31189.097785,65,-3314.94,96045.5929376,3302.26,69031.5842834,3302.26,3302.80968128,31189.097785,22483.5508491,17187.1,3302.80968128,186.239,0.0,63.3854612549,31189.097785,117787.427692,16.9466,1.0,7535.79557001
66,103105.542526,66,-3379.28,98602.149138,3366.66,69800.105836,3366.72,3367.10806051,103105.542526,20564.9300646,14166.2,3367.10806051,187.619,0.0,61.5298714456,103105.542526,117965.956241,16.9466,1.0,7733.4979702
67,92964.6832723,67,-3448.88,91246.339115,3436.56,69257.6467011,3436.62,3437.16327025,92964.6832723,19754.7754818,19870.5,3437.16327025,189.021,0.0,66.3414579985,92964.6832723,117632.868304,16.9466,1.0,7324.14193799
68,99772.6878583,68,-3493.05,91804.5309875,3480.67,70098.7663254,3480.68,3481.22629631,99772.6878583,21778.1294209,18645.9,3481.22174381,190.408,0.0,66.5117710787,99772.6878583,117380.416171,16.9466,1.0,7476.35289285
69,108310.003477,69,-3552.87,100666.928884,3540.75,66820.8382374,3540.75,3541.28388266,108310.003477,18978.3788905,20222.8,3541.28388266,191.673,0.0,66.4565377242,108310.003477,117930.246973,16.9466,1.0,7758.23585912
70,64537.5990203,70,-3592.84,88889.6321181,3580.69,69358.1852288,3580.76,3581.10432751,64537.5990203,20504.926463,21331.0,3581.10432751,193.09,0.0,67.9816309273,64537.5990203,117805.413537,16.9466,1.0,7231.51749431
71,102943.627821,71,-3656.39,96019.4219524,3644.18,69406.5579431,3644.2,3644.85106584,102943.627821,22442.6415541,24137.7,3644.80517655,194.481,0.0,69.7190554042,102943.627821,117829.555555,16.9466,1.0,7522.29792317
72,52569.0003486,72,-3674.33,93638.6490954,3662.4,69297.9686295,3662.4,3662.88798421,52569.0003486,18393.1126166,23402.0,3662.86864394,195.856,0.0,70.4336216768,52569.0003486,117527.489536,16.9466,1.0,7462.88626725
73,63906.0428422,73,-3720.59,86751.8027897,3708.6,69301.5087976,3708.67,3708.97438337,63906.0428422,18684.0769184,22067.4,3708.92837765,196.989,0.0,68.2259354317,63906.0428422,117740.91599,16.9466,1.0,7191.89898263
74,61918.7457301,74,-3745.64,102967.230693,3733.75,69325.9475187,3733.94,3734.64094539,61918.7457301,15773.7241862,23815.4,3734.56650804,198.181,0.0,70.1664450903,61918.7457301,117524.612664,16.9466,1.0,7818.8946462
75,31543.7443779,75,-3768.07,103162.2281,3756.16,69559.0504023,3756.28,3756.57899252,31543.7443779,19130.2621973,20287.5,3756.56171572,199.48,0.0,66.9829738986,31543.7443779,117829.671932,16.9466,1.0,7874.16701444
76,51991.601663,76,-3792.47,98484.4004987,3780.61,69901.2475273,3780.66,3781.09330865,51991.601663,20696.6990637,23577.2,3781.09063255,200.677,0.0,68.5859050255,51991.601663,117763.659721,16.9466,1.0,7690.17506308
77,63166.682425,77,-3831.68,98340.136314,3820.05,69277.4896486,3820.06,3820.59982889,63166.682425,23425.9268514,28129.1,3820.59982889,201.854,0.0,73.4547054384,63166.682425,117845.602991,16.9466,1.0,7600.2850068
78,90718.4462747,78,-3870.15,89583.1929142,3858.39,70365.8434678,3858.39,3859.17129968,90718.4462747,17168.8734325,31024.2,3859.17129968,203.366,0.0,76.9079795277,90718.4462747,117688.400657,16.9466,1.0,7438.44036271
79,52227.6344601,79,-3892.22,88992.5654008,3880.38,69603.1883482,3880.48,3880.90202002,52227.6344601,20819.0731472,29772.6,3880.90202002,204.519,0.0,76.0526781468,52227.6344601,117733.779352,16.9466,1.0,7256.10980801
80,84019.1250595,80,-3948.36,93477.5399877,3936.55,69260.1375919,3936.57,3937.24599918,84019.1250595,18403.5505322,22864.6,3937.2324169,205.709,0.0,71.4727350495,84019.1250595,117512.711662,16.9466,1.0,7391.01965932
81,77749.3417394,81,-3992.72,91076.6480212,3980.94,69342.1787631,3980.94,3981.41059469,77749.3417394,22492.7405664,25826.0,3981.38732528,206.977,0.0,74.1683744742,77749.3417394,117668.781891,16.9466,1.0,7242.88683488
82,93240.7016291,82,-4050.94,98215.5645945,4039.25,69782.1348606,4039.32,4039.88502243,93240.7016291,20518.2498948,29127.6,4039.88502243,208.236,0.0,77.5519501692,93240.7016291,117145.313969,16.9466,1.0,7591.52698325
83,110101.61706,83,-4109.99,89070.5282545,4098.2,69554.242432,4098.33,4098.86813559,110101.61706,17523.3612064,22533.5,4098.73965629,209.616,0.0,71.2107883738,110101.61706,117529.632001,16.9466,1.0,7299.05147282
84,100510.619811,84,-4163.76,91426.6637891,4152.11,69067.8934718,4152.16,4152.61184239,100510.619811,19591.5228852,21331.1,4152.61184239,210.739,0.0,70.4924883287,100510.619811,117788.210813,16.9466,1.0,7383.87567477
85,90430.2437607,85,-4203.75,84297.1482622,4192.29,69281.5887228,4192.31,4192.80860981,90430.2437607,19002.1761942,26539.5,4192.77920184,211.936,0.0,74.6577863102,90430.2437607,117591.391873,16.9466,1.0,7046.55040915
86,109678.044859,86,-4255.36,88934.3810916,4244.0,69484.8165589,4244.05,4244.5512765,109678.044859,20671.0298798,23076.9,4244.5282848,213.199,0.0,73.8422040732,109678.044859,117237.774012,16.9466,1.0,7213.02566421
87,55057.7778583,87,-4271.8,88866.425477,4260.54,68859.0746212,4260.76,4261.20006056,55057.7778583,17818.1907568,25934.1,4261.01991632,214.351,0.0,76.5035737895,55057.7778583,117823.266705,16.9466,1.0,7235.82685967
