AverageY,MaxReturn,MaxEsReturn,Epoch,AverageDiscountedReturn,AverageAbsQYDiff,MinEsReturn,Iteration,QFunRegParamNorm,AverageReturn,AverageAbsQ,AveragePolicySurr,StdEsReturn,AverageAction,PolicyRegParamNorm,AverageQ,AverageAbsY,MinReturn,AverageQLoss,StdReturn,AverageEsReturn
5.33810310019,557.578038749,-391.440618838,30,32.3866265145,0.523566123939,-391.440618838,30,25.423,469.109753943,5.33857,-6.17181,0.0,0.713228,24.7063,5.33273,5.35046113984,266.728468258,0.61125,74.9530342566,-391.440618838
5.99921282451,724.285148295,33.5182575368,31,37.2046700777,0.524983146532,33.5182575368,31,25.87,580.396001536,5.99746,-6.8299,0.0,0.758972,25.1776,5.99302,6.0074003065,-128.359357696,0.611179,241.827153714,33.5182575368
6.65668518712,763.351628313,387.832089116,32,30.1080253972,0.527536997889,387.832089116,32,26.3387,542.667685699,6.65465,-7.49492,0.0,0.763433,25.4841,6.65096,6.66441423221,-405.313632868,0.603724,326.775116927,387.832089116
7.29766497762,735.153859836,309.737443591,33,39.4893039179,0.52904872622,309.737443591,33,26.6913,441.845829897,7.29608,-8.11036,0.0,0.767585,25.8916,7.29194,7.30600783268,-374.628741834,0.596034,329.074163718,309.737443591
7.99320281452,727.255595853,459.9477295,34,51.2481870163,0.54096285996,459.9477295,34,27.1427,469.803233245,7.99051,-8.79896,0.0,0.716978,26.1863,7.98814,7.99974325,-254.072884698,0.621109,365.445577399,459.9477295
8.65705819692,706.572743556,358.625796475,35,41.31545878,0.544376641549,358.625796475,35,27.5872,360.500106137,8.65566,-9.46132,0.0,0.70288,26.5257,8.65218,8.66443561454,-382.035773226,0.625729,462.672297109,358.625796475
9.3432142714,674.481160257,459.686835344,36,50.0141904585,0.551566409526,459.686835344,36,27.9699,437.222872156,9.34057,-10.1336,0.0,0.728905,26.8712,9.33724,9.35020565524,-343.240131321,0.646325,341.357003612,459.686835344
10.0186369095,565.799289269,499.401551591,37,38.6850838456,0.554333580207,499.401551591,37,28.3565,347.122532589,10.0182,-10.8594,0.0,0.763283,27.1299,10.0131,10.0264391231,-404.071242772,0.65131,365.254933425,499.401551591
10.789511054,756.368268545,460.57686945,38,61.0551003635,0.561400851179,460.57686945,38,28.7401,706.723396916,10.7875,-11.6429,0.0,0.691231,27.4456,10.7844,10.7949326712,603.897974748,0.676531,42.164474698,460.57686945
11.5759793659,777.535315046,512.299209068,39,45.2262016676,0.580985377659,512.299209068,39,29.1523,505.785428521,11.5759,-12.4466,0.0,0.726618,27.7728,11.5707,11.5845928527,-124.593560797,0.749449,371.643748029,512.299209068
12.356947865,788.423683499,550.205507122,40,61.6206094935,0.591050008435,550.205507122,40,29.5202,741.445166388,12.3554,-13.2411,0.0,0.736469,28.0349,12.3519,12.3626751853,695.972567114,0.750309,27.6848551896,550.205507122
13.1814007801,780.582904944,508.36138677,41,46.9310185625,0.602796434462,508.36138677,41,29.852,638.964023591,13.1806,-14.0381,0.0,0.711429,28.3281,13.1751,13.1902886338,151.867717194,0.798637,169.982826622,508.36138677
13.9824859929,903.082268013,558.961888128,42,75.623520226,0.610199035988,558.961888128,42,30.1989,827.247322097,13.983,-14.8562,0.0,0.722066,28.6345,13.9776,13.9906760647,493.465564157,0.853356,114.724234448,558.961888128
14.8016923076,862.322687438,503.17325575,43,38.0443239265,0.617245232053,503.17325575,43,30.5431,690.015879493,14.8022,-15.7138,0.0,0.729133,28.9061,14.7955,14.8101926799,24.5796044227,0.859591,232.23897769,503.17325575
15.6831499553,901.171300596,533.938177362,44,66.0946416697,0.618839664876,533.938177362,44,30.8498,841.651744772,15.6817,-16.6037,0.0,0.720927,29.1475,15.6772,15.6895874138,737.408955289,0.886557,50.5334673519,533.938177362
16.5177942222,1092.98356571,553.825365246,45,69.6022415277,0.632370038008,553.825365246,45,31.1701,1008.51761412,16.5166,-17.4326,0.0,0.745937,29.4159,16.5117,16.5234224792,929.164114443,0.976111,53.4278119426,553.825365246
17.3977987993,1088.06358323,653.241881727,46,88.8304594777,0.636390631588,653.241881727,46,31.4386,1007.43100962,17.397,-18.3234,0.0,0.726213,29.6428,17.3928,17.4029920152,922.774779642,0.948081,51.4466075607,653.241881727
18.2531445846,1089.18373264,676.18109692,47,84.5294875427,0.64146452376,676.18109692,47,31.754,1053.47541064,18.2501,-19.1682,0.0,0.744565,29.9037,18.2467,18.2574233173,978.683100565,0.971524,33.015938858,676.18109692
19.1335243122,1072.53136851,688.077191539,48,71.1813822875,0.648608312415,688.077191539,48,32.1137,770.988348987,19.1305,-20.0543,0.0,0.757151,30.1856,19.1273,19.1376269308,-284.315903283,1.03783,479.318106033,688.077191539
20.0653867038,1048.85413135,584.808416024,49,68.3381904364,0.671071660938,584.808416024,49,32.4072,934.122445504,20.0622,-20.9958,0.0,0.770152,30.4287,20.0596,20.0689066464,476.497166669,1.09703,156.186214149,584.808416024
20.9278009561,1057.01164968,648.66120284,50,84.7445678365,0.676548040271,648.66120284,50,32.6783,995.799261291,20.925,-21.8726,0.0,0.729065,30.6806,20.9225,20.9306027231,785.764433848,1.2267,74.6941891904,648.66120284
21.8601651732,816.47526415,669.996157903,51,53.9743440469,0.691043435938,669.996157903,51,32.8965,752.35258691,21.8571,-22.8033,0.0,0.825955,30.9364,21.8545,21.8632906702,689.081051747,1.25821,45.9959991269,669.996157903
22.7992125136,783.398439684,643.470777267,52,50.0774613289,0.700766378634,643.470777267,52,33.185,667.674887431,22.7957,-23.761,0.0,0.818345,31.1478,22.7935,22.8019427163,480.969637136,1.31121,99.7408505715,643.470777267
23.6781344913,1042.08808068,697.170090899,53,69.1392629426,0.709540328636,697.170090899,53,33.4774,728.390050223,23.6752,-24.6371,0.0,0.818827,31.3727,23.6722,23.6816659748,12.8840428231,1.41297,274.944042675,697.170090899
24.6308252914,942.664866138,630.205949062,54,65.8347020463,0.713608131872,630.205949062,54,33.7551,847.296694773,24.6296,-25.5983,0.0,0.822595,31.598,24.626,24.6356381798,767.302913743,1.46813,46.3533112728,630.205949062
25.5672514731,986.756098939,686.531734081,55,69.019628723,0.716129343684,686.531734081,55,34.0238,864.15392046,25.5638,-26.5182,0.0,0.805576,31.8205,25.561,25.570810776,755.12077531,1.40349,67.7392545984,686.531734081
26.4623414073,978.629243995,707.876083055,56,82.8010248427,0.720238803502,707.876083055,56,34.2733,899.553851666,26.458,-27.4154,0.0,0.79741,32.066,26.456,26.4652915853,830.734535626,1.38162,45.8940485681,707.876083055
27.4045633207,1132.25045547,711.219812025,57,72.4304512672,0.73824676967,711.219812025,57,34.5548,970.878376498,27.4002,-28.3684,0.0,0.817299,32.2784,27.3986,27.406821679,-21.8727029344,1.53825,333.823819425,711.219812025
28.2852393631,1048.18766095,730.677415841,58,64.0312749035,0.752473479239,730.677415841,58,34.7766,901.63345981,28.2804,-29.2676,0.0,0.809267,32.4839,28.2793,28.2877159218,612.500725298,1.79347,146.837467156,730.677415841
29.2514481795,960.982477511,682.07522046,59,71.1201415539,0.75135431805,682.07522046,59,35.0446,901.923311095,29.2469,-30.2319,0.0,0.808236,32.6319,29.2458,29.2531154617,835.164622397,1.66551,44.0992131823,682.07522046
30.2315733306,1227.12980106,655.966334962,60,82.9077272448,0.775641637675,655.966334962,60,35.2521,1083.9185406,30.2265,-31.2108,0.0,0.792895,32.7878,30.2253,30.2331076657,470.168917836,1.93357,209.356090144,655.966334962
31.1458304562,1172.6329496,746.424302611,61,73.2790368756,0.77798447511,746.424302611,61,35.4797,902.201232612,31.14,-32.133,0.0,0.798324,32.963,31.1394,31.1469112205,66.7038003435,1.90932,381.728541478,746.424302611
32.1604960604,1139.18227939,695.564979223,62,71.2061453048,0.767473700705,695.564979223,62,35.7058,925.413648442,32.1561,-33.169,0.0,0.820944,33.2015,32.155,32.1622529466,-331.650177576,1.71751,421.726691482,695.564979223
33.0925272892,1154.67996388,676.112024609,63,91.5907628607,0.79080151561,676.112024609,63,35.9259,1068.05086618,33.0864,-34.0882,0.0,0.83653,33.4329,33.0861,33.0934688843,994.084936072,2.00961,46.4391491204,676.112024609
34.0387114961,1087.92995466,783.453231409,64,57.0878373262,0.809326517628,783.453231409,64,36.1587,826.165693852,34.0335,-35.0176,0.0,0.824241,33.6894,34.0326,34.0398592102,-335.621761804,2.08727,398.287676271,783.453231409
34.9685384006,1101.52752247,688.892578593,65,81.6053236889,0.81994000269,688.892578593,65,36.4182,921.093204227,34.9634,-35.9513,0.0,0.839829,33.937,34.9628,34.9695455279,-308.008241543,2.28625,411.880844251,688.892578593
35.9006503694,1146.80616158,713.145089481,66,80.0049089887,0.836533189691,713.145089481,66,36.6953,1056.88135136,35.8944,-36.8957,0.0,0.813955,34.1711,35.8943,35.9015296288,932.692622963,2.45745,67.0621719663,713.145089481
36.846470589,1123.99241544,719.598526316,67,83.541740056,0.846980113463,719.598526316,67,36.9049,1059.49168698,36.8399,-37.8607,0.0,0.835079,34.3284,36.8395,36.8472092803,997.977483781,2.35758,40.4392443948,719.598526316
37.8037221151,1117.2896969,728.647555301,68,83.1854745343,0.85134674856,728.647555301,68,37.1587,1025.72885275,37.7975,-38.8061,0.0,0.826782,34.5499,37.7972,37.8043712333,897.447492513,2.54453,71.203302472,728.647555301
38.7873489396,1089.86057523,732.203525306,69,77.4526316386,0.855613044309,732.203525306,69,37.3409,1005.41567227,38.7808,-39.7985,0.0,0.823162,34.725,38.7807,38.7877123466,847.241982371,2.51587,65.7403238335,732.203525306
39.670976825,990.5776479,727.736255956,70,74.6628567836,0.870612510906,727.736255956,70,37.545,961.606482865,39.6641,-40.6849,0.0,0.848749,34.9373,39.664,39.671456845,921.777097757,2.89859,17.833867483,727.736255956
40.6157292867,1275.28346687,757.312980297,71,98.583238288,0.858321006362,757.312980297,71,37.8027,1217.13243179,40.6097,-41.623,0.0,0.82809,35.168,40.6096,40.6161148658,1170.67012791,2.55001,32.8489937932,757.312980297
41.5478656549,1063.63981359,780.976481637,72,74.25267337,0.870840041099,780.976481637,72,38.029,853.571981398,41.5421,-42.5252,0.0,0.822183,35.4249,41.5419,41.5485235087,-414.769367544,2.72033,425.854040617,780.976481637
42.2823788797,1184.4047639,755.501710221,73,98.1128213884,0.893963900314,755.501710221,73,38.261,1081.4778019,42.2754,-43.2556,0.0,0.791604,35.6142,42.2754,42.2826414723,1008.49562343,2.97167,43.7491883137,755.501710221
42.9601509607,1195.19094537,-281.418444395,74,92.5648731801,0.854819606022,-281.418444395,74,38.4231,1116.95628091,42.9545,-43.9493,0.0,0.845192,35.8374,42.9545,42.9603840656,1041.70726603,2.29068,38.9606924541,-281.418444395
43.8710065649,1130.48094968,646.941774242,75,83.0211357307,0.911474068546,646.941774242,75,38.6052,1054.24366114,43.8643,-44.8495,0.0,0.840596,36.0147,43.8643,43.8714338855,1004.84301484,3.4065,36.5009256919,646.941774242
44.7124476462,1237.75898987,777.661690232,76,87.1347861498,0.88334295362,777.661690232,76,38.7876,1118.61756057,44.7063,-45.7051,0.0,0.84756,36.2847,44.7063,44.7128745718,987.445080052,2.8597,73.9676596512,777.661690232
45.6030264289,1183.33122627,777.640795563,77,77.5738987054,0.916009513916,777.640795563,77,39.0136,999.675082512,45.5955,-46.5885,0.0,0.834787,36.5399,45.5955,45.6036017828,-105.28156965,3.40723,369.55978438,777.640795563
46.4962621868,1218.98997293,786.622438271,78,100.027573625,0.935932880933,786.622438271,78,39.2243,1133.44420796,46.4884,-47.4812,0.0,0.836823,36.7351,46.4884,46.4967482257,1038.92849837,3.6657,58.3471728959,786.622438271
