Iteration,AveragePolicySurr,StdReturn,AverageAbsY,StdEsReturn,Epoch,MinReturn,PolicyRegParamNorm,AverageQ,AverageQLoss,AverageDiscountedReturn,AverageAbsQ,MaxReturn,MinEsReturn,AverageY,AverageAbsQYDiff,AverageEsReturn,AverageReturn,MaxEsReturn,AverageAction,QFunRegParamNorm
34,-26.3586,208.730617525,24.8498188094,95.8658836751,34,50.6992466759,25.3118,24.2121,5.40895,98.6354516194,24.8391,973.956889314,205.867347302,24.2248696075,1.20202088698,310.937443084,335.1185022,466.366694208,0.873108,28.2234
35,-27.9173,70.6823142022,26.3679475439,115.694192636,35,36.6110765454,25.6331,25.7744,5.83002,110.02928209,26.3635,510.599605616,64.3935045274,25.7807287452,1.25577548511,197.345265757,241.182411011,382.75276392,0.877225,28.8348
36,-29.1212,45.3534577605,27.7122831276,91.7000468827,36,111.589780766,25.9713,27.1065,6.02346,120.501894827,27.7012,425.423287537,160.529070143,27.1182335509,1.30248057326,251.292630038,240.266632321,409.469112064,0.839148,29.4428
37,-30.3055,199.635690961,28.7052193755,156.573194831,37,-2.73747473431,26.3425,28.1074,6.53848,86.7033591258,28.7007,800.725917656,23.3127993824,28.115814743,1.35825635834,193.939220836,338.669494197,499.117122544,0.871021,30.0119
38,-31.6201,119.149808512,29.9995673855,80.0861391111,38,144.575710004,26.665,29.4038,7.10731,111.12394641,29.9888,709.948369791,46.348083773,29.4160654488,1.43779659618,149.147897019,296.081825315,285.21371476,0.852747,30.5942
39,-33.1679,65.4179595312,31.4490326367,82.8674364029,39,61.4231537705,26.9922,30.9002,6.90299,115.726729286,31.4436,421.441343393,-49.4211550216,30.9129881048,1.47089410014,59.0737263845,245.285691514,194.142453874,0.827749,31.145
40,-34.4736,164.637207739,32.6575476226,105.89356726,40,2.74438116285,27.4693,32.1037,6.68422,85.8746925873,32.6452,730.821865498,23.9744966201,32.1164878069,1.46360470914,211.144466297,232.798845458,325.982991061,0.867718,31.6841
41,-35.6965,185.539245106,33.9648028923,98.9087867559,41,23.1482710227,27.8275,33.433,7.89233,80.4623251459,33.95,826.886180828,-1.8215557131,33.444502942,1.58665495599,56.290288643,303.540538036,276.061019755,0.84421,32.2838
42,-36.8895,59.8314523725,35.1205277546,166.799992348,42,149.815489084,28.0809,34.5938,7.53086,122.272952944,35.1085,459.444893988,-11.5275112645,34.6066012439,1.59706815254,160.077982958,316.765812385,440.531878779,0.809318,32.7825
43,-37.982,64.0792322392,35.9578341699,75.8784685705,43,112.078541017,28.3866,35.4778,9.10854,108.245377006,35.9462,581.380758571,-25.5594027665,35.4903123456,1.68648314941,78.5527419295,219.217306278,210.605839773,0.853283,33.3549
44,-39.3239,48.1421688892,37.3357821794,121.87303375,44,-139.266660657,28.7013,36.8264,7.99758,6.25297776484,37.3123,195.575877857,-29.0836790305,36.8397406203,1.69281343162,59.9688351643,2.54079312065,345.410574932,0.859282,33.8418
45,-40.3996,1.56337930574,38.4481696726,60.1199930153,45,-14.1430972438,29.0531,37.9572,8.91976,-7.17458385341,38.4223,-6.34283097808,-16.550333991,37.9700298078,1.76355230138,50.3163003106,-10.6002585919,170.263827873,0.883093,34.3032
46,-41.1423,2.33575595369,39.1543546858,12.408750848,46,-15.508831821,29.3195,38.6837,9.63859,-8.10759732072,39.1328,-6.03511832134,-33.9394753462,38.693642474,1.8488913628,-10.1238115058,-10.177826553,28.1545813284,0.845567,34.7696
47,-41.6789,1.1539086337,39.6823738405,4.92372496459,47,-17.4907596906,29.5606,39.2432,10.8703,-11.3091684625,39.6538,-10.5558947423,-15.4213918386,39.2582412842,1.91068351769,-6.62544408243,-13.5595325802,6.33869486166,0.846895,35.2155
48,-42.4616,1.47486872034,40.3858662376,4.0298052735,48,-18.3914102864,29.7769,39.9719,11.1766,-12.1751642619,40.3604,-12.3325601041,-15.6672877637,39.9837625802,1.94064648303,-9.8790662121,-15.5052038177,-3.1873796083,0.791367,35.5844
49,-42.8866,1.2944502648,40.8260043602,7.80820492637,49,-18.7987270125,29.9818,40.4026,12.1166,-13.421162465,40.7928,-12.5386675469,-17.3790597758,40.4189018837,1.99300267517,-9.47076604087,-16.642070442,20.4719135468,0.807627,36.0374
50,-43.6547,1.53462108527,41.5845436108,3.7159095466,50,-17.7648566773,30.2494,41.1785,12.0563,-11.8520889361,41.5612,-9.275801212,-15.3473434752,41.1871347355,2.00837962896,-11.0665181748,-13.8252975026,0.524542709832,0.803299,36.3928
51,-44.3095,0.90024892036,42.2907872269,5.20670875195,51,-17.91368251,30.515,41.8731,12.4448,-10.9074146561,42.2638,-10.4278926151,-17.9375122007,41.8879730079,2.03600226702,-11.3728673401,-12.2987420784,1.53764065964,0.774972,36.8111
52,-45.0549,1.2604003637,42.9841675238,65.8905644909,52,-13.8229099977,30.6844,42.5632,13.0217,-9.38568987514,42.9598,-7.82550989108,-16.9873602085,42.5790447109,2.08093831072,4.39447594801,-12.0556456879,291.10005387,0.807629,37.2367
53,-45.6803,1.24321230223,43.5547765419,106.653521074,53,-17.4369572868,30.8823,43.1314,13.7583,-12.1685992324,43.5282,-12.2040573138,-15.8650100394,43.1448115156,2.13177385246,38.5584608944,-15.001939005,339.337169894,0.749916,37.6657
54,-46.2849,1.94099697396,44.172123977,18.5307870134,54,-16.7367095409,31.0894,43.7388,14.8488,-10.618645564,44.1421,-8.19234554901,-34.5406579315,43.7525665098,2.15210597529,-4.35585532372,-13.2069786234,50.7950378022,0.735928,38.0166
55,-46.9322,1.66349194443,44.9325126745,51.7470190294,55,-13.9967364804,31.3437,44.5106,15.3613,-7.61415937249,44.9024,-5.75312424192,-16.3451209908,44.5251236552,2.21651954446,5.11682010192,-10.084711585,203.145125674,0.724601,38.4301
56,-47.4673,1.48256673798,45.459602913,5.36909842772,56,-13.5201576224,31.5871,45.0814,14.6055,-7.89197100551,45.4382,-5.48086605396,-19.8612663278,45.0969607123,2.21719293239,-8.7599680024,-11.0904599558,4.22444795104,0.859702,38.8683
57,-48.0119,3.40285700314,46.0522975806,97.6723780483,57,-12.045642244,31.8209,45.6874,17.0792,-6.49620011428,46.0158,-1.32411488322,-13.5385536757,45.7058645725,2.32221313548,38.5029458022,-7.61921832721,280.159985774,0.855029,39.2978
58,-48.5523,136.760614863,46.5244969133,97.0708008449,58,21.4161092144,32.1366,46.1389,15.2055,79.9760916239,46.4902,472.294370815,-32.3451998652,46.1557238439,2.26824898661,81.3104132194,222.967039562,241.716924689,0.847737,39.6622
59,-49.27,195.511446864,47.2407372994,148.193533473,59,299.757348388,32.4073,46.8554,17.0853,102.185747807,47.2018,978.272332212,16.4606863758,46.8705368122,2.36829652931,222.532423749,517.87337783,381.96736966,0.848439,39.97
60,-50.596,225.440340112,48.5211169638,164.479338333,60,258.471722566,32.6327,48.1602,17.6556,98.7851573861,48.4879,1063.51392425,161.887201315,48.1743797253,2.39741521797,332.904145208,970.307398267,602.941050061,0.836327,40.3266
61,-52.0918,64.8233738542,49.8416415406,129.139339154,61,216.509078724,32.8379,49.4986,17.3733,118.590336888,49.7997,552.777617096,66.6694404472,49.5197204207,2.4463367697,206.184424479,286.182141181,390.475473458,0.778044,40.7558
62,-53.1621,87.887958498,50.9153689906,116.306979372,62,129.511278169,33.0379,50.6089,19.5474,115.874736604,50.8792,615.956304284,40.1659095678,50.624885605,2.52367139618,218.054065012,354.413242323,362.317372619,0.813957,41.163
63,-54.1956,214.474143726,51.9396614373,130.167167007,63,325.415878776,33.2258,51.665,20.4455,102.880731663,51.8955,1044.2987925,86.6462501375,51.6851648919,2.54669505725,258.181766234,912.078681378,478.700989044,0.856167,41.5224
64,-55.3092,91.6930502964,52.9779308946,237.593618208,64,38.9875696966,33.5075,52.7129,19.9139,93.9477840612,52.9392,432.867383909,91.4701125031,52.7332688695,2.5605148474,347.358398172,220.161104453,663.894640689,0.790487,41.8912
65,-56.1718,114.745630503,53.8136680596,119.689407598,65,130.223029271,33.7049,53.5571,20.0368,115.941949658,53.7787,999.165168094,7.21484354092,53.5732710553,2.56060292565,159.091767956,325.994123244,364.597489371,0.782993,42.2573
66,-57.599,187.745472818,55.111884021,122.886795284,66,25.5233808304,33.9877,54.8796,20.7819,96.5422455365,55.0833,1006.44216373,46.9133659691,54.9002611828,2.62865517123,188.403950691,258.388132624,337.248085135,0.773971,42.6994
67,-59.334,231.639272371,56.8152456622,114.01827033,67,120.382522526,34.1954,56.6029,21.3331,100.666705219,56.7855,1078.46190941,14.7618985363,56.6256556744,2.70619184214,227.757854347,394.4925418,352.146735042,0.748171,43.1461
68,-59.7554,101.238526255,57.1991737429,149.923002649,68,73.1454155667,34.4417,56.9853,22.5789,98.2588227033,57.1668,596.959486536,30.3379065805,57.0096912564,2.78925172337,165.875284608,238.720208128,375.095488049,0.77793,43.516
69,-61.0285,56.5161353396,58.4597002954,54.1428429251,69,50.7350316522,34.6215,58.2701,21.1011,106.728957263,58.439,352.549698556,39.7462982255,58.2860062731,2.73662654868,118.583205414,217.546059054,206.180353478,0.760837,43.9351
70,-61.9609,188.13054546,59.4071944412,78.2680320012,70,15.6202179738,34.8686,59.2142,23.9181,99.2009499827,59.3935,1043.62735187,28.6369948446,59.2275933865,2.81770781509,143.080373559,332.35722915,255.086301739,0.773457,44.3232
71,-63.041,136.320371448,60.4767390867,106.911135197,71,61.3646287615,35.1204,60.2833,22.4659,104.709724171,60.4612,914.688083767,24.0260457707,60.302431246,2.84498772065,225.789925085,277.79832505,317.363907969,0.833995,44.6588
72,-64.3753,206.831849039,61.7529379579,132.816314172,72,6.11908320105,35.3287,61.5534,26.2051,89.4964546433,61.7361,984.475148085,3.12642709384,61.5757017798,2.95220672203,218.923641305,257.420532767,387.850226729,0.828405,45.1215
73,-65.1311,70.6693314906,62.4682207063,107.597788806,73,115.08008884,35.53,62.2769,26.4092,105.055532239,62.4544,541.592941503,62.4096423721,62.2965866395,2.99019065026,174.857160803,203.717105372,345.109481988,0.794912,45.4888
74,-66.3078,77.6750816825,63.6882812505,150.058249007,74,-6.68648573835,35.6719,63.4738,27.6009,103.789084756,63.6577,347.146088132,4.51080025138,63.5050919113,3.03669678075,171.572027012,228.826820421,470.163251962,0.779392,45.9218
75,-67.832,53.5849083459,65.1984657575,97.9210590545,75,36.3645944487,35.8301,65.0084,27.8709,107.263669541,65.1865,343.77276989,27.6534566824,65.0251946054,3.0818305702,167.200653737,217.085583395,381.876462249,0.850421,46.3015
76,-69.4487,177.668875614,66.7344748813,90.8288805557,76,-20.9504433557,36.0391,66.5312,25.4844,74.5973129409,66.7332,987.660927233,10.3727456141,66.5420112071,3.05737508612,144.789960619,200.435713934,296.301429854,0.86409,46.6382
77,-70.8476,139.803380064,68.0457346822,98.9474490363,77,14.7621397524,36.2303,67.8266,30.6657,93.6921230699,68.0158,504.998241176,29.698684479,67.8620350903,3.18900506648,171.190909833,258.99609394,300.453950343,0.799748,46.997
78,-72.6286,70.8185657904,69.8588759676,79.0263211721,78,87.8556105443,36.4863,69.6486,28.9751,126.800976409,69.8467,595.417029269,35.8276148304,69.6676852473,3.20490860953,192.904325617,274.832479342,328.001051074,0.818919,47.2841
79,-73.5699,77.3983436809,70.7948106534,95.1494466446,79,144.407483164,36.688,70.603,30.2873,116.511117559,70.7761,453.796225005,126.741394676,70.6237078385,3.21788578066,232.885260494,242.512259762,437.785023225,0.853595,47.6242
80,-75.2456,70.5982685324,72.320136703,76.9996344771,80,80.338976588,36.8688,72.108,30.4305,114.396781996,72.2973,526.41965734,8.24131250819,72.1326942861,3.26230225805,117.838771419,238.172659161,266.160418183,0.840615,47.9567
81,-76.6826,34.9989249595,73.6834847891,100.928867908,81,131.458996873,37.0489,73.4719,33.3038,113.996440356,73.6633,364.01337284,43.3185501771,73.4989516027,3.33392427694,194.631010558,199.292415361,315.807223543,0.922273,48.3008
82,-78.2096,63.1220897857,75.1883529895,90.9285475799,82,11.2254562547,37.2127,74.9971,35.855,56.3500974536,75.1727,372.141419855,60.4139674532,75.0215185589,3.45058601363,201.638219337,85.20859215,397.273425712,0.874708,48.6699
83,-80.2592,20.314466964,77.1215898729,62.4336479548,83,144.543496623,37.3463,76.9442,35.4182,105.522045276,77.1234,227.192807959,0.193693567282,76.9583247697,3.44297797972,76.853813816,167.087441271,200.169431517,0.948177,49.0089
84,-81.2896,37.8165716915,78.3211650665,85.2708615716,84,346.264306821,37.462,78.1478,34.6791,137.78057246,78.3104,533.018033849,13.9691484089,78.1774569647,3.45438844169,176.643368879,387.420137289,343.530051014,0.864303,49.347
85,-82.9466,62.6979468311,79.7387583402,102.662758071,85,150.42496908,37.573,79.6008,33.9199,123.026199687,79.7353,470.449103485,-9.04243273531,79.6240501606,3.54861548232,124.267444327,246.180064029,266.544201141,0.883105,49.673
86,-84.7189,55.815501539,81.4090666759,56.7293864548,86,130.239016607,37.7108,81.2768,38.2179,121.76000516,81.3982,418.297729438,0.215848398468,81.2936231149,3.56233122516,98.7033607831,215.999680874,189.647097131,0.91413,49.9713
87,-86.1223,82.0979361096,82.7921209225,151.808656766,87,134.644761668,37.8925,82.6378,37.9972,110.51065742,82.7807,511.73615667,3.58383900846,82.6666521002,3.66712213898,218.962345343,210.370736953,449.455444991,0.925999,50.2603
88,-87.9859,34.9258721119,84.4860393637,56.7245315265,88,120.710043206,38.0757,84.3313,38.977,99.5077823949,84.4821,371.928161351,59.3173129535,84.3565193942,3.72916825019,146.075595609,162.804910495,246.812656792,0.91948,50.5693
89,-89.8299,15.8824944994,86.2014511465,94.4704228438,89,106.027133457,38.2664,86.0508,43.8403,88.1988091158,86.1907,207.928018481,12.5334878968,86.0817395438,3.81344875869,156.331850111,131.474098188,381.632149763,0.929153,50.9442
90,-91.6772,20.3295563767,87.8793784707,68.9034031618,90,99.7605034928,38.4057,87.7301,40.4772,78.0184526747,87.8691,298.112974572,33.3805073663,87.7538809464,3.81867368698,137.506475237,109.888642903,239.250661742,0.904498,51.192
91,-93.3373,66.423577336,89.4808025136,133.306451253,91,52.8625699768,38.5693,89.3252,42.31,85.7880555973,89.4635,557.163935715,66.829986523,89.3538114672,3.85531398788,263.538731819,142.774094071,465.317482436,0.90524,51.5426
92,-95.6826,21.9115073138,91.5739275671,123.398033029,92,112.883193899,38.678,91.4274,43.2217,90.3415919208,91.552,191.799117845,6.66908313989,91.4601951831,3.92242760531,123.518680019,136.046058841,407.744386058,0.889046,51.8864
93,-97.2334,132.118746924,93.1565176054,100.887680136,93,-144.558822916,38.8646,92.9996,41.5046,82.0730216875,93.1349,508.359435179,-1.90858175392,93.0318464633,3.93309239681,141.980469148,136.485977796,290.242486535,0.899657,52.1995
94,-99.9097,94.0500706974,95.5848544096,91.1159499182,94,-174.405550516,38.9972,95.4281,42.8816,75.7012363143,95.5655,397.725882777,17.4755778282,95.4602554877,4.06324783119,157.803850805,126.123050625,264.2888674,0.911982,52.4925
95,-101.398,4.05774635851,97.2886874041,56.9540264782,95,111.844523587,39.0927,97.1208,51.4236,86.0505375054,97.2666,138.862731292,53.0453902123,97.1530006753,4.16911610061,120.740317967,123.925386262,226.050865396,0.913827,52.8251
96,-102.821,5.30207148972,98.5610747217,120.534733919,96,115.585136535,39.2152,98.3787,46.6269,87.3247700895,98.5424,136.695309034,0.216797333359,98.4105991213,4.18267630089,184.137822796,121.336981155,354.648126455,0.895059,53.1972
97,-105.22,2.4977542425,100.744960111,35.7351918435,97,113.42108141,39.3371,100.577,49.0933,79.1322298145,100.729,127.070406963,87.2489489059,100.607317018,4.21742267247,137.682318356,119.128969798,203.390182828,0.903635,53.4386
98,-107.029,15.6646287346,102.633522231,110.694850139,98,114.611260072,39.4787,102.464,51.9977,87.7847096922,102.616,189.001935092,-2.21578172591,102.49965709,4.28898998583,157.38091962,130.582822791,363.000617775,0.91182,53.7287
99,-109.031,85.5358713507,104.636103093,57.6610873593,99,126.280633449,39.6598,104.476,52.5308,107.075861413,104.624,501.964943142,66.9191212692,104.506994466,4.34161771719,139.224959904,201.531198845,273.809840582,0.912158,54.0696
100,-110.127,11.9658572296,105.683607682,54.3055659358,100,127.885591024,39.8202,105.523,52.3916,98.4251048912,105.678,187.038770879,59.6253863878,105.555425546,4.33582138704,157.468728207,155.251127541,260.450175289,0.909056,54.4086
101,-111.481,17.2727296453,107.153420877,50.6967955668,101,122.825811274,39.9809,106.987,53.5055,95.9717316122,107.144,206.561675026,37.6478866269,107.019826814,4.43685955025,134.396597023,148.495120789,198.592838814,0.92297,54.6928
102,-113.359,51.4010048199,109.227607268,124.934394856,102,156.06351853,40.2024,109.089,53.171,124.226514808,109.219,493.132072015,74.692080976,109.117592345,4.37008614703,165.252390611,230.441218107,504.605485777,0.904027,54.9208
103,-114.305,137.16912458,110.094849429,78.5736184132,103,105.402672467,40.3037,109.945,49.8865,107.617398263,110.089,870.337261034,0.102269931516,109.977214603,4.35963052864,123.962482584,213.770515598,301.223597612,0.915873,55.1983
104,-115.47,90.259402536,111.263978856,84.0764792313,104,102.421194191,40.488,111.114,53.8058,102.155740539,111.257,865.478035253,22.6036584747,111.147497452,4.4443761529,143.259978516,170.454005099,351.496308466,0.924228,55.4722
105,-116.796,18.0535109963,112.715939451,73.8702194327,105,135.268398316,40.6462,112.579,56.2351,107.942296909,112.713,221.80972264,2.34405329673,112.609145501,4.43989739378,107.336962467,175.93879888,232.087589374,0.92715,55.7589
106,-117.807,92.8843673066,113.824297239,58.2623596471,106,147.373243961,40.7776,113.681,55.8715,114.352162329,113.812,890.11731921,-1.39325027205,113.713544328,4.41596842684,123.301749529,198.161917872,200.864358662,0.917381,55.9506
107,-118.237,34.6489328114,114.214829315,55.8436513977,107,178.202357176,40.8941,114.078,60.6514,121.442465383,114.2,399.8119677,18.1638305741,114.119630361,4.5281201257,133.597749053,210.567637648,220.944703545,0.911037,56.1687
108,-118.998,75.697271401,115.090536287,61.4070760428,108,-1.04163826852,41.0789,114.967,61.2696,83.1905359695,115.086,401.925253996,44.707815658,114.995436168,4.52335263761,160.464321335,191.210749816,233.642517402,0.876268,56.3673
109,-120.315,8.0811494142,116.367555184,74.4291674319,109,165.376738366,41.212,116.257,60.4211,113.078627098,116.377,216.859640384,37.4132012408,116.282959211,4.56642577176,171.943850872,182.853413521,309.194168145,0.916433,56.5866
110,-121.769,46.2943175424,117.914046981,125.402363084,110,145.380596929,41.4058,117.781,60.2304,124.034568987,117.892,358.784971975,11.9431567381,117.825181265,4.54626456917,176.38016369,240.903249462,381.266047989,0.89795,56.785
111,-122.182,51.8431703835,118.206156585,148.471006338,111,117.061765124,41.5565,118.103,60.9163,101.445089741,118.218,327.950722582,-12.7375780138,118.12006295,4.57280784497,156.730917673,181.688571988,450.32861519,0.905699,57.048
112,-123.102,22.9026062789,119.111867867,88.8865231373,112,72.7688855183,41.7032,118.981,63.24,65.5246431906,119.105,266.82768244,-0.345495457097,119.021118897,4.63097268763,130.155908553,88.0014174424,295.541358773,0.888651,57.2369
113,-124.879,3.39697919774,120.951256373,129.129822901,113,86.046345513,41.8686,120.848,66.6796,70.4808762731,120.949,104.424718791,5.96083385201,120.872621237,4.65381597848,171.107851911,94.5632050852,455.837512039,0.896149,57.4667
114,-125.945,87.5462334565,122.176141962,119.388766827,114,181.985526322,41.992,122.077,61.2965,122.803456082,122.169,548.606581639,1.74810859462,122.10540574,4.61558750642,190.297279343,350.978178966,373.15865099,0.903291,57.6991
115,-126.446,88.7818934216,122.713688833,108.005109206,115,84.0642498339,42.1149,122.608,70.9542,113.256414286,122.722,407.668144021,0.39521656064,122.633293895,4.72794711533,178.39052618,276.800615269,273.269869349,0.855889,57.9071
116,-126.867,35.7665809973,123.175447935,72.1379617917,116,216.574607986,42.2599,123.059,77.2583,118.885096989,123.169,452.881865533,105.678945148,123.092745653,4.7589824496,193.154624734,284.464902145,336.060690213,0.882088,58.1643
117,-128.323,109.084791484,124.700554951,86.7967277676,117,104.808785507,42.3648,124.604,61.8265,105.077044683,124.696,535.432951483,29.9814241939,124.631931816,4.55881684579,173.079532341,302.247216081,309.293000243,0.894595,58.3506
118,-128.357,10.7245596972,124.759787333,120.088864127,118,85.8334418647,42.5388,124.658,65.396,69.911129064,124.766,152.695056215,68.0995055083,124.685686532,4.63199860685,190.612435749,102.003332373,420.571922407,0.878105,58.5824
119,-129.282,71.1944752991,125.755356174,104.719781667,119,130.536020771,42.6581,125.657,63.4312,115.068233952,125.765,397.922000949,-11.3080199112,125.676987107,4.62952546631,137.686099349,261.232080244,320.345872103,0.881791,58.8723
120,-130.373,97.9434497204,126.884027572,147.370131491,120,127.759585958,42.7986,126.77,72.5341,103.242246882,126.876,543.228352795,53.6309755637,126.805736063,4.75446550532,274.376568766,361.262055641,460.052921735,0.916222,59.0759
121,-130.423,92.2530556212,126.826753764,100.388418479,121,-50.5929893361,42.9686,126.712,76.404,78.883815901,126.824,579.699341771,17.6891479512,126.748656266,4.79843679586,110.279731415,144.042609924,341.404737735,0.900235,59.3765
122,-131.61,175.84558407,127.897855884,135.667189904,122,58.6566315825,43.115,127.805,66.9018,87.7101942088,127.916,645.213300178,-0.347625633624,127.819113784,4.66237086459,167.238738329,383.760283104,400.801488985,0.916352,59.6021
