AverageReturn,AverageQ,MinEsReturn,AverageAbsQYDiff,AverageEsReturn,AverageQLoss,Epoch,StdEsReturn,AveragePolicySurr,MaxEsReturn,AverageAction,AverageY,Iteration,PolicyRegParamNorm,MaxReturn,QFunRegParamNorm,AverageAbsQ,StdReturn,AverageAbsY,AverageDiscountedReturn,MinReturn
-15.7861818235,-1.72196,-23.3112397349,2.32833200029,-13.732778314,7.06029,9,3.49302541619,1.1113,1.52831123318,0.71765,0.580775238014,9,11.8655,-14.8588110795,11.6052,1.73322,0.455145952649,0.988377558358,-14.1933350215,-16.6024724171
-11.1165603507,0.0551993,-68.7008912864,0.182809852921,-22.3541698639,0.0948978,10,22.38957021,-0.283603,15.5484497445,0.969829,0.0557000564474,10,12.8785,-10.4200179437,11.6388,0.285416,0.241610842108,0.308116338544,-10.2608207468,-11.9123698485
-1.74246398272,0.287708,-21.8043622036,0.102571621316,-7.46221733703,0.0190484,11,6.66826760726,-0.428101,20.4987162024,0.917839,0.290384337262,11,13.8669,0.555730192469,11.6992,0.306891,1.69275843689,0.317999475406,-1.45881842814,-5.38625885053
155.90117477,0.328994,-4.01228980955,0.0910719068962,4.78874617124,0.0145858,12,8.27319534225,-0.526751,40.6184397913,0.854002,0.33044094333,12,14.5037,951.085170269,11.8082,0.352464,191.152968967,0.362277435489,61.4036485899,33.0303046558
214.573388117,0.39642,15.9275278686,0.0918543324903,117.639382454,0.0150246,13,94.6431921992,-0.598954,319.43771328,0.785194,0.39771577923,13,15.1189,278.858335257,11.9908,0.423821,34.4082700152,0.43257615451,76.9103078577,113.364779433
11.2158517134,0.506127,9.53016006081,0.0845424317028,173.181907566,0.0135147,14,95.1116886193,-0.707374,308.794469441,0.891036,0.507114131414,14,15.7056,40.7735121946,12.2139,0.52628,6.04666040866,0.532209668022,31.0663456068,2.04511635733
106.667493427,0.628213,39.9777706635,0.0775221745873,133.620446014,0.0117634,15,101.060443795,-0.810071,310.906698376,0.913561,0.629004790449,15,16.0197,393.090853136,12.4441,0.643063,44.2079032891,0.646515689786,63.0307872613,68.2020969664
-8.56899339709,0.725203,-67.1305304594,0.0765053595854,30.4739973203,0.0126005,16,124.088862964,-0.907516,372.789402301,0.893078,0.726096326278,16,16.7296,-5.5630034731,12.7582,0.741466,1.27853551517,0.743921954543,-4.79424588003,-15.6226991626
46.8960142434,0.801346,-82.6030715908,0.0752738414142,-30.5246851173,0.0127758,17,23.7486873507,-0.982365,9.92526687583,0.934939,0.802194342912,17,17.2111,406.486572957,13.1587,0.82327,91.5239957247,0.826063311392,43.0028444438,-72.4622835758
123.648176854,0.886671,-24.9825404824,0.0771988609207,113.98884918,0.0137301,18,163.27698392,-1.06328,427.022759435,0.847077,0.88749324306,18,17.7617,456.881534985,13.623,0.910797,96.3588088471,0.913892776767,67.6060020239,58.2939695292
