AverageDiscountedReturn,StdEsReturn,MaxEsReturn,MaxReturn,AveragePolicySurr,MinReturn,AverageReturn,Epoch,AverageAction,AverageQ,AverageAbsQYDiff,AverageAbsY,AverageQLoss,PolicyRegParamNorm,AverageEsReturn,AverageY,MinEsReturn,QFunRegParamNorm,AverageAbsQ,Iteration,StdReturn
86.3366750748,11.9088272004,51.0,1000.0,-15.5269,116.0,239.76744186,26,0.276255,13.422,0.461578726066,13.4214807645,0.905414,26.6229,18.8727272727,13.4214807645,3.0,35.2076,13.4313,26,153.453551371
72.629744877,14.7878223463,74.0,257.0,-16.5734,84.0,134.065789474,27,0.338707,14.3504,0.482680505078,14.3493841618,0.979801,27.2936,16.7118644068,14.3493841618,3.0,36.643,14.3616,27,33.8185310173
57.0926880834,17.6522414921,64.0,198.0,-17.5244,65.0,85.5128205128,28,0.378273,15.2206,0.538720128204,15.2197050063,1.21793,27.6385,21.1914893617,15.2197050063,3.0,37.9686,15.2333,28,17.4241287583
46.1324441331,17.6475380719,81.0,94.0,-18.4913,53.0,61.7469135802,29,0.389327,16.0575,0.568359477502,16.0562344347,1.36174,27.9876,20.38,16.0562344347,3.0,39.2134,16.0731,29,6.30433099063
63.1708319961,14.2046387411,66.0,282.0,-19.4674,64.0,109.456521739,30,0.369174,17.0402,0.57714792777,17.0368745358,1.52443,28.3746,20.0612244898,17.0368745358,3.0,40.699,17.0576,30,51.731416122
78.0880319559,12.364473577,52.0,292.0,-20.4051,123.0,156.796875,31,0.334388,17.8213,0.607845072241,17.8190038532,1.58748,28.6919,16.9661016949,17.8190038532,3.0,41.906,17.8408,31,38.6285110409
73.3153249741,10.1348331881,45.0,255.0,-21.2939,59.0,137.98630137,32,0.410438,18.6472,0.648524206255,18.6446323206,1.82806,29.0367,15.8125,18.6446323206,3.0,43.1491,18.6683,32,36.6712507868
60.5115067228,15.5306082264,91.0,193.0,-22.2968,53.0,98.5196078431,33,0.413823,19.5696,0.674518890216,19.5662120446,1.93295,29.2931,16.1612903226,19.5662120446,3.0,44.3412,19.5933,33,35.6683334022
71.4884293896,13.5109671493,63.0,142.0,-23.2108,113.0,125.025,34,0.368463,20.3783,0.677616897202,20.3748424177,2.04218,29.7224,15.8412698413,20.3748424177,3.0,45.3629,20.4046,34,5.79649678685
77.9892919493,19.4222671903,124.0,281.0,-24.2454,122.0,157.875,35,0.345001,21.3656,0.734274812369,21.361942723,2.36521,30.1194,18.2909090909,21.361942723,3.0,46.5106,21.3926,35,42.9369086568
69.715040359,15.5466347239,85.0,142.0,-25.0917,64.0,119.19047619,36,0.356113,22.1848,0.747369047765,22.1821794564,2.77569,30.3951,17.4181818182,22.1821794564,3.0,47.6397,22.2132,36,7.74669851411
65.4651375477,12.2513857734,67.0,230.0,-25.991,64.0,110.098901099,37,0.262363,22.9534,0.763921221546,22.9497125549,2.70239,30.7896,14.2328767123,22.9497125549,3.0,48.571,22.9854,37,30.9302849367
45.6489333013,14.6061840412,102.0,88.0,-26.8539,40.0,60.9756097561,38,0.285717,23.7689,0.782862353318,23.764826518,2.86145,31.1116,14.1285714286,23.7647974704,3.0,49.6209,23.8015,38,7.88016282139
81.4383483387,14.5676543319,69.0,482.0,-27.6932,109.0,180.178571429,39,0.205117,24.5128,0.810409086289,24.5086929654,3.17905,31.3748,15.453125,24.5086929654,3.0,50.6383,24.5474,39,60.5720076623
73.684897326,12.1665609269,75.0,370.0,-28.6455,67.0,144.542857143,40,0.264016,25.4097,0.854216222366,25.4040995592,3.42035,31.6042,14.7826086957,25.4040995592,3.0,51.7662,25.4468,40,53.208668927
57.2146970767,10.259512659,53.0,193.0,-29.556,54.0,88.5132743363,41,0.307232,26.2094,0.867876477179,26.2043930484,3.66104,31.8409,13.32,26.2042826301,3.0,52.9382,26.2462,41,30.5191409673
48.9009958244,9.31607731758,56.0,118.0,-30.3763,51.0,67.4966442953,42,0.328489,26.9691,0.926098049628,26.9634583317,4.21771,32.0977,12.3670886076,26.9633989049,3.0,53.8568,27.0098,42,12.0667184204
42.3241334621,8.45221589362,43.0,80.0,-31.3615,42.0,55.0,43,0.340699,27.9435,0.911152489511,27.9362186244,4.06215,32.3412,11.6931818182,27.9361732604,3.0,54.9877,27.9853,43,7.03054559964
46.1423916331,10.3175610119,71.0,89.0,-32.1776,48.0,61.9074074074,44,0.360612,28.5861,1.00798533115,28.5791765027,4.93515,32.5643,12.3580246914,28.5790400521,3.0,55.9009,28.6386,44,8.27297068143
52.9703321199,13.7692555968,82.0,182.0,-33.1723,51.0,77.1230769231,45,0.343185,29.4998,0.999761668543,29.491100232,5.17393,32.7909,13.8194444444,29.4909508088,2.0,56.7568,29.5497,45,21.7517516128
38.1256565703,10.5128574917,58.0,52.0,-34.179,43.0,47.7761904762,46,0.403214,30.2705,1.02469269728,30.2646752376,5.05692,33.0286,13.4383561644,30.2646171954,3.0,57.467,30.3302,46,1.42173762294
38.0938395937,11.4632540919,51.0,55.0,-35.0728,43.0,47.7476190476,47,0.394885,31.2114,1.05578582127,31.2075748112,5.4977,33.2284,18.9056603774,31.2073783421,3.0,58.0647,31.2679,47,2.55755073452
35.077526044,13.9543036298,59.0,47.0,-35.9914,40.0,42.9871244635,48,0.461721,32.1159,1.12505977637,32.1081281511,6.26052,33.4517,21.8043478261,32.1072434905,3.0,58.9058,32.1732,48,1.07838970197
