AverageAction,StdReturn,PolicyRegParamNorm,QFunRegParamNorm,MaxEsReturn,Iteration,AverageEsReturn,MinReturn,AverageAbsQ,AverageQLoss,Epoch,StdEsReturn,AverageAbsY,AverageReturn,AverageQ,AverageDiscountedReturn,AverageAbsQYDiff,AveragePolicySurr,MinEsReturn,MaxReturn,AverageY
0.684347,1.69295234726,17.2407,20.2058,187.995540978,19,156.918365296,168.108761678,11.8524,1.13943,19,40.5639440613,11.8550284086,172.52355854,11.8026,111.901337232,0.475762893836,-12.8149,58.0687702962,176.397304852,11.8068597947
0.517609,20.2724199513,18.1741,21.1727,176.984257308,20,141.231708738,98.5984761699,13.5473,1.59935,20,43.7330787849,13.5486740286,107.905854589,13.5065,80.0945497305,0.553976824446,-14.5976,38.8875384862,174.426757944,13.5106511938
0.675823,1.6077696704,19.0826,22.2544,185.002116945,21,146.482445525,167.214103607,15.3243,1.93916,21,42.1577068701,15.3281446782,172.033024682,15.292,111.193740977,0.616146374368,-16.4988,41.9294728109,175.61744815,15.2982066162
0.599136,7.7377899765,19.8525,23.247,202.677623244,22,116.591934005,163.547474733,17.1971,2.37635,22,53.8628871869,17.1993878073,177.598494836,17.1646,112.20122873,0.680245693702,-18.4646,33.5392372009,194.447682231,17.1708068184
0.64736,2.29124866459,20.5022,24.3893,182.835906781,23,137.405065579,165.368192032,19.1259,2.77091,23,42.3815059913,19.1263653872,170.086112006,19.0993,110.002964153,0.72447675121,-20.522,71.4075117097,175.38369863,19.1046301854
0.524429,3.94046122518,21.1762,25.4963,208.599028396,24,165.617465131,171.707653439,21.0882,3.23196,24,29.004498582,21.0918073138,181.517225276,21.0627,113.429086837,0.790365370479,-22.5897,114.821522176,188.29541249,21.0707574068
0.513276,6.31645730828,21.9305,26.5941,193.920319388,25,157.243596802,164.196007903,23.029,3.8494,25,30.7247054351,23.0301534232,179.358322989,23.004,113.462607987,0.862843482543,-24.6271,95.8169858808,190.838995877,23.0107302029
0.567141,6.08035032319,22.561,27.6586,209.201814811,26,142.091503194,174.266036497,25.0086,4.36604,26,51.1864597028,25.0097732097,185.112567254,24.9846,115.167599869,0.916229208711,-26.602,42.4778883436,202.96308219,24.9909819923
0.572879,3.05540165019,23.2513,28.6541,223.980107168,27,155.8609064,153.942468692,26.9876,4.73625,27,47.6404190934,26.9899968162,169.315863321,26.9652,109.836938577,0.96923924845,-28.6905,58.8441619491,174.084087357,26.9724307987
0.54931,5.93287891029,23.8904,29.3607,250.989386386,28,163.75903375,267.431923121,29.0002,4.36889,28,60.5155212378,29.0033341531,283.10545633,28.9771,152.860166702,0.937746451841,-30.6216,23.5482516658,291.297480576,28.9861776355
0.503753,2.32195028316,24.2928,30.2254,362.034350643,29,213.417516992,273.518955045,31.0627,5.92416,29,108.630864467,31.0651744877,277.887718021,31.0377,148.627686915,1.05771646354,-32.783,40.2721470244,283.643572069,31.0477609195
0.349293,1.51569437584,24.6595,31.0864,363.885725968,30,200.337331443,317.179263189,33.2971,6.63154,30,107.020963252,33.2965605376,320.006306474,33.2743,158.616281551,1.09730516017,-35.143,28.1464600515,324.587650245,33.282795584
0.588467,3.78787236647,25.1331,31.9483,440.238954486,31,247.412652301,345.972033697,35.5183,7.48388,31,130.584179636,35.5148758283,358.000157254,35.4933,175.412449309,1.1869926663,-37.4735,72.2359881873,367.065727139,35.5016786302
0.542389,19.3410287893,25.6019,32.7646,468.120646944,32,243.341619164,240.770025862,38.0266,9.25833,32,134.874724572,38.0217351487,260.583419023,37.9987,144.680634117,1.24717538957,-39.9598,53.7698669197,356.89297396,38.0087192872
0.562255,6.14315260136,26.1829,33.654,422.784151741,33,238.243049613,276.225939466,40.4802,10.7721,33,122.547923189,40.4796735414,287.058270752,40.451,153.252986419,1.36506905538,-42.6394,62.4207074972,300.599146145,40.4648866415
0.575999,73.1554172764,26.79,34.4057,397.472806493,34,254.199184746,533.508798569,43.0961,9.87108,34,87.6051358614,43.0856036698,638.4824096,43.05,206.387416394,1.38376391196,-45.293,69.9997208853,842.501358618,43.0642951166
0.511155,176.886852857,27.3375,35.2256,367.189420646,35,179.047806619,147.954341353,45.4061,11.6555,35,99.2114312557,45.3906965817,314.82534904,45.3513,143.345428006,1.4694471795,-47.6963,42.7494737957,947.718665846,45.3591287633
0.493276,568.194488928,27.7551,36.1947,545.90761857,36,179.426462319,299.666870563,47.9412,14.8761,36,156.753591913,47.9279931,709.393416198,47.884,186.959637262,1.6172663451,-50.3277,14.3865874196,3117.77389766,47.8979397228
0.570535,130.978131599,28.0702,37.0759,456.988654548,37,231.688546498,222.249213505,50.617,15.0271,37,152.490571829,50.5945585824,700.941147938,50.5508,211.469066331,1.66610132098,-52.9953,20.7386288342,819.372839687,50.5651944752
0.631399,739.988343544,28.4752,37.9152,578.498354958,38,233.189506731,737.787778254,53.3353,16.606,38,164.550984265,53.3203320524,1945.72722414,53.2869,215.414853761,1.70638550652,-55.8142,18.2044330995,2937.66000753,53.2986787839
0.606478,179.754689298,28.9047,38.6555,825.634497019,39,461.165434016,236.358976648,56.0114,17.3422,39,231.411120984,56.0017696739,375.307950976,55.9544,165.885180685,1.81778591203,-58.5212,172.263632203,837.116083437,55.9730715301
0.70775,63.0757142217,29.3226,39.55,458.970468505,40,328.671531425,384.24939243,58.7083,19.9028,40,96.2221028113,58.6970946169,504.784744404,58.6451,207.344945602,1.92506831489,-61.2622,128.275469661,569.751810175,58.6624132796
0.675187,8.37423403936,29.6608,40.3096,408.493132875,41,316.842906898,380.564813336,61.4603,21.2872,41,93.9422470616,61.4296702712,395.201954903,61.3862,185.56724564,1.91230191587,-64.0805,92.2828866929,413.231917398,61.3998850706
0.648806,6.85718127177,30.0449,41.1082,591.450716797,42,313.466466211,377.529086622,64.118,19.627,42,137.084625362,64.0905709353,388.501613848,64.0553,184.296218353,1.97232411685,-66.7965,67.4986824888,406.536281428,64.0646942208
0.686407,7.48515092159,30.3459,41.9501,377.428105353,43,232.310373249,350.64417929,66.6897,23.7008,43,122.565989343,66.6725382034,376.267443751,66.6336,180.016923441,2.06405216626,-69.4733,8.74893134651,389.591596487,66.655615561
0.66285,4.17978751392,30.6598,42.7197,420.630872617,44,258.613251015,365.897299965,69.2593,23.6389,44,118.519167119,69.2300237253,378.209902353,69.1997,180.391401976,2.11457874677,-72.0206,68.8443848453,386.122274433,69.2118192653
0.615733,6.35882937408,30.9686,43.4375,407.928867749,45,257.059578672,359.641551271,72.4333,22.4183,45,96.3417154771,72.4176861788,381.822414966,72.3739,180.957517764,2.09673504723,-75.236,122.333924898,397.820152814,72.3935273372
