AverageReturn,AverageDiscountedReturn,MaxEsReturn,AverageAbsQ,StdEsReturn,MinReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageQLoss,QFunRegParamNorm,AverageAbsY,Iteration,MinEsReturn,StdReturn,AveragePolicySurr,AverageAction,Epoch,AverageY,MaxReturn,AverageEsReturn,AverageQ
46.8304468172,-0.0576749633549,82.821218167,0.23133,3.24074915555,-1.27965292197,20.8273,0.0144192667472,0.00800366,26.7428,0.231113774583,28,76.3397198559,48.0082705326,-0.243627,0.0348111,28,0.231108046339,96.3705405257,79.5804690115,0.231127
61.1795237461,-0.0203539753571,92.2515626671,0.246386,37.7949347681,-0.563675543186,21.1299,0.0144545654665,0.007698,27.3628,0.246394389699,29,-3.09551764663,46.5862332204,-0.262052,0.026205,29,0.246387287052,96.9893890843,72.4884201621,0.246336
43.3006606746,-0.0242324467527,94.7122303453,0.286991,39.1404957266,-0.91761525712,21.5025,0.0121303054024,0.00390468,27.8176,0.287031726659,30,-0.531685530554,47.9222109295,-0.303567,0.0228034,30,0.287027983616,96.5663618712,66.319471325,0.28697
73.8148324658,-0.190180235618,98.6425770615,0.312231,5.15079722224,-5.19131997469,21.8517,0.0144093660315,0.00732858,28.3668,0.312197916696,31,82.8105104558,39.2053891221,-0.331195,0.0856039,31,0.312193679842,94.2882274039,91.9527018582,0.312224
46.3145093761,-0.18289639005,99.0306577727,0.367051,4.25384549374,-3.16616601789,22.171,0.0157548552586,0.0102226,28.9248,0.367125680852,32,86.7997237223,48.7550427626,-0.389384,0.0431346,32,0.367120689151,95.3400138503,91.3028772861,0.367043
86.3231759794,0.0325680405842,91.8806713015,0.403182,41.87076964,77.6355614574,22.6506,0.0144144441514,0.0117934,29.4279,0.403159467849,33,-0.0183831678015,3.52472655036,-0.428598,0.302526,33,0.403156355782,90.3091720959,59.0762695548,0.403181
92.2942680466,6.08619235841,91.6241872648,0.425893,5.82593620941,87.8364284804,22.9857,0.0149303507149,0.00918361,29.9396,0.425952538694,34,76.7220463136,2.19828809825,-0.453102,0.212677,34,0.425947842516,94.5244419481,86.1421895652,0.425893
67.9210304141,-2.40775888437,92.8016380843,0.478245,2.7909599946,50.3194351114,23.4906,0.0197069605913,0.021478,30.5115,0.478071736954,35,85.8566734619,12.5777559329,-0.507642,0.894811,35,0.478068022727,89.5475027429,90.655799722,0.478245
-97.4038785212,-9.87598737791,80.1458111037,0.493399,3.204762386,-99.6714413193,23.9268,0.0219297874188,0.0259845,31.1113,0.493357544469,36,72.4177274367,2.3905191563,-0.526692,0.975014,36,0.493353833125,-93.2231129998,75.8838858555,0.493399
77.3883415926,1.72395407603,92.6282530248,0.549846,43.5013565255,60.485280403,24.123,0.0193849918194,0.0156041,31.7116,0.549913397006,37,-21.9958145287,7.46036078497,-0.585367,0.833132,37,0.549907530188,89.4652407162,64.6951663779,0.549844
79.4502507033,-0.220961156337,83.1729205616,0.595741,6.34274977387,-6.06496297583,24.2496,0.0178262835656,0.0122675,32.4223,0.595831066025,38,69.6089109959,33.5499265604,-0.635785,0.105493,38,0.595825679738,94.1031682675,78.5780084582,0.59573
93.8407301023,3.1165314497,95.6666229988,0.648473,2.59651152258,91.5569049204,24.4539,0.0206037434871,0.0154622,33.1908,0.64847999666,39,87.7789485116,1.04955039813,-0.696768,0.155946,39,0.648476048049,95.1581122082,91.7702055185,0.648447
90.3731758052,4.10456510596,98.9105085023,0.730891,5.04499041676,-5.91208672969,24.654,0.0172853483682,0.00850946,34.0272,0.73082948106,40,82.7544222504,18.927726385,-0.782538,0.157514,40,0.730824596704,95.1689294192,92.5358312496,0.730837
95.9886615125,6.25026325868,99.553985524,0.760905,2.77213418556,93.1109529582,24.9049,0.024999969424,0.0249989,34.6488,0.760822531149,41,90.228991659,0.614021073232,-0.819616,0.126991,41,0.760817475352,96.416384752,93.3838438877,0.760876
94.6560859038,3.77181913185,97.3147184618,0.864336,4.01321612041,89.2561388528,25.0989,0.0278254925345,0.0314798,35.352,0.864399590204,42,84.3383638234,1.65215786404,-0.926284,0.135951,42,0.86439494623,95.8566685456,92.5630487455,0.864318
93.5322982814,4.57585349565,99.3621185771,0.974936,2.95652685257,87.6782330386,25.5137,0.0211984620159,0.00643281,36.1301,0.974956613075,43,89.7014266974,2.1570880166,-1.0448,0.18882,43,0.974953675491,95.7709100966,93.430369291,0.974894
91.1810490023,3.59395797756,94.9578998688,1.05459,2.61601700248,-0.145768853448,25.7057,0.0280517378703,0.0228987,36.8603,1.05451005301,44,87.3071690945,18.2808150907,-1.13266,0.123206,44,1.05450492369,95.6888329358,92.6664791083,1.05448
-0.345464745537,-0.0474257872186,99.676253947,1.15154,3.32316085596,-0.360022606487,25.8833,0.0335795800093,0.0392106,37.6618,1.15175114273,45,88.6413237618,0.0117241668139,-1.23528,0.00345811,45,1.15174997741,-0.322477507517,92.6073598457,1.15142
-4.75174017282,-0.455115110388,94.5702732734,1.30654,32.7538864339,-4.8643246872,26.1576,0.0345183421933,0.0303729,38.4836,1.30667678452,46,-1.04807514597,0.0476192398882,-1.39973,0.047565,46,1.30666556036,-4.71220380069,79.1022886805,1.30643
-1.9115640928,-0.220445567927,75.5528147021,1.39277,38.4446045468,-2.06263071506,26.5005,0.0355749657848,0.0343089,39.1482,1.39265673275,47,-1.33639439152,0.0584050557457,-1.48943,0.0191348,47,1.39258091034,-1.86149630808,37.1082101553,1.39246
72.285324003,20.2675846987,95.2214929647,1.48819,36.5132930931,-17.7823563771,26.7899,0.0463994354503,0.0486789,39.7726,1.48802594827,48,-11.8842496078,41.3947064546,-1.59075,0.277933,48,1.48778012488,95.0432786305,77.1649001192,1.48754
94.4030915219,42.1452787271,94.2715212939,1.62353,32.3169341377,92.7597319841,27.0417,0.0401766389048,0.0285531,40.2584,1.6223826809,49,-0.259371960884,0.495077580667,-1.73019,0.706007,49,1.62195746693,94.8552895093,78.8026938944,1.62243
94.2811328143,42.4166484213,95.3368545599,1.78828,1.45861437021,92.7252746171,27.2558,0.0442323450485,0.0297071,40.7903,1.78759368344,50,91.0633336557,0.507934626869,-1.89696,0.729389,50,1.78693754661,94.7520969257,93.7812280676,1.7868
-76.2131653176,-6.64603598036,99.9699608353,1.88562,2.58969115713,-76.8789482,27.4843,0.0511396890773,0.0459361,41.1678,1.88450765923,51,93.1111590078,0.526907558621,-1.99849,0.762894,51,1.88344231833,-75.5231779938,94.8183947027,1.88369
-22.2333794825,-3.57404652687,63.3907286307,1.96223,48.039280577,-63.0188184175,27.7228,0.0523758242126,0.042719,41.575,1.96115829311,52,-32.6878325233,63.4075094827,-2.0751,0.648316,52,1.95997712496,80.2830539914,15.3514480537,1.96005
-10.5954185949,-1.0635079845,-7.66814720316,2.07433,0.0,-10.6274699368,28.0322,0.0590105778172,0.068438,41.8988,2.07332782488,53,-7.66814720316,0.0283452662449,-2.185,0.10606,53,2.07153171777,-10.5435253892,-7.66814720316,2.07174
-3.20988793473,-0.435672694087,94.6746656262,2.1366,55.516432835,-4.26127730857,28.0993,0.0610273900832,0.0743424,42.1631,2.13551602002,54,-48.9881398394,0.338234180218,-2.24252,0.032131,54,2.13358826565,-3.03193416357,61.6552911692,2.13388
-12.742851256,-1.30275048355,92.8354721562,2.21483,41.708384038,-12.8362147891,28.3967,0.0689989466695,0.0963498,42.4815,2.21392467027,55,-5.06297592111,0.0550541054212,-2.3202,0.127556,55,2.2123396996,-12.6880090772,67.1460443783,2.21218
0.11547367652,1.53964851778,86.9187033253,2.37451,46.1419779334,-8.91231498867,28.6469,0.0745092568205,0.109844,42.5616,2.37371120532,56,-12.6785415453,28.2424586734,-2.47502,0.0977232,56,2.37236743699,89.4258018129,52.5443085309,2.37244
9.00945298404,4.89871529359,63.9193433522,2.40493,37.6099722726,-15.239434273,28.7602,0.0681869176222,0.0862466,42.7261,2.40442545488,57,-11.300601193,44.1051851615,-2.49849,0.177086,57,2.40281168339,89.6132213729,26.3093710796,2.40262
7.39608397497,2.35999381979,80.1159119838,2.50337,36.7856093914,-0.900774529714,28.8223,0.0600618752688,0.0715774,42.9653,2.50330288864,58,-0.571203752845,26.1426088925,-2.59036,0.0184548,58,2.50173262958,90.0662602543,51.3506229263,2.5012
92.0201977721,37.8009013407,91.0697715439,2.57909,36.0607795546,80.8016571833,29.0319,0.0582112782075,0.0515675,43.1219,2.57890273082,59,-6.91875620331,2.73776419118,-2.657,0.89231,59,2.57722428696,94.0587781452,73.6524960017,2.57663
91.2040022675,35.1563456176,99.5082496534,2.69035,3.37993849929,82.0917273745,29.3712,0.0601360607659,0.0507675,43.3151,2.69000451103,60,86.5784422524,2.47049827531,-2.76284,0.936582,60,2.68790498446,93.5169804533,92.4888868685,2.6875
90.61923896,33.6946390934,98.5807323932,2.74653,2.9770831355,83.9195433034,29.6513,0.0602329158182,0.0513034,43.5214,2.74595965096,61,88.4137938465,2.54576340727,-2.82171,0.972972,61,2.74398280924,93.327255047,91.7633486954,2.74411
90.8489607827,34.9481399462,96.636120712,2.82306,2.68853157076,77.0953268531,29.9366,0.0637832985492,0.0641698,43.6603,2.82371801653,62,87.9862365579,2.7771406983,-2.89383,0.974096,62,2.82180229087,93.40871918,91.6169009072,2.8209
93.5009531804,47.2936267815,96.5227232918,2.92119,1.89775126797,93.4013117871,30.258,0.0562022214162,0.0387289,43.8073,2.92097826165,63,90.286646064,0.0714372566038,-2.98311,0.985392,63,2.91913281751,93.6197112227,92.3396099888,2.9189
93.2250900928,45.969052406,95.8320306819,3.02297,1.60005784705,93.1109463987,30.5213,0.0655785617469,0.0523529,43.9039,3.0233664401,64,90.3608766437,0.0420528138885,-3.0859,0.993329,64,3.02159942916,93.3011457105,93.1881514766,3.021
92.9313315435,44.292793534,96.9350351561,3.08789,1.88521458937,92.82558297,30.8274,0.0672349765271,0.0565966,44.0654,3.08858993447,65,89.1827211535,0.0390755004537,-3.15375,0.99202,65,3.08675633677,93.030480106,93.7339689364,3.08624
93.0689510914,45.1573269668,99.8878493317,3.19311,3.2347839446,92.9031535154,30.9623,0.0601474665579,0.0353259,44.2348,3.19409835784,66,89.295884696,0.0717099916256,-3.25832,0.995284,66,3.19249122903,93.1999100805,92.856187187,3.19148
92.7936924412,43.6574361073,99.8769268364,3.30823,2.03676456152,92.511014953,31.1461,0.0605504220076,0.0343951,44.3704,3.3084960161,67,90.8247135294,0.0892037619071,-3.37866,0.995604,67,3.30706669178,92.9379882211,94.2470378536,3.30685
