AverageReturn,AverageAbsQYDiff,MaxEsReturn,AverageDiscountedReturn,AverageQ,MinReturn,AverageQLoss,StdEsReturn,AverageAction,StdReturn,PolicyRegParamNorm,AveragePolicySurr,AverageAbsQ,Epoch,MaxReturn,AverageAbsY,Iteration,QFunRegParamNorm,MinEsReturn,AverageEsReturn,AverageY
-0.35908571458,0.0934286858436,87.0655053659,-0.0356930584997,1.99565,-0.382298362254,0.643572,41.6992409147,0.00359445,0.0298791131248,21.3183,-2.11434,2.12661,28,-0.277538223578,2.12120783207,28,65.3936,-1.55838381898,57.4129332672,1.99738808931
6.83070530002,0.109694517299,92.5370047636,-0.0978657238995,2.15672,-4.52975627024,1.28206,43.2642489688,0.0226391,26.9653728008,21.6109,-2.27491,2.25733,29,91.9984405002,2.25225103782,29,68.3752,-2.89224842817,58.1266039008,2.15921784767
16.2530063117,0.110427864641,93.6667691072,-0.133340751909,2.42156,-1.40110351365,1.04965,45.6602599683,0.019744,37.3574116342,21.949,-2.55554,2.50838,30,95.9731783262,2.50381810189,30,70.7536,-8.1844628259,56.0812012289,2.42325032333
-1.48547121815,0.123914690258,93.6049759472,-0.147574693639,2.70772,-1.57044861069,0.721776,43.4492103567,0.0148696,0.0445496312888,22.4552,-2.85765,2.79113,31,-1.44784119713,2.78460322291,31,73.2594,-8.87160985964,66.3420160111,2.7093394303
36.2561673417,0.150399937087,92.3507306994,-0.34325494276,2.98798,-7.89045658307,0.917046,38.9371187284,0.0596527,47.9391979479,22.7413,-3.13458,3.07363,32,94.1852376637,3.06219428853,32,75.2781,-6.62678175758,71.2161261577,2.9898175871
95.344979351,0.16536471969,95.0597816692,0.535375728819,3.27329,90.7712239024,1.05956,34.874448735,0.0827056,1.27588456885,23.2582,-3.43244,3.36379,33,96.5569357116,3.34991320078,33,77.0871,-1.10619337367,76.6552965428,3.27476786237
66.324878885,0.209099117784,98.0811846092,-0.150096963045,3.57524,-11.0314795433,1.70687,2.85556000641,0.137156,43.5662901496,23.7232,-3.74608,3.68151,34,93.8827440714,3.65861197267,34,78.6488,89.0901211356,92.8012697106,3.576191664
46.1663489456,0.214391821915,97.8581306199,-2.01554622336,4.09601,-27.2808937425,1.44979,3.43684500252,0.285838,50.4915592267,24.0328,-4.28052,4.20412,35,88.1253027916,4.18041983715,35,80.4621,89.6064955283,91.9471135467,4.09807071248
20.9320544107,0.259436149082,92.8578182352,-2.78568169189,4.31103,-36.4838285035,2.20503,38.332426084,0.391525,57.3000950092,24.3678,-4.51385,4.43365,36,86.1148025649,4.4058317678,36,82.2125,-12.4066780616,73.1656869586,4.31440372677
37.6469198687,0.250196912706,97.6803866151,-1.44113198065,4.79848,-18.0973242374,1.56821,3.75979676231,0.196409,48.76785673,24.6604,-5.02042,4.92217,37,85.4475106803,4.90007591038,37,83.0151,86.7452195663,90.9600576915,4.8019012578
-13.2870457886,0.263274431792,94.6903655575,-1.28657311057,5.22238,-17.439893071,1.81966,35.8000395552,0.133003,1.43860794531,24.9092,-5.48618,5.36304,38,-12.3345170249,5.33988202395,38,84.1972,-5.67211543653,74.2421690908,5.22575520403
-6.84315227825,0.2977074002,90.240414077,-0.732009257509,5.65985,-7.90289132151,2.15021,38.6029125555,0.0685,0.534914251854,25.1559,-5.95634,5.81693,39,-6.3242182735,5.78636637574,39,85.4587,-0.48495412684,66.343997607,5.66298577703
-0.136822579719,0.347192903205,90.6921182538,-0.0145840388927,6.15714,-0.289481467992,3.04892,44.9943301231,0.0013696,0.0705088949676,25.3272,-6.49814,6.33264,40,-0.0798876991362,6.29393420179,40,85.8136,-14.3343035845,63.5888783163,6.15941929098
-0.13439994238,0.35822559228,95.4947070872,-0.0128205537669,6.35176,-0.351206145825,3.4749,33.1481382401,0.00134534,0.0927236344637,25.5026,-6.71635,6.54431,41,-0.0410919880564,6.5047746105,41,86.0954,-2.03510247024,79.0478628363,6.35551160033
61.1832650704,0.353225241642,94.8792479037,0.441726042188,6.96738,-0.208378015714,1.59341,35.5138387331,0.0412991,45.7343068594,25.7139,-7.373,7.16869,42,95.6482460542,7.12528500784,42,86.0595,-3.64426241878,75.5720823168,6.96779601515
73.8957254476,0.355449775037,95.7456351244,2.44318800439,7.7434,-9.83303256843,2.17107,32.9204777573,0.16689,36.8957246926,25.8885,-8.19037,7.9475,43,92.6037106004,7.90896965118,43,86.5482,-0.681449381085,79.8993710194,7.74563494572
-1.39827743133,0.377958535618,98.7976609447,-0.138448170559,8.18151,-1.4355110515,3.28093,3.43020807582,0.0139968,0.033234534396,26.0609,-8.6575,8.39264,44,-1.33531038122,8.35752943539,44,86.6669,89.6496632733,92.0781757501,8.18316571366
-7.09549088265,0.39128684058,93.6947957629,-0.693159806853,8.91177,-7.1351200821,3.37525,38.7341702497,0.0710259,0.0365949075777,26.2126,-9.42919,9.1255,45,-7.04570511179,9.09056020166,45,86.9267,-4.84181236241,72.5818782601,8.91266098868
-12.7388571662,0.377866109716,91.2803076354,-1.2869431063,9.49814,-12.8244650358,2.34059,41.6953431612,0.127516,0.0411011748893,26.3393,-10.0495,9.71552,46,-12.6970008774,9.68266015437,46,87.5538,-10.5770761781,61.2102787326,9.49986214115
-10.5529822497,0.422539289418,92.5627242894,-1.07855738137,10.1624,-10.6254920998,2.73712,41.5554525727,0.105635,0.0354024867719,26.5517,-10.7623,10.3787,47,-10.5015198377,10.3425954685,47,88.4212,-2.81515227764,55.137778458,10.1638905857
-15.2391162587,0.397384809642,90.9065818186,-1.52954997941,11.0497,-15.3360249323,2.2735,41.5227394989,0.152544,0.0386861503277,26.7869,-11.6923,11.2487,48,-15.200359099,11.2172121059,48,89.2501,-7.93104242179,63.9051571783,11.0511638681
-4.66004422904,0.387562182479,94.8767408196,-0.53330688741,11.328,-4.78420839199,2.36713,39.9153965049,0.0466471,0.0872610317906,26.9731,-11.9898,11.502,49,-4.55986312711,11.4714690215,49,90.0542,-8.4941007843,71.069568087,11.3297815269
-38.4368538832,0.435731601418,93.1096405767,-3.61602294653,12.3038,-38.729449588,2.79903,50.551625805,0.384753,0.131725413325,27.2043,-13.0199,12.4553,50,-38.3298288288,12.4240005405,50,90.6995,-7.99361103329,42.5580147717,12.3054268615
-0.327541031613,0.399932503302,93.2149303404,-0.148076641966,12.7903,-0.533389679267,2.19316,53.697129524,0.00327869,0.117842153256,27.4494,-13.5133,12.925,51,-0.180536475318,12.8888126804,51,91.4542,-26.4261145223,49.1696804869,12.7914759664
-12.3426111512,0.424846110946,93.2846797547,-1.27549758881,13.4272,-12.4773485401,2.14054,39.6060276767,0.12355,0.111170858571,27.6754,-14.1776,13.5449,52,-12.1686396913,13.5114555907,52,92.3075,-3.5425287499,64.6576695269,13.4280587168
-10.1314555263,0.474274879533,77.4480790724,-0.992907020286,14.0959,-10.5500175445,2.90734,40.3406257102,0.101416,0.165040326394,27.99,-14.8695,14.2123,53,-9.96967775575,14.1712365107,53,93.2668,-3.23317234801,37.1074533622,14.0959516797
-13.8920238865,0.508425133389,85.4213378321,-1.2860883375,14.8375,-14.3619504587,3.26738,48.5777972003,0.139059,0.298417450568,28.2365,-15.6234,14.943,54,-13.5844211172,14.9040058577,54,94.2487,-11.7342565685,36.8435406318,14.8370754577
8.03481864371,0.576256835649,70.6749479924,2.28809450301,15.5371,-0.702721286251,4.41789,41.1168219201,0.011494,26.5130592161,28.423,-16.3204,15.6361,55,91.8751409087,15.5927641114,55,95.3385,-11.5586958479,29.5581260723,15.5352419986
4.07865134779,0.506708843414,92.2739392912,1.69960276008,16.1153,-5.36910705552,2.98454,40.0182677457,0.054535,27.6383267177,28.5466,-16.8976,16.2039,56,91.4686772927,16.1671929957,56,96.3219,-4.12143629742,64.4770813695,16.1129640367
-0.549936136541,0.63180397824,-1.87359133474,-0.184287380126,16.8411,-1.1592399861,5.73329,0.0,0.00550487,0.240570997195,28.674,-17.62,16.9128,57,-0.361829494168,16.8810186201,57,97.1723,-1.87359133474,-1.87359133474,16.8373444644
-0.323676503445,0.619551512282,94.724486225,-0.200311436325,17.301,-1.17926979006,5.45018,48.4690970645,0.00324,0.355321191082,28.7132,-18.0366,17.3645,58,-0.0817650716695,17.3342288652,58,98.234,-21.0981122144,62.644957904,17.2994931755
90.8372412964,0.662122954168,85.1428230906,18.916042181,18.0762,90.6533158938,6.81539,42.8625550135,0.621638,0.0807232555613,28.7415,-18.8029,18.1258,59,91.0251529325,18.1050640962,59,98.8348,-7.78389914214,52.7856545529,18.0754053936
13.4108336872,0.585772659589,92.8178583329,3.35589123985,18.7429,-9.72467987938,5.39567,6.80222923514,0.120329,41.2881457323,28.6751,-19.4101,18.7819,60,90.1095679101,18.7680520311,60,99.4944,76.8520778966,83.4591110951,18.7437160142
90.9554514271,0.582650400579,90.4739248697,20.002222964,19.1653,87.7165675788,4.55981,37.7974078769,0.631351,0.758763585279,28.7085,-19.8175,19.2003,61,91.4652843618,19.1889835634,61,100.003,-0.910097276586,64.392124896,19.1675581091
90.9043424459,0.562534982299,90.9179649154,23.196512428,19.6009,88.7775404787,4.28542,4.94120758032,0.706213,0.799556826867,28.7892,-20.2117,19.6374,62,92.4875877677,19.6219967305,62,100.707,78.8032555477,86.5415397139,19.6005736431
90.6132037509,0.601564821005,92.9410454702,20.6217532592,20.5446,85.2346051271,4.86857,1.77720173113,0.677579,0.780556778193,28.9631,-21.1546,20.5818,63,91.5523830938,20.5681110243,63,101.359,87.472456521,90.8931301593,20.5457235096
