QFunRegParamNorm,AverageAction,MaxEsReturn,AverageEsReturn,PolicyRegParamNorm,Epoch,AverageAbsQYDiff,AverageReturn,MinReturn,AverageAbsY,MinEsReturn,AverageQ,AveragePolicySurr,Iteration,AverageDiscountedReturn,StdEsReturn,AverageY,MaxReturn,AverageAbsQ,StdReturn,AverageQLoss
19.5144,0.384517,26.945013817,-4.26170303621,19.6917,9,0.62045213622,7.63339037946,5.17507455419,0.420378334258,-31.1289028353,0.0960001,0.0615116,9,6.99707161073,5.94890348219,0.173435174122,10.7862568859,0.287689,0.992349698293,0.542918
19.6202,0.988152,91.929465752,-7.86833603681,21.14,10,0.111370517754,-20.3684652835,-20.7619130076,0.172796875643,-20.1588043172,0.0396938,-0.171988,10,-18.8403177095,13.5877018182,0.0410368871541,-20.0260915343,0.172199,0.11640276918,0.0307643
19.6852,0.999998,-3.95042451605,-29.5762892239,21.3866,11,0.050997930605,-86.7994154558,-91.6220702532,0.115952842206,-87.2254309565,0.0651439,-0.058105,11,-35.3841558553,22.931991195,0.0656990983586,-76.5620081669,0.112327,3.51522090791,0.00446208
19.8331,0.999999,-0.865616458766,-48.7561535965,21.4188,12,0.0424121412996,-86.9377477665,-93.8033206002,0.142007472376,-85.7554022576,0.0336175,-0.0353551,12,-35.5452732704,26.6333896696,0.0339539787433,-75.7495380768,0.138604,3.95611797303,0.00314177
20.1275,0.999999,0.536833300078,-49.7824586534,21.4109,13,0.0441535517765,-87.0411995726,-93.1013501227,0.184852564942,-103.117199001,-0.00607009,-0.00301497,13,-35.617931754,27.3082662967,-0.00578219235326,-76.1830037997,0.18101,3.80559842693,0.00348668
20.7154,0.893122,4.85011329276,-26.0350861401,22.7048,14,0.0491068519512,-8.4022455672,-11.2436118499,0.235503346768,-71.2148572077,-0.041386,-0.00760162,14,-5.11733533674,21.3020712104,-0.0411669724802,-5.84462763762,0.230473,1.29916553409,0.00442442
21.5349,0.638564,75.8360927128,7.26769608772,24.6884,15,0.0525382317031,111.02388113,55.4325382134,0.280286724334,-15.8184629956,0.0560353,-0.196691,15,71.7780080608,32.6706671519,0.056856289069,376.444170457,0.274556,56.5213679884,0.00521524
22.6479,0.83748,408.482798604,214.670587377,26.9711,16,0.0576810849854,165.480097611,-2.75738539469,0.361629285331,27.9524154524,0.185123,-0.344315,16,79.7014306306,138.44721718,0.185821783294,472.095417988,0.356476,108.882944998,0.00666809
23.8933,0.625545,272.02178522,77.9126776754,29.3269,17,0.0629659165589,-1.9281246181,-72.6035569568,0.448934908645,5.84460293163,0.302824,-0.460488,17,19.2588458718,84.1553626197,0.303334492376,58.0828304085,0.443447,25.0333671744,0.00822592
25.2111,0.825023,341.589792332,200.169668124,32.0046,18,0.0648998447536,99.3102495372,-1.59517007234,0.538926671921,87.5816705346,0.411456,-0.564311,18,59.8364542044,112.335688151,0.412161713353,422.155345108,0.534123,106.545075488,0.00885754
26.6635,0.962913,591.618588282,280.034401467,34.709,19,0.0672475074752,207.236131281,128.06492446,0.647786270076,101.807900638,0.538857,-0.69189,19,110.352901254,221.083440871,0.539394378762,300.830236396,0.643905,30.5752404795,0.00967775
28.1388,0.9484,349.904422128,235.282427686,36.9654,20,0.0720192404166,266.619508469,127.837640731,0.753758062744,126.867155311,0.655815,-0.800746,20,117.350982631,79.247981706,0.656638942316,361.66510104,0.750033,38.9685756938,0.0121439
29.5925,0.92462,321.340511148,169.912209579,39.0737,21,0.0739305585968,219.601002605,48.8355535531,0.85293184407,22.2999293725,0.758691,-0.899824,21,99.4497394613,116.557535978,0.759274955187,313.974413778,0.849748,64.2982655905,0.0132045
31.1286,0.933959,285.533381685,205.247207893,40.7533,22,0.0805131780431,283.17911792,245.989556405,0.96638975378,72.82433119,0.882515,-1.02122,22,118.021131709,75.2520294331,0.883421929366,358.038486695,0.963368,25.7074691688,0.0165865
32.6431,0.922199,375.648660016,216.028748658,42.4636,23,0.0841041706263,261.784352208,76.9002267117,1.07743437243,-4.98932196836,1.00046,-1.14209,23,110.933155387,144.052978644,1.00116094835,646.024915566,1.07458,102.049024018,0.0193251
34.1076,0.863694,321.06263383,233.839387124,43.8488,24,0.0895880984818,154.123784801,29.786676319,1.18061675676,46.1128244604,1.10723,-1.25214,24,78.6593457735,108.68563493,1.10821594435,324.175805676,1.17814,93.245255198,0.0226012
35.486,0.849058,273.876753763,152.119596445,45.3247,25,0.0918223894256,217.568327452,39.1916633129,1.312367949,9.91817020293,1.24461,-1.39719,25,91.542085634,97.9670428329,1.24535109004,402.372542587,1.31027,79.2512655858,0.0228851
36.7942,0.869244,303.55578475,130.172146795,46.8606,26,0.0999623727299,275.37560353,183.2090068,1.45143239344,-1.8779414734,1.38772,-1.5492,26,114.770494497,91.4259908489,1.38907210554,451.457172963,1.44926,52.1403939939,0.0275597
