MaxEsReturn,Iteration,AverageAction,MinEsReturn,QFunRegParamNorm,AverageEsReturn,StdReturn,Epoch,AverageAbsQ,AveragePolicySurr,AverageAbsQYDiff,AverageAbsY,AverageQ,AverageDiscountedReturn,AverageY,PolicyRegParamNorm,MaxReturn,AverageReturn,StdEsReturn,MinReturn,AverageQLoss
22.8202084883,24,0.496135,22.8202084883,22.4673,22.8202084883,196.503846296,24,4.19636,-4.69794,0.494005247762,4.23608076802,3.97227,31.9999829011,3.97579047471,21.2019,387.695641168,-2.27831476952,0.0,-161.072868373,0.452925
93.5803479597,25,0.56319,93.5803479597,23.0688,93.5803479597,78.8222498228,25,4.56187,-5.14688,0.512348299776,4.59510258668,4.38912,34.8401950716,4.39161931017,21.8107,57.8366874553,-20.7283985549,0.0,-162.017052491,0.489088
139.844525829,26,0.632825,139.844525829,23.5947,139.844525829,421.072559626,26,5.04011,-5.70558,0.527516766045,5.06905589208,4.91596,16.8279034905,4.92044020241,22.3745,1025.36459248,501.103897637,0.0,-368.029494139,0.515607
181.029123595,27,0.674749,181.029123595,24.112,181.029123595,362.316078067,27,5.46155,-6.18022,0.544972123702,5.48571194907,5.36485,55.9931992055,5.36872080956,22.8798,1176.37533209,694.000835947,0.0,173.602670352,0.55648
35.3208503887,28,0.699912,35.3208503887,24.6271,35.3208503887,131.41425893,28,6.03414,-6.8105,0.564098388909,6.05826674778,5.96148,1.96046555486,5.96588629569,23.3581,656.176180554,408.161814099,0.0,237.672107313,0.601985
308.893526762,29,0.737588,308.893526762,25.069,308.893526762,89.9821284177,29,6.58581,-7.39982,0.574630046891,6.60416592773,6.53405,40.516264181,6.53863039583,23.8589,706.023423466,473.493249013,0.0,383.995171077,0.60979
278.766977404,30,0.82654,278.766977404,25.5536,278.766977404,65.2116073186,30,7.21769,-8.09804,0.592923694345,7.23517838407,7.18199,39.8655044664,7.18739078656,24.2857,707.256390888,558.586453616,0.0,473.341905394,0.665435
319.840060041,31,0.808228,319.840060041,26.0053,319.840060041,138.449520631,31,7.86598,-8.77547,0.612797382549,7.87884771641,7.84086,81.1462201758,7.84548113489,24.6652,1099.56931275,842.3462747,0.0,714.460608069,0.716337
308.564442395,32,0.814459,308.564442395,26.4565,308.564442395,39.5293618933,32,8.61866,-9.57753,0.635528114471,8.63092292819,8.60223,80.2509076817,8.6084172827,25.093,918.531164016,858.019622064,0.0,803.082230258,0.793558
287.956835024,33,0.807969,287.956835024,26.9018,287.956835024,262.060924127,33,9.40944,-10.4035,0.655555442816,9.42109922321,9.39781,83.8781736382,9.40422384894,25.4592,1460.97596435,883.409029216,0.0,615.619740396,0.833617
490.136553087,34,0.806691,490.136553087,27.3389,490.136553087,65.1515217337,34,10.2243,-11.239,0.675880600564,10.2348015323,10.216,67.4391103635,10.2226521401,25.8757,756.83484033,634.6434929,0.0,554.926487895,0.887542
360.976510262,35,0.764917,360.976510262,27.7272,360.976510262,86.0956001608,35,11.1486,-12.1406,0.68714263657,11.1573950159,11.1412,101.230371082,11.1470994371,26.2265,954.781993832,823.178159908,0.0,732.781406625,0.92965
630.057923698,36,0.793557,630.057923698,28.1437,630.057923698,108.436081954,36,11.9795,-12.9868,0.705908713041,11.9893374916,11.9738,119.18057653,11.9809868739,26.592,1150.15870355,932.22969784,0.0,755.711604191,0.995535
357.70969046,37,0.766201,357.70969046,28.5708,357.70969046,148.828062125,37,12.7845,-13.8019,0.724476002139,12.7920877578,12.7805,144.442696238,12.7866097123,26.914,1252.3349896,1032.8947809,0.0,818.690058189,1.06218
412.364473107,38,0.818741,412.364473107,28.9964,412.364473107,204.507750328,38,13.6181,-14.6589,0.747882102314,13.6259967963,13.615,162.57315942,13.6215179519,27.2728,1641.57290348,1141.85853456,0.0,964.551720285,1.13676
548.157496043,39,0.759203,548.157496043,29.4498,548.157496043,178.852747085,39,14.5667,-15.6263,0.778400410119,14.5739030285,14.5649,97.5663821982,14.5710827517,27.5922,1307.15320378,870.784998569,0.0,655.469326663,1.2792
536.103145489,40,0.790614,536.103145489,29.8381,536.103145489,97.0598332791,40,15.5686,-16.6282,0.794201729165,15.5774463072,15.5673,134.004813081,15.5752402635,27.8853,1210.75509174,1036.27124581,0.0,855.744039638,1.29882
749.693846823,41,0.834327,749.693846823,30.2585,749.693846823,215.55401782,41,16.5024,-17.5763,0.815100965912,16.5114379094,16.5011,134.185767564,16.5089376148,28.1741,1653.66756112,1178.35316256,0.0,879.119989214,1.38387
638.346447706,42,0.829342,638.346447706,30.692,638.346447706,129.85911351,42,17.4751,-18.5686,0.826674874544,17.4835497131,17.4732,101.212624776,17.4808980601,28.5227,1230.19264556,994.245658404,0.0,860.009492358,1.44289
495.053026496,43,0.79756,495.053026496,31.1077,495.053026496,64.1113436647,43,18.4583,-19.565,0.854768233639,18.4653137484,18.458,89.5045329957,18.4646547852,28.8199,937.571002659,869.215633873,0.0,746.487252874,1.55946
491.572194882,44,0.808588,491.572194882,31.5079,491.572194882,146.36083573,44,19.3511,-20.4561,0.869993565568,19.35961378,19.3509,117.647459194,19.3586770197,29.1125,1330.11196959,1071.85186462,0.0,859.313477319,1.61583
578.330840226,45,0.833577,578.330840226,31.905,578.330840226,115.882705249,45,20.3684,-21.4995,0.89734952743,20.3774091117,20.3683,81.4945699265,20.3766728269,29.4673,1133.64648273,906.5381253,0.0,694.878465116,1.81461
582.099411342,46,0.835406,582.099411342,32.2988,582.099411342,106.699597711,46,21.4433,-22.6055,0.897793400564,21.4509843641,21.4433,93.3248191278,21.4504325039,29.8049,1195.40992424,925.430577543,0.0,774.87600277,1.75547
837.808215525,47,0.81884,837.808215525,32.7364,837.808215525,174.973487475,47,22.6121,-23.8102,0.92572871912,22.6207675454,22.6121,123.052349552,22.6202209824,30.1103,1390.11989739,994.142855893,0.0,765.592500975,1.9384
965.882923244,48,0.800817,965.882923244,33.1158,965.882923244,209.388054652,48,23.6603,-24.8728,0.948601069003,23.6693277772,23.6603,138.153364784,23.6687251452,30.4624,1628.76939379,1064.996702,0.0,896.334298471,2.06942
642.781029991,49,0.793419,642.781029991,33.5583,642.781029991,91.0260687382,49,24.7986,-26.024,0.96551550618,24.8072888662,24.7986,120.15133827,24.8066747404,30.7755,1170.99115504,1024.54999889,0.0,898.78624748,2.1978
720.169643072,50,0.820013,720.169643072,33.918,720.169643072,97.4190319922,50,25.9198,-27.1613,0.993369688624,25.9297091304,25.9198,102.419364483,25.929094557,31.0778,1177.23221368,1006.56833248,0.0,852.583879242,2.37966
989.692292081,51,0.811968,989.692292081,34.3077,989.692292081,163.841063192,51,27.4243,-28.647,1.01602026674,27.4333665884,27.4243,151.721185701,27.4328860106,31.3739,1417.58680922,1140.77458264,0.0,895.878090125,2.47094
1337.16985094,52,0.763375,1337.16985094,34.6853,1337.16985094,126.27696681,52,28.5655,-29.7946,1.03448283094,28.5752034193,28.5655,110.71183999,28.5748540756,31.7013,1307.82952082,1058.82323657,0.0,922.287287905,2.67517
579.507486952,53,0.797223,579.507486952,35.0897,579.507486952,241.15435366,53,29.5919,-30.8282,1.0448671076,29.6007212886,29.5919,140.452115539,29.6001396349,31.9501,1785.17331281,1335.60414812,0.0,975.540369352,2.74661
833.907554834,54,0.795765,833.907554834,35.4609,833.907554834,117.553439622,54,30.8595,-32.1404,1.06770156446,30.8687181978,30.8595,157.027169831,30.8682363564,32.2081,1385.67642683,1167.22907156,0.0,1041.71965244,2.90915
767.455123249,55,0.793684,767.455123249,35.811,767.455123249,336.24010899,55,32.2515,-33.5308,1.06989356253,32.2619700331,32.2515,159.054195372,32.2616940026,32.5382,2173.96106067,1269.78102447,0.0,1014.158856,2.81191
1442.88883451,56,0.844895,1442.88883451,36.1732,1442.88883451,577.074586654,56,33.6182,-34.8773,1.08565315342,33.6264536663,33.6182,161.851861876,33.6260875005,32.7994,2683.49458121,1591.76961375,0.0,1013.38680697,2.94721
1043.58288545,57,0.826164,1043.58288545,36.5333,1043.58288545,229.10494425,57,34.9487,-36.2335,1.11222519184,34.957798862,34.9487,155.646948847,34.9573956566,33.0575,1783.49986114,1284.88166403,0.0,1026.39723454,3.21139
845.937265968,58,0.844433,845.937265968,36.9313,845.937265968,473.641152786,58,36.0302,-37.3147,1.14913152977,36.0398032124,36.0302,214.297343275,36.0393830198,33.3513,2680.82178518,1891.9382814,0.0,1176.15320589,3.60292
597.069535721,59,0.861839,597.069535721,37.2748,597.069535721,47.1020835353,59,37.2156,-38.5521,1.15268399648,37.2261752191,37.2156,227.650302521,37.2256757153,33.5819,2901.59043365,2829.43650294,0.0,2738.79084584,3.53056
971.148270495,60,0.83448,971.148270495,37.6361,971.148270495,718.181793064,60,38.7309,-40.0786,1.17563783262,38.741638294,38.7309,217.348902845,38.7410844035,33.8414,2924.98137345,2279.84276974,0.0,1149.2217668,3.73871
2192.51493589,61,0.886259,2192.51493589,38.0344,2192.51493589,937.035884434,61,40.6201,-41.986,1.18862420598,40.6295355937,40.6201,242.269124899,40.6289868078,34.0803,3453.94370917,2696.50432534,0.0,1093.72996891,3.98118
1290.29389585,62,0.898296,1290.29389585,38.3406,1290.29389585,112.712628874,62,42.4555,-43.7965,1.20176887693,42.4652958351,42.4555,265.789146245,42.4650078131,34.303,3280.10433683,3166.62995603,0.0,2874.4936616,3.76537
1514.02843755,63,0.827989,1514.02843755,38.706,1514.02843755,397.407054223,63,44.0649,-45.4115,1.2406286621,44.0786347496,44.0649,236.051033897,44.0781558277,34.5519,2624.62765325,1771.55711241,0.0,1306.17784313,4.64408
2312.22272426,64,0.830903,2312.22272426,39.0474,2312.22272426,505.153280792,64,46.0488,-47.4332,1.2367688567,46.0578012655,46.0488,213.610195581,46.0575466883,34.863,2878.77531358,1682.3732248,0.0,1140.65597878,4.51415
2248.58124768,65,0.86124,2248.58124768,39.4354,2248.58124768,700.536481976,65,48.1328,-49.554,1.28319413784,48.143928069,48.1328,223.974194598,48.1436839414,35.1437,3298.15211455,1815.38511482,0.0,1220.31399248,4.86868
1665.91390666,66,0.945054,1665.91390666,39.7974,1665.91390666,61.2993746805,66,49.7725,-51.1885,1.29841787246,49.7848607552,49.7725,267.096710961,49.7844540909,35.403,3356.61013755,3224.8783811,0.0,3152.07503274,5.34412
958.107198254,67,0.841268,958.107198254,40.1336,958.107198254,194.712154854,67,51.0906,-52.5161,1.32147298099,51.1024451945,51.0906,183.08581305,51.1021423556,35.7125,1796.1765146,1442.83120035,0.0,1261.66990783,5.61895
2620.24605937,68,0.850163,2620.24605937,40.4732,2620.24605937,822.466734838,68,53.2096,-54.6489,1.3210131508,53.2202180873,53.2096,211.113047351,53.2198743041,36.0028,3209.80656748,1362.930377,0.0,-363.547700245,5.17325
928.410732108,69,0.892026,928.410732108,40.7884,928.410732108,850.929249184,69,55.0154,-56.464,1.34351059313,55.0274450923,55.0154,295.33199249,55.0270341757,36.2559,3707.24174508,2824.54166519,0.0,1458.6759292,5.6345
2371.08410991,70,0.865539,2371.08410991,41.1445,2371.08410991,1113.75133343,70,56.7161,-58.1369,1.3928950055,56.7287234851,56.7161,233.289302709,56.7283659126,36.5667,3749.9152978,2395.20861286,0.0,1117.3175333,6.59622
2103.17208576,71,0.860133,2103.17208576,41.5045,2103.17208576,275.289754196,71,58.6147,-60.0375,1.35456958556,58.6245870123,58.6147,220.332092303,58.6241641841,36.8464,1941.57161771,1481.39354041,0.0,1126.96364883,5.88569
1994.98046359,72,0.873979,1994.98046359,41.8145,1994.98046359,665.281584858,72,60.5284,-61.9818,1.3735357042,60.5382522792,60.5284,220.331331102,60.5378700177,37.0795,3334.02566505,1904.2803097,0.0,1146.60553381,5.71626
2341.18576023,73,0.912445,2341.18576023,42.1463,2341.18576023,769.251918622,73,62.8286,-64.2869,1.42931451304,62.840364764,62.8286,263.820346958,62.8400551389,37.3285,3492.4101532,2856.59714112,0.0,1156.33811067,6.5879
2585.16024203,74,0.86896,2585.16024203,42.4933,2585.16024203,774.067713507,74,64.6261,-66.1233,1.41895450086,64.6361465473,64.6261,269.054807528,64.6360611919,37.573,3458.00588994,2026.74787083,0.0,1282.99326133,6.10474
1360.02011403,75,0.861565,1360.02011403,42.8555,1360.02011403,545.678111868,75,66.4866,-68.0448,1.48650909702,66.5004464569,66.4866,235.988756442,66.5002507668,37.8669,3080.49701704,1586.17568321,0.0,1076.24701467,8.10913
2491.21008727,76,0.914672,2491.21008727,43.1832,2491.21008727,1004.52206873,76,68.7406,-70.3224,1.46355545742,68.7551908925,68.7406,303.002986491,68.754923239,38.0983,4043.04221199,3265.97058615,0.0,1362.86373693,7.50094
2620.37346798,77,0.865146,2620.37346798,43.5289,2620.37346798,614.621594442,77,71.0829,-72.6975,1.52397754591,71.0948729844,71.0829,242.365669961,71.0945874937,38.4002,2291.97646306,1431.99234179,0.0,245.351280303,8.55291
2688.24119946,78,0.922135,2688.24119946,43.8844,2688.24119946,751.662170736,78,73.5018,-75.1317,1.55422529614,73.5164217433,73.5018,278.088786534,73.5161382597,38.6639,3848.23980232,3408.93029545,0.0,1177.57156458,9.05402
2042.29122666,79,0.909163,2042.29122666,44.2837,2042.29122666,1123.64434697,79,75.5809,-77.2302,1.56377790439,75.5938814405,75.5809,287.909425993,75.5936467649,38.9225,3846.69227497,2772.1242583,0.0,1073.89219975,8.76446
2772.06860337,80,0.873901,2772.06860337,44.6159,2772.06860337,318.56183871,80,77.9359,-79.5961,1.57620695924,77.9499015501,77.9359,167.491081523,77.949660442,39.2322,1747.01500416,1046.58993459,0.0,428.288973772,9.33624
2748.44365465,81,0.919167,2748.44365465,44.9942,2748.44365465,228.409541231,81,79.7228,-81.4568,1.63356295429,79.7367715232,79.7228,324.559658471,79.736346057,39.532,4012.07603225,3841.05890074,0.0,3184.14693604,10.4464
557.234661715,82,0.929406,557.234661715,45.3283,557.234661715,1302.48858806,82,81.5733,-83.2913,1.63451887771,81.5851740691,81.5733,338.591805536,81.584763292,39.8164,4299.13371352,3573.676166,0.0,239.364266279,9.91052
2529.10059669,83,0.878936,2529.10059669,45.6469,2529.10059669,927.862498032,83,84.0424,-85.7627,1.66409868275,84.0604418451,84.0424,288.688003835,84.0601895226,40.0597,4233.81420032,1945.73514986,0.0,1005.96050985,10.6215
2802.48062309,84,0.912544,2802.48062309,45.9592,2802.48062309,929.381741871,84,86.6298,-88.3685,1.68637413643,86.6445134376,86.6298,238.523564369,86.6441865722,40.3356,3719.15931068,1455.48768545,0.0,88.4937058666,10.259
2832.9706324,85,0.927489,2832.9706324,46.3258,2832.9706324,340.270302774,85,88.6167,-90.4222,1.77807706881,88.6271444477,88.6167,339.908085996,88.6268952484,40.5954,4451.52205418,4011.91110767,0.0,3233.79866307,12.6352
2521.85741746,86,0.910353,2521.85741746,46.7239,2521.85741746,1340.88931816,86,91.8227,-93.6963,1.8192777321,91.8390816146,91.8227,257.120308674,91.8386548284,40.8451,4228.03660065,2129.05577234,0.0,790.479293537,15.1057
2679.43798315,87,0.929265,2679.43798315,47.018,2679.43798315,1509.35185771,87,94.1545,-96.0618,1.79254940548,94.1696232646,94.1545,307.04629604,94.1693216757,41.1232,4326.08804472,2081.50123667,0.0,-325.743057285,12.0673
1265.44515128,88,0.920479,1265.44515128,47.3753,1265.44515128,731.838489966,88,95.429,-97.3239,1.85126375184,95.4424908019,95.429,263.527325029,95.4422307516,41.397,1866.10671957,958.52298941,0.0,-153.676184362,14.8047
1232.61031965,89,0.931973,1232.61031965,47.7046,1232.61031965,1689.73334523,89,97.3132,-99.1716,1.85387477161,97.3291551049,97.3132,297.431911354,97.3289953786,41.6345,4480.32796049,2531.03241077,0.0,-173.78487475,13.8505
622.781232695,90,0.936227,622.781232695,48.0532,622.781232695,75.8103502498,90,98.4972,-100.33,1.90353319307,98.5135975424,98.4972,338.038321807,98.5132267036,41.9226,4488.37393805,4393.3591329,0.0,4256.55816847,16.0888
1537.5767311,91,0.905742,1537.5767311,48.3575,1537.5767311,1370.59601702,91,100.528,-102.333,1.88130381241,100.541271904,100.528,251.157258904,100.540851671,42.1341,4183.61198957,1515.00188165,0.0,-359.312325516,15.1569
2664.02344914,92,0.923071,2664.02344914,48.6877,2664.02344914,102.40909005,92,103.016,-104.829,1.91433618342,103.031042379,103.016,343.839457487,103.030762379,42.3529,4365.45763922,4221.64963935,0.0,4008.85975338,16.6096
2785.52402617,93,0.9041,2785.52402617,49.0559,2785.52402617,882.990416318,93,104.995,-106.796,1.96105266007,105.013764559,104.995,227.016337496,105.013472008,42.6254,3062.63190522,930.669394063,0.0,-247.961567482,18.2851
1132.69470206,94,0.906582,1132.69470206,49.4199,1132.69470206,943.796715031,94,107.567,-109.43,1.9731304427,107.581083891,107.567,314.832488068,107.58078301,42.8529,3940.3878275,2104.64329184,0.0,527.697137976,17.1407
2947.11508233,95,0.903254,2947.11508233,49.7285,2947.11508233,1201.9919514,95,109.846,-111.748,1.95486651262,109.859337803,109.846,346.499855956,109.859139616,43.1494,4299.94693987,2627.5728199,0.0,200.170052902,16.3823
2906.02524282,96,0.939,2906.02524282,50.0674,2906.02524282,1607.82131818,96,111.64,-113.542,2.01839511602,111.655583383,111.64,284.672432481,111.655245069,43.3921,4163.70424567,1689.22822045,0.0,-121.768288573,18.24
612.389924473,97,0.944049,612.389924473,50.3891,612.389924473,107.1758554,97,113.026,-114.967,2.01460592636,113.040342436,113.026,375.102686461,113.040062205,43.6396,4976.8126806,4754.59827441,0.0,4594.20247492,19.7787
2978.83402531,98,0.927464,2978.83402531,50.7376,2978.83402531,1761.7828707,98,116.106,-118.061,2.05227633904,116.124158784,116.106,325.526436638,116.124008569,43.901,4789.30633188,3628.29217323,0.0,-97.3404555493,20.6476
3040.95222096,99,0.928419,3040.95222096,51.0551,3040.95222096,1203.54270937,99,118.581,-120.584,2.07234880414,118.591393966,118.581,365.790430772,118.591052724,44.131,4679.36986049,3580.284778,0.0,1410.25605394,23.6515
955.743195452,100,0.943497,955.743195452,51.4852,955.743195452,664.059673379,100,120.002,-122.016,2.09455973431,120.019208292,120.002,345.697759404,120.018996117,44.3226,4239.51257302,3819.70723664,0.0,2220.88785862,20.7994
1776.41676143,101,0.941529,1776.41676143,51.742,1776.41676143,841.108082522,101,121.795,-123.779,2.07697831516,121.810612695,121.795,354.956017837,121.810330514,44.5599,4792.1119467,4285.8325729,0.0,1784.21309939,20.3712
2573.63984076,102,0.940184,2573.63984076,52.0867,2573.63984076,1615.61572641,102,124.29,-126.275,2.07871034991,124.303342465,124.29,374.016067225,124.303071215,44.7319,4983.5959285,3540.59088397,0.0,968.868679158,20.4091
2970.39973996,103,0.91067,2970.39973996,52.4268,2970.39973996,821.420350366,103,126.105,-128.092,2.12711511321,126.122418287,126.105,304.412688422,126.12217558,44.9841,4023.97318894,1979.27502941,0.0,973.520780246,21.7008
715.894823248,104,0.937379,715.894823248,52.7808,715.894823248,41.7743110679,104,128.338,-130.371,2.12837155064,128.353864183,128.338,379.951264184,128.35361536,45.2651,4780.00018143,4705.72996438,0.0,4638.25992897,21.8742
2510.42848885,105,0.954006,2510.42848885,53.0887,2510.42848885,1731.38392982,105,130.863,-132.904,2.16464969657,130.876228081,130.863,354.039443397,130.875923958,45.4193,4970.53610465,3643.72419773,0.0,275.530536805,20.4223
2724.4642272,106,0.932669,2724.4642272,53.4237,2724.4642272,1326.15289116,106,133.249,-135.248,2.19273876164,133.2638421,133.249,355.214777124,133.263448699,45.6723,4823.73819399,2936.40382975,0.0,779.183176327,25.5837
2977.82184681,107,0.944183,2977.82184681,53.8264,2977.82184681,53.166414569,107,135.859,-137.839,2.20683560173,135.876539236,135.859,389.211286236,135.875981312,45.9515,4898.20444819,4811.64916234,0.0,4747.06128147,24.9946
2581.64761916,108,0.944434,2581.64761916,54.1743,2581.64761916,1530.54915804,108,138.64,-140.694,2.28973747406,138.65511691,138.64,366.336500943,138.65479114,46.1638,4914.87417277,4061.59376004,0.0,343.170576363,27.6329
2743.19115536,109,0.958156,2743.19115536,54.4528,2743.19115536,209.27839124,109,140.775,-142.888,2.2447876669,140.792781266,140.775,375.05695212,140.79244565,46.4141,5321.13456246,4870.203046,0.0,4488.80778543,26.4937
2952.58454288,110,0.937649,2952.58454288,54.7005,2952.58454288,1181.8558386,110,143.392,-145.511,2.25898580497,143.407587806,143.392,336.182980936,143.40723597,46.6406,4329.11787731,2508.66492384,0.0,289.714630551,29.161
2382.42449925,111,0.936946,2382.42449925,55.0546,2382.42449925,1299.28070159,111,145.807,-147.949,2.36153730007,145.827088203,145.807,328.869803709,145.826719059,46.8813,4559.14413851,3638.90892094,0.0,560.89915225,32.378
2896.28708497,112,0.95059,2896.28708497,55.327,2896.28708497,59.528578954,112,147.554,-149.668,2.25569873815,147.563411911,147.554,377.334596142,147.56313125,47.0747,4863.4725795,4789.93426144,0.0,4671.25393233,26.964
2866.66518282,113,0.942175,2866.66518282,55.6352,2866.66518282,1149.07399257,113,150.561,-152.722,2.46993908204,150.585945563,150.561,363.451039521,150.585750941,47.2928,4786.33083836,2850.49775732,0.0,995.089300087,40.7511
2659.68110881,114,0.937106,2659.68110881,55.8985,2659.68110881,1151.77558597,114,153.286,-155.477,2.36802961629,153.300580138,153.286,259.546430404,153.300305943,47.4964,3935.12008325,680.095802547,0.0,-225.500893152,34.2991
2925.80122245,115,0.929461,2925.80122245,56.2114,2925.80122245,1436.01135074,115,155.913,-158.086,2.41208112781,155.931736799,155.913,305.189067989,155.931546443,47.711,4549.61794973,2173.66141183,0.0,519.360430261,35.0367
2963.57291363,116,0.934522,2963.57291363,56.5402,2963.57291363,250.758781124,116,159.444,-161.644,2.41079697206,159.455593901,159.444,338.314609607,159.455470395,47.9655,4492.58486387,4091.62380114,0.0,3695.61634755,32.982
3069.24676728,117,0.942833,3069.24676728,56.8852,3069.24676728,96.3738282327,117,161.274,-163.487,2.5245053084,161.290299095,161.274,332.135933148,161.289953988,48.1965,4492.67815513,4372.06642405,0.0,4150.77924725,40.9572
2647.81564526,118,0.936744,2647.81564526,57.2497,2647.81564526,205.589330515,118,163.203,-165.389,2.41923979032,163.223666755,163.203,355.614036339,163.223379497,48.3578,4613.0000865,4349.2701132,0.0,3808.57014744,34.1437
2843.29727231,119,0.932449,2843.29727231,57.5927,2843.29727231,1194.40913445,119,165.733,-167.958,2.54253832154,165.752293269,165.733,336.805121602,165.752104028,48.6005,4606.46495035,3802.96299088,0.0,1041.49650957,43.9674
3106.7162161,120,0.922622,3106.7162161,57.8941,3106.7162161,1302.05099871,120,168.325,-170.575,2.50713945678,168.340184639,168.325,304.40640911,168.339881745,48.8024,4396.68707402,2761.28104676,0.0,702.821996627,41.5024
2679.92952687,121,0.944668,2679.92952687,58.2029,2679.92952687,1695.55910898,121,170.361,-172.63,2.52203616313,170.380053229,170.361,323.751938452,170.379859216,49.0006,4480.92026162,2764.96674652,0.0,-564.963153683,41.8635
2736.65388747,122,0.924767,2736.65388747,58.5668,2736.65388747,820.552502179,122,173.567,-175.806,2.51763771527,173.584700892,173.567,297.319960348,173.584447586,49.2039,3919.79256953,3122.47239766,0.0,1624.01692075,35.9706
2866.37260029,123,0.940469,2866.37260029,58.8371,2866.37260029,1456.53975898,123,175.218,-177.443,2.6276032891,175.234522611,175.218,369.824771738,175.234284335,49.3723,5037.9561393,3830.19666962,0.0,425.412029651,49.2333
2883.53158081,124,0.948124,2883.53158081,59.1303,2883.53158081,730.592457182,124,177.431,-179.73,2.51885628976,177.449839998,177.431,349.813013258,177.449544942,49.5833,4484.77774228,3951.33612299,0.0,2354.57486047,37.4675
2918.8845049,125,0.937656,2918.8845049,59.3543,2918.8845049,1225.65982422,125,180.78,-183.027,2.57760864777,180.795112927,180.78,339.123691416,180.794753694,49.7952,4677.51974366,3690.36530193,0.0,1010.80429494,44.2356
