MaxEsReturn,Iteration,AverageAction,MinEsReturn,QFunRegParamNorm,AverageEsReturn,StdReturn,Epoch,AverageAbsQ,AveragePolicySurr,AverageAbsQYDiff,AverageAbsY,AverageQ,AverageDiscountedReturn,AverageY,PolicyRegParamNorm,MaxReturn,AverageReturn,StdEsReturn,MinReturn,AverageQLoss
-130.506632551,9,0.223517,-293.546865989,11.5828,-201.970784969,13.4323376289,9,0.70575,-1.00142,1.25923834559,1.61335271843,0.631783,7.83542863372,1.60178246902,11.7805,124.232210422,103.855898442,57.6402285094,80.6309234906,2.80587
-347.888270016,10,0.953969,-347.888270016,12.2618,-347.888270016,0.600995360106,10,0.753648,-1.71162,0.363383996396,0.803460187432,0.676265,-55.1028972845,0.685845932978,12.3658,-569.219660868,-570.129057072,0.0,-571.357717942,0.264849
-398.820143181,11,0.964177,-398.820143181,13.0094,-398.820143181,1.25911536557,11,0.82275,-1.67762,0.229889819077,0.854791541907,0.686346,-56.2906340708,0.687607615263,13.7386,-574.864351109,-576.987628992,0.0,-579.487006628,0.0910867
-434.449297831,12,0.842133,-434.449297831,13.7299,-434.449297831,1.89759868275,12,1.25828,-1.99437,0.238279104687,1.28180525153,1.04243,-41.966312587,1.04410431806,14.532,-487.638692722,-490.196378004,0.0,-492.910292884,0.0987445
-416.159448872,13,0.727621,-416.159448872,14.5127,-416.159448872,63.9121320262,13,1.81026,-2.43303,0.259957038448,1.83391907571,1.48113,-11.590750076,1.48298304486,15.6585,-212.623791424,-377.887897477,0.0,-481.190127695,0.120874
-323.270188839,14,0.623362,-323.270188839,15.216,-323.270188839,25.7150198038,14,2.15837,-2.57003,0.287379037902,2.18449506089,1.85483,-29.0988952436,1.85669857554,16.4148,-267.562740878,-304.054552715,0.0,-345.986695676,0.146079
-299.291326979,15,0.700955,-299.291326979,15.9609,-299.291326979,42.3611406876,15,2.3447,-2.58874,0.310483925029,2.37336720377,1.99936,-21.3830506362,2.00080096205,16.7883,-394.568837726,-485.76560915,0.0,-556.545681955,0.180121
-352.991020844,16,0.59037,-352.991020844,16.7098,-352.991020844,54.2024823869,16,2.51893,-2.74236,0.336054150158,2.55225709164,2.13533,-16.1286455221,2.1366702402,17.239,-236.906646772,-319.371232016,0.0,-428.018142679,0.213297
-276.690336973,17,0.479674,-276.690336973,17.532,-276.690336973,40.7060122836,17,2.71454,-2.93161,0.356712556802,2.75026372982,2.34199,-7.54522013615,2.34275595619,17.7875,-35.4549981263,-114.906221732,0.0,-171.489935069,0.239253
-407.161675998,18,0.380635,-407.161675998,18.3236,-407.161675998,20.9739182431,18,2.91803,-3.08882,0.380945855874,2.95566059488,2.52561,16.4174274362,2.526821166,18.3376,127.169149035,106.468003388,0.0,53.3629355888,0.269235
-164.341462399,19,0.413055,-164.341462399,19.0943,-164.341462399,201.065885093,19,3.06495,-3.21616,0.400953977609,3.10417111666,2.65455,15.1744524152,2.65571569546,18.8533,273.432353401,142.662245982,0.0,-452.009885992,0.298735
-141.899991678,20,0.39627,-141.899991678,19.8235,-141.899991678,39.900833102,20,3.22556,-3.39742,0.411393976694,3.26552246893,2.81632,26.0521372173,2.81763626484,19.2275,190.360905433,110.882268478,0.0,43.9229616944,0.311833
-144.589431833,21,0.517077,-144.589431833,20.5202,-144.589431833,97.8424323512,21,3.44059,-3.67081,0.426538610705,3.48075992801,3.05517,22.7750644177,3.05717943191,19.7181,346.154944341,96.5582917857,0.0,-61.2842983388,0.330997
-9.70289129321,22,0.463324,-9.70289129321,21.1925,-9.70289129321,30.1806996115,22,3.62688,-3.94031,0.450851365143,3.66735061281,3.2839,27.6956061174,3.28562188473,20.2154,187.612480517,143.677720386,0.0,103.347267056,0.374179
3.16192571054,23,0.502901,3.16192571054,21.8695,3.16192571054,66.608945071,23,3.87679,-4.27778,0.47031885045,3.92007141559,3.58958,12.2898239616,3.5924128378,20.6661,130.824806232,31.1312543146,0.0,-96.162300019,0.407265
