StdEsReturn,QFunRegParamNorm,Epoch,PolicyRegParamNorm,Iteration,AverageAbsQYDiff,AverageAction,AverageDiscountedReturn,AverageY,AverageEsReturn,MinReturn,MinEsReturn,MaxReturn,StdReturn,MaxEsReturn,AveragePolicySurr,AverageQ,AverageQLoss,AverageAbsY,AverageAbsQ,AverageReturn
103.397282027,39.466,74,46.3294,74,0.364128733773,0.724622,160.809551724,14.1865701764,236.98202917,240.550022991,6.2160129799,390.566368117,65.2957941013,354.329377404,-14.582,14.1855,0.691245,14.1939020956,14.2043,307.841863363
126.89325785,39.7288,75,46.6239,75,0.347124849189,0.743914,193.94103825,14.3847553666,303.456040843,414.131250722,95.8849041431,425.644881099,2.74376832932,585.704662854,-14.7933,14.3833,0.59894,14.3913837601,14.4009,419.77361535
142.105507651,40.0856,76,46.8992,76,0.370295841317,0.713313,186.904712384,14.580280981,243.250188519,380.700884444,56.6135723838,396.582877651,3.78865605362,427.203941495,-14.9802,14.5784,0.702952,14.586053355,14.5952,390.696780473
137.291083885,40.3842,77,47.1578,77,0.36321507039,0.765411,194.311553183,14.8655624248,224.870300543,411.639502254,34.1959362102,423.131159919,2.44894084072,407.508410697,-15.2578,14.8641,0.676756,14.8700923901,14.8792,416.35381954
134.510211441,40.7477,78,47.4058,78,0.373153470022,0.740174,196.695419547,15.0800537897,247.983973712,408.671578149,46.8553731536,486.905243362,16.2241014097,421.12787553,-15.4792,15.0773,0.654465,15.0840627188,15.0922,429.945627678
158.594030256,41.0698,79,47.6557,79,0.387218305966,0.767622,193.338116652,15.3274622626,231.805598331,401.675179132,12.2347763605,420.373304756,3.90248736833,489.600369104,-15.7373,15.3264,0.798958,15.3317292228,15.3428,410.496459258
90.1781237416,41.3289,80,47.9155,80,0.379624097888,0.814868,184.304131944,15.5395385948,250.308784825,362.732518699,78.1517508917,409.255268949,14.5879661821,390.434963461,-15.9634,15.5365,0.701123,15.5436250094,15.5496,378.657089993
104.875882339,41.6722,81,48.219,81,0.37666872581,0.799302,197.705711151,15.7445847234,288.02278578,423.175697746,23.8695685533,445.882358208,4.98988600382,426.748130715,-16.1573,15.7433,0.736189,15.7474434886,15.7559,434.429039453
141.20777997,41.9872,82,48.4345,82,0.391994420928,0.851481,199.42570729,15.9880650182,184.326562481,389.823027315,8.80923411855,656.071074944,89.1881195937,386.460748302,-16.4105,15.9859,0.805256,15.9919665529,16.0006,443.017307287
147.910114222,42.278,83,48.719,83,0.413290120677,0.855701,206.730208719,16.1804877442,311.205271374,393.787372091,48.0425250874,506.450758521,27.8841779992,562.688115083,-16.6103,16.1779,0.919468,16.1833223565,16.1913,468.601812826
133.514877252,42.5539,84,48.9171,84,0.401871787864,0.862909,197.035889351,16.4065940672,187.429137954,392.676949654,4.52042716662,492.40091038,20.9018860547,380.761817885,-16.8265,16.4043,0.837972,16.4108023947,16.4195,429.684521886
123.714934481,42.873,85,49.1847,85,0.402700124169,0.86889,207.78233711,16.6243744922,216.084564056,403.83146928,12.7425458455,598.951078756,44.110035839,429.523437908,-17.0516,16.6228,0.839989,16.6273308159,16.6361,489.976625757
150.411965404,43.212,86,49.3916,86,0.42026612736,0.899442,206.219158196,16.8695504882,192.493265631,441.312693755,6.69327456777,546.640212478,18.4905362317,421.502452893,-17.3302,16.8669,0.939535,16.8724478613,16.879,465.081647586
150.760513716,43.4678,87,49.5585,87,0.417478540714,0.849278,192.375700419,17.0119734572,258.316864178,402.092255556,25.4837163133,414.552925134,2.54675561243,455.324076006,-17.4609,17.0109,0.891599,17.0144800363,17.024,409.077788442
95.0457212117,43.7614,88,49.7661,88,0.445147043018,0.902193,206.219875325,17.2927396572,275.673063829,391.186519987,79.3611390776,484.819063782,14.4384640973,368.663711468,-17.7206,17.2909,1.09909,17.296886438,17.3082,461.037839826
157.446237174,44.009,89,49.9378,89,0.417460145545,0.873337,211.997467069,17.4843219751,252.556727335,414.104862657,10.2572912861,636.018774998,70.8926446233,485.21068419,-17.9121,17.4818,0.84386,17.4876542397,17.4981,509.954883384
142.450860978,44.29,90,50.1182,90,0.412196732112,0.871258,202.29765416,17.6925742012,253.304854149,422.937190551,11.7219238071,455.766261225,4.24794936105,508.152248924,-18.1245,17.6918,0.791917,17.6971521152,17.7087,443.969727387
129.378173283,44.5164,91,50.2678,91,0.424436627019,0.863181,207.523790124,17.9117729354,230.699804915,418.689525526,32.7869746264,592.725088717,54.9593574737,385.472174687,-18.3517,17.9093,0.91916,17.915964586,17.9264,482.959952733
175.916864617,44.8296,92,50.4471,92,0.432399902612,0.850361,199.273968234,18.0742709383,243.836698173,424.818022088,6.79387230612,459.274812324,8.22966184529,494.534254482,-18.5059,18.0721,1.01467,18.0776550159,18.0875,433.49041441
136.048923661,45.1429,93,50.5473,93,0.448870168214,0.823519,183.354992949,18.2878191067,191.609440481,294.999616737,9.26422080382,459.394162114,62.938476272,449.189637229,-18.7336,18.2848,1.07765,18.2915380013,18.2993,393.713829253
141.225360854,45.4371,94,50.689,94,0.421221250631,0.836729,169.663219646,18.4436223515,202.293106304,155.381516293,10.0393866559,463.109392541,75.2771304039,429.124839679,-18.8649,18.4429,0.952423,18.4483507716,18.4593,341.979787583
132.718104098,45.7069,95,50.9029,95,0.435182108207,0.816811,196.979121212,18.5868352023,307.435576674,344.854543693,14.3639218398,451.798586774,19.9424559835,517.968348531,-19.0274,18.5853,1.01306,18.59065016,18.5994,433.564338992
124.70732768,45.9429,96,51.0766,96,0.443060360516,0.867832,188.315891698,18.7994842053,162.049912391,364.468346967,10.5585306009,574.814946791,43.9182124787,353.992133239,-19.2278,18.7964,1.09333,18.8041081919,18.8141,396.273561373
140.127983169,46.2434,97,51.2655,97,0.447986642162,0.834776,179.540701191,18.9630440004,186.343279878,354.695060413,15.9409372993,385.828309649,7.66196224186,456.370365201,-19.4177,18.9616,1.1163,18.9664776522,18.9746,365.865123057
194.903270912,46.532,98,51.406,98,0.449740579936,0.878548,202.761254479,19.1138238304,264.845765015,439.106681344,22.33039236,477.491527827,9.24012855111,526.421196549,-19.5433,19.1115,1.11499,19.1177160463,19.1275,456.54319986
152.693304906,46.7642,99,51.6169,99,0.458141355006,0.828005,198.842337822,19.2885706486,291.081676556,342.288199561,24.5453596558,523.61169742,51.7938914297,548.6112738,-19.7295,19.2854,1.19156,19.294001336,19.3015,455.548017792
