AverageDiscountedReturn,AveragePolicySurr,QFunRegParamNorm,MinEsReturn,AverageEsReturn,AverageQ,PolicyRegParamNorm,StdEsReturn,AverageAbsQ,MaxReturn,AverageAbsY,AverageReturn,Iteration,AverageY,Epoch,StdReturn,AverageQLoss,MaxEsReturn,AverageAbsQYDiff,MinReturn,AverageAction
-9.57975491092,-0.0101612,11.4922,-359.181470962,-320.048445804,-0.53096,11.7094,25.7378719024,0.987795,0.592953104962,2.30548761795,-21.0778011507,9,2.2852568416,9,28.2570120689,12.1916,-282.920475356,2.87085916226,-79.8902728476,0.00866276
-60.1068035119,-1.88126,12.0453,-305.695508265,-305.695508265,0.929805,12.0982,0.0,0.989877,-573.759169916,1.02686343641,-575.750774504,10,0.943291830951,10,1.18962454441,0.352819,-305.695508265,0.413907913249,-577.974037939,0.955049
-35.9467107711,-1.46802,12.9503,-362.443694198,-362.443694198,0.839698,13.9905,0.0,0.927542,-397.83435019,0.962183345072,-426.807305986,11,0.841698588772,11,17.3688972619,0.132874,-362.443694198,0.273521924204,-453.983132515,0.871513
-10.7119683017,-1.66793,13.7659,-409.739772129,-409.739772129,0.952275,14.75,0.0,1.08824,-352.43538988,1.1245885501,-444.796867531,12,0.952087905591,12,40.1875964115,0.134869,-409.739772129,0.274434985131,-503.354269968,0.804577
-10.3002656439,-1.69555,14.5788,-239.555670597,-239.555670597,1.12904,15.3949,0.0,1.27428,-125.471672768,1.31274666548,-362.338520877,13,1.13045229036,13,137.775722106,0.153166,-239.555670597,0.291755064959,-521.085744924,0.708498
-7.71344172105,-1.65309,15.4307,-279.980664358,-279.980664358,1.21937,15.9611,0.0,1.40664,-202.129091556,1.44342813462,-249.825972594,14,1.22031672331,14,32.0874622145,0.161066,-279.980664358,0.297408349336,-296.860863658,0.62019
3.4591460962,-1.63998,16.2802,-260.094230082,-260.094230082,1.25041,16.2886,0.0,1.46457,-124.194072349,1.50021921115,-154.157196413,15,1.25090437372,15,17.3175141827,0.167443,-260.094230082,0.299551415275,-175.3202631,0.384399
2.8566332958,-1.74052,17.1236,-206.219595452,-206.219595452,1.32493,16.6613,0.0,1.55307,-182.591264117,1.58834394379,-191.099802213,16,1.32589365159,16,5.95720489545,0.18104,-206.219595452,0.309597841894,-201.199549019,0.384242
-4.89034904269,-1.84957,17.9354,-214.929822988,-214.929822988,1.42785,17.0182,0.0,1.64849,-262.984248132,1.68287305896,-269.234713661,17,1.4288878837,17,3.79737270518,0.19487,-214.929822988,0.320610322637,-274.740504676,0.502127
4.85501572661,-1.9865,18.7092,-217.279676424,-217.279676424,1.54524,17.498,0.0,1.75475,-137.492447105,1.78816564162,-143.714032274,18,1.54688076187,18,4.39783620017,0.206953,-217.279676424,0.328560827114,-154.35312113,0.299955
13.0630393956,-2.13939,19.4209,-215.563885192,-215.563885192,1.68563,18.0458,0.0,1.86935,-47.2705682661,1.90093344258,-53.1357052694,19,1.68734053548,19,3.00891850649,0.21984,-215.563885192,0.334388274504,-56.067296936,0.150202
35.4511970929,-2.3091,20.1178,-126.984063523,-126.984063523,1.82924,18.5738,0.0,1.99764,349.919395382,2.02571397735,326.843434228,20,1.83108250169,20,15.3586468971,0.224701,-126.984063523,0.335811045832,305.636451455,0.256934
26.6338697126,-2.51626,20.8396,-98.1678163633,-98.1678163633,2.01374,19.1329,0.0,2.1552,277.818796985,2.18198699059,262.321040635,21,2.01610069047,21,10.8802076294,0.241601,-98.1678163633,0.345982804262,241.891453784,0.283722
17.5574544371,-2.7738,21.492,-77.5557986773,-77.5557986773,2.23589,19.7778,0.0,2.35368,166.700926369,2.37569611501,131.97973315,22,2.23857988565,22,18.6959900347,0.253002,-77.5557986773,0.352711188634,102.255620679,0.403122
16.3996459008,-3.05254,22.1389,-19.6692100503,-19.6692100503,2.50653,20.4549,0.0,2.60511,161.832076682,2.6248700864,139.856666758,23,2.50917340373,23,16.8006996106,0.278434,-19.6692100503,0.368445755957,108.633945023,0.439833
20.8724979078,-3.36743,22.7227,-4.01334391395,-4.01334391395,2.80163,21.1302,0.0,2.88132,221.858569407,2.89826388317,164.935976111,24,2.80416637515,24,35.5130584779,0.30238,-4.01334391395,0.387045951382,104.52912848,0.500621
12.6669902529,-3.65943,23.2704,28.5870294805,28.5870294805,3.07892,21.7681,0.0,3.14666,70.336330466,3.16262820228,28.2403238249,25,3.08149796163,25,23.5932638768,0.322674,28.5870294805,0.400272582838,-9.88590199181,0.515771
1.22431932933,-3.99412,23.7618,14.981236659,14.981236659,3.4169,22.3132,0.0,3.46778,-11.2193083392,3.48262415273,-40.8524615158,26,3.42024055653,26,18.8865181072,0.34841,14.981236659,0.415542919788,-68.6103084852,0.566585
28.3221346768,-4.38039,24.2303,51.7005669445,51.7005669445,3.77532,22.8018,0.0,3.81405,271.079616032,3.82646424862,219.708202192,27,3.7787063772,27,34.0303386971,0.370008,51.7005669445,0.429680026772,165.977586832,0.624628
25.0416926329,-4.80171,24.692,113.919463954,113.919463954,4.16602,23.3189,0.0,4.19671,317.936324715,4.20730680985,266.643854378,28,4.16958244346,28,38.1875802451,0.383763,113.919463954,0.436150655683,212.627156804,0.605279
48.4593255643,-5.27739,25.1314,203.024442686,203.024442686,4.60564,23.7897,0.0,4.62593,503.010684823,4.63525980008,444.174225415,29,4.60957093349,29,30.5352079937,0.401555,203.024442686,0.445870494221,403.60230213,0.664027
61.2238069787,-5.81393,25.531,178.503282624,178.503282624,5.12052,24.2291,0.0,5.13312,638.368208883,5.14071823675,601.944616415,30,5.12416897706,30,20.4657566975,0.422402,178.503282624,0.455608169842,575.044396864,0.692039
59.6101879688,-6.4081,25.9323,281.538594938,281.538594938,5.66487,24.7245,0.0,5.6725,716.992814869,5.68035845474,634.390922149,31,5.66900966895,31,40.8088778699,0.429972,281.538594938,0.460384361631,571.869145118,0.707345
63.8446819904,-7.0197,26.299,337.169837702,337.169837702,6.25027,25.158,0.0,6.25429,676.83753446,6.26060561264,655.770659894,32,6.25410789403,32,16.3094950937,0.444005,337.169837702,0.469423722448,625.225563906,0.694669
41.4236334012,-7.64252,26.6696,326.483262813,326.483262813,6.84881,25.5845,0.0,6.8506,661.170426861,6.85675178989,621.886295318,33,6.85289838203,33,42.5928875414,0.450306,326.483262813,0.471945812335,509.566641565,0.710614
37.0914039193,-8.3426,27.0094,327.869404905,327.869404905,7.52248,25.9598,0.0,7.52338,787.791850029,7.52874485575,685.140792828,34,7.52668575786,34,92.1972595546,0.474522,327.869404905,0.485252344166,475.776097223,0.698836
63.5475921936,-8.98397,27.3229,346.151386948,346.151386948,8.16422,26.3592,0.0,8.16476,788.81748337,8.17080476755,717.083473258,35,8.16931377503,35,30.3480439447,0.505581,346.151386948,0.494189912783,659.963016776,0.758641
58.5880360129,-9.65663,27.6222,310.384309897,310.384309897,8.83781,26.7612,0.0,8.83819,787.999003844,8.84249910938,723.009748573,36,8.8413368546,36,40.947881885,0.492523,310.384309897,0.493160303369,652.367221439,0.739791
50.2666453516,-10.3645,27.9269,395.069875471,395.069875471,9.52649,27.1495,0.0,9.52664,776.44630023,9.53165598052,702.136966439,37,9.5308059419,37,45.4073605445,0.525607,395.069875471,0.505401579795,612.048881872,0.761688
36.2199255405,-11.0873,28.2229,417.641454579,417.641454579,10.2545,27.4179,0.0,10.2545,745.978616803,10.2593619235,684.120738193,38,10.2588010658,38,47.3202052508,0.55523,417.641454579,0.515301163253,588.447126653,0.735406
