AverageQLoss,MinForwardProgress,MaxEsReturn,MinEsReturn,StdReturn,AverageY,MaxForwardProgress,AverageForwardProgress,QFunRegParamNorm,AverageAbsQYDiff,MaxReturn,StdEsReturn,Epoch,AveragePolicySurr,StdForwardProgress,AverageAbsQ,AverageReturn,AverageQ,AverageAction,AverageEsReturn,PolicyRegParamNorm,AverageDiscountedReturn,MinReturn,AverageAbsY
0.0213522,-0.0217373318138,10.3023170179,-38.3345915324,1.85038110827,-0.015255441225,0.0388853494347,0.0143787737077,11.1362,0.127265930449,6.07808745072,4.83478144556,9,-0.132289,0.00884518869383,0.118439,1.03768005602,0.0793383,0.967257,-3.69060085306,16.4386,0.887030006476,-6.47296707003,0.0242609474176
0.00393587,0.0120979719922,8.73939945531,-2.62620880855,1.67680307206,0.0582078575509,0.0550042500876,0.0327233474212,11.1561,0.0426328665963,10.0115196043,2.7784947008,10,-0.0975206,0.00790787959606,0.0902275,5.16628126568,0.0606888,0.922611,2.66633681461,16.5848,4.57102649098,0.621828842248,0.0893353778499
0.00140169,0.0114248936232,10.105044547,-0.958483074027,1.92306689108,0.0912106611269,0.0733655800495,0.0396173740542,11.4261,0.0260560525671,12.7704982112,2.65788439963,11,-0.134548,0.00909982113907,0.110837,5.85436951892,0.0913833,0.967072,4.56082736498,16.7761,5.15650944476,-0.172882894421,0.114346205439
0.00114099,0.0163557988032,9.7242737923,-2.42152697236,1.8219047812,0.134471110229,0.0672789445705,0.041229904682,11.6362,0.0235832243117,11.4078913228,2.80723938735,12,-0.180176,0.00872806440445,0.150059,6.02527704195,0.134478,0.966235,5.23431230776,16.8301,5.30483191014,0.658815795217,0.152238722897
0.00102052,0.00780500851529,12.0730720338,-7.09914697889,1.86264015332,0.172288771107,0.066265088142,0.0407317852372,11.9522,0.0225623682625,11.13756519,3.44651587332,13,-0.217637,0.00894986348079,0.185939,5.89640781266,0.172227,0.958872,3.85004656769,16.7958,5.18950434966,-0.794213759238,0.187709737682
0.0009448,0.014035339534,10.686206737,-1.68791825624,1.94093482611,0.207874276739,0.0723822011962,0.04048528096,12.2455,0.021892040953,12.6555548189,2.53581773748,14,-0.249056,0.00916442063027,0.221048,5.99292958488,0.207841,0.92617,5.28475648238,16.7523,5.26864220643,0.475918857171,0.222296631101
0.000957328,0.00526704493264,12.2449041014,-0.856512615203,1.78013443089,0.238324164392,0.0655820038508,0.0388001684575,12.564,0.0217195451095,11.6263137497,3.25622303359,15,-0.277446,0.00843440874323,0.250628,5.93491371648,0.238288,0.916575,5.27309233651,16.8121,5.22940431089,-1.17375459516,0.251648236057
0.0010478,0.0137931020388,11.2844171097,0.547813525538,1.71745671916,0.266250946079,0.0649206349634,0.0371105484475,12.9169,0.0224351434793,11.4917750671,2.18967888788,16,-0.304079,0.00810780807742,0.279703,5.68428377522,0.266175,0.915081,4.77548974334,16.8805,5.00154681474,0.55508117924,0.280551793366
0.00115185,0.0117903248563,10.0029649876,-0.258961545511,1.93114193195,0.292131158937,0.0643636477331,0.0374571828604,13.2284,0.0235207967385,11.433108406,2.06249931212,17,-0.33107,0.00909524860353,0.305947,5.82480526332,0.292052,0.9176,4.64011975328,17.0304,5.12880476026,0.308931247982,0.30692280933
0.00129975,0.0164017738059,10.7763114397,-1.8416114879,1.73079343384,0.316442574482,0.063597812212,0.0420154830197,13.5348,0.0247358467456,11.0077243734,2.56277344716,18,-0.356391,0.00823022157276,0.330546,6.35502482428,0.316426,0.908451,5.22550887963,17.1263,5.6113933719,0.895340798423,0.331361774065
0.00152893,0.0184563924156,9.78782567679,-1.19854178207,1.81860207087,0.338169514236,0.0664568665838,0.0417319093476,13.815,0.0262003269963,11.2980808153,2.37764108906,19,-0.375921,0.00868740793272,0.352784,6.22821312927,0.338186,0.918525,5.90795240694,17.165,5.49479197309,1.35389755959,0.353342650803
0.00147126,0.0175970651038,10.6374541054,-1.6658118011,1.75977466256,0.361941478303,0.0711708820631,0.0427885998048,14.0372,0.0262144999133,12.4504312112,2.74971839322,20,-0.399949,0.00836183734089,0.376578,6.5321959226,0.361988,0.910145,5.21181612026,17.1692,5.75943391244,1.1920253286,0.376948660501
0.00197265,0.0175100294596,9.30383990988,-7.59324058412,1.82689549843,0.38005770316,0.0670129186249,0.0415312000004,14.2988,0.0296823797953,11.4980023016,3.88522275525,21,-0.415864,0.00873834731725,0.393121,6.24162545998,0.380152,0.909852,3.90111337022,17.2157,5.49127953042,1.1666459346,0.393467264526
