AverageEsReturn,Iteration,PolicyRegParamNorm,AverageAbsY,StdReturn,QFunRegParamNorm,AveragePolicySurr,AverageDiscountedReturn,AverageAbsQ,AverageY,AverageAction,MaxEsReturn,StdEsReturn,AverageQ,MinEsReturn,AverageQLoss,Epoch,AverageAbsQYDiff,MaxReturn,MinReturn,AverageReturn
13.7713902293,9,11.1811,1.61362629119,0.256770875849,11.1655,0.59746,11.4384054161,0.928148,1.60106550524,0.0397013,170.908459249,16.148070353,-0.928148,1.3669777433,7.33,9,2.52921380097,12.8394499216,11.2694705706,12.1831407731
2.82653093698,10,12.3389,1.20433106008,0.112281474662,11.3732,-1.22837,0.401181786457,1.18043,1.17441453883,0.997465,20.229372454,3.26401430746,1.16121,-0.729934090719,0.0755866,10,0.142734803704,0.538076793453,-0.0483755398533,0.249922992692
22.2336969088,11,13.4627,1.54938373597,0.904772199009,11.6864,-1.56729,34.4840820635,1.54596,1.49029996469,0.99996,51.9731988235,20.6264388129,1.48899,-0.79632659847,0.0336295,11,0.10750792075,40.7096241602,36.7429919311,38.8044619379
40.4800900479,12,13.832,2.30132010501,0.941428746403,12.335,-2.38892,34.4522426796,2.29645,2.19204953861,1.0,47.119702355,2.73462644507,2.19006,29.9940181033,0.0863585,12,0.15264308619,40.7075304336,36.5399830036,38.7629885648
61.1632756791,13,14.4946,3.26378195102,6.18437315689,13.3403,-3.45546,90.8152604197,3.2594,3.13922091825,0.982054,160.066268323,36.646993337,3.13725,37.1050271387,0.174595,13,0.207397697192,144.779398916,116.011006311,127.036659009
114.968098913,14,14.9276,4.45681675096,0.990090328542,14.7181,-4.79565,86.600138744,4.44972,4.32174499098,0.968594,220.569247456,50.5832552818,4.31856,39.4117627256,0.340656,14,0.281751940661,120.846550545,114.794074846,118.772303782
131.327118749,15,15.597,5.80565952891,8.59180968947,16.0689,-6.2803,108.722310629,5.80078,5.68185279194,0.751124,177.110157779,51.2961211102,5.67893,3.74078889044,0.469129,15,0.316109423227,174.573774896,128.63250799,165.139184601
119.142830287,16,16.4414,7.20902513951,2.10366724492,17.4507,-7.77744,110.171807844,7.20447,7.10056138685,0.730984,175.556948634,44.4865754679,7.097,51.5559297874,0.663471,16,0.369553079509,172.36161555,162.582759021,168.920337429
145.21103465,17,17.3623,8.78628443055,2.48765208976,18.5753,-9.47521,109.488905568,8.78105,8.70142368178,0.740441,253.847517916,49.5390564449,8.69716,49.8261703443,0.778209,17,0.399870095991,172.178436196,161.836030633,167.780278673
141.64468969,18,18.0847,10.3612735207,1.54385528029,19.8658,-11.1796,110.072587187,10.3557,10.301873751,0.715177,196.884421499,49.0144189307,10.2975,41.8441238572,1.12741,18,0.466778900868,172.087003913,165.12239915,169.299654324
149.822991755,19,18.7646,12.1046426924,1.60758226697,21.048,-12.9935,110.122401481,12.098,12.0535917188,0.702723,249.301766215,51.0486899998,12.0468,59.3635816503,1.31709,19,0.499070467016,171.827423146,163.410381402,169.191520078
160.998222342,20,19.4828,13.792911588,1.56335205046,22.2957,-14.7829,110.779628224,13.7893,13.7474130999,0.730555,211.90888549,34.1396440568,13.7423,69.2696839353,1.49437,20,0.545253476229,173.591476333,166.001707143,170.343536254
166.940534864,21,20.2519,15.6260056522,1.4904057324,23.578,-16.7169,110.176322295,15.6236,15.5925658747,0.728678,204.540589581,27.4332248938,15.5877,79.1386077092,1.84309,21,0.603331340573,172.05038089,165.097837883,169.339365808
136.529379568,22,20.8847,17.5118110183,1.48432983806,24.7735,-18.6755,110.086130423,17.511,17.4803248886,0.759129,198.439785184,51.5493286544,17.4756,11.5026266733,2.10219,22,0.650761036769,171.679780281,166.234122844,169.282366854
135.61371225,23,21.534,19.322936331,1.30136554533,25.9273,-20.5594,109.987731142,19.3219,19.295304768,0.724181,199.946279688,47.9755737267,19.2891,56.233638414,2.27436,23,0.712847982548,172.940116201,165.665265813,168.972106246
169.988065785,24,22.319,21.2296383395,1.39923241568,26.8827,-22.5347,110.216268423,21.2301,21.2032279139,0.653767,284.175837937,45.7758726381,21.196,65.9459442453,2.29162,24,0.720043727063,172.866099248,165.218354333,169.326425883
157.954379398,25,23.204,23.0509743633,1.18280829835,27.8772,-24.4251,110.083084386,23.0509,23.0272649589,0.755911,228.429431303,48.0971304177,23.0209,24.8149133945,2.53751,25,0.738444351653,172.155126664,165.18547424,169.067056718
142.995737683,26,23.8474,24.967526462,3.0110862403,28.827,-26.4077,109.904834661,24.9674,24.9454161491,0.695323,192.481251992,43.2118162974,24.9372,58.6201506361,2.65789,26,0.775746606247,173.932022053,161.283836133,168.211794736
147.572709001,27,24.5565,26.9883731239,1.45952428917,29.811,-28.5124,110.97437927,26.9922,26.9719272117,0.725814,180.424240877,38.0857621641,26.9659,52.0578252887,2.95371,27,0.831284729504,174.757402827,167.949587292,171.298872538
153.076278367,28,25.2004,28.9604339554,2.19028529472,30.7925,-30.5289,109.807246431,28.9639,28.9445946999,0.64227,177.238043118,39.0042220824,28.9357,34.7685892539,3.09243,28,0.84266007698,173.815318155,160.952443798,168.427741978
163.30186899,29,25.7659,30.8343737764,1.76559135712,31.648,-32.4535,109.7175279,30.8409,30.8197333719,0.639699,191.83796936,24.0902131576,30.8121,103.434673623,3.54656,29,0.908587553103,173.07620117,164.453222547,169.051583376
158.563877452,30,26.1708,32.8194122192,2.34028810749,32.4858,-34.4795,110.953750642,32.8236,32.8018563764,0.704831,192.440972657,39.3532525708,32.7914,40.770123267,3.39128,30,0.903275752571,175.270496493,164.844119193,170.91518558
174.379885473,31,26.6667,34.6832870659,3.53425805149,33.3579,-36.4117,109.380427339,34.691,34.6673130035,0.719132,293.745036459,54.3671605634,34.6592,41.7521539591,3.88615,31,0.972174924919,173.681430435,159.123438598,167.30549889
160.862514459,32,27.1759,36.5724872939,6.62264426153,34.1595,-38.3001,120.234564197,36.5832,36.5582084515,0.724023,181.244352931,24.2528131099,36.5522,105.164610129,3.93919,32,0.990412333822,209.786026198,180.036392402,193.741605503
173.746841367,33,27.6401,38.5485333614,34.107033085,34.9356,-40.3444,141.473484508,38.5619,38.5352872682,0.727999,366.350283993,95.0180814695,38.5286,55.2469439661,5.08053,33,1.08017173093,287.506641692,164.303960374,254.004634641
172.991483741,34,28.0381,40.5328389528,17.674635307,35.7543,-42.4032,106.703937904,40.542,40.5204877291,0.627892,283.486656724,92.7512512311,40.5107,34.3190882333,5.68249,34,1.11214074789,202.31734135,141.710095407,161.639125472
250.307931594,35,28.3747,42.4977615145,7.17778274521,36.4197,-44.3677,147.455335453,42.5131,42.4862014328,0.751087,349.518944549,73.6645167274,42.4763,70.0427125665,7.31963,35,1.24022302703,290.403530908,252.230461521,273.671337853
