AverageY,Iteration,Epoch,AverageQLoss,AverageAction,PolicyRegParamNorm,MaxEsReturn,AverageQ,MinEsReturn,AveragePolicySurr,AverageAbsY,StdReturn,MaxReturn,StdEsReturn,AverageAbsQ,MinReturn,AverageReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm
7.35529746676,30,30,0.770679,0.739262,24.0773,106.874106386,7.3493,106.874106386,-8.18747,7.74924162597,165.371923923,537.833487163,0.0,7.71158,38.0065388534,299.732004682,0.588951808284,33.250011129,106.874106386,25.1624
7.74896771382,31,31,0.867315,0.872726,24.4535,47.8560328826,7.74157,47.8560328826,-8.59576,8.09814430573,24.0823522172,1149.46598677,0.0,8.05991,1060.97358985,1124.53627595,0.607655400895,88.7219576943,47.8560328826,25.639
8.55188282258,32,32,0.940801,0.810494,24.6642,49.0349666848,8.54602,49.0349666848,-9.39096,8.82680139976,124.417935123,789.020105199,0.0,8.79327,321.023516148,679.172776518,0.62605643172,59.9945526675,49.0349666848,26.058
9.62499226325,33,33,1.04367,0.824202,24.9685,819.92300969,9.61791,819.92300969,-10.4742,9.84617008927,35.0547431275,1262.87848097,0.0,9.81255,1138.38827275,1221.45066276,0.646163795548,98.271301304,819.92300969,26.5288
10.0980762426,34,34,0.995514,0.79196,25.2949,460.982089534,10.0913,460.982089534,-10.9856,10.2603103358,241.955959102,1545.57679871,0.0,10.2325,855.799546287,1276.94256017,0.653737956552,114.263138289,460.982089534,26.9347
10.6479525378,35,35,0.967229,0.848943,25.5458,129.129692432,10.6414,129.129692432,-11.5112,10.7738489029,283.064676096,1838.56514984,0.0,10.749,1045.98110394,1636.23917302,0.649694702718,144.933368144,129.129692432,27.3275
11.4188436524,36,36,1.20629,0.843972,25.804,501.922345633,11.4124,501.922345633,-12.2622,11.5062395408,46.431399317,1893.74806557,0.0,11.4828,1753.44834611,1806.75190763,0.690523438638,150.405211806,501.922345633,27.7381
12.3686620744,37,37,1.23326,0.749804,26.0713,395.067354272,12.3631,395.067354272,-13.2297,12.4273826779,717.621527615,2008.34369377,0.0,12.4088,269.090330753,1223.8034834,0.69103083811,114.61047908,395.067354272,28.1471
13.3901356774,38,38,1.37749,0.696007,26.3598,935.050619715,13.3825,935.050619715,-14.2617,13.427429583,592.219845768,2024.62257535,0.0,13.4095,293.39782246,936.490498748,0.717668718078,145.130036706,935.050619715,28.5534
14.2001545373,39,39,1.22438,0.842717,26.6716,662.688218141,14.1925,662.688218141,-15.0859,14.2222680042,306.078294822,2065.68638519,0.0,14.2082,1110.87391927,1786.1926262,0.704192646364,162.335132836,662.688218141,28.9351
