PolicyRegParamNorm,Epoch,AverageQ,StdReturn,AverageReturn,QFunRegParamNorm,AverageAbsY,AverageAction,Iteration,AverageQLoss,MinReturn,StdEsReturn,MaxEsReturn,AverageY,AverageAbsQYDiff,AverageAbsQ,AveragePolicySurr,AverageEsReturn,AverageDiscountedReturn,MaxReturn,MinEsReturn
19.6919,9,0.112903,24.8216398042,18.4560290206,19.5155,0.579580122175,0.343647,9,0.745265,7.12888321823,6.36037641054,36.5112547068,0.43271018522,0.683983563411,0.268742,-1.14375,-4.25889075037,14.131271762,159.691813836,-21.7913643135
20.8376,10,0.0285024,7.45930997215,-94.8348980848,19.6129,0.178488818044,0.963115,10,0.0321495,-111.320710436,23.2972652599,85.2706178092,0.0297343425762,0.110915700862,0.178199,-0.173413,3.00397589319,-37.9423039776,-80.3805030157,-30.3514433769
21.6498,11,0.0782227,63.4653166936,94.8693490191,19.6823,0.135786157697,0.913195,11,0.00472894,51.2132474768,33.7197707088,91.8210639594,0.0788792300043,0.0517721139555,0.133186,-0.125686,-19.3431427548,61.0752350385,393.760167596,-54.2527605912
21.9438,12,0.118864,102.582747336,126.117720731,19.8461,0.182562637359,0.89293,12,0.00361023,58.1241142655,180.353076597,518.602466318,0.119569425237,0.0447954201702,0.179521,-0.215576,124.514396182,63.6431595632,606.447554362,-6.86063752818
22.5791,13,0.207887,54.6077779699,124.695729603,20.1539,0.261836942765,0.830285,13,0.00429369,79.0578474044,136.12585854,385.434136796,0.208679189364,0.0472575652435,0.258469,-0.326663,204.684424945,66.1438344732,457.889059139,13.0412102711
24.3402,14,0.319842,62.3758098068,207.504742964,20.6543,0.367237419565,0.967071,14,0.00538935,-20.523592302,133.245036233,361.362167359,0.32056110272,0.0507899007686,0.363585,-0.445719,149.000879511,106.17148401,295.306705578,7.57311710513
26.1133,15,0.435051,279.635023511,393.093509436,21.4173,0.475540725482,0.75892,15,0.00660863,59.9154109304,153.86614899,414.099121893,0.435893722541,0.0554985895085,0.47158,-0.559904,199.973770546,85.4177526007,897.861246084,16.3072567283
28.999,16,0.57318,149.893516428,141.876201108,22.4102,0.607553712418,0.879963,16,0.00860135,7.55549905251,59.8498203884,280.899119399,0.573876280437,0.0607379897833,0.603886,-0.699784,209.344250191,51.813051186,579.279019184,84.9741971857
31.1291,17,0.698754,91.6379965638,342.065490026,23.6494,0.730833137612,0.933263,17,0.0101574,18.6003941978,217.974449417,673.36918667,0.699367435407,0.0637640682369,0.727573,-0.824665,365.550959547,110.514736847,512.449054361,197.315465196
33.3898,18,0.805378,97.4578950665,216.143244387,25.0179,0.836979689377,0.96104,18,0.0113927,105.210470759,64.6578106064,216.304286876,0.806232157714,0.0682749082307,0.833782,-0.9447,103.225958572,114.39993322,458.349132007,8.21889743116
35.2229,19,0.931398,177.440402273,382.578759942,26.3948,0.962127998286,0.91727,19,0.0128885,31.2863010181,94.9897991159,351.875307768,0.932086113121,0.0716073876317,0.95947,-1.06103,226.054747927,112.103349403,720.150622657,57.8400898806
