AveragePolicySurr,StdReturn,Iteration,MaxReturn,AverageY,MaxEsReturn,AverageAction,AverageAbsY,Epoch,PolicyRegParamNorm,MinEsReturn,AverageReturn,AverageEsReturn,AverageDiscountedReturn,MinReturn,StdEsReturn,AverageAbsQ,AverageQ,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss
-2.01201,2.17519102009,32,56.0,1.78962737196,69.0,0.377756,1.789628682,32,29.1089,3.0,50.6161616162,18.4074074074,39.858549387,46.0,14.1611342381,1.79119,1.78952,28.7081,0.0514749361399,0.0146079
-2.07914,0.0,33,1000.0,1.86358566047,67.0,0.622921,1.86359717159,33,29.3749,3.0,1000.0,21.0,99.9956828753,1000.0,17.0721508116,1.86596,1.86343,29.3509,0.0548765416639,0.0160095
-2.16317,0.0,34,1000.0,1.93431325971,90.0,0.528024,1.9343257295,34,29.6003,3.0,1000.0,26.2368421053,99.9956828753,1000.0,22.3282146392,1.93643,1.93415,29.9483,0.0566545025753,0.0174842
-2.25428,0.0,35,1000.0,2.0190578484,117.0,0.683516,2.01907600185,35,29.8821,3.0,1000.0,26.3157894737,99.9956828753,1000.0,25.8417300862,2.02162,2.01896,30.5098,0.0584963480621,0.0194624
-2.33861,0.0,36,1000.0,2.08825056502,67.0,0.570081,2.08837094454,36,29.989,3.0,1000.0,19.22,99.9956828753,1000.0,15.5580075845,2.09171,2.08822,31.0681,0.0644018457481,0.0235427
-2.42884,0.0,37,1000.0,2.17535695267,63.0,0.691573,2.17555297726,37,30.1409,3.0,1000.0,16.5161290323,99.9956828753,1000.0,14.3164037829,2.17843,2.17492,31.6731,0.0662974980255,0.0235858
-2.51308,0.0,38,1000.0,2.25045043556,82.0,0.535864,2.25059770785,38,30.2642,3.0,1000.0,22.8636363636,99.9956828753,1000.0,18.9551994655,2.2533,2.25014,32.3594,0.0675279959454,0.0253404
-2.58699,0.0,39,1000.0,2.33276745698,90.0,0.519833,2.33303593432,39,30.3923,3.0,1000.0,19.78,99.9956828753,1000.0,21.1246680447,2.3364,2.33272,32.8986,0.067228394938,0.0254068
-2.67021,0.0,40,1000.0,2.40289384526,83.0,0.539137,2.40310279224,40,30.5711,2.0,1000.0,16.7068965517,99.9956828753,1000.0,14.1165207942,2.40684,2.40275,33.6248,0.0713402930293,0.0280457
-2.74459,0.0,41,1000.0,2.4701433077,96.0,0.659134,2.47028248937,41,30.661,3.0,1000.0,18.298245614,99.9956828753,1000.0,19.5043539109,2.47456,2.47006,34.1228,0.0725031332285,0.0302267
-2.83079,0.0,42,1000.0,2.54488798562,33.0,0.597956,2.5449584969,42,30.851,3.0,1000.0,12.1927710843,99.9956828753,1000.0,8.24834095232,2.54921,2.54471,34.6209,0.0764892861773,0.0334468
-2.90584,0.0,43,1000.0,2.62666939131,45.0,0.631263,2.62671914519,43,30.9537,2.0,1000.0,12.3209876543,99.9956828753,1000.0,9.70532138685,2.63185,2.62645,35.0468,0.0787520628022,0.036818
-2.97276,0.0,44,1000.0,2.67333649915,94.0,0.693179,2.67354235284,44,31.2612,3.0,1000.0,14.1142857143,99.9956828753,1000.0,16.1833625829,2.67806,2.67307,35.6813,0.0801068972902,0.0394295
-3.05894,0.0,45,1000.0,2.77025551885,72.0,0.597032,2.77038964359,45,31.4149,3.0,1000.0,17.6666666667,99.9956828753,1000.0,16.1650840245,2.77617,2.77002,36.1443,0.084405086723,0.0422179
-3.1311,0.0,46,1000.0,2.83134022765,111.0,0.67398,2.8314364849,46,31.5253,3.0,1000.0,18.9423076923,99.9956828753,1000.0,20.5327257188,2.83593,2.83125,36.6011,0.076695810726,0.0388329
-3.21854,0.0,47,1000.0,2.90523569279,55.0,0.718399,2.90555345296,47,31.6984,3.0,1000.0,15.6507936508,99.9956828753,1000.0,13.1778538732,2.9098,2.90504,37.1302,0.083322006414,0.0436609
-3.29395,0.0,48,1000.0,2.97558224846,113.0,0.693346,2.97594387871,48,31.9189,3.0,1000.0,18.8181818182,99.9956828753,1000.0,19.7162516344,2.98152,2.97544,37.5309,0.0855413937371,0.0486536
-3.37761,0.0,49,1000.0,3.0566178455,71.0,0.648952,3.05677797828,49,32.1484,3.0,1000.0,18.0,99.9956828753,1000.0,14.714247888,3.06172,3.05645,37.9662,0.081501803419,0.044469
-3.44713,38.5222914966,50,1000.0,3.13309530318,80.0,0.546584,3.13353986098,50,32.3091,3.0,987.818181818,15.0597014925,99.994566353,866.0,15.3066960248,3.13914,3.13281,38.4596,0.0887207821294,0.0499104
-3.5201,0.0,51,1000.0,3.19358243023,110.0,0.574179,3.19407937554,51,32.4784,3.0,1000.0,18.7884615385,99.9956828753,1000.0,20.2867297839,3.19977,3.19326,38.8492,0.0899818975268,0.0513956
-3.59892,167.553924396,52,865.0,3.26117372423,53.0,0.426719,3.26137523481,52,32.534,3.0,446.173913043,14.8529411765,97.0801561427,225.0,12.4253828274,3.26782,3.26123,39.2732,0.0928947016873,0.0570492
-3.67693,148.627050028,53,1000.0,3.3343249089,92.0,0.60443,3.33463350004,53,32.674,3.0,953.0,15.7936507937,99.9252144996,483.0,17.9444988521,3.34133,3.33385,39.726,0.0950249006627,0.0592246
-3.74916,151.633552933,54,898.0,3.41139009076,69.0,0.545191,3.4117620267,54,32.7178,3.0,427.625,18.0714285714,97.4161431102,263.0,16.8235136712,3.4179,3.41112,40.1799,0.0939386858167,0.0619071
-3.82894,0.0,55,1000.0,3.47027975327,92.0,0.465215,3.47075217222,55,32.8447,3.0,1000.0,15.8709677419,99.9956828753,1000.0,15.2415855908,3.47827,3.47027,40.5711,0.100024796978,0.0698837
-3.88622,0.0,56,1000.0,3.53384244954,86.0,0.320815,3.53446087614,56,32.9587,3.0,1000.0,15.2835820896,99.9956828753,1000.0,16.0956153946,3.54043,3.53343,41.0127,0.0967115293214,0.0652382
-3.95593,0.0,57,1000.0,3.57555567725,74.0,0.555672,3.57613300696,57,33.0466,2.0,1000.0,11.9047619048,99.9956828753,1000.0,11.7570840323,3.58224,3.57521,41.3678,0.100620758198,0.067876
