AverageY,PolicyRegParamNorm,AverageAbsY,MaxReturn,AverageQ,AveragePolicySurr,AverageQLoss,Iteration,AverageEsReturn,MaxEsReturn,AverageAbsQ,StdReturn,Epoch,AverageAction,AverageAbsQYDiff,StdEsReturn,AverageReturn,QFunRegParamNorm,AverageDiscountedReturn,MinReturn,MinEsReturn
0.509328516408,25.739,0.511314679914,374.206834278,0.508944,-0.586592,0.00519417,30,151.357974287,151.357974287,0.510366,53.0860643063,30,0.880932,0.0519060110729,0.0,241.627185383,18.8259,26.447868439,182.717405794,151.357974287
0.559297969244,26.3618,0.560445994861,407.255689132,0.55885,-0.636486,0.00572997,31,295.211941166,295.211941166,0.559642,178.243457477,31,0.915206,0.0537506149298,0.0,63.9644157944,19.3109,4.16083387622,-253.916703705,295.211941166
0.611890113152,26.9235,0.612846276805,342.305377648,0.611404,-0.691786,0.00560339,32,317.213538807,317.213538807,0.612147,489.457795903,32,0.853195,0.053683345771,0.0,-378.85079674,19.7292,19.8725366001,-1042.24929586,317.213538807
0.672617125469,27.5061,0.67314152746,582.413154618,0.672024,-0.755287,0.00621154,33,292.79552573,292.79552573,0.672363,124.587308471,33,0.874246,0.055487532345,0.0,328.10819523,20.1477,41.2192038516,92.2148927115,292.79552573
0.735214072119,28.0976,0.735547327475,814.505127487,0.734649,-0.82282,0.00622959,34,452.825051986,452.825051986,0.73482,53.5745056744,34,0.837394,0.0557417937583,0.0,713.567089746,20.5507,65.8251725697,620.937706821,452.825051986
0.806570547838,28.6062,0.806742993246,764.963916158,0.80599,-0.897136,0.00600082,35,414.657119574,414.657119574,0.806073,34.3419680102,35,0.849164,0.0557970397957,0.0,717.478282536,20.9157,59.7043020623,647.210504439,414.657119574
0.877276889716,29.0896,0.877435974319,792.505200726,0.876774,-0.968872,0.00629678,36,379.537671249,379.537671249,0.876864,35.6093542491,36,0.850531,0.0558067840127,0.0,737.653333376,21.273,70.9166354466,682.765904853,379.537671249
0.952861041841,29.545,0.953018777352,728.801208056,0.952252,-1.04456,0.00687738,37,478.25725019,478.25725019,0.952335,22.5164575957,37,0.884545,0.0567923528493,0.0,698.375923132,21.6363,62.3229121614,663.860677536,478.25725019
1.0277456895,29.9443,1.02782483099,736.190245681,1.02731,-1.11823,0.00621144,38,543.408123547,543.408123547,1.02733,43.7418542997,38,0.86591,0.055332862497,0.0,663.897199727,21.9497,60.688693644,585.601703741,543.408123547
1.10320841797,30.3368,1.10326370864,760.031866047,1.1026,-1.19484,0.00660456,39,487.075906648,487.075906648,1.1026,357.300146434,39,0.873283,0.0562348385565,0.0,600.26016617,22.3303,65.1753954863,-469.355991068,487.075906648
1.18186474531,30.7485,1.18195452441,912.349484434,1.18122,-1.27232,0.00665689,40,637.905290906,637.905290906,1.18123,32.949278794,40,0.867251,0.0569438239586,0.0,869.155620147,22.6403,81.9630749478,823.629963906,637.905290906
1.26034619247,31.1361,1.2604184879,852.549966323,1.25967,-1.35113,0.00712758,41,619.265714123,619.265714123,1.25967,25.684083169,41,0.884972,0.0582219426172,0.0,808.644925626,22.9765,64.977503109,774.8722406,619.265714123
1.33561700579,31.4592,1.33567099349,1002.31276646,1.33518,-1.42116,0.00711741,42,488.792155729,488.792155729,1.33518,402.036036021,42,0.900691,0.0584281852005,0.0,669.998902967,23.2841,63.236448609,-328.185275633,488.792155729
1.40956184646,31.9051,1.40962988057,760.411578345,1.409,-1.49562,0.00818429,43,360.806245971,360.806245971,1.409,240.576788689,43,0.899096,0.0596416219785,0.0,508.533057103,23.5833,47.190230553,-145.631507655,360.806245971
1.48475466747,32.3375,1.48479725852,935.910742204,1.48411,-1.5694,0.00776521,44,537.975152837,537.975152837,1.48411,57.686634807,44,0.914587,0.0600533282048,0.0,831.098878267,23.9165,74.1950660343,726.815673973,537.975152837
1.55978087211,32.7979,1.55989620638,727.990976903,1.55926,-1.64631,0.00937793,45,521.106480542,521.106480542,1.55926,340.161247137,45,0.901664,0.0623763038166,0.0,438.707369723,24.2443,23.3973200806,-484.124998471,521.106480542
1.63793404024,33.1699,1.63802526796,946.852729209,1.63721,-1.72319,0.0119433,46,572.320289397,572.320289397,1.63721,405.628433379,46,0.904547,0.0668481968999,0.0,662.577176912,24.6005,61.642180696,-337.670480013,572.320289397
1.71841947253,33.5877,1.71853821604,916.518306816,1.71763,-1.80793,0.0126773,47,290.993862812,290.993862812,1.71763,512.163637094,47,0.894146,0.0691805214859,0.0,713.039045593,24.9839,68.347459716,-822.099875641,290.993862812
1.79664596154,33.8651,1.7966852335,895.095532423,1.79587,-1.88496,0.0109052,48,608.307587397,608.307587397,1.79587,406.644805915,48,0.905928,0.0678187514846,0.0,352.863797163,25.3585,62.6856551332,-527.604237915,608.307587397
1.87570947168,34.2162,1.8757898488,870.268577505,1.87494,-1.96476,0.0113015,49,503.627427389,503.627427389,1.87494,73.8042364432,49,0.931269,0.0680834497179,0.0,795.642946513,25.7056,74.0129994305,601.05221575,503.627427389
1.95510220348,34.5247,1.95517938382,836.74218851,1.95421,-2.04494,0.0107526,50,671.540838655,671.540838655,1.95421,59.4350367098,50,0.938333,0.0674897187616,0.0,754.8414799,26.0279,65.271256759,657.675086601,671.540838655
2.03413034146,34.875,2.03421190115,1013.58449385,2.03331,-2.12136,0.0125144,51,599.060207322,599.060207322,2.03331,487.723436899,51,0.931065,0.0695398773173,0.0,691.443130869,26.3679,71.176747281,-527.054378875,599.060207322
2.11203031083,35.2125,2.11212558231,1028.8838258,2.11129,-2.19755,0.0141045,52,655.034375411,655.034375411,2.11129,121.133806538,52,0.913924,0.0711251376571,0.0,922.032909995,26.6918,71.3584998518,690.757344506,655.034375411
2.18872740687,35.486,2.18877961374,681.683253998,2.188,-2.27803,0.0124931,53,679.259768838,679.259768838,2.188,113.002367197,53,0.937387,0.0693125723989,0.0,569.319985103,26.9903,65.7990630648,286.793665855,679.259768838
2.27079170018,35.8535,2.27085364178,828.625295689,2.27011,-2.35926,0.0128893,54,598.15528695,598.15528695,2.27011,61.8475750415,54,0.923489,0.0713205621645,0.0,676.407698732,27.2943,52.0723122132,581.078508047,598.15528695
2.34606738902,36.1771,2.34614031698,963.759003559,2.34543,-2.43295,0.0147797,55,649.842600511,649.842600511,2.34543,245.898774574,55,0.955219,0.0749883577978,0.0,725.344877963,27.647,56.2835921659,152.518839775,649.842600511
