AveragePolicySurr,AverageAction,MinReturn,AverageEsReturn,AverageDiscountedReturn,StdEsReturn,MaxForwardProgress,AverageReturn,AverageForwardProgress,QFunRegParamNorm,MinForwardProgress,AverageAbsQYDiff,MaxEsReturn,AverageY,AverageAbsQ,PolicyRegParamNorm,AverageQLoss,StdReturn,StdForwardProgress,AverageAbsY,MaxReturn,Epoch,AverageQ,MinEsReturn
-0.207106,0.990366,-23.9497596059,29.1502415597,13.9380105957,21.5326681753,0.665958385315,25.090008568,0.0557072814498,10.7496,-0.425016063963,0.195752872171,95.3952915695,0.121962485527,0.28246,11.6913,0.423355,21.0815543405,0.202217191821,0.124495804878,87.8359325176,10,0.244451,-17.9686186844
-0.256414,0.967435,12.7692356726,30.0534905636,39.2169083495,27.7018896714,0.727442936593,70.5216240905,0.500732413356,10.7453,-0.068306768946,0.0388462802066,70.9653917255,0.188095152636,0.202539,11.987,0.00459119,14.1968713118,0.14194738034,0.203572045206,93.619880459,11,0.188773,-0.738530192504
-0.294775,0.991089,-9.02832996239,38.57186228,31.0620068452,37.0439997505,0.711720283162,53.9483408584,0.336708162422,10.7217,-0.272322506468,0.0323958920863,85.0792275207,0.250744559489,0.254765,12.1334,0.00303207,22.39267324,0.219409256593,0.256276452608,92.2879541556,12,0.250224,-17.2706498932
-0.349648,0.999516,-13.3045060034,46.9366496273,19.7546085312,17.1175743068,0.57938197566,36.1007247695,0.162783296851,10.8407,-0.314849179245,0.02738404906,73.1270740358,0.325396770941,0.326332,12.2463,0.002332,20.7554379142,0.202787007432,0.326340827169,76.9893212907,13,0.325477,15.0478743457
-0.382348,0.940756,-41.3057280039,25.7086628118,-5.42747867018,22.6007326547,0.387386626802,-8.01061858737,-0.235405330082,11.0163,-0.58649643433,0.0252356338638,62.0556592502,0.350263645305,0.349661,12.4738,0.00170761,18.5187374359,0.174027768935,0.350280568704,59.8128832771,14,0.349637,-17.0029778226
-0.388424,0.981798,-44.3953279657,-6.93707699757,12.1094070744,22.4551403343,0.574416336714,21.0426255909,0.0160631527881,11.2741,-0.622820045827,0.021588012896,23.2071489897,0.369887774436,0.369608,12.5841,0.00113214,23.0395906892,0.223944249866,0.369895056943,79.0262089391,15,0.369592,-50.3343582183
-0.381406,0.997789,-18.5654236985,31.2577996657,18.427712585,23.8497945185,0.632144136821,33.845117388,0.138616242564,11.4284,-0.367027686202,0.0191716910291,61.2106497044,0.381952374389,0.381679,12.6038,0.000965323,23.5385212645,0.227476550294,0.381959646474,84.7795555207,16,0.381674,-11.8937777598
-0.383762,0.970217,-36.0616277973,27.6327783316,11.3635274026,29.0944871495,0.628390936283,21.0381042988,0.0156271753799,11.6512,-0.547363472273,0.0171603075499,67.4331544673,0.384975735232,0.384762,12.7674,0.000849079,25.4992886312,0.248054879189,0.384984961611,83.2719475172,17,0.384755,-30.5553417247
-0.417902,0.971531,-36.1118224508,20.6289719094,12.0859548586,19.1764302606,0.449326830552,24.6594796032,0.0454216631471,11.9438,-0.53782280428,0.0176240418432,55.4964376202,0.410714751467,0.410266,12.885,0.00105535,20.9946693262,0.206650558826,0.410721514974,66.2066040605,18,0.410263,-3.04143741688
-0.433565,0.972219,-42.7192326707,13.003476841,6.63367017328,18.6711677936,0.551818656101,15.4794893224,-0.0442286103885,12.1772,-0.617772199605,0.0154649227524,40.0607974281,0.426585830592,0.426509,13.0296,0.000743556,20.5330671384,0.20177151878,0.426591831467,76.2379071598,19,0.426505,-22.1225127561
