AverageDiscountedReturn,MinEsReturn,AverageAbsY,MaxReturn,StdReturn,StdEsReturn,QFunRegParamNorm,MinReturn,MaxEsReturn,AverageQ,AverageAbsQYDiff,AveragePolicySurr,Iteration,AverageAction,AverageQLoss,PolicyRegParamNorm,AverageEsReturn,AverageReturn,Epoch,AverageY,AverageAbsQ
-2.10072422058,-350.19103534,2.5949608494,0.328944977017,16.1679672515,23.5007302875,11.4924,-54.7660716802,-259.703983592,-0.682435,3.28441522702,0.0934753,9,0.00335689,16.8261,11.7095,-305.385102182,-6.41164056135,9,2.5949608494,1.28435
-62.0912111205,-286.963877472,1.02588235214,-599.218389452,1.03138905064,0.0,11.9441,-602.958048601,-286.963877472,0.907766,0.418302038428,-1.93342,10,0.997637,0.369441,12.1313,-286.963877472,-600.911414608,10,0.921077161161,0.988021
-63.7734302835,-300.340339664,1.0788833478,-584.030481016,31.0832312423,0.0,12.4232,-654.799600487,-300.340339664,0.979162,0.281883323595,-1.76018,11,0.952444,0.140491,13.4466,-300.340339664,-606.132801428,11,0.986105757872,1.04273
-28.3959533593,-463.907795437,1.25323754351,-277.922784241,76.7337380064,0.0,13.2926,-562.827388259,-463.907795437,1.11463,0.29198358192,-1.68384,12,0.824022,0.153986,14.6525,-463.907795437,-360.330110757,12,1.11442368287,1.21136
-38.0049220654,-363.691965976,1.30647332248,-423.534333801,8.88749952683,0.0,14.0985,-453.435869804,-363.691965976,1.18583,0.307287350958,-1.81081,13,0.673419,0.168338,15.3947,-363.691965976,-441.300406404,13,1.18648229509,1.26918
-23.7617937777,-347.14969538,1.45810437132,-290.267160481,23.8633174083,0.0,14.8135,-357.531340613,-347.14969538,1.33577,0.318930414516,-1.96594,14,0.787893,0.181089,16.0914,-347.14969538,-320.184889403,14,1.3384014334,1.42383
-3.53037804023,-392.829049284,1.59410693414,-114.239973925,54.2117627128,0.0,15.5095,-265.795284524,-392.829049284,1.43293,0.336086882741,-1.89543,15,0.484856,0.203784,16.5511,-392.829049284,-200.959295681,15,1.43405934415,1.55617
-24.7692482959,-239.455839449,1.67281216413,-195.643404982,28.4037328577,0.0,16.2299,-303.506200815,-239.455839449,1.46279,0.340087583543,-1.85195,16,0.432214,0.2142,16.7043,-239.455839449,-238.986116363,16,1.46363294495,1.62994
-17.3485612463,-196.952472425,1.72086346255,-105.899116504,54.9092865776,0.0,16.8967,-271.365000451,-196.952472425,1.48502,0.336155978,-1.8584,17,0.290453,0.213537,16.8367,-196.952472425,-164.87511252,17,1.48615095474,1.67922
-5.51762745669,-194.5388587,1.78712414945,-41.4283912163,28.6409817384,0.0,17.56,-126.07857686,-194.5388587,1.54237,0.341945578535,-1.94935,18,0.219097,0.228637,17.0668,-194.5388587,-84.9568499667,18,1.54281420011,1.74629
4.63643328261,-214.055420601,1.86515592987,-38.2326137014,4.18467288215,0.0,18.2205,-55.9653865665,-214.055420601,1.63813,0.342012478643,-2.06507,19,0.113922,0.230036,17.4147,-214.055420601,-46.4748220117,19,1.63997187647,1.82734
