AverageDiscountedReturn,AverageQLoss,StdEsReturn,AverageAbsQYDiff,AverageAbsY,AverageY,PolicyRegParamNorm,QFunRegParamNorm,MinReturn,AveragePolicySurr,MinEsReturn,StdReturn,MaxReturn,AverageReturn,AverageAbsQ,Epoch,AverageQ,AverageEsReturn,AverageAction,MaxEsReturn,Iteration
111.127472875,0.679332,52.638985042,0.357347668519,11.1047320354,11.0910465531,20.1153,21.7298,165.275320097,-12.1237,11.7473742873,2.1363625976,174.437789111,170.951817625,11.1071,19,11.0891,145.706552142,0.711356,174.229481394,19
111.954134436,0.750739,28.5035456737,0.395139186509,12.765605049,12.7539332709,21.2935,22.8768,169.674218724,-13.8905,91.5296118351,1.46642832873,175.309995413,172.593465197,12.7687,20,12.7517,159.027760283,0.798282,178.096883765,20
112.517164666,0.918995,33.497368928,0.434470085603,14.456432825,14.4472079887,22.5798,24.0839,171.037522856,-15.7049,52.5175205417,1.26303977529,177.339986354,174.613373918,14.4593,21,14.4446,160.482210163,0.575318,180.328410976,21
110.585770577,1.09055,46.4150664208,0.479170904473,16.2629898068,16.2559296249,23.5362,25.15,162.624852222,-17.6327,9.16329900622,3.09693829517,174.630100368,169.614060435,16.2684,22,16.2536,154.47652056,0.591401,186.512389071,22
110.306449928,1.27217,46.4670693238,0.509843318459,18.081360889,18.0745594805,24.3163,26.2445,161.220466429,-19.5105,10.1855098704,3.04607921653,174.499601373,168.991338533,18.0848,23,18.0708,156.26930189,0.603644,185.228635654,23
111.490163173,1.29047,33.0378259176,0.521331999109,19.9160606248,19.9101315949,24.9637,27.306,167.512284127,-21.3922,89.2586862032,1.13078673092,174.241755076,171.382420365,19.9244,24,19.9082,153.485274595,0.714812,180.021894371,24
110.461256471,1.39983,32.6026232473,0.545497766244,21.7069860177,21.7012703944,25.7795,28.3112,161.488365159,-23.2263,85.4780162439,1.91662643072,172.394847596,169.353075844,21.7137,25,21.6973,162.059618598,0.759887,186.205001653,25
112.125108233,1.49195,42.6812445591,0.567283221922,23.5670834737,23.5611311461,26.4398,29.2639,167.826195021,-25.1398,49.3802467032,1.89086887773,177.009227869,172.99634564,23.5779,26,23.5595,143.398113215,0.664029,173.902283018,26
111.205234217,1.83422,43.1134040936,0.601296328382,25.3411161365,25.3361508529,27.0615,30.1293,159.06045312,-26.9546,39.0172696441,4.27427371247,177.205780054,171.032492651,25.3486,27,25.3314,142.957079341,0.703707,181.632269758,27
112.312746035,2.012,49.6199706573,0.6525317288,27.0437458616,27.0383732004,27.6932,31.0456,166.556906388,-28.6586,14.0626686991,2.01059267313,177.376113888,173.804312912,27.0549,28,27.0352,140.071083709,0.770029,176.872289887,28
112.359122489,2.12412,51.8646184022,0.662503137453,28.7450047857,28.7393079533,28.3322,31.9417,169.901602212,-30.3632,19.3966746953,1.73828708724,177.643318736,173.907769667,28.7557,29,28.7358,138.756589498,0.779092,191.075627811,29
111.908249321,2.53844,47.5789585768,0.71166679296,30.3144713604,30.3083578458,28.95,32.7865,163.973208193,-31.983,41.0700510508,3.03561600866,177.996890845,173.03540644,30.3269,30,30.3042,150.726597819,0.756973,179.417022763,30
112.508977173,2.42448,60.2269941074,0.71713169874,31.9548998792,31.9478771805,29.6364,33.6621,168.011860837,-33.6869,19.3083921182,1.91469034991,180.172706715,174.481119049,31.9687,31,31.945,144.331199654,0.740377,214.857340004,31
