AverageAbsQYDiff,AverageQLoss,MaxReturn,AverageEsReturn,PolicyRegParamNorm,MinReturn,Iteration,MinEsReturn,AverageReturn,Epoch,AverageAction,AveragePolicySurr,AverageDiscountedReturn,AverageY,QFunRegParamNorm,AverageAbsQ,StdEsReturn,MaxEsReturn,StdReturn,AverageAbsY,AverageQ
1.73504339237,3.33156,9.34328194323,9.86531761914,11.2295,9.08110742717,9,3.23202654622,9.21544341107,9,0.219782,0.032223,8.79135532121,1.45509086674,11.1299,0.323821,6.79675106381,79.1654774509,0.0472429971812,1.45509086674,-0.279953
0.118110180176,0.0525639,5.41783216991,5.05411078191,12.1534,5.11810323532,10,2.41749002946,5.29753058054,10,0.999402,-1.22772,5.13635416368,1.16055600483,11.4613,1.15892,2.65211109473,18.3972475081,0.0422491532784,1.17119944984,1.1513
0.0679974934002,0.011889,5.41612508586,7.35371491379,12.7386,5.07887763417,11,3.4856103264,5.29818892166,11,0.999998,-1.33373,5.13702150496,1.34156056657,11.8826,1.356,3.267886518,25.8021795226,0.0420006083858,1.35623690971,1.3411
0.0778312469176,0.0179978,40.7243894596,12.8949124414,13.049,36.7827308431,12,4.45909038466,38.805019369,12,1.0,-1.80435,34.4846592444,1.71124234591,12.5828,1.73511,12.9833709644,45.5238655053,0.909695477472,1.73452694868,1.71064
0.130423817033,0.0831144,40.5756622336,43.1246620343,13.0663,36.6165712705,13,8.71214782586,38.7089096884,13,1.0,-2.99847,34.4084675712,2.59955791816,13.8782,2.62361,8.87589912196,74.677593797,0.899261358306,2.62354342596,2.59807
0.180620581502,0.172236,40.6551193159,41.7053594405,13.0779,36.7058039994,14,4.23567709049,38.8489668193,14,1.0,-4.24841,34.5179934789,3.74628336505,15.461,3.76582,8.94604713463,69.6262928518,0.939395178364,3.76526823527,3.74459
0.220718190949,0.238417,139.412706175,44.940637989,13.968,132.640630969,15,15.7208380973,137.12953977,15,0.469144,-5.54513,95.3247556219,4.93120039506,16.94,4.94818,16.29255251,109.829839935,1.60547662847,4.94639659556,4.92993
0.246218043835,0.270359,149.553467464,121.643001452,16.0624,34.4839002219,16,3.78898969195,107.082969055,16,0.711981,-6.98283,76.0276617983,6.19375025567,18.2503,6.20904,58.7906923891,185.207283521,52.111423144,6.20755782248,6.19166
0.294945225289,0.400043,175.077317734,134.013401945,17.3093,152.469948647,17,12.53219858,170.602500999,17,0.764356,-8.50072,110.489375769,7.6073726255,19.4936,7.6223,58.7921622394,206.161399764,5.34548463212,7.6191616951,7.60564
0.346284140406,0.574547,173.830665033,148.326095264,18.4774,169.927783185,18,58.531796993,171.697668985,18,0.789098,-10.1204,111.248589556,9.08890386203,20.571,9.10094,39.8542217007,183.785329125,1.02638456055,9.09778629735,9.08665
0.375914147592,0.706708,181.701058352,159.436543361,19.0751,152.441668978,19,59.6891081252,173.082946865,19,0.586732,-11.8044,111.581782902,10.64298683,21.703,10.6559,33.1039042103,184.100647608,10.9198412215,10.6515948762,10.6406
0.418953911613,0.844714,182.853131902,168.873047411,19.9669,179.480163299,20,66.3149314148,181.289080852,20,0.535775,-13.6292,115.123923664,12.3634388458,22.8577,12.376,32.0809743049,190.384867697,0.74309047322,12.3705987219,12.3606
0.472318886304,1.18987,186.275819809,170.867963016,20.8618,156.82646914,21,77.8642132833,172.596762315,21,0.420593,-15.4662,111.559370082,14.0956619798,24.085,14.1086,29.1488122705,191.118074973,12.2732972614,14.1028242131,14.0926
0.509494965839,1.30447,191.266237199,163.62149196,21.7557,174.07907381,22,51.121152947,186.667780995,22,0.480248,-17.321,117.271278347,15.8566188293,25.2684,15.8715,41.6912106876,214.392604073,3.61683657538,15.862901645,15.8539
0.583654236486,1.8093,195.082433352,172.528922704,22.5791,164.380214448,23,101.521839537,185.744225961,23,0.504507,-19.2555,116.932783965,17.6817272479,26.5946,17.6951,22.2582031669,187.097553826,7.90920761647,17.6868887502,17.6782
0.594558233545,1.7523,188.21775302,150.611116038,23.3597,178.361112161,24,53.0887641901,183.441551525,24,0.550354,-21.0793,115.951492683,19.4592718522,27.7647,19.4742,46.7529305598,203.150444623,2.58653426051,19.4646433603,19.4566
0.613591831915,1.83632,195.773753108,163.525260189,24.1278,174.359588087,25,74.5053571943,187.063934689,25,0.529492,-23.1183,116.948983776,21.4090365221,28.9568,21.4226,40.5196552437,206.948454455,5.11387291052,21.4135146711,21.406
0.658095131366,2.15132,190.522399339,175.490149574,24.9502,172.564030749,26,124.482940281,183.580143286,26,0.543662,-24.9616,115.816651027,23.2160181906,30.0332,23.2312,18.5746432669,195.648706033,3.31981024521,23.2209853152,23.2129
0.686117978795,2.29559,187.305808465,146.496879249,25.784,175.610460388,27,32.7200499566,182.130816241,27,0.664925,-26.8716,115.520666683,25.0666541976,31.0589,25.0831,60.2994721206,200.735321453,2.82830089713,25.0709344788,25.0627
