QFunRegParamNorm,AverageDiscountedReturn,AverageAction,Epoch,AverageEsReturn,MaxEsReturn,AverageAbsY,AveragePolicySurr,AverageY,Iteration,AverageAbsQYDiff,StdReturn,MinEsReturn,AverageReturn,AverageAbsQ,MaxReturn,MinReturn,StdEsReturn,AverageQ,AverageQLoss,PolicyRegParamNorm
10.2758,-0.00240355572129,0.000239895,9,27.8230033279,91.4243503545,0.060084182805,-0.0500524,0.0593839079044,9,0.0808404006199,0.00016268562911,-29.8531830245,-0.0239655245266,0.0349872,-0.0237862194956,-0.0242376437072,55.5552712325,-0.0214565,0.00916483,10.3184
10.9488,-9.99543481474,0.99959,10,31.6114321114,82.6930786583,0.0284589017543,-0.0286523,0.0279579310179,10,0.0147189509973,0.000498542781492,-19.4702144355,-99.8590217864,0.0289826,-99.85845092,-99.860472324,51.0816465469,0.0270281,0.0460564,11.8107
11.9578,-2.48203203743,0.247293,11,-30.1714616019,-30.1714616019,0.0253158949387,0.0081901,-0.00493473998353,11,0.0189976808212,0.0550829363403,-30.1714616019,-24.7045846333,0.0277252,-24.6490623573,-24.7836046901,0.0,-0.00547789,0.050041,11.9045
13.4295,-0.682604185342,0.0679893,12,12.1422916026,77.343975118,0.0360637676001,-0.000776823,-0.0059998983312,12,0.019148460949,0.0297943006973,-53.0593919128,-6.79212797701,0.0365727,-6.7586223565,-6.82981713001,65.2016835154,-0.00673325,0.0510597,12.3027
14.8024,-7.34849395996,0.737068,13,34.4712262063,79.4379980215,0.0472121077245,0.00445891,-0.0103774331267,13,0.0166727296393,0.471464289926,-10.495545609,-73.6330875588,0.0485446,-72.8293379775,-74.3892859923,44.9667718153,-0.0103229,0.0299802,13.2598
16.872,-0.006622975068,0.000657109,14,24.2155725016,63.3532483968,0.0791998739457,0.0177685,-0.0216269144476,14,0.0187361820706,0.000652371532853,-14.9221033935,-0.0656452154237,0.0792732,-0.0649426540308,-0.0673248767809,39.1376758951,-0.0218326,0.0310579,13.4136
17.7428,-1.1813586291,0.117904,15,38.161482906,85.8390320689,0.0864157684852,0.0155496,-0.0206956064865,15,0.0132308355976,0.00942668414912,-9.51606625684,-11.7786571937,0.0863818,-11.7604673192,-11.7892881513,47.6775491629,-0.020924,0.0114864,14.2045
18.4505,-0.168594083717,0.0168304,16,28.8310002209,74.8400718174,0.0914674090781,0.00868486,-0.0132173398289,16,0.0113211720237,0.00477468087996,-17.1780713755,-1.68136081114,0.0915661,-1.67775592362,-1.69031511959,46.0090715965,-0.0133373,0.00730461,14.6871
18.8136,-1.16147207812,0.116462,17,58.3994400213,89.1106960279,0.112220072211,0.00882113,-0.0155448592086,17,0.0131568092351,0.154409312967,-0.927244277758,-11.634589328,0.111696,-11.5014088126,-11.8860943937,41.9590254565,-0.0156048,0.0110285,15.3916
19.4829,-2.2352448498,0.22259,18,-14.4654729264,-14.4654729264,0.132648350253,0.00643925,-0.0149443585712,18,0.0103143898179,0.180327139219,-14.4654729264,-22.236774673,0.132723,-21.9101203491,-22.4050983763,0.0,-0.0150425,0.0066715,15.8652
20.4354,-1.73661564907,0.170772,19,42.3004235708,84.9520362717,0.141443665979,-0.00887221,0.00220550388042,19,0.012183525809,0.499056561907,-34.6549622083,-17.0600781247,0.141472,-16.163813731,-17.6682294434,54.5222899794,0.0020869,0.0095638,16.3893
21.0485,-0.166468137172,0.0229622,20,37.8141993016,81.1851326081,0.150534988689,-0.0353529,0.0265347093615,20,0.0108851039356,37.4134449753,-5.5567340048,15.9141916568,0.15041,96.0911910415,-1.7947099188,43.3709333064,0.02643,0.00671302,17.3527
21.7365,-0.839679855658,0.0824972,21,70.5493151352,95.3284109877,0.158005517342,-0.0563504,0.0472153624564,21,0.0163286033827,0.171433693359,-12.2738152912,-8.24146685751,0.158243,-8.01048423058,-8.65211624363,41.520577573,0.0471984,0.0191654,17.9162
22.3564,-0.0875848629792,0.0200439,22,56.6546658127,85.3769281104,0.172830402398,-0.0845233,0.0765333786982,22,0.0142723055452,48.7728348361,-0.164930901824,43.534708531,0.173058,96.991646672,-1.1024429636,40.1783321523,0.0764189,0.0167661,18.4972
