AverageReturn,AverageAbsQ,MaxReturn,AverageQLoss,MinEsReturn,QFunRegParamNorm,MinReturn,AverageEsReturn,StdReturn,AverageAbsY,Epoch,MaxEsReturn,AverageAbsQYDiff,PolicyRegParamNorm,Iteration,AverageQ,AverageY,AverageDiscountedReturn,StdEsReturn,AverageAction,AveragePolicySurr
4999.69179413,0.0716097,5000.24705415,23.918,56.8240448991,nan,4998.79910767,147.815798146,0.451043116525,4.93311135781,9,492.85005132,4.86150170428,nan,9,0.0716097,4.93311135781,499.670208507,58.9756766529,nan,-0.074772
5000.30418541,7.44105,5000.66631129,7029.16,4999.01287827,nan,4999.31985654,4999.01287827,0.372483656391,4.90112179355,10,4999.01287827,11.9815891472,nan,10,-0.444445,4.89582987703,500.282599788,0.0,nan,-0.14872
5000.14286913,0.319291,5000.92956238,22.5836,4999.89749483,nan,4999.40329604,4999.89749483,0.492578695109,5.03257033997,11,4999.89749483,4.714607115,nan,11,0.319291,5.02715673906,500.12128351,0.0,nan,-0.319505
5000.13403359,0.589144,5000.92939404,21.8123,5000.2892965,nan,4999.30726915,5000.2892965,0.515805079199,5.22291391835,12,5000.2892965,4.6363934951,nan,12,0.589144,5.21897491374,500.112447962,0.0,nan,-0.589477
5000.04232163,0.998042,5000.82056919,20.6906,4998.79270804,nan,4999.07449278,4998.79270804,0.57569906674,5.50854930312,13,4998.79270804,4.51476593351,nan,13,0.998042,5.50550925447,500.020736006,0.0,nan,-0.998532
4999.9930574,1.57226,5001.18229986,19.2586,5001.26253356,nan,4999.10027185,5001.26253356,0.603902099718,5.91997640198,14,5001.26253356,4.35388540704,nan,14,1.57226,5.91724104026,499.971471778,0.0,nan,-1.57292
5000.05522897,2.30316,5000.9392797,17.9437,4951.45923766,nan,4999.39218609,4951.45923766,0.413651553995,6.49692023619,15,4951.45923766,4.20032211122,nan,15,2.30316,6.49593142963,500.033643351,0.0,nan,-2.30396
5000.42213377,3.14882,5001.26670504,16.7833,5000.53621482,nan,4998.87035427,5000.53621482,0.825370160807,7.19387325646,16,5000.53621482,4.05406499902,nan,16,3.14882,7.1931522734,500.400548141,0.0,nan,-3.14971
4999.84535844,4.06397,5000.74377871,16.0573,5005.04258868,nan,4998.31275483,5005.04258868,0.800212633842,8.01561560573,17,5005.04258868,3.96012854489,nan,17,4.06397,8.01542219462,499.823772817,0.0,nan,-4.06491
5000.24039087,5.01641,5001.04743275,15.5918,4998.99464548,nan,4999.46571497,4998.99464548,0.45524535036,8.89623521025,18,4998.99464548,3.89694756372,nan,18,5.01641,8.89615747466,500.218805242,0.0,nan,-5.01737
5000.11470269,5.98878,5001.1251435,15.3348,5000.05479601,nan,4999.43315404,5000.05479601,0.551229975688,9.81961121288,19,5000.05479601,3.873271481,nan,19,5.98878,9.81961121288,500.093117065,0.0,nan,-5.98976
4999.91156182,6.97066,5000.75409929,15.2047,4999.88447711,nan,4998.86804943,4999.88447711,0.665651653528,10.7637313714,20,4999.88447711,3.86904901166,nan,20,6.97066,10.7637313714,499.889976192,0.0,nan,-6.97164
4999.98899329,7.95889,5001.32975639,15.1277,5000.13234665,nan,4998.87338967,5000.13234665,0.741031302429,11.7297021466,21,5000.13234665,3.86364074096,nan,21,7.95889,11.7297021466,499.967407669,0.0,nan,-7.95988
5000.14397836,8.94914,5001.29733158,15.1634,5002.11883335,nan,4999.74679319,5002.11883335,0.481675391671,12.6897164901,22,5002.11883335,3.8725845465,nan,22,8.94914,12.6897164901,500.122392737,0.0,nan,-8.95014
5000.18249648,9.94146,5000.8691082,15.2045,5000.77654258,nan,4999.39523109,5000.77654258,0.497752594992,13.6671498519,23,5000.77654258,3.87672931586,nan,23,9.94146,13.6671498519,500.16091086,0.0,nan,-9.94246
4999.58353391,10.9345,5000.20581845,15.2555,4999.01180931,nan,4998.84067613,4999.01180931,0.452752934708,14.6376546148,24,4999.01180931,3.87651293602,nan,24,10.9345,14.6376546148,499.561948285,0.0,nan,-10.9355
4999.80185905,11.9293,5001.22740954,15.2847,5000.09112223,nan,4998.77728173,5000.09112223,0.732926757072,15.6387492173,25,5000.09112223,3.87735934573,nan,25,11.9293,15.6387492173,499.780273428,0.0,nan,-11.9303
5000.3324341,12.9243,5001.20076218,15.4527,5000.32123837,nan,4999.03623594,5000.32123837,0.677315993936,16.6048841092,26,5000.32123837,3.88622363883,nan,26,12.9243,16.6048841092,500.310848475,0.0,nan,-12.9252
5000.07168888,13.9184,5001.05493946,15.5417,5002.43336525,nan,4999.28468482,5002.43336525,0.653938686281,17.5889351323,27,5002.43336525,3.88432196228,nan,27,13.9184,17.5889351323,500.050103256,0.0,nan,-13.9194
4999.80405098,14.9134,5000.56208975,15.6533,5000.05776525,nan,4998.47332138,5000.05776525,0.536416779912,18.5762990058,28,5000.05776525,3.88761247153,nan,28,14.9134,18.5762990058,499.782465355,0.0,nan,-14.9144
5000.15280399,15.9051,5001.34021513,15.9601,5000.04471998,nan,4999.34245094,5000.04471998,0.681289866215,19.5324583371,29,5000.04471998,3.90142267691,nan,29,15.9051,19.5324583371,500.131218368,0.0,nan,-15.9061
4999.84592356,16.8968,5000.79779885,16.0232,4993.50318531,nan,4998.92596681,4993.50318531,0.579311896222,20.5190113363,30,4993.50318531,3.89534118947,nan,30,16.8968,20.5190113363,499.824337939,0.0,nan,-16.8978
4999.99641714,17.8893,5001.44141644,16.251,5000.8579511,nan,4999.12829276,5000.8579511,0.66561209026,21.4897620141,31,5000.8579511,3.89914821229,nan,31,17.8893,21.4897620141,499.974831521,0.0,nan,-17.8903
4999.72908409,18.8821,5000.77539488,16.2169,4997.60961777,nan,4998.74258095,4997.60961777,0.677710177325,22.487179904,32,4997.60961777,3.88613904583,nan,32,18.8821,22.487179904,499.707498462,0.0,nan,-18.8831
5000.05257687,19.8763,5000.77851799,16.5973,5000.71159582,nan,4998.66535296,5000.71159582,0.617670753713,23.4535811202,33,5000.71159582,3.89765265925,nan,33,19.8763,23.4535811202,500.030991246,0.0,nan,-19.8773
4999.85489446,20.8687,5001.18462111,16.5371,5001.005428,nan,4998.2554681,5001.005428,0.876569753869,24.447548742,34,5001.005428,3.88163293559,nan,34,20.8687,24.447548742,499.833308834,0.0,nan,-20.8697
5000.10914707,21.8636,5001.38393593,16.4363,5000.60528689,nan,4999.48909494,5000.60528689,0.609173699679,25.4447126607,35,5000.60528689,3.8634496091,nan,35,21.8636,25.4447126607,500.087561443,0.0,nan,-21.8646
4999.88996602,22.8569,5001.01755582,16.8296,5001.58571981,nan,4998.56824788,5001.58571981,0.685977595579,26.4104814888,36,5001.58571981,3.87258619754,nan,36,22.8569,26.4104814888,499.868380394,0.0,nan,-22.8579
4999.54668433,23.8467,5001.080893,17.1544,5000.77480819,nan,4999.01020109,5000.77480819,0.599173996764,27.3862864074,37,5000.77480819,3.87859843806,nan,37,23.8467,27.3862864074,499.525098707,0.0,nan,-23.8476
5000.18005829,24.8349,5001.48656006,17.5476,4999.07463903,nan,4998.98833705,4999.07463903,0.711877137532,28.3500495934,38,4999.07463903,3.88458881151,nan,38,24.8349,28.3500495934,500.158472667,0.0,nan,-24.8359
4999.83961311,25.8262,5001.2585184,17.6368,4975.62623618,nan,4998.70429888,4975.62623618,0.786957491372,29.3347532846,39,4975.62623618,3.87555428729,nan,39,25.8262,29.3347532846,499.81802749,0.0,nan,-25.8271
4999.93637804,26.8165,5000.45078739,17.6918,4999.15450365,nan,4998.62584242,4999.15450365,0.50744778277,30.3204929225,40,4999.15450365,3.8654652923,nan,40,26.8165,30.3204929225,499.914792413,0.0,nan,-26.8175
4999.98862912,27.8084,5000.87825539,17.9257,4999.84650932,nan,4999.04179019,4999.84650932,0.663801626243,31.2994093223,41,4999.84650932,3.86232825983,nan,41,27.8084,31.2994093223,499.967043496,0.0,nan,-27.8094
5000.08789961,28.7979,5000.94525337,17.9943,5000.71958325,nan,4998.97929776,5000.71958325,0.52405718672,32.2816677814,42,5000.71958325,3.8503553864,nan,42,28.7979,32.2816677814,500.066313989,0.0,nan,-28.7989
4999.92172676,29.7884,5000.58026345,18.3059,4987.23857463,nan,4999.08799557,4987.23857463,0.550362538105,33.2552029789,43,4987.23857463,3.85003248907,nan,43,29.7884,33.2552029789,499.900141138,0.0,nan,-29.7894
4999.99122865,30.7738,5001.25405099,18.5451,4999.30916147,nan,4998.3344502,4999.30916147,0.758289350572,34.2314168012,44,4999.30916147,3.84962315523,nan,44,30.7738,34.2314168012,499.969643027,0.0,nan,-30.7748
4999.83852071,31.766,5000.86770943,18.7883,4999.97850045,nan,4998.87570359,4999.97850045,0.552482623093,35.2117022092,45,4999.97850045,3.84591374287,nan,45,31.766,35.2117022092,499.816935083,0.0,nan,-31.767
4999.97971509,32.7531,5000.76386328,18.7895,5002.41571169,nan,4999.05304356,5002.41571169,0.507330056992,36.1970042569,46,5002.41571169,3.83368974168,nan,46,32.7531,36.1970042569,499.958129471,0.0,nan,-32.7541
4999.79067741,33.7416,5000.92587536,19.0616,5000.31113905,nan,4998.76612419,5000.31113905,0.777473073071,37.1705239784,47,5000.31113905,3.82996092743,nan,47,33.7416,37.1705239784,499.769091784,0.0,nan,-33.7426
4999.73581156,34.7301,5000.66428195,19.1948,4995.11909506,nan,4999.09068227,4995.11909506,0.544334783757,38.1495482268,48,4995.11909506,3.82191730997,nan,48,34.7301,38.1495482268,499.71422594,0.0,nan,-34.7311
5000.09001477,35.7169,5001.19551518,19.2847,5000.25262138,nan,4998.76357152,5000.25262138,0.831252320493,39.1293308197,49,5000.25262138,3.81046153538,nan,49,35.7169,39.1293308197,500.06842915,0.0,nan,-35.7179
4999.86008294,36.7024,5000.65441051,20.3195,4995.95264422,nan,4999.15447913,4995.95264422,0.41379874607,40.0771612448,50,4995.95264422,3.8299414873,nan,50,36.7024,40.0771612448,499.83849732,0.0,nan,-36.7034
5000.13713858,37.6856,5001.36257952,20.0364,4995.67250498,nan,4998.76708647,4995.67250498,0.660020273727,41.0695550188,51,4995.67250498,3.81156550172,nan,51,37.6856,41.0695550188,500.115552961,0.0,nan,-37.6866
4999.7336558,38.6704,5000.26082967,20.8421,4999.9257098,nan,4998.82488581,4999.9257098,0.501239486013,42.0272988787,52,4999.9257098,3.82246264576,nan,52,38.6704,42.0272988787,499.712070178,0.0,nan,-38.6713
5000.19620378,39.6543,5001.4088112,20.8651,5000.95425305,nan,4999.31440451,5000.95425305,0.725555096646,43.003479508,53,5000.95425305,3.80749281379,nan,53,39.6543,43.003479508,500.174618156,0.0,nan,-39.6552
5000.17659555,40.6387,5000.87305208,20.8286,4999.61371945,nan,4999.32540113,4999.61371945,0.472676436409,43.9830727101,54,4999.61371945,3.79200908363,nan,54,40.6387,43.9830727101,500.155009926,0.0,nan,-40.6397
4999.6687214,41.6238,5001.35654396,20.6455,5000.79520877,nan,4998.87343371,5000.79520877,0.647989032594,44.9683036523,55,5000.79520877,3.77621735357,nan,55,41.6238,44.9683036523,499.64713578,0.0,nan,-41.6248
4999.92615829,42.611,5000.39853439,20.4661,4999.49570898,nan,4999.39338909,4999.49570898,0.354979479713,45.9562515461,56,4999.49570898,3.75773710377,nan,56,42.611,45.9562515461,499.904572662,0.0,nan,-42.612
