AverageQLoss,AveragePolicySurr,MaxReturn,Iteration,MinReturn,AverageAbsY,StdReturn,AverageY,Epoch,AverageAbsQ,AverageQ,MaxEsReturn,AverageAbsQYDiff,QFunRegParamNorm,MinEsReturn,AverageDiscountedReturn,AverageAction,AverageReturn,AverageEsReturn,StdEsReturn,PolicyRegParamNorm
1.16095,-0.0556831,9.35370526911,9,9.11396704947,0.742022683671,0.0472413289185,0.742022683671,9,0.21845,-0.154859,57.2407705583,0.896881614639,11.1299,1.46056288977,8.80789593614,0.220037,9.23337060495,9.64772102913,6.6389091351,11.229
0.0306962,-0.524678,3.1223666649,10,3.04968990181,0.42887137888,0.0179236371145,0.428034612528,10,0.426133,0.424788,7.15540648219,0.0930297984788,11.3022,2.38966747427,3.03659928129,0.999968,3.08578024352,3.74605789186,0.805844405432,11.687
0.00379793,-0.395552,3.1226103095,11,3.05041303804,0.380447738321,0.0176213703425,0.379648045139,11,0.382668,0.379501,7.55037292547,0.0367928365881,11.3833,2.73600147575,3.03695751512,0.999989,3.08614998258,3.65713788975,0.69248970464,11.803
0.00147188,-0.368714,6.01724962567,12,5.69153860359,0.375548960865,0.0625941921399,0.374122106678,12,0.377746,0.374081,10.7070869382,0.0249761256771,11.4461,2.91220398047,5.67791577755,0.999974,5.8366744737,4.27003583609,1.43357925668,12.205
0.00133365,-0.440634,6.02508486047,13,5.69971474564,0.404112200581,0.0598175548406,0.40124723384,13,0.405741,0.401233,16.3102333137,0.0241822619292,11.5867,5.35661376523,5.6754929913,0.999998,5.83428825023,6.9582804893,1.88309059758,12.2374
0.00116119,-0.465837,40.7418497005,14,36.6441608784,0.435117698093,0.969549561519,0.432225673385,14,0.435969,0.432182,45.0877136855,0.0218141865668,11.7557,4.61519712128,34.4443490212,0.999994,38.7513181457,9.09685602113,8.26717043838,12.4104
0.00345396,-0.669451,40.8919782434,15,36.7173671818,0.549654898078,0.946414818821,0.547344673677,15,0.550422,0.547162,52.3665259407,0.0292536669545,12.0129,37.3178880141,34.4747842411,0.999999,38.7900012234,41.8613344428,3.60995178824,12.4308
0.00589596,-0.849686,40.8126066638,16,36.6318491838,0.724538486801,0.988336349675,0.723201937668,16,0.725219,0.722931,45.5800024915,0.0360687806929,12.504,7.47728570618,34.4363218525,0.999988,38.7424239392,40.1053104438,5.60043959471,12.4204
0.00738249,-0.999333,179.57920656,17,131.065815301,0.862400356505,10.9369351689,0.861211454258,17,0.863177,0.860802,188.38289818,0.0426869965739,13.0844,7.61297251761,98.5044059225,0.910885,143.224596533,79.2328145687,58.6950613173,13.9582
0.00841206,-1.15912,177.583763901,18,160.519034763,0.999178230408,3.90268671411,0.998349096384,18,0.999837,0.997986,163.933130374,0.045685835718,13.6285,57.9381588397,110.984273477,0.786626,171.062531597,112.940017177,35.5037618134,15.1475
0.00997529,-1.29897,45.0845733106,19,41.9973818716,1.13405970898,0.705471432061,1.13348838242,19,1.13452,1.1331,204.023853022,0.0501580935655,14.1592,38.2325331305,37.9753801018,0.840389,43.241104416,105.275970338,47.7579595396,16.0144
0.0117888,-1.46109,67.0175887739,20,37.0746015853,1.28319448525,7.11004201089,1.28264180183,20,1.28362,1.2822,175.93846548,0.0520539183695,14.6214,54.4036246709,38.0227867998,0.819421,43.4007351652,141.701068128,45.6152252511,16.7766
0.0135592,-1.62044,177.421919079,21,169.256961161,1.42685590989,1.41039603193,1.42627416333,21,1.42733,1.42587,225.243087499,0.0557001026541,15.1485,38.1358577421,112.556975966,0.866931,174.457238684,156.273072214,49.8659711502,17.6511
0.0171729,-1.80587,173.123122963,22,164.404370724,1.59984149541,1.86706424665,1.5992306936,22,1.59993,1.59844,198.155267563,0.0596618707891,15.6381,39.4280703304,110.141153104,0.875121,169.884809887,145.200213078,48.1664901368,18.2083
0.0197527,-1.97113,283.915169136,23,179.978358284,1.75217505768,34.4916206208,1.75164799906,23,1.7528,1.75133,205.732773947,0.0641732160466,16.1899,38.5501544599,141.040208133,0.568903,253.068626664,139.328160229,53.9837866458,18.869
0.0260792,-2.15711,328.240281828,24,131.6543058,1.92663491988,55.6917335827,1.92605441145,24,1.92696,1.92526,319.449878095,0.0711522332637,16.7612,76.4790617365,135.959687721,0.788187,241.040144522,198.030186804,58.7481392422,19.6124
0.0279766,-2.33512,186.148996219,25,172.531595632,2.09290379859,2.77505877009,2.09230712398,25,2.09351,2.09169,269.328578343,0.0735782942299,17.3195,3.84556075927,113.47974938,0.673327,176.647426212,167.859933895,65.6508426277,20.5452
0.0349714,-2.5063,266.613521186,26,192.452437103,2.26446448029,14.4827091135,2.26380388171,26,2.26495,2.26296,223.386665331,0.0811341397377,17.8732,32.7861860956,136.351663605,0.6268,234.459096541,153.235576508,52.0756497198,21.2654
0.0386614,-2.68973,286.624678536,27,223.604668901,2.44707622988,10.5083176647,2.4465623791,27,2.44786,2.44595,264.329655869,0.085028694898,18.3811,26.1795370077,141.313839373,0.734467,250.085445536,157.325604755,63.3210130987,21.8837
0.0424832,-2.85344,294.101075186,28,160.520339188,2.60530234957,42.4809610878,2.60479091985,28,2.60603,2.6039,264.520638458,0.09036713093,18.9362,8.47436483893,129.430309851,0.718815,220.872471154,173.032120514,68.7154464761,22.5108
0.0510999,-3.01954,249.591028626,29,223.266677813,2.77799780882,5.53425671567,2.77747774332,29,2.77889,2.77682,281.401123921,0.0969993569187,19.5518,14.3360773677,135.468951127,0.763879,235.217621589,150.408583576,83.4236782307,23.2179
0.0513741,-3.20366,294.449112873,30,260.247414943,2.94615413126,6.71041573303,2.94572217739,30,2.94705,2.94493,236.834011995,0.0960857742645,20.0747,110.819088476,150.286538953,0.683221,277.976668133,187.759070457,35.2284309178,23.8357
0.0551293,-3.35356,283.325066315,31,247.773632933,3.10285987686,7.34065435794,3.10232175141,31,3.10392,3.10165,287.267553028,0.10393092824,20.6258,40.8582252183,145.434948223,0.730902,267.359011583,184.186394501,69.4087421057,24.3698
0.0707252,-3.51096,262.245699454,32,241.199496248,3.26520749978,4.13807027281,3.26474163086,32,3.26655,3.26369,266.469499334,0.113286674697,21.1583,24.259693952,140.653853058,0.778945,252.840857747,162.158436368,77.3753075388,24.893
0.0708078,-3.67099,285.645141399,33,268.980588498,3.42786381151,3.61744495528,3.42728890377,33,3.42935,3.42656,286.091552176,0.112866008702,21.678,87.0600395117,148.375140702,0.720602,275.923936636,216.802408892,69.7295506175,25.2747
0.0758657,-3.83029,268.742685168,34,249.321092031,3.57548696177,4.21222376123,3.57498526812,34,3.5769,3.57386,378.882319988,0.118580981172,22.1207,245.849123899,142.993789141,0.763533,260.144588056,281.121804016,50.484344195,25.7169
0.077754,-4.01414,257.479183418,35,41.9324002665,3.75554320288,23.4444521562,3.75501284765,35,3.75675,3.75397,356.60347417,0.121526132929,22.582,45.546515598,139.243169447,0.803585,242.770437692,214.789263489,97.4611770098,26.1861
0.0874751,-4.19547,305.711690445,36,242.872056895,3.92690878875,14.7825071325,3.92643515099,36,3.92911,3.92604,291.207595613,0.125926023303,22.9885,25.4311315648,148.148841354,0.750542,279.506153972,188.963889428,89.0638145206,26.6816
0.101182,-4.35595,248.687269827,37,235.002562209,4.08384412403,2.43481301379,4.08330571555,37,4.08587,4.08222,304.619253386,0.136643044511,23.4926,20.7002527539,138.949566625,0.74399,242.836666568,183.012512036,97.729219166,27.052
0.10863,-4.56678,267.116562783,38,230.423907811,4.28537500035,8.75193731699,4.28467611955,38,4.28792,4.28401,328.808906943,0.14192670964,23.9589,56.3699070988,139.764585156,0.682578,245.045058029,231.304563027,85.0969101576,27.4165
0.106136,-4.76087,286.839494699,39,249.598844419,4.47420718823,7.26925465715,4.47340880664,39,4.47636,4.47227,284.322644529,0.142649421252,24.4339,128.112675634,144.518936122,0.675189,267.05440024,230.410035408,55.9071227485,27.7965
0.116992,-4.97602,330.278945981,40,221.659337192,4.68692673154,29.3199627294,4.68608874783,40,4.68944,4.68547,351.484982369,0.149861601384,24.863,116.553931318,144.561654665,0.619979,266.111272085,267.062174128,66.5955104353,28.111
0.12992,-5.16013,270.481650303,41,224.779721915,4.86980668016,8.0068867383,4.86914593915,41,4.87194,4.86725,357.975640991,0.15458822821,25.2781,9.23150293258,141.371931294,0.649792,256.585306625,223.943748334,94.9112795083,28.4286
0.135472,-5.36562,264.097049333,42,243.966064894,5.07024820907,3.83961939485,5.06957448795,42,5.07318,5.06865,366.833821181,0.160672960258,25.7467,41.6702223226,141.379199784,0.722805,253.677708053,198.942298136,89.1211602713,28.7941
0.147047,-5.56899,272.114563617,43,38.6366784834,5.26346129265,81.8046168084,5.2624834797,43,5.26631,5.26159,456.238520517,0.164480609024,26.1325,10.3382479965,54.7830995508,0.783927,78.2659539703,247.067138691,111.582742059,29.1599
0.154471,-5.73992,260.503725921,44,236.812035465,5.43702246624,4.18548856808,5.43628996217,44,5.44074,5.4352,393.927343344,0.168059545677,26.5156,11.8997544504,139.105572274,0.730993,251.69210629,190.892886027,120.196007596,29.477
0.156271,-5.94732,363.991306151,45,314.755028843,5.6427619722,11.4189215467,5.64210810904,45,5.64581,5.64133,274.092689834,0.167761610796,26.8752,50.9952229025,170.859562675,0.728917,348.788799494,153.223389151,73.0134713476,29.8113
0.166572,-6.14587,286.298967712,46,172.154495867,5.82977551052,27.1167717884,5.82875906528,46,5.83275,5.82741,347.547868311,0.17738098442,27.3169,36.9194132502,126.614022598,0.743975,210.579186837,184.031490171,108.202764568,30.1299
0.172365,-6.34437,264.222179724,47,237.118794983,6.02803833663,6.18354387376,6.02680849691,47,6.0312,6.02589,303.702194907,0.179070743654,27.652,18.1595139659,139.749874841,0.668854,252.630626535,179.22499054,77.5699946739,30.4575
0.197289,-6.53083,258.113437685,48,240.40223001,6.20811684805,3.67518819622,6.20648308265,48,6.21154,6.20467,366.758977654,0.188448934654,27.9994,12.4639080278,138.448550152,0.72759,248.094679667,196.677480163,110.172544914,30.71
0.213309,-6.69992,259.726753911,49,240.370404174,6.36789528447,4.61180712404,6.36687869229,49,6.37175,6.36534,394.567878911,0.197142308873,28.4237,49.6879372014,139.261676884,0.709193,247.79723701,210.796493334,101.899230326,31.0312
0.228221,-6.93112,354.443319879,50,234.470682378,6.57997059755,28.0252049947,6.57878316351,50,6.58359,6.57778,370.155382517,0.200111130515,28.8493,45.9375175613,142.023189415,0.778937,258.464126635,217.235355062,104.092573401,31.266
0.208273,-7.16007,258.687412061,51,230.114756813,6.80937524902,6.94318919081,6.80860849846,51,6.8131,6.80783,330.67111048,0.200298301397,29.1807,9.09976431449,137.36672178,0.608324,245.341373453,175.633932874,109.267234571,31.5489
0.242945,-7.334,279.703894493,52,262.485322139,6.97190995113,3.98697845197,6.97116288104,52,6.97398,6.9687,283.747385843,0.212360918239,29.5274,7.28215546994,144.415145465,0.725662,270.418494855,159.092055537,94.6750012004,31.7805
