Epoch,QFunRegParamNorm,MaxReturn,AverageDiscountedReturn,StdEsReturn,AverageQ,MinEsReturn,AverageAbsQ,AverageAction,AverageQLoss,AverageY,AveragePolicySurr,MaxEsReturn,StdReturn,AverageAbsY,MinReturn,AverageEsReturn,PolicyRegParamNorm,Iteration,AverageReturn,AverageAbsQYDiff
41,30.6387,1083.32479684,136.309398866,0.0,17.4636,598.938323863,17.4636,0.807564,1.55236,17.4709118713,-18.6178,598.938323863,260.056890778,17.4714928384,288.551661765,598.938323863,28.57,41,652.525407664,0.818695028024
42,30.948,2452.21010168,200.935687637,0.0,18.6494,384.049311414,18.6494,0.81479,1.51537,18.6564584122,-19.7843,384.049311414,624.150360349,18.6572343779,826.927180367,384.049311414,28.9331,42,1934.16098067,0.819150018921
43,31.2843,1459.14056462,136.19624292,0.0,19.5604,708.480120335,19.5604,0.789378,1.47806,19.5658307458,-20.7042,708.480120335,383.346255654,19.5664045816,398.709882748,708.480120335,29.2995,43,798.315908706,0.817194985081
44,31.6342,2616.71502655,196.496182457,0.0,20.4919,468.822529546,20.4919,0.820196,1.5622,20.4986115127,-21.6369,468.822529546,751.566673569,20.4992291446,265.352469137,468.822529546,29.687,44,1966.62360044,0.826989040983
45,31.9981,2306.29978968,174.230670223,0.0,21.3611,676.43050999,21.3611,0.831989,1.58679,21.3665840334,-22.5245,676.43050999,609.734303542,21.3671206694,614.77987645,676.43050999,30.0255,45,1689.65989417,0.827495797607
46,32.3681,1718.02275894,179.588059454,0.0,22.2791,295.272589572,22.2791,0.80171,1.60714,22.2850922166,-23.4307,295.272589572,397.508438038,22.2857840796,540.095484412,295.272589572,30.3822,46,962.295282495,0.845597842059
47,32.7411,2578.69181402,154.604212642,0.0,23.1172,627.430079598,23.1172,0.793664,1.86883,23.1240473041,-24.2737,627.430079598,672.776256705,23.1244964103,333.336250448,627.430079598,30.7367,47,1132.1713564,0.864438562241
48,33.1268,1296.71741786,178.981737687,0.0,24.2049,440.413386757,24.2049,0.790811,1.85159,24.2115140408,-25.4043,440.413386757,265.359958598,24.2121580083,561.79510995,440.413386757,31.0707,48,844.804665657,0.874261374754
49,33.5738,1695.514727,105.984599798,0.0,24.9886,1003.61650166,24.9886,0.764982,2.0852,24.9963176121,-26.2043,1003.61650166,395.774599112,24.9969992267,251.338052604,1003.61650166,31.4002,49,836.218611136,0.894025862979
50,33.9648,3005.62196472,235.437139937,0.0,25.9607,401.873988887,25.9607,0.834388,2.10095,25.9673306386,-27.1622,401.873988887,524.999889265,25.9679607415,1018.98768399,401.873988887,31.6978,50,2523.76336442,0.916109203638
51,34.3543,1911.38422236,130.476722706,0.0,27.1791,411.051167608,27.1791,0.803324,2.13616,27.1865290703,-28.3623,411.051167608,566.328268811,27.1871209527,429.566505259,411.051167608,32.0362,51,1173.10366836,0.926748424906
52,34.7612,2423.1971492,198.474931999,0.0,28.2753,1182.45663015,28.2753,0.841827,2.34,28.2805908276,-29.4534,1182.45663015,176.793399504,28.2812319491,1839.04052269,1182.45663015,32.2902,52,2230.75063808,0.948686029719
53,35.148,2337.41676265,168.408602249,0.0,29.1642,540.155321595,29.1642,0.829009,2.59258,29.1724334161,-30.3946,540.155321595,508.108447376,29.173169671,537.715775313,540.155321595,32.6273,53,1860.90833415,0.970074270241
54,35.5554,2628.67293399,197.014577982,0.0,30.4933,412.370424867,30.4933,0.855214,2.68734,30.5014538131,-31.7006,412.370424867,372.649948881,30.5022289094,1296.78441013,412.370424867,32.8931,54,2322.09545399,1.0011544178
55,35.9332,2962.02130626,230.481419002,0.0,32.4346,2034.46597653,32.4346,0.859701,3.03599,32.4414212801,-33.6631,2034.46597653,95.0784410757,32.4420133138,2643.57659132,2034.46597653,33.1661,55,2792.77912325,1.04005883857
56,36.3819,2983.90912549,211.7375631,0.0,34.1098,1896.2815427,34.1098,0.868004,3.41712,34.1182647885,-35.3454,1896.2815427,391.16891864,34.1185875798,1487.5993437,1896.2815427,33.5469,56,2503.6282344,1.07626339473
57,36.8059,2752.43970424,204.249772854,0.0,35.8961,2038.94477033,35.8961,0.85441,4.02493,35.9046672619,-37.1583,2038.94477033,658.178354177,35.9050956066,891.555454381,2038.94477033,33.8641,57,2030.06164245,1.12380680145
58,37.2271,3047.65822252,238.237878626,0.0,37.4412,895.37457467,37.4412,0.874599,3.45785,37.4482234642,-38.7012,895.37457467,499.480061375,37.4489263088,1270.9075153,895.37457467,34.1287,58,2592.91834299,1.10968059081
59,37.6148,3880.51953496,268.40778805,0.0,39.3163,2234.601349,39.3163,0.866774,3.72843,39.3276898391,-40.5971,2234.601349,404.086233354,39.3283498671,2342.7021128,2234.601349,34.4388,59,3254.78137983,1.15821294549
60,37.9496,3189.16148423,224.621421352,0.0,41.1341,2227.36742674,41.1341,0.848742,4.53827,41.1435116372,-42.4707,2227.36742674,786.872073851,41.1440676433,1011.26698114,2227.36742674,34.7148,60,2605.08817635,1.20102083641
61,38.3412,3020.41206237,235.226234331,0.0,42.8947,2144.97360818,42.8947,0.862929,4.82623,42.9036787365,-44.2445,2144.97360818,638.442634366,42.9043353543,1166.93344223,2144.97360818,35.0229,61,2402.7040552,1.20489747784
62,38.7542,3024.78231063,242.133241615,0.0,44.5318,468.376653038,44.5318,0.875838,4.20145,44.5406991686,-45.8806,468.376653038,428.660558649,44.5413627514,1456.17216372,468.376653038,35.308,62,2629.19407148,1.21279346112
63,39.1362,3539.90804406,284.384269048,0.0,46.3575,2104.07606404,46.3575,0.877745,5.71524,46.3686960595,-47.7489,2104.07606404,302.506913085,46.3694004214,2439.16544027,2104.07606404,35.6234,63,3298.48546485,1.29849903018
64,39.5132,3193.27525167,247.201721381,0.0,48.8714,2170.32394127,48.8714,0.895817,6.01788,48.8838362216,-50.3449,2170.32394127,377.258121737,48.884385253,1765.05655016,2170.32394127,35.9435,64,2834.88968366,1.32088466351
65,39.8909,3465.00439658,257.496458447,0.0,50.8999,2412.02923951,50.8999,0.898028,6.27296,50.9113921516,-52.381,2412.02923951,169.12896616,50.9118070497,2989.08870593,2412.02923951,36.2953,65,3229.54389881,1.33573296122
66,40.3092,3568.43845051,261.396448153,0.0,53.3478,2228.90720169,53.3478,0.892292,8.20499,53.3621354133,-54.8278,2228.90720169,143.948923193,53.3625655567,3022.57986505,2228.90720169,36.6124,66,3334.13613006,1.41758925798
67,40.6707,3237.60935147,243.8453182,0.0,55.1151,2394.3275254,55.1151,0.887962,7.76346,55.126649092,-56.5657,2394.3275254,220.641477744,55.1270003958,2563.30310659,2394.3275254,36.8922,67,2915.91071755,1.40621892183
68,41.0359,3549.00999657,262.847440053,0.0,57.7038,1992.36385496,57.7038,0.893625,6.62018,57.7144194768,-59.2373,1992.36385496,117.66248686,57.7148889248,3158.82627221,1992.36385496,37.1448,68,3291.16454963,1.41574649114
69,41.3632,3621.89821241,255.917962051,0.0,60.0203,2079.62103995,60.0203,0.894807,7.96602,60.0332402765,-61.5191,2079.62103995,190.61002676,60.0336190362,2910.65280785,2079.62103995,37.4494,69,3259.49688261,1.47926677294
70,41.6898,3940.60010902,286.593759336,0.0,61.7758,2251.49882499,61.7758,0.896701,9.92138,61.7920572395,-63.3353,2251.49882499,140.518987918,61.7927003746,3439.53995176,2251.49882499,37.774,70,3649.20771886,1.55935285308
71,42.1102,4010.68556169,295.963543967,0.0,64.401,2474.87606111,64.401,0.898183,7.63771,64.4097160881,-65.9674,2474.87606111,128.753097602,64.410294503,3613.30846879,2474.87606111,38.1278,71,3744.81042597,1.49797277648
72,42.3908,3542.41366337,258.481489693,0.0,66.6615,2493.92608392,66.6615,0.90786,8.23014,66.6744053782,-68.2271,2493.92608392,175.879412752,66.6747993111,2892.64974793,2493.92608392,38.444,72,3353.70387769,1.55028621781
73,42.7816,3815.30584966,295.921519288,0.0,69.1963,2537.3669644,69.1963,0.889282,8.78531,69.2078572072,-70.7757,2537.3669644,301.842917475,69.2083642354,2686.64850699,2537.3669644,38.7027,73,3474.00040862,1.56478749178
74,43.1511,3746.32308395,280.392775831,0.0,71.2557,2605.50088626,71.2557,0.90768,9.09962,71.2681281431,-72.8571,2605.50088626,765.81377222,71.2683673023,1011.07752553,2605.50088626,38.9964,74,3268.47991114,1.58207233537
75,43.539,3789.65066332,286.458394596,0.0,73.908,2798.64280899,73.908,0.912626,13.5442,73.9230842043,-75.5224,2798.64280899,399.102013493,73.923509141,2485.89398874,2798.64280899,39.1994,75,3419.70491851,1.75348393125
76,43.912,3650.74134785,280.290552831,0.0,76.2192,2586.95560599,76.2192,0.906891,10.1861,76.2331784216,-77.8197,2586.95560599,198.095817048,76.2335789172,3003.68017463,2586.95560599,39.4946,76,3327.91681114,1.64763539809
77,44.2288,4168.02003668,327.393750047,0.0,78.4586,2600.93507995,78.4586,0.914614,11.8507,78.4711038546,-80.0791,2600.93507995,124.714740817,78.4716674223,3745.46581835,2600.93507995,39.7686,77,4060.84299914,1.70163264069
78,44.6694,4050.84054522,300.572685604,0.0,81.0981,2479.57221846,81.0981,0.873418,14.435,81.1124292318,-82.732,2479.57221846,676.24042106,81.1128344889,1505.79603369,2479.57221846,40.0022,78,3436.87618442,1.78569590151
79,45.0845,4009.94748253,324.787625961,0.0,83.6687,2714.65370482,83.6687,0.891686,12.9329,83.6790412341,-85.3971,2714.65370482,1137.8102903,83.6793290145,1066.570941,2714.65370482,40.3145,79,3025.13717203,1.77831174329
80,45.3733,3769.11646452,296.228778098,0.0,85.5723,2767.65328366,85.5723,0.876421,12.3229,85.5855366205,-87.3186,2767.65328366,120.423638807,85.5859547847,3402.24976974,2767.65328366,40.5684,80,3553.66263778,1.78064178397
81,45.7558,4204.50634929,333.579059366,0.0,86.9004,1089.65768653,86.9004,0.916704,14.2919,86.9139415345,-88.6551,1089.65768653,442.385775533,86.9145298384,2574.71731184,1089.65768653,40.8432,81,3736.81385228,1.84079977201
82,46.0909,4290.55142517,352.223501197,0.0,89.3955,2900.6436,89.3955,0.910102,12.9126,89.4064330324,-91.1701,2900.6436,171.159621415,89.4069817772,3803.20424909,2900.6436,41.1208,82,4026.98831214,1.83185882211
83,46.4558,4325.93909098,346.093216932,0.0,92.1239,2057.09150589,92.1239,0.881492,17.0045,92.1394888552,-93.9224,2057.09150589,1229.52320373,92.139901963,877.704714528,2057.09150589,41.4101,83,3030.10133772,1.91594351714
84,46.8356,3304.40839308,249.061719134,0.0,94.8193,2927.09734334,94.8193,0.89592,12.1439,94.8286039736,-96.6282,2927.09734334,1140.62966263,94.8290332924,-422.738335532,2927.09734334,41.691,84,2133.70375542,1.84008969765
85,47.2261,4147.6573053,287.039358447,0.0,96.7058,2863.41385326,96.7058,0.893494,19.1673,96.7219421951,-98.5349,2863.41385326,1401.36602026,96.7222752829,227.692973992,2863.41385326,41.9016,85,3003.28769355,2.00675911597
86,47.5593,4205.13465222,332.042627979,0.0,99.9714,2885.90193208,99.9714,0.882468,17.4794,99.9842829106,-101.82,2885.90193208,1055.21183958,99.984864869,545.660922377,2885.90193208,42.2257,86,3699.32591686,1.95436601346
87,47.9059,4354.69730218,344.157602754,0.0,102.947,2771.44013021,102.947,0.903453,13.794,102.960090964,-104.865,2771.44013021,1009.81668406,102.96062336,1279.05500302,2771.44013021,42.5254,87,3777.50231961,1.93853166674
88,48.2942,4061.91553014,312.911000654,0.0,104.54,2772.46112017,104.54,0.899841,20.7352,104.554815299,-106.446,2772.46112017,1224.87003261,104.555505937,690.839988868,2772.46112017,42.7625,88,3081.9665294,2.07010300536
89,48.6331,3865.55033223,280.548293281,0.0,107.355,2268.20912517,107.355,0.878256,19.9606,107.37037745,-109.283,2268.20912517,1193.01962791,107.370778213,334.25066886,2268.20912517,42.9993,89,2707.93144342,2.05456040287
90,48.9763,4438.03858984,354.32181055,0.0,109.828,3038.9575426,109.828,0.90397,20.8471,109.844991032,-111.814,3038.9575426,337.542907632,109.845260963,3174.42923811,3038.9575426,43.2946,90,4134.32313363,2.06107651832
91,49.2371,3849.39944141,269.608623808,0.0,112.041,2836.1225216,112.041,0.85881,20.5844,112.053863214,-114.01,2836.1225216,1432.10470056,112.054119692,182.971688886,2836.1225216,43.5173,91,2587.64242066,2.06292068847
92,49.6092,3488.06538599,275.517703668,0.0,114.932,2821.06903048,114.932,0.889729,23.8327,114.945010825,-116.847,2821.06903048,564.733363191,114.945478094,1625.18328597,2821.06903048,43.7905,92,3076.70014606,2.10816471246
93,49.9736,4089.88887023,318.396879172,0.0,117.133,2959.084272,117.133,0.885626,22.6406,117.149412403,-119.104,2959.084272,548.937619774,117.149877719,2168.08298348,2959.084272,44.0174,93,3490.72884768,2.11073881456
94,50.3335,3750.13901839,259.981418329,0.0,120.699,3071.52348756,120.699,0.85266,26.6038,120.71486563,-122.748,3071.52348756,1295.55788238,120.715450925,-8.82356031337,3071.52348756,44.2671,94,2045.40353709,2.18613544539
95,50.7429,3929.31303658,294.908132475,0.0,122.771,2914.66144492,122.771,0.882063,26.078,122.788712194,-124.779,2914.66144492,143.727894853,122.78912934,3364.96924487,2914.66144492,44.5276,95,3717.65917924,2.1633907847
96,51.1085,4070.17498267,274.515857196,0.0,125.021,3018.83585171,125.021,0.854082,23.8062,125.031742543,-127.071,3018.83585171,1384.75087142,125.032124607,500.735168902,3018.83585171,44.7119,96,2530.39738862,2.17810908566
97,51.4428,5025.60557155,329.951308342,0.0,127.564,3128.19364394,127.564,0.907252,23.2007,127.583238298,-129.622,3128.19364394,1772.78159973,127.583538097,345.110458131,3128.19364394,44.9519,97,3030.21943835,2.15398022148
98,51.7761,4005.2638139,292.205974521,0.0,130.699,3092.56607286,130.699,0.894604,27.3341,130.713997281,-132.752,3092.56607286,659.491838813,130.714342696,1665.77441633,3092.56607286,45.132,98,3522.05804195,2.23801715949
99,52.1496,3872.94360527,264.295045222,0.0,133.492,3118.72497477,133.492,0.884216,29.4942,133.509420065,-135.561,3118.72497477,1184.48880233,133.509842983,10.6698193705,3118.72497477,45.3299,99,1209.52348562,2.28119529429
100,52.5523,4519.56302868,328.279697522,0.0,135.466,3018.55151535,135.466,0.904746,27.7433,135.481188894,-137.541,3018.55151535,1056.76593367,135.481675115,1213.55657779,3018.55151535,45.5815,100,3776.73324908,2.26227697304
101,52.9156,4101.54886158,333.433397006,0.0,137.906,2801.73645192,137.906,0.875696,32.6422,137.920133133,-140.012,2801.73645192,222.616245583,137.92053509,3340.11950899,2801.73645192,45.7797,101,3923.96446159,2.32052154163
102,53.2654,4591.77310565,351.54418119,0.0,140.358,2811.88992849,140.358,0.900116,28.1086,140.373276256,-142.438,2811.88992849,137.816519151,140.373727886,4152.90783472,2811.88992849,45.9715,102,4346.77138893,2.29550872173
103,53.6159,3967.00782274,309.96600374,0.0,142.731,2035.38450937,142.731,0.885488,24.3285,142.744580555,-144.827,2035.38450937,1055.43848292,142.744901152,917.460096109,2035.38450937,46.17,103,2898.09287539,2.24802379439
104,54.0376,4464.16517807,339.088209449,0.0,145.656,3365.71180565,145.656,0.901306,29.8894,145.669458004,-147.802,3365.71180565,1570.21665565,145.669700509,314.026329161,3365.71180565,46.3583,104,3182.97372853,2.32435877589
105,54.3315,4644.17063413,373.414423218,0.0,147.364,3071.21077069,147.364,0.907193,29.1745,147.37968267,-149.537,3071.21077069,450.66111338,147.379933798,3372.15179507,3071.21077069,46.5759,105,4268.0593158,2.31118821362
106,54.6814,4856.09975882,379.769074292,0.0,148.974,312.48759833,148.974,0.901108,29.4084,148.984814109,-151.085,312.48759833,364.301665389,148.98526857,3493.42774622,312.48759833,46.8038,106,4535.83105115,2.29893890385
107,55.009,4400.18564024,324.911077748,0.0,150.838,703.33796506,150.838,0.902436,30.6368,150.856227755,-152.973,703.33796506,1317.25991485,150.856887178,971.006299133,703.33796506,46.9962,107,3046.3907757,2.36672289631
108,55.3993,4807.8431739,313.89938057,0.0,153.454,3017.25890935,153.454,0.899975,38.2775,153.46523915,-155.625,3017.25890935,1729.84506221,153.46546564,175.407123297,3017.25890935,47.2475,108,2704.6736663,2.43651359093
109,55.6966,4628.43607796,319.957791621,0.0,155.788,3204.42254107,155.788,0.899324,29.0179,155.809094978,-157.952,3204.42254107,1523.79777621,155.809427285,402.140626624,3204.42254107,47.4871,109,3286.35458578,2.35004168525
110,56.0041,4671.40217619,341.265640138,0.0,157.699,2287.77392919,157.699,0.904509,37.75,157.713873358,-159.911,2287.77392919,1228.26967942,157.714195689,970.85200879,2287.77392919,47.6511,110,3537.13815099,2.45523001913
111,56.3871,4713.55259941,354.764098503,0.0,159.966,3013.23205583,159.966,0.904369,34.8047,159.982121945,-162.155,3013.23205583,949.602740148,159.982548711,1321.9701536,3013.23205583,47.8771,111,4063.75515077,2.39683493518
112,56.6679,4688.80534089,341.442733277,0.0,162.164,2433.26006214,162.164,0.895589,31.9623,162.177695977,-164.301,2433.26006214,1632.22995613,162.178139075,385.003314096,2433.26006214,48.0508,112,2686.25766618,2.41845283531
113,57.0307,5215.51519263,379.631643299,0.0,164.55,3289.88483329,164.55,0.905464,41.9775,164.567592225,-166.709,3289.88483329,273.676892515,164.567944807,4342.63730739,3289.88483329,48.2673,113,4869.66913556,2.51944658521
114,57.334,4713.60386183,336.299270192,0.0,167.107,2450.0820264,167.107,0.899664,41.2812,167.12391938,-169.271,2450.0820264,1477.13429676,167.124526703,848.807424807,2450.0820264,48.4558,114,3329.97111412,2.53164242773
115,57.698,4539.30931897,337.754125424,0.0,169.646,3235.04900122,169.646,0.8959,40.3623,169.662585812,-171.846,3235.04900122,422.147206196,169.662959045,3001.40779892,3235.04900122,48.5745,115,4135.07781571,2.50915433604
116,58.0465,5159.42423784,380.053769146,0.0,172.911,3164.60739101,172.911,0.911768,37.2916,172.923842807,-175.165,3164.60739101,1400.18171035,172.924231463,259.793805486,3164.60739101,48.76,116,4419.30855969,2.52820593156
117,58.4298,5417.31976091,410.60100099,0.0,174.437,3345.27534596,174.437,0.902249,41.4721,174.449895298,-176.697,3345.27534596,136.907790998,174.45028097,4903.62147103,3345.27534596,48.948,117,5193.32538673,2.58819742132
118,58.8031,5679.16202496,395.400156205,0.0,177.137,3316.24075655,177.137,0.904678,43.3184,177.155940097,-179.386,3316.24075655,1160.47419698,177.156265069,1572.78580473,3316.24075655,49.0953,118,4497.34254165,2.6167764595
119,59.2623,4518.61172212,351.301839932,0.0,179.175,3223.53873526,179.175,0.887443,52.9118,179.194850381,-181.471,3223.53873526,1105.31891313,179.195427223,945.166057008,3223.53873526,49.2847,119,3563.02884283,2.70152709355
120,59.6032,4514.6587953,349.44101448,0.0,181.517,3165.4837726,181.517,0.882036,50.0717,181.530484113,-183.818,3165.4837726,113.663002258,181.530809017,4087.7422921,3165.4837726,49.4982,120,4382.70798087,2.69619820148
121,59.9552,5150.28323793,368.388686895,0.0,183.44,1151.55224923,183.44,0.906295,44.4579,183.458371664,-185.715,1151.55224923,1355.48760447,183.458827788,695.788887054,1151.55224923,49.6828,121,3956.52096642,2.65592048583
122,60.3973,4804.82672182,363.826086242,0.0,186.133,3136.83087595,186.133,0.901735,43.3184,186.150047944,-188.445,3136.83087595,328.580165762,186.150378881,3602.98561467,3136.83087595,49.9048,122,4371.06761965,2.64692536532
123,60.7625,4593.50092082,345.224181217,0.0,187.321,3266.23868134,187.321,0.895624,51.706,187.334810919,-189.611,3266.23868134,1055.89267635,187.3352694,910.806662042,3266.23868134,50.085,123,4066.51179401,2.76786484446
124,61.08,4747.16426063,351.024623518,0.0,188.504,548.388378631,188.504,0.89158,43.7217,188.520348896,-190.738,548.388378631,191.525299253,188.520764163,3992.67206894,548.388378631,50.2896,124,4478.97954087,2.62406502601
125,61.44,5016.73639304,375.908051922,0.0,191.766,3366.94362614,191.766,0.909221,47.476,191.78028615,-194.112,3366.94362614,219.08652119,191.780572538,4326.89981592,3366.94362614,50.5199,125,4662.80639854,2.72051658779
