Epoch,QFunRegParamNorm,MaxReturn,AverageDiscountedReturn,StdEsReturn,AverageQ,MinEsReturn,AverageAbsQ,AverageAction,AverageQLoss,AverageY,AveragePolicySurr,MaxEsReturn,StdReturn,AverageAbsY,MinReturn,AverageEsReturn,PolicyRegParamNorm,Iteration,AverageReturn,AverageAbsQYDiff
9,11.5832,154.19557696,7.09119801279,27.9344224816,0.664872,-234.457104244,0.7338,0.22236,3.25453,1.79857442132,-1.0322,-143.853189119,14.1121684268,1.79857442132,104.270458261,-187.446347126,11.78,9,114.8591392,1.40309972871
10,12.2047,-582.452086505,-56.1427460077,0.0,0.720785,-274.460201006,0.790001,0.97775,0.265371,0.731197679383,-1.88128,-274.460201006,0.64705452609,0.835148091675,-584.847339508,-274.460201006,12.3996,10,-584.0400795,0.361344397589
11,12.8247,-542.350399972,-49.5415243644,0.0,0.830974,-397.535681731,0.932595,0.91818,0.0906604,0.833486846711,-1.86696,-397.535681731,1.69913303006,0.956350926463,-548.287185714,-397.535681731,13.6528,11,-546.000447737,0.226596382564
12,13.57,-401.651646286,-37.0574993877,0.0,1.29069,-435.598683409,1.41308,0.734836,0.100645,1.29296938386,-2.30428,-435.598683409,2.48935891762,1.432599058,-410.179235925,-435.598683409,14.3123,12,-405.669582811,0.235985496689
13,14.4396,-532.998683206,-45.4633667329,0.0,1.72138,-381.274429042,1.87716,0.929496,0.138346,1.722545745,-2.67398,-381.274429042,15.3289380714,1.89681683879,-586.463278172,-381.274429042,15.3097,13,-547.476791545,0.274133518309
14,15.1624,-384.188933194,-22.2257912172,0.0,2.10404,-255.381268651,2.18225,0.750394,0.158623,2.10564039807,-2.88639,-255.381268651,22.383657941,2.20519202337,-463.734948709,-255.381268651,15.8944,14,-432.58940225,0.29922084765
15,15.9031,36.1533002856,-13.6182700312,0.0,2.3957,-351.91473159,2.4638,0.739826,0.170115,2.39742336638,-3.09328,-351.91473159,72.5289885972,2.48297571778,-206.201447845,-351.91473159,16.5313,15,-50.9820104813,0.305046802183
16,16.7109,-161.748253706,-34.7775100253,0.0,2.64431,-395.527577323,2.71334,0.778508,0.209731,2.64616983152,-3.27339,-395.527577323,104.95129719,2.7380610064,-486.456738819,-395.527577323,17.1195,16,-325.273844966,0.334202425599
17,17.5127,-290.406929411,-30.5977299961,0.0,2.81344,-275.191737932,2.90719,0.683781,0.242883,2.81514882156,-3.38208,-275.191737932,27.7451720597,2.93605829634,-377.399981734,-275.191737932,17.6309,17,-344.566455699,0.356558010754
18,18.3071,-0.184992318267,1.45402412407,0.0,2.90994,-384.42167368,3.05446,0.402034,0.262312,2.91186518876,-3.45457,-384.42167368,105.625971028,3.0851524591,-355.388214114,-384.42167368,18.0607,18,-183.756766903,0.373515151689
19,19.0805,7.15787312032,17.9664179001,0.0,3.05734,-302.849804908,3.22538,0.426947,0.296755,3.05917654673,-3.6086,-302.849804908,53.1514381565,3.25757667156,-182.94325288,-302.849804908,18.5305,19,-90.502290828,0.394983623862
20,19.8107,21.9474388145,21.111910208,0.0,3.27997,-105.291432998,3.46173,0.470276,0.31439,3.28177105975,-3.8771,-105.291432998,44.1478541171,3.49144599369,-112.574053568,-105.291432998,19.1121,20,-41.3492143158,0.405739598521
21,20.5178,-15.2154651301,-0.0693694603208,0.0,3.60311,-132.7803631,3.7922,0.220093,0.354936,3.60542433176,-4.2572,-132.7803631,34.4261008288,3.82355341613,-158.27652751,-132.7803631,19.7155,21,-99.1405988503,0.433044881374
22,21.1944,100.761943158,12.0471669614,0.0,3.87384,8.03334361401,4.06511,0.470019,0.393665,3.87674122081,-4.56494,8.03334361401,49.1894882872,4.09771122964,-64.4520061114,8.03334361401,20.3139,22,34.820575793,0.456789132213
23,21.9062,174.616468077,19.8472317182,0.0,4.17149,-165.177449559,4.37397,0.587053,0.436126,4.17428769876,-4.92703,-165.177449559,49.4184232748,4.40854379894,16.3769736386,-165.177449559,20.9017,23,96.0147228381,0.47926382722
24,22.5712,396.232549904,23.2664399792,0.0,4.56983,-144.958228977,4.75846,0.648379,0.478019,4.57368421699,-5.37634,-144.958228977,118.099751721,4.79604263299,-12.4027180044,-144.958228977,21.5687,24,264.377005259,0.500363165685
25,23.1604,155.437015863,18.1301224737,0.0,4.93736,-134.56370311,5.1079,0.392067,0.503634,4.94092590121,-5.77041,-134.56370311,97.6709675318,5.14211076532,-84.9767267367,-134.56370311,22.0681,25,56.7504040263,0.513531573691
26,23.7577,283.253512519,68.2334703982,0.0,5.43957,-51.2981238928,5.58067,0.54696,0.538373,5.44418958316,-6.30257,-51.2981238928,90.6266296318,5.61272244789,0.355806753492,-51.2981238928,22.5816,26,139.208875524,0.528826070295
27,24.3207,150.644503531,45.6511164711,0.0,5.81286,-3.95271646164,5.93418,0.436757,0.569198,5.81665016782,-6.69078,-3.95271646164,25.9141383617,5.96357250129,53.0851380484,-3.95271646164,23.0304,27,89.8889932453,0.542936795469
28,24.8929,598.613307279,51.1539069876,0.0,6.51012,-32.1806296593,6.6059,0.625239,0.657804,6.51526647302,-7.42996,-32.1806296593,124.070858485,6.63114307649,160.771424471,-32.1806296593,23.5464,28,241.405479285,0.571646808521
29,25.4325,470.922512238,81.24191469,0.0,7.07508,308.664713271,7.14615,0.701526,0.694707,7.08000236511,-8.04127,308.664713271,27.9526683732,7.16943162106,388.107169852,308.664713271,23.9915,29,421.663402408,0.591281770713
30,25.9675,547.128663,80.4389880807,0.0,7.75789,107.965346499,7.80777,0.690554,0.747136,7.76348443407,-8.74625,107.965346499,97.7934784555,7.82854824369,195.284250373,107.965346499,24.4255,30,328.716567593,0.605693345187
31,26.4601,1240.42523974,90.3112940794,0.0,8.33812,173.000062105,8.37625,0.774556,0.818348,8.3441068165,-9.34174,173.000062105,357.327401072,8.39447453451,114.942123383,173.000062105,24.8636,31,479.829281358,0.629439218188
32,26.9256,743.256557515,103.201279082,0.0,9.07288,272.16953289,9.09671,0.77489,0.889421,9.0778445405,-10.1147,272.16953289,137.150625129,9.11175165854,296.374364777,272.16953289,25.3049,32,508.328345043,0.644768345881
33,27.4135,1228.85902377,115.401200579,0.0,9.80095,134.884874589,9.81475,0.760579,0.910995,9.80760779209,-10.8577,134.884874589,311.140214278,9.82837224617,177.87155265,134.884874589,25.6476,33,536.340066926,0.659165757164
34,27.8755,748.842191343,83.012483378,0.0,10.4618,308.334008454,10.4708,0.748883,0.984238,10.4670344544,-11.5468,308.334008454,108.483515058,10.4806964126,361.367459117,308.334008454,26.0019,34,506.584664293,0.684398300286
35,28.2795,974.815942148,91.5112408076,0.0,11.2783,343.617535733,11.283,0.774488,1.00698,11.2843344641,-12.3746,343.617535733,239.793217811,11.292225276,218.407972136,343.617535733,26.3772,35,549.429209955,0.701077228157
36,28.715,966.805488381,87.8349923958,0.0,12.3048,298.47423204,12.3082,0.822071,1.10338,12.3101476589,-13.4221,298.47423204,258.474911957,12.3160722003,125.482431876,298.47423204,26.7358,36,382.662453698,0.719958537489
37,29.1079,1700.26398266,143.144311142,0.0,13.2235,544.864017157,13.2251,0.774987,1.11463,13.2288174813,-14.3435,544.864017157,62.3136782018,13.2319795981,1472.62735508,544.864017157,27.0672,37,1602.50219145,0.731406436514
38,29.5325,1871.77290661,159.07021977,0.0,14.1319,356.450216737,14.1326,0.791485,1.25981,14.1376788402,-15.2854,356.450216737,227.68660708,14.1392412536,1095.37902163,356.450216737,27.4415,38,1712.04496632,0.754496759199
39,29.8974,1156.48434563,140.429217583,0.0,15.4439,501.780406263,15.4441,0.789899,1.35719,15.450276949,-16.5883,501.780406263,239.858465206,15.4513563711,397.701171068,501.780406263,27.8395,39,650.554565141,0.777592904411
40,30.2573,2077.75565834,201.765693632,0.0,16.6484,1128.21273812,16.6485,0.816957,1.38994,16.6549667324,-17.7744,1128.21273812,514.291566112,16.656114385,813.934394409,1128.21273812,28.1961,40,1432.94077695,0.792104941761
