Epoch,AverageEsReturn,MaxReturn,MaxEsReturn,MinReturn,AverageAbsQYDiff,AveragePolicySurr,AverageReturn,AverageAbsQ,AverageAbsY,PolicyRegParamNorm,AverageQ,AverageY,QFunRegParamNorm,AverageQLoss,AverageDiscountedReturn,AverageAction,MinEsReturn,Iteration,StdReturn,StdEsReturn
9,9.77174607696,9.34508919012,54.0976440421,9.11039791922,1.73035963655,-0.00239068,9.22076020577,0.282065,1.4946879382,11.2292,-0.235672,1.4946879382,11.1299,3.34164,8.79621103755,0.219387,1.49259949194,9,0.0471310921194,6.57255793567
10,5.92121007778,5.37767220296,22.7282002851,5.07496369612,0.126838571264,-1.27364,5.27389441422,1.19774,1.20986597364,12.4752,1.18914,1.19851722559,11.4386,0.0579407,5.11447252048,0.898482,2.42476351704,10,0.0409978162169,3.01697689421
11,33.6888207309,40.7242648312,54.8528733842,36.7014190171,0.0742637516598,-1.56986,38.7015416055,1.47755,1.47706613453,13.1572,1.45942,1.46008110998,11.8475,0.0162468,34.4021951765,0.99996,4.99115796693,11,0.923139128792,14.3878568153
12,51.3111183221,174.004297208,166.010598259,155.611722993,0.104359059463,-2.3847,165.103002178,2.17815,2.17735311102,13.2527,2.15212,2.15292761159,12.9199,0.0446966,108.888851786,0.708811,4.11466391835,12,3.94569353246,28.2604468533
13,87.1949073397,170.130805946,200.481322748,158.181877906,0.151189683212,-3.516,165.560756863,3.18059,3.1798951494,13.9499,3.15605,3.15722948215,14.3241,0.103814,108.622396975,0.709121,26.3553855235,13,3.16836651399,56.30221382
14,134.20452324,173.407777436,197.057940959,161.991973724,0.198234429296,-4.82463,168.4269486,4.37315,4.37268646891,14.9998,4.3521,4.35384773183,15.7898,0.184513,110.067233147,0.70364,24.641378492,14,2.44707240833,59.5069279316
15,151.497306132,173.961313216,186.927737891,163.001457626,0.245475151509,-6.26212,170.461372078,5.70535,5.70320973452,16.267,5.68656,5.68777480677,17.115,0.324742,110.826146881,0.705022,7.67389779807,15,2.28794716743,53.6241011221
16,138.29491102,175.705986138,184.79130005,162.52221027,0.289660966486,-7.867,168.909439221,7.1778,7.17595441494,17.6141,7.16033,7.16228149852,18.635,0.428462,110.26533567,0.703971,18.5300834305,16,3.57869607619,57.849895786
17,138.673184011,176.480764778,199.087087579,167.131387879,0.328822812221,-9.54326,172.599364428,8.74899,8.746091656,18.8762,8.73394,8.73583214775,20.1439,0.544963,111.772834024,0.722251,10.6187826032,17,2.39488575844,57.8412363558
18,146.495311549,166.229345654,180.157268325,147.724299862,0.369824895751,-11.2556,155.552676123,10.3433,10.3388155332,20.4385,10.3275,10.3297458066,21.5374,0.669834,104.475376648,0.818872,40.4269052938,18,4.38796832764,41.4132932937
