Epoch,AverageEsReturn,MaxReturn,MaxEsReturn,MinReturn,AverageAbsQYDiff,AveragePolicySurr,AverageReturn,AverageAbsQ,AverageAbsY,PolicyRegParamNorm,AverageQ,AverageY,QFunRegParamNorm,AverageQLoss,AverageDiscountedReturn,AverageAction,MinEsReturn,Iteration,StdReturn,StdEsReturn
19,152.36602953,175.797275522,177.615274521,167.824106168,0.414642177632,-13.0744,172.818429807,12.0118,12.0069449295,21.4923,11.9955,11.9978904849,22.9793,0.84795,111.994802735,0.810132,44.2105170076,19,1.7489267948,35.2956552914
20,151.514211859,175.197696545,178.897507035,166.381826177,0.427543954412,-15.0663,171.536769014,13.895,13.8909748262,22.2858,13.8807,13.883300764,24.1761,0.885581,111.530572639,0.82088,56.1046880347,20,1.5656344777,36.4682520893
21,132.471172391,174.958854027,183.329982493,167.82822318,0.472371648568,-16.9293,171.05929464,15.7029,15.6977249426,22.9933,15.6856,15.6885306964,25.3866,1.15283,111.352999643,0.842741,16.6397446951,21,1.40426395642,59.5678161297
22,130.975010809,175.474265769,180.089377046,167.90981002,0.495111945732,-18.8452,171.646841427,17.5442,17.5379736439,23.6381,17.5263,17.529120038,26.4715,1.27695,111.702901048,0.836395,25.502903773,22,1.65168307031,56.5284879121
23,148.317220649,175.796562548,181.986080753,169.735064907,0.541180134173,-20.7086,173.083439152,19.354,19.349801733,24.3332,19.3374,19.3416880777,27.5171,1.68245,112.283849194,0.811867,62.6693541517,23,1.4172958376,40.3835986159
24,127.338889214,176.905432815,188.986676871,168.231628096,0.538959496916,-22.5228,172.407848723,21.127,21.1199392973,24.7122,21.1067,21.1094317482,28.4759,1.58444,111.898135771,0.810304,3.64400583529,24,1.9768842986,58.1840712389
25,162.707578194,197.865413513,230.96225984,183.963558319,0.619154181588,-24.44,191.595032992,22.993,22.9841837388,25.3002,22.9712,22.9744133174,29.6994,2.09058,120.002187403,0.714491,74.5496517825,25,2.88677526693,55.3090017021
26,166.697692913,173.732961298,243.999402786,157.977987276,0.659830037396,-26.3373,163.971023752,24.8813,24.8726709435,25.7652,24.8582,24.8614869157,30.646,2.49226,108.051747434,0.622912,58.2548953189,26,3.25072682246,58.8157583423
27,133.859238511,72.0659847887,207.833258561,66.7479750485,0.747921828251,-28.2236,68.6736906185,26.7114,26.7011876204,26.1833,26.6859,26.6905218478,31.6228,3.4688,56.5319323773,0.750085,25.9555307408,27,0.912290822405,53.4021686659
28,143.419419159,184.340820445,226.429811122,172.852456666,0.769426067969,-30.0835,178.746472356,28.4963,28.4839580116,26.6221,28.468,28.4714468313,32.4522,3.56738,114.494887824,0.634664,18.7628955288,28,2.19763512994,58.8825598783
29,133.816078077,373.816091613,283.878744296,344.917262996,0.864077547333,-32.1733,368.435243786,30.4505,30.4402803888,26.9212,30.4227,30.4292214819,33.3786,4.48906,178.60795847,0.679374,49.4314423917,29,4.60307182054,65.20273308
30,249.757017136,380.902865857,368.039670904,357.570697167,0.959757793126,-34.1323,365.520587336,32.3754,32.3645331641,27.1295,32.341,32.3479953016,34.1512,5.67005,178.043811244,0.649042,65.8506704523,30,2.96978460108,83.072645272
31,182.642129996,366.379535324,357.898711211,352.640615135,0.959130295673,-36.4098,360.468236642,34.5293,34.5145795834,27.5613,34.4816,34.4885148371,34.9231,5.76041,176.269269757,0.71905,64.4531676269,31,2.59858341547,101.365031914
32,184.908855385,373.147116358,365.984494408,363.683110371,1.05403629577,-38.5084,368.822975811,36.6413,36.6215892626,27.9456,36.5924,36.5988974079,35.824,6.82648,179.149559257,0.697627,20.417783486,32,2.27727868342,135.161969586
33,183.449306864,367.494523126,391.671633806,342.971979672,1.08285471587,-40.7453,359.734904512,38.8089,38.7874805628,28.3129,38.7522,38.7583883413,36.5901,6.96983,175.295247541,0.694953,29.1660568576,33,5.35428643939,124.567999625
34,198.396863695,371.878627677,373.724032481,351.528521471,1.14020260553,-42.8391,366.837748443,40.8251,40.8072129999,28.6871,40.7716,40.7812445057,37.372,7.72814,177.62161726,0.73983,43.5712494463,34,4.68852319549,119.100472892
35,193.878921164,373.214760428,356.308537776,357.189678756,1.20209898374,-45.0416,367.777730384,42.9789,42.9609757404,29.1502,42.9274,42.9358957195,38.2118,8.77143,178.421162897,0.764888,41.2838506276,35,3.56729717618,120.747812268
36,219.259489884,372.785695603,372.429246814,345.555153184,1.26852282913,-47.4372,361.932691536,45.3779,45.3573729068,29.5664,45.3302,45.3357249207,39.018,9.72522,175.97988554,0.779518,59.6778173479,36,5.18622317615,123.81852279
37,187.921088848,374.045769901,373.489498171,362.486928013,1.27311434588,-49.4458,366.520658272,47.3432,47.3250868377,29.9445,47.3011,47.3087805974,39.8224,9.92692,178.317927019,0.772584,31.5290305716,37,2.13437470134,102.307744469
38,202.016953234,370.663407427,362.512999972,354.012014053,1.3720076091,-51.5165,360.857103143,49.3497,49.3297822409,30.3694,49.3085,49.3178321307,40.6268,11.3121,175.946440417,0.726829,38.4110958722,38,4.15237548353,119.495833111
39,199.605680972,365.284823036,358.689871044,336.176424428,1.39219713704,-53.7655,345.892926558,51.5057,51.4827256327,30.7015,51.4652,51.4732130475,41.436,11.7334,171.596676736,0.742251,77.827025283,39,6.43448960915,111.982067379
40,212.758966157,326.178909959,391.183335928,302.517222993,1.48284670916,-56.023,310.61350131,53.7476,53.7229105285,31.0885,53.7069,53.714275589,42.256,12.9675,161.040781666,0.793922,45.5666735574,40,4.8005021376,112.139923912
41,195.519462213,329.905809876,346.819760533,305.620564704,1.52751814457,-58.2584,315.82779015,55.893,55.8648630528,31.468,55.8528,55.8597452635,43.0512,13.1792,162.446370472,0.745962,36.7491620108,41,6.50094988083,98.7434497865
42,170.288400961,309.583950126,310.491777323,291.110187654,1.60396301991,-60.3424,299.790946162,57.9418,57.9198514688,31.9622,57.9,57.9120540543,43.8387,15.4363,157.645726018,0.76314,24.4211847785,42,4.34286926766,96.3704963773
43,187.324300753,305.261533049,324.728568863,287.889921286,1.66353861797,-62.4849,293.835495581,60.0764,60.0502041194,32.3177,60.0356,60.0451851438,44.6611,15.6402,155.573343941,0.76562,7.79305881549,43,3.56317693602,106.122191691
44,158.306146937,288.512665931,298.997977762,268.660791631,1.74168068323,-64.7016,276.379971369,62.234,62.2052911079,32.639,62.1895,62.2001069524,45.5079,17.8493,150.196885,0.758466,42.6033121008,44,4.4501605023,91.9010201075
45,173.994616662,315.139756682,327.74136276,298.255958033,1.72676533286,-66.7777,303.340036123,64.2487,64.219305187,32.9971,64.2046,64.2134713391,46.2677,17.9521,158.701707273,0.788903,40.1176918115,45,3.9073528455,100.541918051
46,183.968915781,278.502156844,307.18450607,261.307894243,1.79084637049,-68.8204,269.931567162,66.2781,66.247575496,33.3565,66.2331,66.2439965619,47.0375,19.2106,147.799698557,0.738399,41.6087587763,46,4.58599192246,91.4680597817
47,165.128437725,287.922525677,315.66765659,270.282026848,1.77965991545,-71.2144,278.110342105,68.6064,68.5734236038,33.6511,68.5606,68.5691850404,47.7845,17.5403,150.540455949,0.765,61.8697125922,47,4.72765809922,91.4919145995
48,182.387608852,266.554045657,319.41457743,245.63237152,1.89872567423,-73.2325,251.024048706,70.6482,70.6102703733,33.9431,70.5968,70.6070567653,48.4819,21.186,141.521741652,0.758694,57.9728383197,48,4.19387658485,80.6449069765
49,187.097448747,278.547128488,329.281526596,255.408623011,1.89197740549,-75.0657,263.223694979,72.471,72.4325092364,34.2566,72.4193,72.4286118953,49.1519,21.5739,145.582162197,0.75696,39.9755747551,49,5.30161264763,116.099008183
50,164.998135796,289.33323291,326.753610119,260.93033849,1.98200370271,-77.6102,271.105404186,74.954,74.9085128644,34.549,74.8978,74.9040440797,49.8613,22.044,148.392114824,0.746955,4.20661505076,50,5.14413318235,105.802105403
51,161.977618336,312.502861287,309.398815778,289.902914631,2.00470735265,-79.6579,296.474749841,77.0243,76.9837343587,34.8525,76.9643,76.9790318352,50.5157,22.4071,156.500752644,0.754982,38.8969067504,51,5.00158967351,104.495144709
52,180.134692153,273.062791711,335.974513164,257.211368593,2.13883914945,-81.7185,263.566737964,79.0521,78.9949375137,35.094,78.9868,78.9909840636,51.2004,26.8235,145.847523639,0.667144,17.8314260128,52,3.81435570965,104.950731612
53,159.281817764,308.219607629,332.510593211,292.312169149,2.16882400039,-83.8997,300.519439533,81.1849,81.1346166438,35.3554,81.12,81.1302659957,51.8752,26.0655,157.501146788,0.696429,14.4256159881,53,3.20264717973,102.990823191
54,152.984223562,300.691141281,349.42452868,279.482440281,2.082288936,-85.7515,291.582467495,82.9729,82.9179779545,35.5608,82.9036,82.9121087546,52.4986,24.0057,156.288665948,0.703129,9.16698820149,54,4.53581761915,101.270363051
55,179.832843361,335.240108853,338.697337111,313.951912472,2.25754512598,-88.2422,324.260984722,85.3588,85.3083476886,35.8506,85.2915,85.3030239178,53.0224,29.352,166.497269145,0.735957,14.4981004204,55,4.95725557632,116.138301979
56,166.317321476,339.296850373,357.914133948,165.163671467,2.22297256852,-90.3283,322.248077744,87.4626,87.4076297116,36.1081,87.3944,87.4017272416,53.6755,27.1979,164.394933247,0.734767,20.4359540956,56,19.1606833534,101.835988663
57,172.790817343,305.41052335,309.32707603,284.648407069,2.48458165969,-91.9762,297.698710923,89.1263,89.0657973456,36.2997,89.0453,89.0602952339,54.2837,37.4498,157.094301863,0.747949,57.6711366023,57,3.42681406178,91.0259902764
58,182.300158263,352.830881353,335.649866939,321.81714201,2.36062858719,-94.5377,338.533995023,91.6346,91.5732037418,36.5325,91.5584,91.5659750345,54.7293,32.7788,169.699853444,0.761485,38.1071975401,58,8.94319325116,110.370406041
59,219.257929408,349.869175329,357.164267618,323.918979609,2.41313269424,-96.4815,336.567047269,93.5607,93.5004058986,36.72,93.4783,93.4940107827,55.282,35.7715,169.138865658,0.755012,89.5961493809,59,6.30376262778,95.3582277278
60,157.184917067,395.879622003,387.274758298,368.014569478,2.40577153056,-98.8649,382.523973036,95.7915,95.7243115947,36.9436,95.7102,95.7184282215,55.8404,32.6856,183.960094456,0.711253,26.3479812422,60,6.76856980017,105.247920607
61,167.935870909,384.639274378,320.066706394,358.420928656,2.51926467903,-100.626,369.503365099,97.58,97.5088027779,37.0994,97.4938,97.5020120767,56.3881,36.9666,182.217905323,0.674638,7.61720781638,61,4.54256994858,111.324525632
62,177.424555529,392.863563066,361.086260789,349.712112467,2.56425159885,-103.1,383.130949403,100.008,99.9541333174,37.3463,99.931,99.9455624415,56.9689,37.7334,185.033302889,0.687812,10.1021079024,62,8.91005439399,133.354682574
63,158.180918579,335.147850147,378.409534968,212.045071457,2.68807587794,-105.108,233.242251148,101.808,101.745605709,37.4662,101.718,101.735621904,57.5301,43.4392,135.460652118,0.724947,37.2097395581,63,18.7196856306,114.079789717
64,246.14610485,639.33834343,466.83423979,339.332091304,2.609860461,-107.772,448.065528391,104.004,103.934056907,37.7699,103.915,103.922994761,58.0294,38.6376,195.521695757,0.666542,17.9331578219,64,92.2346659333,152.216330639
65,264.218031195,507.129456392,380.329220606,291.825453452,2.78169210916,-110.828,311.061310605,106.83,106.751707707,37.9776,106.732,106.743926568,58.4947,43.9237,155.073721545,0.682572,78.1918447547,65,24.7994082272,109.179640826
66,192.767247862,376.083587982,380.034898699,341.315775936,2.82197754372,-113.733,357.965949953,109.905,109.840278478,38.1511,109.819,109.832189031,58.9199,46.1291,176.131513059,0.72634,10.481907138,66,6.99778500262,124.275314384
67,142.384548787,548.85849737,386.674210661,466.412487797,2.88201822995,-115.58,499.007687205,111.934,111.873474426,38.3799,111.845,111.860001344,59.4203,48.1078,212.048392555,0.72551,9.23065085384,67,17.7173340055,103.808432734
68,184.506483853,414.590478519,399.587136154,392.500023593,2.86684669893,-118.037,406.379242429,114.272,114.198533924,38.5052,114.174,114.189501759,59.8836,47.2778,188.040975152,0.715956,16.0486754958,68,4.16218557469,130.166209999
69,229.286552554,492.226205486,437.524853533,396.017374878,2.89913897659,-120.996,417.355780896,117.084,117.031019382,38.6873,117.001,117.021133618,60.381,44.8676,191.174766477,0.695476,70.3743743551,69,28.8355017373,134.428864673
70,236.377195342,370.733234134,378.236085347,358.66760588,2.96797444893,-123.317,365.819052907,119.497,119.434289963,38.8962,119.41,119.426797374,60.8323,48.6229,177.077450155,0.725938,26.1610079482,70,2.46073107677,122.398696049
71,173.975314961,527.476104899,348.595254172,371.785558319,3.03115502493,-125.788,389.36947649,121.842,121.777977089,39.096,121.756,121.77193655,61.3071,52.8981,182.802541394,0.707914,30.588602501,71,30.753289234,100.95110763
72,228.323764468,612.639010185,400.266399518,342.09384241,3.09831559025,-127.905,490.871958361,123.987,123.922020331,39.3614,123.903,123.918862878,61.736,58.6751,202.856077798,0.705754,4.16641306195,72,72.2858728984,125.339165628
73,238.775074817,609.805860069,539.501817355,532.619309714,3.05401554715,-130.673,556.377993134,126.821,126.766247827,39.6144,126.724,126.74772117,62.198,52.8674,213.409135482,0.755376,26.5918344522,73,14.3087437773,182.905288558
74,192.672036976,396.560864362,397.533913702,359.559051716,3.2804214538,-132.705,378.481240256,128.835,128.759725164,39.8256,128.718,128.731861176,62.7331,59.3328,180.402835071,0.690316,63.54075829,74,7.36190724425,112.995495449
75,183.520576215,589.255225959,394.000090713,472.683161797,3.31900870536,-135.258,524.086269901,131.172,131.095631399,40.0205,131.043,131.063004152,63.2624,63.3017,215.266293087,0.730774,28.8628755185,75,20.9867788027,121.585696907
76,191.311029861,640.908029794,477.789887035,532.644830766,3.36641270078,-137.78,609.698930368,133.557,133.473669538,40.2742,133.432,133.447050799,63.735,63.869,227.733028121,0.705505,11.0704638846,76,22.5782352591,147.592022472
77,153.777916593,301.598686531,422.725285441,257.979956134,3.36540674808,-140.377,270.139008187,136.353,136.281334343,40.5482,136.219,136.234972592,64.2037,66.0245,148.351603558,0.773108,7.52835330577,77,6.56893280265,144.445466445
78,188.256167376,583.848000916,417.386999926,480.529429751,3.43970392565,-142.632,539.5950825,138.436,138.339211202,40.8247,138.272,138.284618313,64.6321,66.7742,212.607760369,0.697005,11.1392522151,78,21.8230247446,163.052442574
79,116.068652833,629.435322454,325.48137004,220.265925352,3.49724162831,-145.223,507.89521464,140.954,140.874852965,41.0442,140.819,140.838609577,65.1236,66.4376,206.991808052,0.723228,7.32769153299,79,72.6644260789,99.5290955433
80,192.554748999,528.322877852,498.38104595,273.254223442,3.5629320824,-147.701,429.276385355,143.369,143.285057014,41.2835,143.235,143.263636823,65.6266,74.2988,191.544876688,0.753384,9.0092983489,80,70.1014888153,145.938514261
81,189.110515338,469.114194061,365.342093164,375.99010766,3.67763017275,-150.119,429.06978071,145.693,145.601267212,41.4984,145.566,145.57812307,66.1366,78.1697,194.341821018,0.712662,30.7385894901,81,23.6361491849,95.0082649298
82,188.611598301,517.616688294,416.134835455,360.279590409,3.69457164435,-152.589,463.611240424,147.984,147.912876475,41.6646,147.876,147.895592274,66.6264,80.5093,200.206729711,0.70758,21.9087539578,82,31.8077310829,117.936060129
83,224.657716627,450.345521034,543.767392824,376.095689472,3.71263787916,-154.751,425.961149422,150.162,150.073222336,41.8481,150.026,150.051319424,67.1364,78.7563,193.964525873,0.718789,10.7508389158,83,14.3233205275,168.606129961
84,189.120440398,509.39302624,424.717333425,392.87277051,3.73908839278,-157.782,456.306300538,152.98,152.87893004,42.0624,152.835,152.856841699,67.6427,81.1614,197.481470329,0.694624,7.16167529103,84,32.9248952128,153.447171669
85,202.455753238,532.807080901,371.608479018,329.294392336,3.76449719294,-160.19,468.017443021,155.46,155.349170895,42.239,155.322,155.330158122,68.1678,77.1861,200.54904107,0.700391,80.2875676437,85,43.4343712596,109.824343399
86,251.716063045,498.150210958,391.331187741,323.529272171,3.94391554234,-162.526,447.985829534,157.822,157.718849996,42.519,157.673,157.69366966,68.6521,88.5213,196.853948152,0.707173,62.8199195147,86,42.3851267255,107.934318987
87,168.997004972,552.14128417,478.118815279,268.903588008,4.00551192294,-165.065,406.722308273,160.216,160.111804826,42.6702,160.078,160.094138587,69.1383,92.5437,185.777199941,0.709696,6.61031095109,87,52.6217714479,142.531651842
88,237.63229918,561.495705504,523.926608736,355.724646262,4.00984679399,-167.564,424.962744454,162.806,162.714090126,42.8429,162.667,162.687713181,69.6121,93.7678,188.015928573,0.728237,63.4503204693,88,46.3781849173,151.006028137
89,181.061165689,505.785953181,370.534552432,419.315042935,4.10649089049,-169.787,470.753048839,164.996,164.865177648,43.041,164.829,164.846078125,70.0867,85.3407,201.769797668,0.700569,8.03206771486,89,17.3304174992,134.891839758
90,166.851054557,460.660499758,391.505489821,341.747767436,3.98322803896,-172.41,376.335428127,167.71,167.59286137,43.205,167.563,167.577541609,70.5149,82.5656,178.185151463,0.701332,8.23039599207,90,24.5983087836,124.466892584
91,189.29853518,488.493106084,381.248436231,296.316984026,4.03560252031,-174.441,438.483374912,169.64,169.533249042,43.3748,169.488,169.512980188,70.9358,90.0563,196.173304918,0.693209,9.44173066939,91,30.037625405,128.913113723
92,212.172009943,370.042043806,361.141628513,168.52232603,4.19210872246,-177.165,324.438545427,172.275,172.14762994,43.5193,172.122,172.128048285,71.3333,98.0433,165.333782734,0.684379,8.28403229996,92,30.6485671065,113.624718926
93,202.204920956,318.74953196,353.51944064,144.783794264,4.21770843625,-178.967,193.459589183,174.032,173.90461296,43.6579,173.862,173.879328712,71.7372,94.9973,119.0771967,0.725388,12.609773597,93,56.6167557823,117.701343462
94,161.121096238,293.314420399,370.619129318,133.322219742,4.2569109102,-181.697,187.706778496,176.702,176.578125357,43.819,176.539,176.556678454,72.2193,95.9146,117.255633297,0.742674,8.66172496792,94,50.191081681,128.02826792
95,143.963310874,302.220477674,391.542765796,150.454936458,4.430088687,-183.066,238.91607703,178.002,177.862446269,43.9828,177.816,177.827452387,72.7182,109.244,138.10444525,0.709325,8.26537301661,95,42.1075676017,98.5270215617
96,109.722034755,314.006382251,322.926683217,152.374923538,4.32511082487,-185.487,257.393721547,180.558,180.434163612,44.1464,180.348,180.368307396,73.1317,105.526,144.905999505,0.721582,8.31144158597,96,31.8327417679,77.0282626533
97,181.03086916,320.408587978,446.415856495,149.120178179,4.28279677417,-188.066,204.723122625,183.022,182.872532396,44.3255,182.813,182.828918824,73.5492,95.2126,123.429566526,0.71382,59.280065161,97,58.5086837728,108.585646683
98,144.649741072,406.308306801,367.377714371,324.446530668,4.51459982431,-189.836,351.988122757,184.796,184.649704431,44.473,184.595,184.606828043,74.0712,110.647,172.561266496,0.709679,30.2011273548,98,16.4279337499,77.0925078055
99,177.795272664,360.667980491,409.970306123,146.799164203,4.37776228018,-192.433,176.33113803,187.327,187.193658556,44.6081,187.146,187.165573061,74.5589,105.023,111.883789844,0.71872,24.4836849735,99,54.4521777735,119.60997867
100,177.239251988,421.264529996,390.794272318,356.951850368,4.52011153999,-193.968,384.746274395,188.871,188.719852394,44.7366,188.654,188.666304465,74.9966,112.049,184.829041377,0.717917,11.8415744927,100,11.0379167403,106.504517716
101,183.584941146,506.468966725,343.947604456,300.467824514,4.51445797674,-196.322,391.605670554,191.283,191.137634779,44.8661,191.078,191.104839888,75.3954,112.789,183.670951567,0.713632,8.93643887455,101,64.9650616726,114.962726733
102,165.538117999,467.970319497,423.236481975,299.557571234,4.50006540656,-198.769,352.585374587,193.626,193.473377784,44.9661,193.421,193.430220926,75.7969,113.623,173.828561001,0.727303,6.01926133976,102,27.1851125604,114.163637613
103,207.335450395,425.393189287,332.312022469,236.617816424,4.48791939567,-200.076,343.090602831,194.824,194.696854401,45.1015,194.641,194.662231749,76.2949,114.29,171.711740797,0.734933,10.4601294656,103,29.4846750262,113.271535985
104,204.242661608,420.600416197,400.566236046,339.707648713,4.59137265443,-201.921,368.242083851,196.729,196.578605515,45.2781,196.512,196.517484386,76.6833,120.588,179.417870865,0.764479,21.5680955849,104,14.0672123586,136.753418577
105,181.655370813,355.322332587,328.35214363,301.784272104,4.62748954729,-203.376,333.654655745,198.224,198.067540905,45.459,197.991,198.012275838,77.165,123.249,167.236624394,0.719842,21.2910713449,105,11.3807166953,99.1079706977
106,235.793332388,495.179925177,411.008596774,322.353626264,4.59360130217,-206.123,442.30865869,201.0,200.850742447,45.5829,200.778,200.795951054,77.5813,117.441,195.218077828,0.730623,67.1255394172,106,30.4634313921,118.707742974
107,255.226075179,323.619649327,513.875735287,259.735504056,4.72048629035,-207.562,288.553680951,202.226,202.070470609,45.747,202.005,202.018398823,78.0132,127.11,154.266410904,0.774619,16.9545873919,107,12.1649887204,166.148505507
108,176.624654334,403.651570197,398.932897061,256.499341539,4.67446741624,-209.186,325.40685293,204.024,203.884104502,45.8632,203.814,203.830125076,78.3897,126.529,164.637438747,0.759958,44.8630907737,108,32.5675918755,117.375860559
109,155.072638096,491.623921627,350.996996301,343.428452422,4.68238592027,-210.848,401.034351431,205.566,205.419296395,45.9905,205.345,205.363891768,78.7875,122.48,186.236158522,0.745608,8.56776347616,109,39.7936852239,113.808576289
110,162.862237598,471.928056692,458.345680071,250.904730904,4.70987672763,-212.723,357.550122254,207.544,207.390254596,46.1167,207.311,207.332586371,79.1892,124.226,173.538191145,0.688521,10.3707435744,110,45.3753447471,120.100173284
111,228.094768239,527.711420702,495.606111601,353.850632571,4.76632046068,-214.227,464.732726766,209.001,208.851586359,46.2567,208.747,208.766632547,79.553,131.987,199.487680414,0.693483,59.9239632492,111,36.4673159271,132.893713002
112,217.592447443,520.887648461,429.146973162,357.59465597,4.67693952413,-215.766,453.203461121,210.604,210.460504353,46.4273,210.356,210.374648997,79.9338,126.336,194.742527377,0.727012,14.0925082391,112,43.8448668736,141.260863264
113,175.455185065,673.653916876,473.223782583,182.693073705,4.73222475708,-217.01,467.85326772,211.831,211.653654504,46.5026,211.571,211.573308162,80.3024,130.528,197.763608009,0.726043,14.8687920759,113,84.5826325475,158.408149535
114,174.965867562,670.885574142,451.029922045,83.7188152678,4.79932659916,-218.624,456.632421736,213.483,213.341084963,46.6598,213.237,213.263932013,80.6807,122.586,182.985591266,0.676706,13.1645046593,114,106.010768067,153.309062848
115,199.937336576,692.259072332,518.284232516,270.68498988,4.88670978245,-220.137,494.890547654,214.753,214.56227814,46.8554,214.481,214.48210198,81.0529,144.496,199.576439679,0.695852,49.99054641,115,122.703667111,154.933232192
116,317.183690842,921.392317521,692.486796134,275.942220288,4.88994838927,-221.974,554.295164382,216.606,216.459220508,46.9923,216.326,216.358584443,81.3763,131.641,199.059306787,0.718226,65.9298182729,116,102.239497941,188.413674641
117,206.183961955,680.684256094,423.676770419,228.412696183,4.94738997556,-223.716,649.87831036,218.233,218.0622495,47.1659,217.989,218.002062434,81.7692,149.163,228.230130471,0.727945,12.8369655346,117,65.8906627033,145.767983927
118,212.135481788,885.395984335,621.016648802,212.302771151,4.87751874325,-225.388,515.535685672,219.99,219.849546143,47.3249,219.756,219.770669008,82.1291,139.612,201.805834288,0.713992,19.1889086232,118,180.796427971,195.333721955
119,175.473513866,561.852774718,471.778495745,314.739588654,4.88989097914,-226.919,366.860515927,221.433,221.264323904,47.5087,221.172,221.188067234,82.5686,139.066,178.604325092,0.693136,10.6246016107,119,66.6377532537,144.275224725
120,218.666354721,1469.06462302,561.940991545,244.115932051,4.9055783533,-228.201,597.86066495,222.625,222.435437052,47.672,222.343,222.353290351,83.0127,134.514,193.837607733,0.69905,14.8498729545,120,196.90619117,171.30805977
121,273.684409433,594.213775168,549.098698392,133.510195421,5.13823398333,-229.997,309.202043727,224.472,224.304686261,47.8202,224.233,224.248096145,83.3731,146.158,151.994857589,0.719925,64.0747838451,121,149.078482947,170.859788929
122,199.927718188,159.968498553,456.03277891,107.618983133,5.15690117709,-231.54,141.207476112,225.946,225.782001735,48.009,225.711,225.727164561,83.7606,156.137,92.4831306802,0.824278,9.85598631123,122,8.06881214097,128.820355314
123,200.615167425,257.284529256,365.984371653,164.344463915,5.2450375244,-233.759,189.070706237,228.15,228.00693883,48.1462,227.92,227.938961388,84.1434,162.0,112.740868184,0.781922,10.1518420698,123,19.3194256867,118.658864991
124,254.433701015,1025.16619771,545.501828733,134.631866589,5.26050986298,-235.706,438.260220377,229.775,229.61300841,48.2769,229.538,229.551431634,84.6245,160.534,152.980236437,0.709669,5.27535578617,124,193.055329342,163.039778175
125,290.07755388,980.470066828,508.312338944,189.176283221,5.28188612402,-237.603,447.332526606,231.74,231.582473902,48.4704,231.477,231.495208277,85.0076,155.424,169.409983255,0.759595,12.5333224489,125,246.795245379,174.9085088
126,316.04030503,1724.56257899,708.677936591,186.627844107,5.32859019077,-239.573,594.32102512,233.405,233.232602063,48.5908,233.144,233.168521414,85.3127,155.364,169.739402794,0.748502,175.318606291,126,323.073109089,164.656655637
127,229.469338016,1923.48534679,605.426158284,152.9947253,5.40463687068,-241.824,724.556486839,235.571,235.381917689,48.7113,235.296,235.314302236,85.6885,159.484,185.071051183,0.766641,7.16870147525,127,426.926829672,197.503270153
128,304.994504115,1746.82370547,555.260753398,109.477398931,5.57002726743,-243.881,581.029701636,237.543,237.376683533,48.8181,237.286,237.309130253,86.0674,167.652,175.883268213,0.74307,14.4721175564,128,340.224505223,172.983647038
