MinEsReturn,AverageQ,MaxForwardProgress,StdReturn,StdEsReturn,AverageQLoss,AverageAbsQ,AverageEsReturn,AverageForwardProgress,AverageY,Epoch,AverageAbsY,AverageReturn,MinReturn,MaxReturn,QFunRegParamNorm,MaxEsReturn,AverageAction,AverageAbsQYDiff,StdForwardProgress,AverageDiscountedReturn,PolicyRegParamNorm,AveragePolicySurr,MinForwardProgress
-51.8720510349,0.00458203,0.842605108998,52.2447057977,37.6112136519,2.38072e-05,0.00478325,29.5411524608,0.34219122652,0.00628734179888,9,0.00686961380617,64.6413770925,-14.4357398248,129.212187057,7.99112,102.797954273,3.25176e-05,0.00363751132945,0.479248559124,28.1814843521,14.1339,-0.0107426,-0.332360789011
-32.6136539835,0.00903314,0.756259552955,26.7612969482,47.1530156787,5.88981e-06,0.00937801,60.7469855288,0.53337495483,0.00903191338172,10,0.00947271921286,78.9244147561,-22.7159678873,111.429489976,7.96324,103.996473722,0.91047,0.00173964520147,0.270457058062,38.7737066501,14.8856,-0.0103877,-0.422996692964
59.7346896159,0.0139647,0.750371578027,26.515447182,17.8585372725,4.09275e-06,0.01485,85.3267339636,0.523239503608,0.0139653259409,11,0.0148853600116,77.401438451,-22.7909560563,105.269212379,8.0645,116.736740735,0.9375,0.0013815732398,0.270115229765,38.6468476557,15.3276,-0.0154515,-0.435670585768
-1.37404273946,0.0191586,0.747732096116,21.1795160747,36.8827318415,6.60424e-06,0.0205907,61.5048636845,0.574505718581,0.0191614351041,12,0.0206267744601,83.2194953941,-22.4051135853,105.535922266,8.23022,101.95825984,0.935685,0.00158181365017,0.2172515621,40.2410166167,15.7358,-0.0206893,-0.494310469825
15.4565896304,0.0241188,0.782600179446,26.0505593727,25.0605651123,9.86196e-06,0.0262956,73.6014897692,0.592064623786,0.0241208846588,13,0.0263311216888,86.631276133,-16.701143561,114.381924024,8.5054,99.8758812254,0.939116,0.0018640380513,0.262182751044,40.3169166667,15.957,-0.0257404,-0.412048788994
12.754884039,0.0297148,0.384433883021,12.0536052451,24.980368475,1.33049e-05,0.0324301,73.6635950495,0.138843387775,0.0297166116352,14,0.0324629957239,27.2525481317,-34.9566679897,51.585194245,8.76794,100.634749783,0.970051,0.00213318006704,0.146772581451,20.2099297715,16.1076,-0.0312622,-0.564367120329
-13.482632285,0.0342009,0.429365757179,12.8875569393,15.2457628983,1.60802e-05,0.0376303,19.8283306083,0.181175925706,0.0342029503801,15,0.0376564849129,30.2863197999,-31.8987672094,66.0855966239,9.06108,52.579839811,0.83584,0.00232240967077,0.129197808102,22.3030780201,16.4302,-0.035864,-0.52872183722
-8.65538619625,0.0383154,0.390950757771,12.3294319446,24.3137289252,2.1648e-05,0.0420343,30.5712841792,0.156178381905,0.0383195116858,16,0.0420755811747,27.7679685493,-27.0337594694,53.1826227119,9.34301,97.6442437917,0.897638,0.00278605514517,0.132153806246,20.9018028067,16.6691,-0.0398066,-0.489696139954
2.79020749108,0.0428914,0.366589270986,12.4326769714,9.16168211877,2.58194e-05,0.0472633,22.0336670411,0.112261836055,0.0428925568826,17,0.0472949710553,24.3078053567,-24.8557071588,53.8258485715,9.59732,38.4085971086,0.961942,0.00307806733477,0.140101235035,18.570098749,16.8686,-0.044385,-0.538747089236
-12.8841669056,0.0468792,0.364825125166,10.9093762251,13.6627969908,2.86825e-05,0.0518666,18.7921371301,0.135711733661,0.0468842608466,18,0.0519141478506,26.6320450517,-2.73223352051,52.2759923293,9.80916,32.7042146757,0.973576,0.00333301418962,0.110174452991,20.1484512303,17.0118,-0.0487815,-0.231175295986
-3.38391007731,0.0510546,0.320873664344,9.98216877735,13.641915908,3.3167e-05,0.0564936,21.3754886475,0.141430904232,0.0510538439595,19,0.0565564747425,26.4647224141,-32.9991778011,44.6451352244,10.0486,40.8524560397,0.923176,0.00359117333002,0.107284404668,20.057604124,17.1036,-0.0532063,-0.535085665081
10.0051123956,0.0552709,0.365339570747,10.9475442869,10.9642436864,3.63031e-05,0.0612911,26.5418593556,0.137168512705,0.0552672902944,20,0.0613550170888,26.727280951,-23.8098345153,47.9805800549,10.2698,48.4601757688,0.936352,0.00382142918941,0.126412168497,19.6006240855,17.2371,-0.0571634,-0.533544383927
9.89523590002,0.0589714,0.347453943631,10.0172046823,19.0729244606,4.09997e-05,0.0655575,32.617667385,0.145367348382,0.0589751541051,21,0.065621645015,27.6155864417,-10.4046729833,49.2427288053,10.5067,90.0309098769,0.950247,0.00405457854258,0.108524725818,20.4487737251,17.3727,-0.0612953,-0.288833720062
0.745988281163,0.0641171,0.342151054108,11.3942832878,12.0789098864,5.09954e-05,0.0709955,23.0266311979,0.124967163639,0.0641184405052,22,0.0710959921512,25.491352443,-26.3131801817,48.3068228284,10.7573,43.3251305769,0.922037,0.00447175977848,0.126336428987,19.2733622078,17.5069,-0.0664183,-0.487382155937
-4.59309226333,0.067357,0.393265847685,11.3879083781,11.4537580881,5.27727e-05,0.0746334,22.2968725966,0.112893583964,0.067355249407,23,0.0747422797832,24.6000670947,-17.8464939143,60.8452002218,10.954,42.6136501454,0.936206,0.00464242059657,0.118798662382,18.3112676785,17.6092,-0.0694031,-0.449294302881
8.71024248512,0.0711625,0.286484535655,10.2489971248,11.0264224919,6.01792e-05,0.0787844,29.7485411923,0.110021465573,0.0711664397984,24,0.0788980790367,24.5002229535,-19.1457710706,47.6080822181,11.1854,46.4241884902,0.926007,0.00490444881618,0.116702221674,18.0304027666,17.6845,-0.0731874,-0.49703427964
