Epoch,AverageReturn,AverageAbsQ,StdReturn,AverageAbsQYDiff,PolicyRegParamNorm,Iteration,MinEsReturn,AverageAbsY,AverageQLoss,AverageAction,AverageQ,AverageDiscountedReturn,MaxReturn,AverageY,AverageEsReturn,QFunRegParamNorm,MinReturn,AveragePolicySurr,MaxEsReturn,StdEsReturn
9,-3.75588979994,1.22493,0.507443356689,4.02929777963,11.71,9,-17.13973033,2.98213765413,21.8974,0.206768,-1.05591,-1.97516718413,-2.11778751358,2.9733854079,-4.25712638839,11.4911,-5.37023146728,0.34417,12.6686452664,4.08950927889
10,-8.09403263982,1.51402,0.0638389460649,0.392138760446,12.1817,10,-17.8941963223,1.54656231352,0.433958,0.999609,1.50096,-7.81668141973,-7.92570039656,1.52706696966,-7.93633795626,11.6828,-8.24743673681,-2.02434,1.22297809365,2.82913532385
11,-8.26003924473,1.23438,0.068007267864,0.165202679166,12.3362,11,-16.1694243738,1.23973369232,0.0509273,0.999994,1.21336,-7.97643855253,-8.05808189989,1.21822157889,-7.48324902695,11.7821,-8.42873182224,-1.51285,0.65587835707,1.80400160605
12,-8.25666158432,1.21226,0.068325096168,0.123385602447,12.3565,12,-19.3630349516,1.21194783268,0.0268225,0.999999,1.18185,-7.97317745292,-8.04697190327,1.18368896652,-7.83211579598,11.8785,-8.45068442742,-1.36066,-4.65572454433,1.83148800497
13,-8.25776795065,1.0117,0.0705801022789,0.105525323978,12.3685,13,-16.643643835,1.01142438957,0.0190072,0.999999,0.937542,-7.97424036204,-8.05540077816,0.938295549764,-7.77818990906,11.9654,-8.43710290074,-0.93549,-4.40262522976,1.41922911644
14,-8.25301655598,0.758266,0.0665556303381,0.098571880372,12.3748,14,-15.378817425,0.760322756062,0.0167616,1.0,0.551641,-7.96965919592,-8.06550962221,0.55171236689,-7.70487739416,12.1123,-8.43167186081,-0.408755,0.72576972866,1.42835204474
15,-8.25761379331,0.576011,0.066087723311,0.0863503959032,12.3764,15,-18.1600424311,0.57727867536,0.0136135,1.0,0.126075,-7.97408218904,-8.07551094657,0.125350309212,-7.81138490327,12.2904,-8.44403819814,0.106194,0.763926798794,1.786020178
16,-8.6936985304,0.496599,2.59274587078,0.074711783998,12.5805,16,-16.7896235215,0.499909251765,0.0109202,0.918217,-0.272453,-7.07827106371,-4.32370481886,-0.273959784859,-8.20433820057,12.4766,-13.4033824282,0.50764,-5.59065993705,2.10271317348
17,-10.2398514199,0.490451,1.3516343837,0.0668061775214,14.268,17,-50.4521939428,0.496291858696,0.00870351,0.900195,-0.381284,-5.2979986949,-7.02013149885,-0.381143277106,-13.8514142525,12.6522,-13.0207327518,0.115655,2.5281967044,11.6619213338
18,156.809231312,0.432491,114.969308974,0.0637751472431,14.9945,18,-9.7722622201,0.436292628242,0.0077203,0.830563,-0.0611856,73.4343929034,417.981176244,-0.0602502665133,97.1148110541,12.8959,55.2713005302,-0.326779,346.605648672,141.373400055
19,79.1072940711,0.490769,12.9549355437,0.0641780244375,15.6072,19,69.9130303326,0.49454795912,0.00815259,0.944538,0.21082,57.7210028611,103.686620741,0.211421635985,169.529591165,13.1974,55.1815096978,-0.623554,291.477563469,91.485084288
20,236.740710408,0.599837,111.921158809,0.0595728992253,16.1636,20,49.7524077647,0.603597113674,0.00776728,0.978377,0.462008,90.0559210683,435.564758609,0.462648306041,203.191730115,13.5055,91.7862169323,-0.83829,324.892237565,110.377251344
21,291.352164601,0.730669,109.510184283,0.0626495123583,17.0853,21,-18.9770531726,0.734169833124,0.00919534,0.882503,0.658484,103.180818505,477.637422333,0.658965053929,77.296624161,13.9272,-30.7618585866,-0.988434,194.112350491,61.7056055203
22,302.525511713,0.861982,27.0988979469,0.0647651936256,17.7604,22,106.539917085,0.86523927207,0.0110086,0.845099,0.808908,123.492863591,416.11587054,0.809610343655,336.338616142,14.3871,244.482796041,-1.10512,486.262130457,143.533598563
