MaxEsReturn,AverageAbsQ,AverageReturn,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,AverageQLoss,AverageY,AverageEsReturn,MaxReturn,PolicyRegParamNorm,Epoch,StdEsReturn,AverageQ,AveragePolicySurr,Iteration,MinEsReturn,AverageAction,AverageAbsY,AverageDiscountedReturn,MinReturn
42.0,18.2967,36.663003663,0.604000940429,0.753493298026,48.9793,1.66327,18.2773680332,12.4320987654,39.0,31.3466,32,8.72903240378,18.2789,-20.991,32,3.0,0.251082,18.277405852,30.8192029782,35.0
43.0,19.179,34.5931034483,0.648680589391,0.593023250392,50.465,1.88846,19.1574155446,11.686746988,36.0,31.883,33,9.55255306925,19.1599,-21.9617,33,3.0,0.233039,19.1575231239,29.3657158227,33.0
44.0,20.0117,35.4169611307,0.65741467261,0.540901572245,52.0696,2.02426,19.9905265491,13.5263157895,37.0,32.4068,34,9.85750273197,19.9936,-22.9188,34,3.0,0.231299,19.9908596332,29.9483655933,34.0
41.0,20.8728,35.585106383,0.703292391516,0.572593474077,53.477,2.27022,20.8472005597,12.4303797468,37.0,33.0382,35,9.92845743026,20.8494,-23.9239,35,3.0,0.201894,20.8474156001,30.0665223931,34.0
51.0,21.7996,34.4673539519,0.738623452705,0.643337150451,54.9456,2.50454,21.7729747977,12.4444444444,36.0,33.5696,36,9.56975688895,21.7748,-24.8676,36,3.0,0.170479,21.7732515521,29.2761693818,33.0
49.0,22.5901,36.1732851986,0.764980840787,0.882403819059,56.3208,2.78447,22.5612153781,13.1447368421,39.0,34.2539,37,10.9673006171,22.5631,-25.7805,37,3.0,0.26153,22.5614005731,30.477125566,34.0
79.0,23.46,53.7795698925,0.804058100198,39.3547391884,57.5068,2.91745,23.4263273109,14.2941176471,485.0,34.9265,38,13.1227898123,23.4283,-26.7544,38,3.0,0.456483,23.4265628757,39.5229751372,39.0
52.0,24.2798,316.53125,0.834418420442,323.967300084,58.7949,3.29917,24.2428744122,14.4788732394,1000.0,35.5495,39,12.0840473992,24.246,-27.6063,39,3.0,0.465918,24.2433008116,69.479938813,45.0
79.0,25.141,204.571428571,0.863674144473,116.510838595,60.026,3.51055,25.1077563121,16.6393442623,597.0,36.1322,40,16.0593497479,25.1095,-28.6016,40,3.0,0.457666,25.1080229811,81.0089372528,102.0
39.0,26.1026,64.9350649351,0.884144084489,15.0469720493,61.3097,3.62538,26.0630864182,11.8928571429,122.0,36.4572,41,9.52567690026,26.0654,-29.5833,41,3.0,0.650712,26.0635147847,47.3715216455,46.0
