AverageAction,Iteration,PolicyRegParamNorm,MinEsReturn,MaxEsReturn,AverageY,AverageQ,AverageQLoss,StdReturn,Epoch,AverageReturn,AverageAbsQYDiff,MaxReturn,QFunRegParamNorm,AveragePolicySurr,MinReturn,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,StdEsReturn,AverageAbsY
0.424431,28,19.9724,84.9355207927,92.2887678116,0.212555682381,0.212441,0.0161616,4.03333108853,28,-42.4006115925,0.0206934802235,-35.4732117327,24.9381,-0.226953,-50.5667024283,88.9938935519,0.23917,-2.60590538592,3.05011015092,0.232594626665
0.12757,29,20.232,-18.5690408226,92.9000207217,0.217237974963,0.217211,0.00901802,0.0442002374339,29,-12.7442234782,0.015051696254,-12.6914086981,25.6378,-0.233293,-12.8203950571,61.2924138818,0.237019,-1.27279010547,46.2605632554,0.234084629003
0.106652,30,20.5046,-0.641630685087,94.3504708256,0.255896882522,0.25577,0.00652281,40.3194307523,30,72.6332133344,0.0160359098204,94.4484892516,26.2668,-0.271618,-8.56926577266,70.9605682101,0.27426,-0.286800221596,36.1673310428,0.272442416197
0.173465,31,20.783,85.4695037803,97.2967798615,0.27970164718,0.279663,0.0106418,21.5477796278,31,87.4980023928,0.0203223078222,94.3838925003,27.0354,-0.29942,-10.8833625349,91.0155574772,0.299352,1.28063240688,4.23871723086,0.295507137599
0.112579,32,20.9372,83.6215194304,96.894255761,0.339854530604,0.339692,0.0151752,0.0700498350931,32,-11.2466220205,0.0257647392039,-11.1898304707,27.7888,-0.361171,-11.3954338931,89.5139366596,0.359754,-1.12786435386,4.84660383373,0.35486245507
0.487574,33,21.1979,-5.56755965214,89.406729307,0.353955973845,0.353997,0.0194231,3.19303991341,33,89.009002472,0.0249703852177,93.0342368054,28.3931,-0.375987,77.430003717,52.3052123327,0.372685,9.37520148095,41.4617306831,0.368017862009
0.416774,34,21.4,79.8922199545,92.7282308252,0.36765476358,0.367712,0.0121463,64.0571541456,34,46.6075401134,0.0209970374636,94.4544961082,29.1277,-0.393204,-41.1388850637,88.3980791225,0.383608,12.6140471714,5.05196125807,0.380190533393
0.69104,35,21.8655,-6.78257541279,95.7257916687,0.422806479587,0.422877,0.0323357,2.91464172061,35,90.7409823846,0.0336474905146,92.9598416198,29.9497,-0.450344,78.4905983899,72.686040088,0.439204,24.5719419696,36.2270323991,0.433356111347
0.935305,36,22.3374,87.0468503798,99.45574999,0.490525457963,0.490602,0.0386592,0.126762325396,36,92.3882920574,0.0327666858478,92.5682682214,30.7866,-0.519254,91.9466120862,92.0014767352,0.505373,39.4016858764,3.73264643007,0.500150270153
0.936402,37,22.3679,87.982057536,98.3369049066,0.560424737454,0.560366,0.023804,0.189757738698,37,91.7498058271,0.0318031425746,92.1364510197,31.5959,-0.59436,91.2373864641,92.8489872466,0.575336,36.1993257302,2.91849777907,0.570061149279
0.946562,38,22.5522,85.2444772506,92.4723433971,0.610466219012,0.610496,0.0263509,0.305208700465,38,91.4331841675,0.0323566750275,91.9011342192,32.495,-0.650082,90.1207641696,90.0507217001,0.621589,35.0656736492,2.26001266264,0.61720635319
0.315885,39,22.5268,90.3873001383,94.6628784679,0.67344178939,0.673495,0.0206599,2.19951464824,39,94.923778726,0.0304660755496,96.0925591055,33.3616,-0.717972,88.2208323992,92.313987867,0.682076,19.8903974021,1.62367027122,0.679260976624
0.145668,40,22.8053,87.8704691573,94.7921015862,0.790128589764,0.790094,0.0239161,1.1525027615,40,94.4570474829,0.032238143203,96.0598169952,34.3688,-0.840975,92.5420389158,92.6478435165,0.799459,7.06954794036,2.25194859903,0.796227686568
0.104527,41,22.9546,91.0163837622,97.685952194,0.820465753183,0.820569,0.0282897,0.361105758852,41,-10.4422848509,0.0323941894814,-10.036236515,35.2589,-0.877334,-10.9048046287,93.751599826,0.830486,-1.02408587202,2.13167768121,0.826434852484
0.831246,42,23.2295,-3.52095228193,94.3528232158,0.929573950477,0.929646,0.036108,85.242221832,42,23.8899800834,0.0372202698124,92.3846944886,36.0014,-0.991516,-82.777876217,78.0817520883,0.937893,18.973765773,33.4203716893,0.93475641169
0.051968,43,23.3001,-6.72704654615,93.4202901106,1.01125458308,1.01126,0.0181815,27.5549239986,43,3.98481378971,0.0315387676908,91.1186260017,36.7643,-1.07493,-5.23190798034,74.367353832,1.01601,-0.46512933418,36.3963668179,1.01504015089
0.0760456,44,23.4177,-6.72848957837,94.4129302647,1.09349988115,1.09361,0.0353821,0.00968539554082,44,-7.59695138381,0.0366353786005,-7.58180755152,37.4441,-1.1638,-7.61249786029,81.5355296836,1.09811,-0.739279396959,31.2572983791,1.09637894424
0.058342,45,23.6199,-0.227240357602,95.074903615,1.20108021984,1.20101,0.044228,0.444678366866,45,-5.82836865576,0.0426269329313,-4.88904493346,38.1169,-1.28174,-6.49903116513,81.1632750284,1.20487,-0.572985062295,30.8129996522,1.20346238776
0.971999,46,24.0075,-2.16512613668,94.9864616466,1.35687368879,1.35677,0.027215,0.106978133315,46,92.5727411062,0.0371213644325,92.7067253173,38.5623,-1.44183,92.2705544867,81.3059424002,1.35999,41.6782318117,29.7721668299,1.35866540436
0.669032,47,24.1953,89.9149774072,95.4399158686,1.45025962491,1.45021,0.029553,1.2909240968,47,94.0109650757,0.0424854101017,94.4823050586,39.1145,-1.53947,84.9785293162,93.3603336658,1.45463,38.6215855249,1.87920491512,1.45263974601
0.162454,48,24.4557,90.0181384779,98.0732485255,1.57967617,1.57957,0.054408,51.1648111545,48,48.9195688901,0.0542035602441,95.4301025886,39.7182,-1.68301,-11.6206893896,92.9173507232,1.58522,15.1252907966,2.8128043415,1.58324271703
0.207884,49,24.6089,-1.53017676742,94.7677411531,1.69950213527,1.69935,0.028651,42.3742287358,49,69.5740440468,0.0481299620643,95.2897306008,40.2188,-1.80535,-9.54838950127,76.2188183499,1.70512,19.8916089045,34.8865971267,1.70318703079
0.253729,50,25.0742,-4.41301314539,94.6086790787,1.84665317799,1.84675,0.0319731,47.2042886287,50,67.9650079978,0.0515249310895,95.3086833156,40.7875,-1.95548,-15.7177891811,82.1754266065,1.85369,29.7227820665,30.6450493491,1.85118911333
0.091943,51,25.3068,-0.282594161464,95.372778801,1.99638293711,1.99619,0.0294739,48.8204431258,51,35.383521801,0.0529226128706,95.0509283153,41.3578,-2.1077,-5.7184383707,84.1833004441,2.00397,13.7281569687,28.1953289202,2.0013161161
0.692951,52,25.5648,-2.42859302516,95.5222664894,2.10948404873,2.10927,0.0435484,1.47768885508,52,94.0143345302,0.0627097595471,94.9392482536,41.8543,-2.22191,86.8633138345,78.2725663152,2.11767,39.695332548,33.0098350725,2.11455199048
0.0761967,53,25.7375,91.4413884461,95.5452738244,2.29941161236,2.29932,0.0596361,48.758994497,53,39.9115894746,0.070698179448,95.0361850453,42.3179,-2.41721,-3.97493633807,93.5432224477,2.30813,16.6971689282,1.33024597687,2.30481930088
0.987944,54,26.0944,-0.0595751788387,95.3689975488,2.44943287995,2.44909,0.0726603,0.0396122647129,54,93.3642006586,0.0698062575741,93.416990883,42.7804,-2.56755,93.2649699665,81.2187971826,2.45912,46.5838994095,30.7539892105,2.45561466264
