QFunRegParamNorm,PolicyRegParamNorm,AverageQ,AveragePolicySurr,MinReturn,AverageAction,MaxEsReturn,Iteration,Epoch,AverageEsReturn,StdEsReturn,StdReturn,AverageReturn,AverageDiscountedReturn,AverageAbsY,AverageAbsQYDiff,AverageY,AverageAbsQ,AverageQLoss,MaxReturn,MinEsReturn
11.4907,11.7094,-1.1591,0.571881,-5.2303764957,0.208245,24.0395147923,9,9,-4.19392435697,4.02583677213,0.732635592346,-3.72765402136,-1.95917883,2.76494222592,3.91613367626,2.75703223243,1.22577,20.2135,3.96427388809,-19.3805272368
11.6899,12.1482,1.50882,-2.02186,-8.2503905534,0.999949,1.52820596379,10,10,-8.03106008861,2.75615194142,0.0643806384926,-8.09342761993,-7.81609535454,1.55437836939,0.393259646266,1.53637383248,1.52018,0.436821,-7.94235382686,-17.6570032437
11.7696,12.1801,1.17312,-1.40226,-8.25522753567,0.999987,0.648665053026,11,11,-7.29445451187,1.80817322446,0.0640813591112,-8.0940897615,-7.81674551803,1.19931827463,0.158933838435,1.1775451634,1.19388,0.0488529,-7.93164931484,-13.0140717876
11.8475,12.1887,1.04639,-1.07435,-8.24286289401,0.999991,-4.02657887188,12,12,-7.39023167457,1.8411100053,0.0626492325915,-8.09371357663,-7.81639947553,1.08219576237,0.109839412307,1.04793880745,1.08298,0.0216451,-7.93091363266,-15.0858060647
11.8927,12.0321,0.731491,-0.630431,-8.28629681818,0.988708,-3.61967542995,13,13,-7.33929617622,1.60883077421,0.0604281544905,-8.13534475717,-7.85122741498,0.861369211181,0.0977830902208,0.732061250804,0.861002,0.0165812,-7.97874220914,-12.4050055625
11.9867,12.8664,0.630098,-0.918679,53.7429357504,0.999994,189.575822659,14,14,62.1307478201,67.120675113,86.2167665109,106.1798173,62.8125788593,0.783849353163,0.0877444854563,0.63125566523,0.781759,0.0140487,456.406988947,-13.1115186908
12.1273,12.8728,0.866475,-1.20997,49.802972482,0.999997,364.573317896,15,15,167.008337596,118.646056664,50.3233215723,90.6011901801,60.8907532436,0.946903271763,0.0759390354401,0.867517758132,0.944677,0.0116472,415.535535769,72.787982715
12.3379,12.8809,1.04296,-1.37532,53.8721260589,0.999984,365.502811008,16,16,222.104741707,128.066702757,18.7628112302,82.6213884544,59.5466238933,1.10491179653,0.0751267011049,1.04380055594,1.10327,0.0126187,133.2415207,67.2360146213
12.6323,13.3146,1.21401,-1.5551,-8.64211249255,0.876242,456.292508919,17,17,88.1666649533,152.788082603,1.54928246004,-6.42842600865,-3.49850256662,1.27034549117,0.07630583247,1.21476303529,1.269,0.0144359,-2.09446144572,-22.9050272168
12.9832,14.0493,1.33054,-1.70451,-14.7937576488,0.727769,33.6631056668,18,18,-9.41176388638,18.4865987809,3.14414824128,-9.61039986124,-7.86841062755,1.3855630227,0.0801567576312,1.33106493204,1.38409,0.0162924,-5.08469298941,-45.9624061359
13.3784,15.5363,1.46667,-1.83358,-8.91419935469,0.901513,253.548091005,19,19,72.0887409999,103.525958996,73.3841085259,65.5986357776,45.0785104381,1.51343931957,0.084202852835,1.46730364477,1.51143,0.0183572,315.183441143,-23.7839748756
13.831,16.8022,1.65247,-2.03275,-144.892364848,0.926969,383.827358602,20,20,79.6639596849,144.480162508,79.3460662008,-25.0041840761,-6.53998003535,1.69072404794,0.0913185662177,1.65347276395,1.68803,0.0222738,202.645030887,-33.6405617137
14.3184,17.502,1.81361,-2.17061,207.347010868,0.927878,311.557599605,21,21,108.423415923,108.063880837,36.1936501964,277.172919658,111.306925716,1.84847389486,0.098082665662,1.81444648023,1.84574,0.0273574,355.106827568,-18.5843195565
14.8204,18.1362,1.96708,-2.31069,72.0319072546,0.961431,347.703086726,22,22,240.091950878,114.797684612,142.652935674,359.422091866,101.982984665,1.99914095055,0.0991546528945,1.96816567002,1.99634,0.0290632,674.937920935,46.2196226458
15.3583,18.5403,2.11536,-2.44535,61.7879370877,0.813732,380.961882953,23,23,216.676361602,134.385440633,181.055644252,285.896933856,91.0169342948,2.14544668405,0.0986227057214,2.11642006238,2.14274,0.0310622,680.986736629,17.8862229271
15.9703,19.0656,2.23268,-2.56647,75.7176283156,0.941714,547.430784968,24,24,320.36076672,147.527709335,218.227882257,461.991571201,106.710603324,2.26321009824,0.0992868341178,2.23354628891,2.26121,0.0319365,1076.13328181,134.581420486
16.5113,19.537,2.39074,-2.72452,52.9662973977,0.823098,452.307135386,25,25,208.814460072,129.797981977,160.063765573,184.31205654,75.9574744304,2.41759705208,0.102512547457,2.39167893817,2.41582,0.0333075,535.333320405,62.0975099735
17.0596,20.1023,2.52069,-2.84308,25.5642658741,0.815236,343.591054283,26,26,150.619790523,102.387502009,285.475881913,348.843177431,85.0767638632,2.54498351708,0.104582397503,2.52132379814,2.5435,0.037252,1161.93284529,59.6401766236
17.5998,20.6564,2.63249,-2.97039,-18.2226065183,0.879537,232.083949142,27,27,69.4212376741,115.706422789,140.120822956,295.453378089,106.233088355,2.6560354322,0.105861344482,2.63345780211,2.65453,0.0370887,612.547996317,-27.3242717947
18.1688,21.1527,2.74922,-3.06632,150.404275343,0.938549,456.464029621,28,28,199.681675013,172.749648825,55.9418888925,245.936738455,123.121418504,2.77168627386,0.114159762042,2.74975233943,2.77069,0.0455497,404.540800531,-9.57302621594
18.7825,21.6411,2.84673,-3.15646,72.1838594883,0.88908,345.142001151,29,29,206.465266713,125.015640419,88.3056163494,293.642177621,111.27990893,2.86990167806,0.122822624833,2.84770907857,2.86851,0.0530592,437.449336476,13.7961098062
19.3255,22.0388,2.98532,-3.30535,-318.910327869,0.890317,485.976879971,30,30,202.533539288,181.41768105,193.725805948,217.738706136,74.1654563092,3.00572476033,0.123845194952,2.98613493807,3.00416,0.0536659,578.774044935,-14.4542007641
19.9107,22.6654,3.09672,-3.42225,99.6570868773,0.864435,295.90719293,31,31,99.7663051803,95.9774631014,95.7727026149,323.671215159,132.388918205,3.11633317529,0.134798077709,3.09769877279,3.11435,0.0637045,474.091807898,4.8114984514
20.3354,23.1014,3.21428,-3.52175,42.15482237,0.906028,507.959449323,32,32,286.692402362,183.341939221,180.193466752,437.097271723,107.043140165,3.23365418457,0.139431244609,3.21522944678,3.23208,0.0654277,969.232993617,59.0030355303
20.8903,23.6164,3.34563,-3.65638,28.7574375881,0.898117,430.952292336,33,33,314.707254948,83.3686779022,175.085918449,236.885709214,79.1234391117,3.36540162327,0.144056866725,3.34654247729,3.36382,0.0698022,648.234198912,239.531198652
21.4276,24.0324,3.44906,-3.76229,81.1038706422,0.897709,351.052541559,34,34,123.529261506,137.579329733,197.029740486,404.580149472,105.141576971,3.46820048746,0.148653427718,3.4502685845,3.4664,0.0722414,823.746136375,9.81861578838
21.9225,24.4795,3.5824,-3.89927,30.4353922561,0.876915,246.24976972,35,35,120.403924671,70.7675503985,251.195943001,331.92620037,85.1424016319,3.60039683661,0.153123380341,3.5835861597,3.59872,0.0744927,967.261436227,46.9989476428
22.4791,24.8466,3.67132,-3.98526,60.0413398577,0.864112,274.056952237,36,36,113.618651929,92.9669196183,189.671548169,282.148716256,83.1855777877,3.68874356708,0.161486233506,3.67204548205,3.68811,0.0845144,796.597755237,52.5226042292
22.9375,25.1376,3.7588,-4.07048,56.1935188666,0.864974,729.888928076,37,37,239.071036094,284.227667515,154.125667321,452.336621414,114.211879928,3.77936312082,0.170810656308,3.75965295789,3.77832,0.0930986,685.903645963,44.0774594756
23.4012,25.5223,3.90042,-4.21637,189.092400287,0.85324,314.681970224,38,38,184.020846588,100.697059113,199.10077236,438.450320725,107.874589082,3.92205399545,0.175270602554,3.9016872544,3.9205,0.0994672,953.05088925,9.39604842712
23.8605,25.9009,4.02429,-4.35297,41.0582687134,0.862018,340.30755759,39,39,134.052741979,117.139817956,202.27186875,332.308164002,97.2036125737,4.04538337158,0.187313521792,4.02543234796,4.04291,0.10746,918.725454589,32.4340030757
24.2445,26.1767,4.1381,-4.46169,34.8724554678,0.843809,277.510970932,40,40,109.430702887,98.9977945916,111.4944425,256.26214906,89.2923583784,4.15822351404,0.194913890129,4.13900358073,4.15481,0.111783,625.604283933,-26.5069880022
24.6639,26.5546,4.25082,-4.58057,-69.7593176653,0.871941,230.302687994,41,41,119.629116665,79.6205196963,112.040956581,118.317002269,51.7237123325,4.26959578527,0.205704704661,4.25236982658,4.26608,0.127241,346.988734887,29.2361667611
25.1091,26.8964,4.35914,-4.69033,11.3946033678,0.82741,308.712719042,42,42,88.5882947015,124.948749418,206.549512936,245.28709548,77.3037289795,4.37894353182,0.210964929206,4.36056710222,4.37651,0.127399,721.709104861,-33.31204304
25.535,27.1055,4.46725,-4.79952,-118.994502132,0.826008,253.383390172,43,43,161.558887786,83.1844802536,313.6265469,505.248879908,97.965929015,4.48517321299,0.217058465376,4.46842543162,4.48409,0.141047,949.939793555,30.8382832566
25.9411,27.4236,4.60271,-4.93014,37.3122577716,0.804908,284.111560537,44,44,194.944912579,75.8613645558,84.162400709,191.690415797,90.9289611087,4.62133883188,0.223190842282,4.6039904298,4.62002,0.147715,426.519382165,50.6090911655
26.3119,27.5764,4.78344,-5.10533,-106.080802504,0.840323,289.184687962,45,45,172.974418875,100.002457617,173.409366109,186.41925114,76.6900294179,4.80012047584,0.234818419279,4.78470273605,4.79952,0.15831,970.717791504,6.50700912971
26.6443,27.7914,4.94577,-5.27982,-62.9357533821,0.867147,208.249287486,46,46,109.920543496,81.0287423039,427.307957343,265.046568027,47.4762171678,4.96118105328,0.237926212043,4.94711764541,4.96123,0.160356,1241.74321982,-2.11793511449
