AverageAbsQ,AveragePolicySurr,AverageReturn,AverageAbsQYDiff,MinReturn,MinEsReturn,AverageDiscountedReturn,Epoch,AverageAction,QFunRegParamNorm,PolicyRegParamNorm,MaxReturn,StdEsReturn,AverageEsReturn,AverageY,AverageAbsY,AverageQ,Iteration,MaxEsReturn,AverageQLoss,StdReturn
34.6731,-38.5106,1000.0,0.946728823512,1000.0,3.0,99.9956828753,53,0.230546,82.3479,35.0319,1000.0,15.6392769094,15.4615384615,34.6346211853,34.6369791069,34.6346,53,87.0,5.2495,0.0
35.5012,-39.3754,1000.0,0.979490371494,1000.0,3.0,99.9956828753,54,0.282266,83.2558,35.2074,1000.0,9.89939531554,12.7692307692,35.4615341652,35.4644252544,35.4621,54,48.0,5.41959,0.0
36.2083,-40.0486,1000.0,1.0015723835,1000.0,3.0,99.9956828753,55,0.30273,84.3759,35.4432,1000.0,12.5832314774,14.9253731343,36.1693112836,36.174368104,36.1667,55,73.0,5.66719,0.0
36.9433,-40.859,1000.0,1.01653473436,1000.0,3.0,99.9956828753,56,0.243809,85.4197,35.5644,1000.0,14.0742549135,14.6268656716,36.8988945325,36.903737174,36.8977,56,80.0,5.98175,0.0
37.6383,-41.6922,990.636363636,1.00694522154,897.0,3.0,99.994970304,57,0.213691,86.2545,35.6662,1000.0,9.72815186844,14.3857142857,37.5947663448,37.5994330508,37.5939,57,43.0,6.29689,29.6104180907
38.4484,-42.5317,1000.0,1.00305686302,1000.0,3.0,99.9956828753,58,0.272282,87.4029,35.8566,1000.0,13.3531657237,12.9743589744,38.4001733885,38.4057451026,38.4006,58,83.0,6.19357,0.0
39.1853,-43.2759,1000.0,1.02476817489,1000.0,3.0,99.9956828753,59,0.229896,87.9168,36.0608,1000.0,11.3960856978,15.4,39.1345731722,39.1408640698,39.1339,59,58.0,6.40703,0.0
39.9907,-44.2005,1000.0,1.05093819397,1000.0,3.0,99.9956828753,60,0.236395,88.7653,36.2802,1000.0,7.37260906452,10.5319148936,39.9462209992,39.9501143238,39.9444,60,35.0,6.79574,0.0
40.6096,-44.8656,1000.0,1.09921767933,1000.0,3.0,99.9956828753,61,0.222272,89.5673,36.5701,1000.0,9.94095065876,12.55,40.5612303747,40.5654158295,40.5589,61,56.0,7.42979,0.0
41.4157,-45.7155,1000.0,1.08425911362,1000.0,3.0,99.9956828753,62,0.251395,90.4402,36.7958,1000.0,15.8901601182,14.8676470588,41.3607477792,41.3682188152,41.3613,62,84.0,7.47202,0.0
42.0763,-46.5524,1000.0,1.12688051775,1000.0,3.0,99.9956828753,63,0.287435,91.5296,37.0358,1000.0,11.4952159067,13.5205479452,42.0183068904,42.0255309413,42.0189,63,56.0,8.24574,0.0
