AverageAbsQ,AverageAbsQYDiff,AveragePolicySurr,MaxEsReturn,MaxReturn,Epoch,AverageEsReturn,StdReturn,AverageAction,StdEsReturn,AverageQLoss,AverageDiscountedReturn,PolicyRegParamNorm,MinReturn,AverageAbsY,MinEsReturn,AverageY,QFunRegParamNorm,Iteration,AverageReturn,AverageQ
0.0798108,0.889456403986,-0.130008,25.0,43.0,9,5.80150899594,4.68575226369,0.000617657,2.89195213653,0.816784,20.5566351911,10.4746,15.0,0.9634063449,2.0,0.9634063449,10.4467,9,23.0068965517,0.0739499
1.13012,0.0553993706402,-1.22723,8.0,3.0,10,2.84135977337,0.489432518121,0.999988,0.683923333072,0.0154363,2.37983119156,11.3748,2.0,1.14453848018,2.0,1.14453848018,11.516,10,2.3977463438,1.13012
1.57924,0.0546847449353,-1.59307,6.0,3.0,11,2.75690607735,0.487242709813,0.999989,0.532397202504,0.00973617,2.37005787966,11.3761,2.0,1.5794332316,2.0,1.5794332316,13.5848,11,2.38777459408,1.57924
2.03581,0.0757898163434,-2.2957,50.0,50.0,12,6.40384615385,1.51991599376,0.891137,8.74113385692,0.0176693,36.7305838934,14.4566,43.0,2.03603160572,2.0,2.03603160572,16.3911,12,45.5590909091,2.03581
2.80306,0.108682225998,-3.23991,105.0,230.0,13,43.1304347826,28.4669093791,0.496347,27.2640938389,0.035249,69.3060359626,15.7458,85.0,2.80322751484,5.0,2.80322751484,19.8492,13,121.180722892,2.80306
3.52138,0.131377065199,-4.09808,78.0,53.0,14,34.4642857143,0.897203990183,0.321127,23.6605188671,0.0523906,39.6457295717,17.5508,48.0,3.52144182824,4.0,3.52144182824,22.9778,14,50.245,3.52138
4.25776,0.151414752214,-4.99394,73.0,60.0,15,26.0540540541,2.19197235737,0.173329,20.5056959074,0.0748547,40.2464167925,19.2136,47.0,4.25777946572,3.0,4.25777946572,25.9911,15,51.2602040816,4.2577
5.02748,0.167029665719,-5.89556,84.0,39.0,16,20.5,0.513981496942,0.0590776,15.4291183257,0.100326,31.9981045517,19.8752,37.0,5.02750196808,3.0,5.02750196808,28.707,16,38.3716475096,5.02736
5.83125,0.188428488498,-6.835,51.0,54.0,17,14.2985074627,2.45429099976,0.123671,11.4109333868,0.138093,32.5474588693,20.6973,37.0,5.83073385464,3.0,5.83073385464,31.5316,17,39.20703125,5.83096
6.61962,0.206586722785,-7.74632,60.0,117.0,18,14.2972972973,11.9135603942,0.149428,13.4944730726,0.172213,33.8940296952,21.7634,37.0,6.61893742306,3.0,6.61893742306,34.1898,18,41.8049792531,6.61914
7.40096,0.234966405564,-8.64568,47.0,106.0,19,11.7647058824,9.78380907857,0.339655,10.7371231319,0.234177,43.000567951,22.6646,36.0,7.39973646245,2.0,7.39973646245,36.9633,19,56.3988764045,7.40025
8.18691,0.254972955491,-9.51644,63.0,84.0,20,17.8571428571,5.70827706215,0.33002,15.4635846096,0.286914,36.5377496431,23.3524,37.0,8.18526665499,2.0,8.18526665499,39.6149,20,45.4027149321,8.18575
8.99038,0.281755391606,-10.4252,62.0,59.0,21,14.014084507,4.28171370884,0.279206,11.4479753518,0.349429,35.9247654813,23.9241,37.0,8.98855850033,2.0,8.98855850033,42.3055,21,44.3805309735,8.98871
9.79764,0.302108471516,-11.34,55.0,74.0,22,16.5,5.22924269316,0.220208,13.4244801265,0.402973,41.2888390178,24.4122,42.0,9.79469811089,3.0,9.79469811089,44.8707,22,53.1216931217,9.79542
10.6022,0.333246784531,-12.2469,52.0,117.0,23,12.4938271605,12.1202128377,0.170674,11.9661285929,0.494403,42.1759360132,24.826,36.0,10.5984848947,3.0,10.5984848947,47.2614,23,55.1703296703,10.5988
11.3584,0.356769200283,-13.1472,49.0,37.0,24,12.4,0.473930959403,0.0430226,10.71284276,0.580065,30.8178517454,25.2349,36.0,11.3537725148,3.0,11.353763427,49.6071,24,36.6593406593,11.3548
12.1633,0.393638566087,-14.0591,45.0,36.0,25,12.0238095238,0.426263893188,0.0622706,9.91148466904,0.689046,29.4948379122,25.5919,34.0,12.1590321563,3.0,12.1590083522,51.8906,25,34.7743055556,12.1593
12.9941,0.41761963018,-15.0158,44.0,40.0,26,11.0333333333,1.07696024097,0.150491,7.93228284362,0.805724,31.623952427,25.9447,36.0,12.989434844,3.0,12.9893412319,54.0651,26,37.8301886792,12.9892
13.8372,0.454010612269,-15.9497,47.0,42.0,27,13.1710526316,1.31315332788,0.182061,10.7169174647,0.955436,31.5805110644,26.3637,36.0,13.8303634284,3.0,13.8300842006,56.0205,27,37.7698113208,13.8304
14.6565,0.476825663404,-16.8938,55.0,40.0,28,11.9047619048,0.632505819983,0.190547,9.50766488734,1.08915,31.844812873,26.8813,37.0,14.6492108573,3.0,14.6488984565,58.0421,28,38.1482889734,14.6487
15.4777,0.503334163664,-17.8328,58.0,38.0,29,11.869047619,0.633634243398,0.215094,9.87273754903,1.20157,31.007653081,27.4098,36.0,15.4694940529,3.0,15.4691798873,59.8123,29,36.9335793358,15.4694
16.2922,0.545276870388,-18.8037,61.0,42.0,30,13.4864864865,1.0123404779,0.21394,11.1443152922,1.43691,32.2733879733,27.8978,37.0,16.2814937934,3.0,16.2811288202,61.6838,30,38.7790697674,16.2815
17.2101,0.557608440896,-19.7718,55.0,38.0,31,13.5,0.613091340451,0.195477,11.3080334993,1.5418,30.657046686,28.466,35.0,17.2000008491,3.0,17.1995537977,63.4106,31,36.4290909091,17.1992
17.9997,0.596211661299,-20.6604,41.0,122.0,32,12.1445783133,20.0986270154,0.219029,8.62349344987,1.75084,41.9631424023,28.9915,39.0,17.9859886337,3.0,17.9838629056,65.2398,32,55.9776536313,17.9844
18.8535,0.622136337579,-21.6585,67.0,139.0,33,12.6493506494,20.5405802138,0.217724,11.1364223239,1.93644,57.6826949724,29.727,47.0,18.8372351692,3.0,18.8327879218,66.9058,33,87.798245614,18.833
19.6925,0.637695214375,-22.5816,62.0,108.0,34,13.4736842105,21.5814349631,0.311524,9.86817543554,2.05653,46.599836872,30.3816,41.0,19.675637716,3.0,19.6707645352,68.5635,34,64.6193548387,19.6705
