AverageQLoss,AverageReturn,AverageAbsQ,AveragePolicySurr,MaxEsReturn,QFunRegParamNorm,StdReturn,MaxReturn,AverageY,Epoch,AverageAction,AverageAbsQYDiff,Iteration,AverageAbsY,MinEsReturn,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,StdEsReturn,AverageEsReturn,AverageQ
0.809171,242.508094131,6.59126,-7.58964,253.575155685,26.0593,46.2523329102,466.846069807,5.57235622503,32,0.778104,0.481897755006,32,6.613786861,-0.928928550877,112.996693168,178.010728071,22.1854,109.007995741,130.291582733,5.56753
0.957225,268.512568339,7.50589,-8.59935,328.794088768,26.8004,44.8383605406,404.511076495,6.51785455026,33,0.753303,0.535707465907,33,7.52487196183,30.1234819388,110.941316342,200.800683074,22.8379,124.429127767,184.059998887,6.51371
1.10492,246.161547234,8.46666,-9.66514,331.905400395,27.5193,90.8652234958,838.233401234,7.4923271198,34,0.738265,0.573481692916,34,8.48471009367,133.766743898,108.69298874,146.88770324,23.4292,81.8623349047,221.963940853,7.4879
1.3463,241.224721898,9.49207,-10.8432,209.283021095,28.2547,49.4236003833,368.322565185,8.55287929892,35,0.761483,0.641676535696,35,9.51061519392,-6.35756823447,103.901603839,116.22024573,23.892,86.5478431666,90.1743838765,8.54861
1.51672,218.124815919,10.4497,-11.8508,253.086327925,28.9579,67.515761318,338.424524866,9.5171131809,36,0.81022,0.689067637374,36,10.4698992055,-15.4549326975,91.5473325375,33.3356423708,24.4071,118.406179878,123.683601652,9.51214
1.83847,202.044381614,11.571,-13.0601,350.060902458,29.7029,92.2605332687,471.925613377,10.6800702036,37,0.749245,0.764324083467,37,11.5894374715,76.8856728905,85.4251080416,-18.0271032569,24.826,99.3010001289,217.411163619,10.6744
2.10945,187.043954533,12.7136,-14.2915,234.686033416,30.4341,73.4343041746,424.067846202,11.7955787603,38,0.77285,0.818869345044,38,12.729070476,9.51087926122,90.3458697241,-2.6234204518,25.2983,87.8722285941,125.594944231,11.7907
2.33004,144.042787965,13.932,-15.7134,451.480363885,31.0275,111.932963763,377.554708376,13.0517585405,39,0.755261,0.885173811259,39,13.9462118668,-12.5131130035,61.5837643785,-26.6280094406,25.6824,178.640153588,135.718036123,13.0456
2.92545,197.755193408,15.1564,-17.0264,302.259024488,31.6467,59.8583441106,447.141401023,14.2977064301,40,0.783874,0.972251172654,40,15.1715584153,-8.69157168779,92.5480055168,41.9510102032,26.0253,104.220086878,117.071414998,14.2917
3.09415,216.442254202,16.5321,-18.505,330.999389657,32.272,64.4963098055,390.349103979,15.7193100978,41,0.74721,1.01540791675,41,16.5444731773,113.140721539,94.5855111717,84.3232042865,26.3792,72.6947992954,229.088735832,15.7132
3.63148,188.365860651,17.9785,-20.1416,377.662130981,32.8337,36.8948809823,315.114575658,17.2183212821,42,0.773867,1.08972972967,42,17.9919765037,2.82677832395,103.009334491,110.825971153,26.7044,116.316842317,184.163567645,17.2102
4.04986,231.472346474,19.4997,-21.8272,329.165679667,33.4003,142.901556454,512.300808404,18.8177839354,43,0.777358,1.14067329459,43,19.513929728,13.5363141568,83.0438859791,-11.8288050081,27.0708,111.070281723,149.631251982,18.8107
4.67953,301.231343886,21.0022,-23.5252,340.40719981,34.0238,103.752802395,684.109324562,20.3759775045,44,0.763284,1.21167661299,44,21.0166003427,-5.5284491213,107.896049918,53.8394790053,27.4493,96.5541157981,87.1088509005,20.3666
4.70265,197.470100345,22.3748,-25.048,292.543889404,34.549,101.413922666,396.110769501,21.8153154421,45,0.811339,1.23311439626,45,22.3858714572,31.5094036753,78.5893738921,37.0000879865,27.7567,117.803194545,139.452250846,21.8074
5.14486,230.24969563,23.8953,-26.5903,274.433591998,35.0483,96.923272239,504.774697542,23.3800720317,46,0.780156,1.28386549235,46,23.9070105907,56.7646798616,97.9491422428,24.2452093729,28.0175,71.4573011416,126.005982377,23.3721
5.52723,228.889968543,25.3574,-28.066,223.228583967,35.5883,68.0850439162,470.718504912,24.8620507996,47,0.793425,1.34345689623,47,25.3695601979,3.28475829756,98.7633373178,84.7417065312,28.316,81.9857080182,107.828754006,24.8517
