AverageAbsQ,StdEsReturn,AverageQ,AverageAbsQYDiff,AverageAbsY,PolicyRegParamNorm,AverageAction,AverageReturn,StdReturn,MinEsReturn,AverageDiscountedReturn,Iteration,AverageEsReturn,MaxReturn,AverageY,Epoch,AverageQLoss,QFunRegParamNorm,MinReturn,MaxEsReturn,AveragePolicySurr
1.04448,0.0,1.04448,0.0147274460036,1.04458499507,17.5225,0.999845,-594.096734866,0.926787411224,-378.501249002,-54.5275417028,30,-378.501249002,-592.149460261,1.04458040569,30,0.00116089,15.2602,-595.229859316,-378.501249002,-1.05344
1.03669,0.0,1.03666,0.0149394852758,1.03682150124,17.8008,0.996625,-582.686423208,1.22712068818,-395.36706472,-58.3181616039,31,-395.36706472,-581.302549253,1.03681387782,31,0.00118523,15.6855,-584.692026854,-395.36706472,-1.05908
1.03166,0.0,1.03163,0.0118411110133,1.03173290469,17.8257,0.965935,-580.515524157,0.837284218661,-401.536445293,-58.8723770502,32,-401.536445293,-578.749982251,1.03172681759,32,0.000994272,16.057,-582.055005342,-401.536445293,-1.0292
1.01111,0.0,1.01111,0.0110886461051,1.01119195841,18.3389,0.987385,-704.387946762,6.67796276505,-421.108822256,-71.5759566381,33,-421.108822256,-690.506777767,1.01118602868,33,0.00101512,16.3616,-715.641142837,-421.108822256,-1.01458
0.999773,0.0,0.999748,0.0109004517528,0.999860376891,18.5663,0.999957,-600.428401333,0.693480269651,-432.839988499,-60.4659312489,34,-432.839988499,-599.097039555,0.999854659169,34,0.000954186,16.6973,-601.38545483,-432.839988499,-0.999284
0.986566,0.0,0.986541,0.00958485128319,0.986611175785,19.0564,0.987308,-527.792446299,189.718008712,-410.054563852,-50.6763439438,35,-410.054563852,-364.977538879,0.986606604737,35,0.000601315,16.9643,-778.829568847,-410.054563852,-0.990389
0.977927,0.0,0.977901,0.0110310955166,0.977980993193,19.4069,0.971466,-581.147837493,35.5967482619,-364.138892839,-53.8787240651,36,-364.138892839,-529.514266517,0.977973675242,36,0.000947418,17.4022,-663.021989449,-364.138892839,-0.990827
0.974116,0.0,0.974107,0.0135475036947,0.974305398207,19.4776,0.930973,-760.758358976,96.895651291,-375.592439532,-73.4017263883,37,-375.592439532,-607.276995458,0.974296992422,37,0.00130692,17.8613,-929.933272885,-375.592439532,-0.98798
0.965476,0.0,0.965444,0.0117426202869,0.965526377137,19.8399,0.906398,-542.395350034,0.583382969834,-577.540575873,-52.9897040304,38,-577.540575873,-541.07890667,0.965519527512,38,0.00088822,18.1325,-543.118696124,-577.540575873,-0.971123
0.953317,0.0,0.953317,0.0113601279214,0.953398396819,20.3275,0.986607,-544.669511277,81.3936089954,-442.157243247,-45.3273484281,39,-442.157243247,-439.394402811,0.953394043544,39,0.000933323,18.3734,-727.430540216,-442.157243247,-0.963599
