AveragePolicySurr,Iteration,AverageY,AverageAbsQ,Epoch,AverageEsReturn,StdEsReturn,MinEsReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,AverageDiscountedReturn,AverageAbsY,PolicyRegParamNorm,MaxEsReturn,MaxReturn,StdReturn,AverageQ,AverageReturn,AverageAction,MinReturn
-36.3986,34,33.8941154675,33.9072,34,154.701204914,36.0779188093,86.3384606696,0.856342275464,34.6663,3.6632,119.28924546,33.8970760662,26.8458,196.808092816,195.505087974,2.30313123424,33.8888,189.777599723,0.521886,182.455837436
-37.753,35,35.2786752997,35.2927,35,145.146806658,36.7945639919,67.1522621855,0.824307558733,35.2934,3.40916,106.446967562,35.2813771828,27.2355,192.389494261,180.292974968,8.64983700767,35.2758,159.000409334,0.608553,143.697330421
-39.3859,36,36.7752029068,36.7924,36,134.856926996,73.6398804507,9.88924492223,0.878200451328,35.9916,3.90048,121.492508749,36.7786879643,27.4504,250.206416873,214.322374887,4.25903304655,36.7716,195.6420582,0.481316,182.62187724
-41.1031,37,38.4697144921,38.4829,37,170.440841162,55.2368406384,90.1488730683,0.925748068226,36.6973,4.42359,67.725736119,38.47240237,27.8081,231.209081847,314.753497409,49.1915131448,38.4647,94.361383448,0.430301,71.7813997605
-42.4266,38,39.873453991,39.8898,38,137.727066593,70.3648494093,6.52262181712,1.00760541934,37.4569,5.30513,118.021271759,39.8762022261,28.274,222.719551692,193.954874984,2.51434226015,39.8674,188.560147636,0.505305,183.667545816
-43.9039,39,41.3840645507,41.4052,39,167.341909683,29.2736542286,100.496787044,1.08415817925,38.1059,6.12815,114.582043212,41.3918355729,28.6783,210.887283156,184.83023386,2.94221508024,41.3794,179.217701884,0.526518,165.394474918
-45.3385,40,42.8041925626,42.8285,40,150.687640783,55.0285096711,15.6911247243,1.04542308268,38.7232,5.95926,113.382575974,42.8107897983,29.0354,207.834424586,186.069538444,5.07991748975,42.7997,177.156280529,0.531715,164.987770776
-46.8156,41,44.1994352752,44.2256,41,155.185715939,31.3992868096,94.4063429743,1.1064866483,39.4158,6.26699,115.020560874,44.206489593,29.4322,184.323152812,186.04801004,2.15567975729,44.1947,181.71458449,0.595423,176.266725092
-48.3115,42,45.7113591497,45.7368,42,147.067104166,58.0831026425,16.5439795046,1.15633122668,40.2083,7.22387,118.061367329,45.7178817671,29.8154,206.830926486,196.414825327,2.83542665772,45.7066,191.202829651,0.530354,185.072491795
-50.0857,43,47.3776084882,47.4016,43,140.366897097,61.307649309,39.2567270313,1.15462912345,40.9491,7.20481,108.208736742,47.382118952,30.1453,242.182894803,180.878656439,10.8082933797,47.3724,166.774061005,0.604995,143.171959845
-51.6731,44,48.8888416408,48.909,44,166.570573667,62.5058088243,33.6607646996,1.15671687944,41.5376,7.08957,123.168942431,48.8916036618,30.4653,231.123935872,212.339292147,3.07870450564,48.8828,207.204936965,0.533416,194.648098766
-53.5352,45,50.6215644413,50.6465,45,152.218785653,68.2343867964,30.1514043132,1.24452415383,42.2533,8.96301,135.344060377,50.6243023401,30.7683,239.719236588,240.713093231,3.72873968264,50.618,230.478417853,0.558183,221.914049862
-55.6388,46,52.5891086464,52.6093,46,211.194273787,83.6187370103,16.0778517963,1.26264077298,42.8705,8.83639,155.641196861,52.5913750808,31.0129,315.054497151,306.305678091,10.558690002,52.582,297.845045884,0.496052,230.900672852
-57.4006,47,54.2787867341,54.3041,47,195.014655179,83.6405046552,76.112718056,1.24389024365,43.5043,8.16692,144.098731,54.2810138208,31.3069,307.108956082,274.086389841,10.4748336556,54.2756,262.433869511,0.576645,241.636244247
-59.2547,48,56.0561587712,56.0794,48,206.176860561,76.2133626825,81.0933843907,1.35919591999,44.2679,10.285,146.733385753,56.0586595252,31.5366,288.44274898,290.682896175,12.0872758029,56.0483,275.717002366,0.464716,248.623069301
-60.9616,49,57.6849403366,57.7147,49,204.942277836,87.3039909506,69.3061952062,1.3893252149,44.9529,10.8468,139.366352865,57.6877631188,31.8462,322.892638273,275.592530967,8.47824455946,57.6809,250.475993022,0.455978,235.185034427
-62.978,50,59.7438731132,59.7734,50,185.359423928,96.5851498252,24.8731543862,1.36603167192,45.5708,10.7808,148.830234901,59.7477217982,32.0968,287.457931861,371.883818865,32.6221169392,59.738,289.961208872,0.507706,256.910667317
-64.6913,51,61.3425162142,61.3776,51,192.549994348,91.4316770527,4.83440119548,1.49036386018,46.3173,12.4907,149.056303323,61.3483519934,32.3653,308.424118888,325.776843394,36.6138313903,61.3378,279.002946044,0.409481,234.020241325
-66.5774,52,63.1746220551,63.2052,52,179.480057324,89.0691746402,24.0815715992,1.49596184932,46.9176,13.2732,148.231733706,63.181465552,32.6598,333.759522295,287.830035662,6.33386691231,63.167,270.044908075,0.489508,255.604258112
-68.4744,53,65.0207760242,65.0596,53,174.933905244,137.871478985,10.9836675973,1.52201999253,47.5091,12.5481,147.665660662,65.0271425014,32.9249,387.87619053,348.725087498,10.5109992367,65.0178,283.529760482,0.483038,268.467190375
-70.3243,54,66.821832164,66.8592,54,193.801596089,56.3584655005,120.519309508,1.56747307084,48.104,13.6724,153.22970606,66.8277165169,33.2085,300.091478728,361.578447459,17.8269507489,66.8139,300.537956427,0.522018,257.250123134
-72.1538,55,68.6543950794,68.6945,55,204.061133219,99.6671773111,4.72099287035,1.62548653423,48.6196,15.7106,156.168022334,68.662593031,33.4716,324.161796987,349.850294399,14.6111819428,68.6462,304.599047269,0.541678,277.338769101
-74.1505,56,70.5929333625,70.6335,56,197.898795773,116.016440097,3.43974750892,1.63621516483,49.1322,15.2855,161.102081883,70.6006478373,33.6955,346.789645783,499.292681096,61.6285600848,70.5875,321.677193745,0.519589,263.306865873
-75.7339,57,72.1438038487,72.1761,57,161.367531635,113.164292128,16.0525064853,1.76090675701,49.6831,19.0862,142.525036246,72.1488417484,33.9349,352.148285277,330.879084792,20.7765422632,72.135,254.823676668,0.453108,224.497213198
-77.4218,58,73.8010628864,73.8383,58,232.650244259,101.585548255,71.0819708614,1.78003222318,50.3177,18.7645,148.313363215,73.8079377989,34.1883,341.655214485,325.184937175,16.7646776514,73.7932,275.190676776,0.453165,243.888493026
-79.0905,59,75.4295097126,75.4736,59,189.088355909,125.295252158,22.5321225398,1.82899247454,50.8512,20.7025,162.679118689,75.4379611623,34.4749,394.437289192,407.242227186,13.1269300865,75.4226,353.867617014,0.429545,334.644642093
-80.7973,60,77.174426375,77.2094,60,193.130712263,85.9037647845,57.9523213343,1.80117248896,51.4327,18.9132,146.453969461,77.1819143112,34.7373,305.983327666,317.699524024,20.946220278,77.1632,263.634882536,0.431143,218.641424569
-82.5686,61,78.8814954597,78.9196,61,226.036795948,81.0237482506,75.1970425112,1.89199631602,52.0619,20.8067,143.350823722,78.8883559499,34.9254,309.046963398,331.206968393,23.3906298553,78.8705,261.651463607,0.449967,231.433817248
-84.1818,62,80.5324683524,80.5746,62,183.480240894,105.362297668,12.1816238553,1.86608393771,52.5584,20.4076,145.308366951,80.5404517334,35.1509,325.5336826,284.70834605,9.1009108033,80.5262,261.570470688,0.384338,245.608175556
-85.8513,63,82.1203048483,82.1696,63,155.109527915,86.0841419809,51.996877172,1.9487442578,53.1426,22.7129,156.066353551,82.130619495,35.3955,289.793201291,333.549151408,18.1133424329,82.1133,308.117671772,0.416753,279.317380957
-87.4051,64,83.6546366088,83.7041,64,248.307536186,124.767614708,16.5084700192,1.92650978202,53.713,21.6934,155.938998353,83.6682350171,35.5378,398.65431938,486.988177805,43.5100753376,83.6426,315.687619491,0.412297,252.828100727
-89.1693,65,85.3733808416,85.4318,65,193.932420559,122.812814034,18.6001775615,1.98029647079,54.2754,23.1264,164.273828884,85.3896351934,35.7772,372.10132858,574.284751317,64.4760701149,85.363,384.466538622,0.386235,316.579695022
-91.1565,66,87.20700552,87.2672,66,226.561971345,125.104341896,16.1189105265,2.0574565739,54.8878,25.5583,164.985352695,87.2221552046,36.0093,391.966862733,394.807440952,33.2030675495,87.2001,332.208062137,0.436173,268.124457709
-93.0073,67,89.1322957727,89.1814,67,174.389332418,115.852469612,8.98774276534,2.07841714386,55.4815,26.319,161.906754703,89.144663699,36.2376,382.252710413,427.675288458,29.4433732703,89.1222,326.997614841,0.437182,292.319665937
-94.5944,68,90.7107215095,90.7686,68,169.838430429,133.280546525,12.8532408648,2.07727345891,56.0033,24.4671,168.205591892,90.7280264534,36.4555,391.987838216,464.210971287,38.4406329282,90.6991,405.385110421,0.406203,324.016792193
-96.5572,69,92.644768507,92.7147,69,169.734273686,94.080926147,17.287610421,2.12604869129,56.5809,26.2421,162.254433039,92.6661481337,36.6381,326.797180415,421.705051444,40.9154508032,92.6368,313.062480415,0.459863,201.871469153
-98.1431,70,94.1590313619,94.2266,70,226.418499174,121.7947817,6.12477181353,2.09451238794,57.0986,25.7434,175.212629935,94.1818527601,36.923,368.939665496,433.63478063,19.10636714,94.1488,381.525146363,0.347938,323.638093369
-99.8332,71,95.8647559736,95.9303,71,212.273116911,151.339545143,9.84554238881,2.19159009656,57.7095,28.9889,166.787786371,95.8798082448,37.1349,428.068637767,341.714013349,14.2095742262,95.8564,326.252733044,0.356134,274.822562864
-101.552,72,97.5307505644,97.5958,72,211.268398,117.208885377,23.3767458517,2.30531323869,58.2586,33.1262,165.517837077,97.5465813081,37.3106,346.169843436,433.32189531,40.737575683,97.5197,338.145095868,0.37554,297.658318352
-103.315,73,99.3310850456,99.4018,73,213.40484135,129.244884836,3.1719014472,2.23041877666,58.7661,29.0882,184.174497405,99.346160296,37.4605,396.795006165,466.93588818,44.2500399787,99.3232,407.564362116,0.409173,283.666636933
-104.8,74,100.802129005,100.874,74,285.873135827,58.5102979823,156.985090226,2.26733596845,59.2276,31.483,175.487730736,100.817132483,37.6958,349.585098251,426.723282421,34.9736400642,100.793,359.580052418,0.39273,281.377455207
-106.477,75,102.41537078,102.481,75,214.246407034,128.895082107,9.41364934557,2.30780485504,59.7751,31.5635,186.408860428,102.431647307,37.9123,374.422041795,403.966717882,5.87164466915,102.402,393.316467293,0.459443,371.865150874
-108.127,76,104.101016554,104.167,76,227.532094704,96.3936828708,62.610934335,2.35772658364,60.2467,32.6056,171.237724929,104.113807572,38.16,351.147787527,343.176178964,1.95933632861,104.09,339.787505474,0.360169,333.847226099
-109.859,77,105.80279248,105.876,77,188.800103509,145.321246399,10.470934549,2.37230444447,60.7199,34.8065,179.996932467,105.81858799,38.399,437.4317608,519.072782643,50.7027356307,105.796,376.049790437,0.413023,286.677317294
-111.476,78,107.383760094,107.446,78,202.080947628,120.760015565,28.4385189048,2.37297264368,61.1163,33.8649,183.143459709,107.397137714,38.6328,389.66046713,466.654213274,30.0945744736,107.372,392.188531018,0.413759,349.228447859
-113.143,79,108.990918723,109.063,79,204.506212003,140.363032353,46.9084262531,2.43600184038,61.6314,34.1533,195.221457281,109.001904709,38.9086,562.066125555,555.042012398,40.9791744413,108.973,463.844721892,0.539748,398.177457954
-114.58,80,110.425080819,110.502,80,213.126705774,148.847695263,2.18836806133,2.51383812794,62.0055,38.2354,187.737524491,110.442661156,39.1284,373.577180374,649.337787393,98.0811013069,110.412,424.33483798,0.536525,263.839240792
-116.649,81,112.365319258,112.444,81,217.841366151,127.588792334,52.988307683,2.49614963189,62.4803,38.5606,200.791055429,112.383190796,39.3653,440.448959343,521.882337337,23.8964679537,112.36,454.886527887,0.439221,432.621592407
-117.897,82,113.667565622,113.747,82,282.087353022,125.462502662,10.151809502,2.56540450923,62.8813,42.7542,203.574961057,113.688753964,39.6066,412.691702944,581.2102816,56.3250213238,113.649,471.279465583,0.541693,296.302466854
-119.727,83,115.48779572,115.561,83,213.173970901,177.514037458,7.93400302982,2.5742836317,63.3658,39.1688,198.485895952,115.506022768,39.8406,501.741942355,855.362071202,155.877432329,115.472,490.946564465,0.571751,301.392539935
-121.094,84,116.78505553,116.877,84,223.561578435,130.250069894,23.3987666823,2.62892550699,63.8639,41.1805,202.318151969,116.807380164,40.1352,393.320421119,876.651961291,168.714477589,116.773,520.366172178,0.564742,286.162896455
-123.039,85,118.856169827,118.941,85,243.375868144,214.640596534,26.223001284,2.59724076414,64.3339,38.0396,198.455537251,118.869132807,40.4206,740.654820529,445.240349724,5.12081496414,118.847,436.080733357,0.538943,422.357078425
-125.199,86,120.878273558,120.957,86,252.18980558,163.080564105,37.6238282883,2.66442846156,64.7761,41.9646,194.352310693,120.896416082,40.6579,636.341485295,629.649636355,68.2172748354,120.863,433.580231319,0.48651,312.768557741
-126.353,87,121.982638918,122.068,87,243.597190876,164.018383925,46.7691330636,2.68401219288,65.2602,42.2946,213.608883898,121.997510535,40.8838,659.485461746,669.722985699,56.9653621406,121.973,523.564009256,0.566143,417.608175222
-128.045,88,123.743375338,123.83,88,252.766565237,121.108241515,90.3392012221,2.79110679651,65.7567,46.3332,223.495007794,123.758387318,41.1282,467.553081194,738.787149843,91.4738918231,123.727,610.739239437,0.602503,337.361220575
-129.613,89,125.195954668,125.278,89,343.173215985,29.6330966694,318.849003305,2.71316815834,66.2142,39.0388,179.419250319,125.209701646,41.392,416.790038884,688.395406207,89.7996098966,125.184,388.523871496,0.562318,279.757618408
-131.194,90,126.825306986,126.907,90,229.593168202,125.432588499,54.4210613857,2.90308945095,66.6881,48.1428,171.912785821,126.839023721,41.6465,382.210311443,553.241981333,76.9713126773,126.814,351.644552434,0.594994,252.322545621
-132.901,91,128.545784253,128.631,91,191.518460703,129.399553475,8.63598272827,2.7573022383,67.1523,42.2711,164.615135623,128.559104353,41.8521,407.610090282,372.520350794,18.4280587804,128.536,318.501178331,0.585481,292.271328548
-134.547,92,130.110659363,130.184,92,208.676933121,136.898301437,51.6439476582,2.90201852622,67.5459,51.5051,178.98619208,130.124173454,42.0607,458.574557279,558.931097858,44.6602911073,130.097,374.561030248,0.561889,247.522303242
-136.258,93,131.903570849,131.985,93,266.164074167,212.14731549,32.2159431405,2.86397993436,67.8962,45.7683,204.195026039,131.919459,42.2726,684.224678109,925.303619378,212.289422408,131.89,562.157211765,0.637181,320.670332886
-137.858,94,133.323551748,133.411,94,236.312039258,121.437809724,12.7748122207,2.90918050224,68.2868,46.9203,162.235141092,133.335901779,42.5425,424.121894747,626.426927584,99.394793308,133.306,322.477364084,0.635953,198.803173501
-138.925,95,134.424229694,134.518,95,234.099227223,121.548190061,27.6714313922,3.01550656528,68.7673,55.5359,190.511355134,134.441305421,42.71,398.410846517,583.117027888,40.8247875886,134.413,414.180213729,0.602576,368.652709894
-140.673,96,136.235155908,136.327,96,187.850707056,131.555802942,26.6809537956,3.01661890193,69.1488,52.4727,147.760268018,136.252544334,42.9449,423.801631066,538.714769603,69.6469043404,136.222,275.67050364,0.65332,166.603802507
-141.999,97,137.55964881,137.652,97,299.578978739,172.021703419,53.4200012956,3.07813909758,69.6106,53.5211,179.362715781,137.57665014,43.172,663.338263136,565.302588624,53.9473502083,137.545,380.006118504,0.637929,287.746283076
-143.378,98,138.77800208,138.873,98,183.212361744,153.197205893,8.79769015508,3.12147756566,70.0653,53.8107,167.501240498,138.792232221,43.3525,444.851807676,710.82061555,102.795520288,138.764,351.984944709,0.638269,186.050980745
-144.988,99,140.442314105,140.535,99,244.714635556,161.338306174,58.3221327664,3.09673605717,70.5249,53.1708,177.738134202,140.460007707,43.5794,558.594523883,427.773873685,33.4031037312,140.428,369.328647311,0.599939,213.523731639
-146.238,100,141.631255794,141.735,100,250.875372832,85.5207915647,131.444691028,3.17261591083,70.9449,57.9091,183.606035365,141.6508634,43.7633,374.964197076,595.088722616,31.3528596022,141.617,389.521475675,0.618646,341.774118143
-148.095,101,143.490981755,143.601,101,279.837024027,157.348457581,13.9764722305,3.18915040966,71.4244,57.1645,179.551062215,143.516255419,43.9918,557.147633228,416.653035001,11.1284086162,143.48,375.776241063,0.654271,343.864648042
-149.85,102,145.307988862,145.421,102,163.434040048,121.036087202,4.61126520255,3.21073347909,71.7743,59.9043,187.370638293,145.332811362,44.1793,331.98839861,597.880339405,60.7029225444,145.293,408.967125622,0.587909,348.018124563
-151.297,103,146.713148518,146.821,103,241.915459388,125.631653197,55.1628364051,3.23390519213,72.2138,58.6438,171.592710012,146.73184481,44.3476,444.688453467,473.120838312,33.7305286093,146.701,344.121104079,0.622071,271.411641938
-152.624,104,148.035952991,148.151,104,248.899894305,115.521490034,44.9678513526,3.27360203987,72.5643,63.4694,174.636064598,148.063912474,44.5333,425.750884817,411.631660892,20.4677997612,148.024,357.984014362,0.610456,294.537314119
-153.715,105,149.025460862,149.141,105,185.639811045,142.050142072,19.2474586901,3.2826030843,72.9776,61.906,180.350041955,149.053222566,44.7625,521.226736088,509.483391482,45.1796270974,149.007,373.928842446,0.60607,185.469634248
-155.645,106,151.053563133,151.174,106,247.107232555,143.571321551,60.7102809508,3.39008301409,73.4267,64.9692,178.227533689,151.079781947,45.0061,565.226694531,507.387098574,29.4668747759,151.039,370.671693306,0.636747,329.058929817
-156.956,107,152.213754679,152.335,107,257.179937166,163.322580446,26.1156722853,3.41552303484,73.8196,68.6741,176.864289976,152.238248311,45.1959,499.568421208,600.137069409,93.3347120305,152.204,376.903603764,0.650958,164.544993682
-158.212,108,153.396307198,153.514,108,197.182582745,102.313930873,41.2027797913,3.39591709627,74.186,65.5977,173.863290396,153.423932997,45.41,404.87869531,602.382821637,83.7618956663,153.381,367.290791368,0.639604,181.071814079
-159.705,109,154.787955003,154.919,109,192.5599824,146.868946079,38.8559660582,3.51421120307,74.6234,66.9432,187.519071831,154.822531726,45.6915,563.840174184,673.790292183,91.8677494831,154.773,419.806202436,0.628337,252.581707737
-161.837,110,156.940790219,157.072,110,180.974486078,143.5354517,32.0671284117,3.5379647763,75.0274,68.1398,151.933597014,156.970923859,45.8317,544.308758715,491.474253577,40.3402127084,156.921,278.646829287,0.59854,214.573031332
-163.156,111,158.040366308,158.18,111,182.518667666,150.492627953,5.48873968263,3.60432241707,75.4504,70.2621,165.682382643,158.074680239,46.0645,380.182785687,537.84139847,73.4699488236,158.031,330.777466665,0.637271,195.382555919
-164.702,112,159.73665634,159.869,112,308.463538525,189.182401462,9.92642993574,3.56810673883,75.8514,68.6013,210.09968328,159.767195949,46.2741,609.767235378,778.609191407,104.208624641,159.722,570.097739193,0.642121,388.00865989
-166.444,113,161.416055284,161.556,113,267.771195913,191.563455729,46.1976337721,3.5836911909,76.2765,67.9301,133.763446694,161.452320315,46.4662,603.279420126,331.067256683,46.5581240647,161.4,228.227487186,0.709497,157.762707778
-167.931,114,162.947745748,163.081,114,167.377069109,155.928475643,8.14591864111,3.69732557491,76.6873,72.4188,195.002695423,162.978020502,46.6368,566.123938046,813.00308466,104.009111225,162.932,494.186321059,0.626131,401.339224031
-169.5,115,164.442619898,164.586,115,281.033151336,222.047096392,11.377627586,3.65669289029,77.033,78.0342,179.434615531,164.477187021,46.7347,741.056918609,728.212589381,105.907518372,164.432,397.721808004,0.591154,171.928490712
-170.592,116,165.606836057,165.746,116,214.816385098,222.41574555,9.37138621447,3.73532295804,77.3956,77.6452,222.049942156,165.636045753,46.8997,655.673111327,990.582046582,95.8166797783,165.594,621.14047319,0.58297,508.882475663
-172.382,117,167.325532423,167.464,117,230.377368023,180.153500177,44.1870126814,3.79514489291,77.7635,80.7274,233.045105861,167.360875676,47.0664,590.286878947,821.257071468,48.028110319,167.31,658.727934759,0.622016,595.543940736
-173.7,118,168.66944076,168.806,118,251.732710252,234.486862336,18.8292950156,3.7583182672,78.0758,79.3345,236.719915004,168.71117228,47.1501,578.730448519,902.126881191,103.650814294,168.647,787.014461226,0.643332,530.204511225
-175.142,119,169.982352687,170.143,119,210.095980347,187.030192862,5.60659487601,3.84511566808,78.5221,80.075,238.803749818,170.028972547,47.2998,589.921433372,1145.28026396,138.741262405,169.969,804.041664738,0.637874,587.790838549
-176.825,120,171.78856533,171.924,120,229.868963839,198.603691014,15.8897615618,3.83390862807,78.8494,79.4855,236.640394689,171.826758284,47.4042,559.744746485,917.792466635,95.9965439048,171.77,748.418189816,0.621097,520.594905059
-178.502,121,173.519458649,173.656,121,234.7443376,232.547581178,8.19652440751,3.80792768181,79.1992,75.919,234.213766848,173.558863273,47.5028,807.558087667,889.253409348,89.1917170265,173.5,679.671124409,0.596172,546.252996326
-180.028,122,175.027801885,175.187,122,170.509553397,182.460055646,8.58752402516,3.98475231185,79.5276,87.4548,240.808205644,175.071923844,47.7056,526.239347059,1300.94135011,173.456082844,175.019,949.663756098,0.6636,302.380671585
-181.286,123,176.239750477,176.39,123,410.68295128,187.069337746,174.350051679,3.9961073784,79.9171,87.8568,239.706677783,176.292165959,47.8477,687.919112065,964.90295267,76.579536417,176.215,735.223807901,0.639084,626.648321563
-182.876,124,177.663589058,177.812,124,229.246032821,176.57768696,7.48781950186,4.06451107289,80.2133,91.7369,229.466108492,177.712877668,47.9754,470.201814844,840.930585689,70.6115677958,177.65,761.665564097,0.60996,321.634109035
-184.231,125,179.025239258,179.176,125,228.652200307,138.050794542,13.6093895484,4.13407846349,80.5893,92.6784,226.36674584,179.066701073,48.0701,508.026963825,866.861983989,81.0850627279,179.008,606.952184424,0.621737,500.380570718
