AverageQ,MinEsReturn,QFunRegParamNorm,AverageQLoss,MaxReturn,StdEsReturn,StdReturn,AverageAction,AverageEsReturn,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,Iteration,AverageAbsY,Epoch,AverageAbsQ,AverageReturn,AverageY,AveragePolicySurr,MaxEsReturn,AverageAbsQYDiff
0.711142,-300.788150071,11.5833,2.64337,152.46379107,58.1295669319,18.4309671469,0.213038,-202.679607736,5.74872500754,84.832890609,11.7795,9,1.7902086577,9,0.832805,107.481162483,1.7902086577,-1.10837,-91.0301157214,1.23884490569
0.673132,-315.728893982,12.2386,0.26569,-556.13956838,0.0,0.796736363044,0.93355,-315.728893982,-53.9964639255,-559.356419211,12.3911,10,0.809197605096,10,0.758868,-557.922150042,0.682395596897,-1.72355,-315.728893982,0.364718047538
0.711354,-401.054469147,12.9178,0.0964612,-586.822182524,0.0,3.80373258401,0.961159,-401.054469147,-58.2858629925,-597.44760878,13.7655,11,0.872742751996,11,0.841491,-591.185289181,0.713268732824,-1.71395,-401.054469147,0.235514340159
0.981653,-400.998368104,13.7614,0.106985,-590.320203865,0.0,0.758384644097,0.991151,-400.998368104,-56.229945615,-592.544710541,14.6269,12,1.21084055038,12,1.18314,-591.727447148,0.982408815563,-1.86774,-400.998368104,0.246137308087
1.42266,-400.951185506,14.5957,0.130463,-425.505946554,0.0,9.30561919726,0.792112,-400.951185506,-41.3916815978,-459.750136266,15.4601,13,1.69681263475,13,1.66967,-437.758750963,1.42525611806,-2.26883,-400.951185506,0.269995542208
1.7774,-393.628828251,15.3763,0.1468,-379.230680003,0.0,7.60066960108,0.6623,-393.628828251,-35.0903740042,-399.314949703,16.2064,14,2.09029741405,14,2.06541,-389.696232483,1.7793542597,-2.52736,-393.628828251,0.287825668432
1.9605,-367.782463792,16.0964,0.16869,-237.349608998,0.0,17.2167624872,0.770956,-367.782463792,-23.5435185976,-301.456025222,16.7444,15,2.31914164251,15,2.2944,-265.041449942,1.9614446853,-2.52894,-367.782463792,0.30452817477
1.997,-298.727810925,16.8074,0.187233,-324.850844367,0.0,48.6270597124,0.650953,-298.727810925,-59.3281677156,-462.778560032,17.4126,16,2.47939001636,16,2.45472,-415.526275286,1.9971701978,-2.54625,-298.727810925,0.322867335193
2.02799,-282.260696684,17.6304,0.233924,275.740023295,0.0,138.223596065,0.76517,-282.260696684,-6.84184101686,-182.807620044,17.8983,17,2.62946036498,17,2.59018,71.0254369975,2.02979599337,-2.75084,-282.260696684,0.356915847698
2.34465,-223.778558314,18.438,0.272629,1504.95959186,0.0,563.436187474,0.714878,-223.778558314,16.3206674282,-483.093965129,18.4447,18,2.82565778509,18,2.78475,77.624804534,2.34730139213,-3.07236,-223.778558314,0.387292725172
2.60866,-362.408510139,19.2073,0.295394,-268.37046501,0.0,101.489803051,0.65615,-362.408510139,-25.4867911035,-617.614535705,19.041,19,3.03547132345,19,2.99542,-358.18217081,2.61106642375,-3.3828,-362.408510139,0.398751828429
