MaxEsReturn,AverageAction,AverageAbsQYDiff,MaxReturn,StdReturn,AverageDiscountedReturn,Epoch,MinReturn,MinEsReturn,AverageQLoss,QFunRegParamNorm,AverageReturn,StdEsReturn,AverageAbsQ,AveragePolicySurr,AverageY,PolicyRegParamNorm,AverageAbsY,Iteration,AverageQ,AverageEsReturn
265.873319096,0.456887,1.00384432567,219.129085055,2.16159699877,123.326309951,30,210.195175721,75.6710802256,4.78482,31.6652,215.306339456,61.4463058873,32.4234,-34.2793,32.4060201576,24.3773,32.4236925654,30,32.398,183.819016063
250.687473612,0.594532,1.08850714571,272.717958411,6.76613041733,147.690434905,31,238.441544068,64.6540261856,6.02567,32.5508,264.756801491,55.2223881932,34.6811,-36.6823,34.6600107349,24.7739,34.6780193039,31,34.6512,189.852296865
271.729801826,0.582819,1.21905758681,292.107030735,6.76042714401,153.787336234,32,263.468524451,55.5219595805,8.17063,33.2798,284.339644077,71.3782639633,37.211,-39.3004,37.1919554124,25.1082,37.2098843739,32,37.1786,203.943499352
294.072456693,0.582914,1.24002663989,337.987122291,9.9151397397,164.886612852,33,303.348747388,112.92802758,8.53246,34.1728,315.187822454,53.1437625614,39.8226,-42.0806,39.8072855372,25.4957,39.8236622206,33,39.7961,231.656181946
285.929054238,0.624909,1.30824738123,285.585412697,2.16681703397,153.458874153,34,273.766713359,16.4055130454,8.52224,34.9527,279.082112447,78.0417693184,42.3332,-44.6227,42.307358906,25.9439,42.3229864075,34,42.3021,222.85177905
309.384983542,0.647047,1.42220147551,353.572364357,2.75449409766,174.77703886,35,338.616111755,45.9840383851,10.5946,35.7997,344.482639883,95.0130081213,44.826,-47.1268,44.8069236793,26.3761,44.8232101772,35,44.7904,183.000750126
394.174084949,0.637098,1.41588817381,343.749204423,12.3543549724,168.664892786,36,280.31392443,69.8388371958,10.5592,36.5377,329.672995904,91.4340851712,47.2777,-49.619,47.2566438109,26.7479,47.2734071154,36,47.2462,224.345394725
357.545894789,0.626468,1.5089691935,352.645613239,7.18263528545,169.908174484,37,317.548769965,9.37921032098,11.5342,37.3718,335.533085242,119.821682066,49.7473,-52.2467,49.7148877419,27.0688,49.7342900119,37,49.7081,206.879580478
508.770987538,0.585911,1.64037884559,350.424161375,15.3820834351,164.671184292,38,279.336923052,37.8250440406,14.3708,38.2393,331.259183008,129.221318601,52.604,-55.1971,52.5753576098,27.3951,52.5966209431,38,52.5653,263.975670676
402.396976446,0.668927,1.60715250985,341.167042494,31.0496727597,134.414032528,39,201.142055428,44.0278531475,13.4922,39.0162,239.317262522,120.050114438,55.2045,-57.6962,55.1753114911,27.6818,55.1897704633,39,55.1667,243.42322886
331.792224126,0.643002,1.71221538161,364.876370784,45.7825178064,145.716547624,40,231.705307502,71.9669867908,15.0169,39.6689,275.043563595,86.6252038329,57.765,-60.1254,57.7419050831,27.9435,57.7618983886,40,57.7235,233.279463926
292.001029631,0.600561,1.82569478268,398.691911141,22.0599240036,168.444683315,41,307.651442171,17.0428989151,18.0002,40.4291,351.315440335,83.2203469766,59.8559,-62.3103,59.8177601082,28.2349,59.846051497,41,59.803,224.00924232
362.176528421,0.655656,1.82157930295,305.269243,29.3572544811,142.357712525,42,216.209642393,14.684500659,16.5638,41.2261,262.762851493,124.91981056,62.2237,-64.6754,62.156066832,28.5245,62.192898469,42,62.1475,199.993599334
315.83320361,0.600802,1.92460613186,384.506047144,12.8926174779,170.888826295,43,331.522088037,101.142871958,19.6145,41.9758,353.606798788,82.4704244218,64.4513,-66.9495,64.3993076922,28.91,64.4317308527,43,64.3872,222.42157938
