Iteration,StdReturn,MinReturn,AverageY,AverageAbsY,AverageQLoss,MaxEsReturn,AverageQ,MinEsReturn,Epoch,AveragePolicySurr,AverageDiscountedReturn,MaxReturn,AverageReturn,AverageAbsQ,StdEsReturn,AverageAbsQYDiff,PolicyRegParamNorm,QFunRegParamNorm,AverageEsReturn,AverageAction
9,0.2343700219,-14.1839387499,-2.34371407775,2.34371407775,1.61094,7.56514247308,-2.11355,-19.6312792931,9,2.09746,-12.5066344141,-12.7626217717,-13.6862485057,2.11355,3.02369027093,0.909026876395,10.1067,9.72339,-13.2274250886,0.514494
10,0.190662527621,-17.6662140532,-1.34226638629,1.34386497941,0.203616,0.415136398347,-1.33604,-18.5108092407,10,0.963216,-15.9414292957,-16.7212816984,-17.1649468758,1.33723,5.09361052605,0.310483556964,10.8954,9.8871,-11.5006969769,0.986631
11,4.1461483291,-27.5052338466,-0.754716764944,0.773452128215,0.0434646,163.339992132,-0.755673,-70.2312380868,11,0.532929,-9.3002791663,-9.45495878354,-19.2722331512,0.768107,32.7078233013,0.153441894153,11.4178,10.008,-13.3426680547,0.993955
12,2.52188076963,-17.1105102228,-0.580842172532,0.63371059367,0.0201494,2.24951296154,-0.582089,-42.1396498038,12,0.42476,-5.34687415928,-6.57675651874,-10.8116251915,0.632591,10.1791898111,0.105473802663,11.4365,10.1139,-17.4558966682,0.999953
13,2.37934730265,-5.79061796623,-0.464921684444,0.577564607629,0.0165255,10.1573871274,-0.465794,-29.4071966065,13,0.296602,1.00097292762,3.99842786002,-0.968760532047,0.575434,10.0712468945,0.0961532847205,11.6206,10.2879,-7.45634183704,0.91997
14,8.67791015644,270.995201397,-0.37480252469,0.557265795847,0.0144414,214.033916012,-0.375416,-27.3563311362,14,0.16786,116.999598215,309.871613742,288.027689943,0.553129,73.8303169155,0.0893641216898,11.9774,10.491,44.5322585185,0.614299
15,15.3176085019,300.223367438,-0.235316866159,0.545568706629,0.0132467,325.370657714,-0.235917,-12.5449740242,15,-0.00420388,112.937413191,367.904596645,323.894922185,0.540362,120.378597502,0.0851528812488,12.5797,10.7409,155.029280905,0.962588
16,76.6904591018,60.7342396299,-0.0300749618235,0.528248809259,0.0127837,314.677589212,-0.0308638,47.8857790465,16,-0.204931,65.1948162275,391.357359626,111.114562008,0.522193,99.4935085707,0.0821015773799,13.149,11.034,212.452715385,0.957759
17,110.980982376,52.1027789819,0.168723759356,0.570563361691,0.0126008,302.498512055,0.16801,76.9304230489,17,-0.402522,71.6650889232,432.8136158,147.825746092,0.564736,97.0507100028,0.0776972970542,13.7091,11.3592,171.652640363,0.789991
18,1.42053058186,-9.4104273777,0.338038460428,0.622663820004,0.0117636,308.477366183,0.337302,-32.9370192765,18,-0.56533,9.6659402076,-2.58850835376,-5.91885134463,0.616967,123.889653503,0.0741498625189,14.2747,11.6628,136.30656498,0.751447
19,46.9474997719,53.3279425737,0.488509842642,0.706735813101,0.0129483,305.170897233,0.487931,-18.2095047442,19,-0.706013,56.9049225434,407.846762942,85.0981390148,0.700803,134.524156473,0.0749107526406,14.7595,12.0195,138.210217661,0.631972
20,6.14193938715,266.299332606,0.621938343987,0.798766784643,0.0132208,294.260201748,0.621343,12.4625823385,20,-0.828252,118.773340305,298.476875842,277.44479412,0.793981,92.5007091916,0.0729792797319,15.2755,12.3573,105.756625806,0.785599
21,16.2222958424,286.777780068,0.761152835137,0.908921817522,0.0165932,381.303364937,0.760599,74.4418744267,21,-0.958984,119.600746282,354.212395088,315.236271371,0.904236,118.65669315,0.0777555767049,15.7853,12.6873,192.614922728,0.956075
22,14.818375914,18.6309320789,0.901232843421,1.032149045,0.0182202,398.906378115,0.900413,-6.14914498591,22,-1.09929,39.8299122053,128.129024205,54.4493129713,1.02787,151.450324141,0.0796964922342,16.2436,13.0563,187.722332826,0.854458
23,11.5170930193,-82.0206341166,1.0363403865,1.15337678235,0.022271,301.743615906,1.03563,-19.0276569794,23,-1.24314,-2.00688328254,69.1096512429,-8.3524302009,1.14984,82.774230082,0.0868821296531,16.8655,13.4142,44.0908318961,0.769103
