AverageAbsQYDiff,StdEsReturn,StdForwardProgress,AverageReturn,AverageQ,MaxEsReturn,MinReturn,AverageDiscountedReturn,AverageQLoss,MinForwardProgress,AverageForwardProgress,MaxReturn,PolicyRegParamNorm,AveragePolicySurr,QFunRegParamNorm,AverageY,AverageAbsY,StdReturn,AverageAction,AverageAbsQ,Epoch,AverageEsReturn,MaxForwardProgress,MinEsReturn
0.226352206766,4.48482523353,0.0179523159348,-1.03046284399,0.231006,13.786577533,-12.9916996382,-1.03719223821,0.0782389,-0.0574766477197,0.000851194831656,8.31141126854,17.1173,-0.233837,18.6932,0.0153894332677,0.0653240303865,3.61781935711,0.980758,0.24474,9,-2.6814867779,0.0476133307298,-25.7272452384
0.039106132856,2.16386833081,0.00975709604776,-0.411820420972,0.0124246,3.87205155893,-7.30823913879,-0.416046514979,0.00350325,-0.0294264269189,0.00364329074081,5.69243022945,17.2782,-0.0236671,19.1156,0.0102831401487,0.0649225530462,2.04153074059,0.986343,0.061175,10,-0.955712450678,0.0328276284302,-4.49306609433
0.0171209710535,2.55160748551,0.0115565481924,-0.0534339158537,0.0244196,4.47303662752,-6.88832855432,-0.100567935563,0.000530586,-0.0253089315439,0.00732207715437,7.47182547346,17.3321,-0.0385609,19.5361,0.0245476260814,0.052736206221,2.4070598372,0.944273,0.0499814,11,-0.977399938578,0.0428015084945,-5.78112726191
0.016120512513,2.849690176,0.0104832263906,-0.16199068156,0.0332979,4.62000775111,-6.83244898782,-0.18847241083,0.000477314,-0.0245468682392,0.00779593655017,5.87013663045,17.2308,-0.0510182,20.0463,0.0334130455117,0.060522377476,2.19299101772,0.934352,0.0582302,12,-1.01132828559,0.0365426089849,-7.64050399505
0.0165965428503,3.59609721028,0.0113143292147,3.02028155375,0.038588,5.85617070513,-4.54742375432,2.50761254289,0.000545504,-0.0143116417425,0.0246391843268,8.88260625283,17.138,-0.0564685,20.6243,0.038652606616,0.0667861109725,2.35249987494,0.846556,0.0645442,13,-0.282133681772,0.0521310520331,-12.8530487436
0.0174198021454,7.41306726468,0.0125894160677,4.26246205465,0.0430398,38.2962540709,-3.49860171968,3.42904825282,0.000620134,-0.00923658836409,0.0298233547703,11.6241772519,17.0852,-0.0601262,21.3321,0.043127771688,0.0709931544144,2.48942513677,0.80839,0.0684658,14,1.95127289919,0.0669578314817,-11.0784074796
0.0182660623123,5.16546333671,0.0216660153235,5.48041223758,0.0484971,17.9457256188,-5.1676064662,4.06408101532,0.000700313,-0.0178368789288,0.0323956562724,18.6370939433,17.0606,-0.0616015,22.0044,0.0485617867167,0.0756960965531,4.70317038129,0.830887,0.0731061,15,2.83735167804,0.0945465471796,-3.60095674838
0.0192137122136,3.60178965454,0.0184808787708,5.01083273762,0.0519151,9.11854654622,-3.27712371924,3.84662450296,0.000810462,-0.00792383338542,0.0317446870282,22.9157643758,17.1616,-0.0649578,22.6361,0.0519840820812,0.0810667831323,3.86074630693,0.775768,0.0785652,16,2.31769256495,0.115308161206,-4.45154028185
0.0198995636113,6.42379634833,0.0176086465721,6.13664265211,0.0592236,20.706851561,-2.71668258786,4.76869726026,0.000832155,-0.00328829299076,0.0398898634702,18.0450006083,17.3193,-0.0711062,23.2569,0.0592715173268,0.0890905847328,3.65885234514,0.776502,0.0865716,17,5.21545693109,0.0971274119473,-6.94076625541
0.0207954111415,5.92859291589,0.0196168182002,10.8763669115,0.0652347,13.2621874196,-3.21862568424,8.59920427206,0.000947987,-0.00537945298095,0.0617886269651,21.9319227158,17.5084,-0.0779543,23.8249,0.0653258070539,0.0978689372252,4.08986181171,0.871154,0.0953313,18,4.30559650985,0.114927194889,-9.99881169131
0.0215474740603,6.99646125089,0.0197893400964,5.88922343759,0.0758971,28.1385365934,-5.93155158174,4.52782525641,0.000943278,-0.0186848750391,0.0395303522686,20.2780986811,17.6454,-0.0894654,24.4434,0.0759817500586,0.109078442543,4.25568483829,0.881902,0.106878,19,6.6375489742,0.106338412515,-2.3881764768
0.0230415019527,6.97540821367,0.0246398668281,11.2793011228,0.0881913,25.4557519523,-4.30009076641,8.58380023793,0.00116865,-0.00819296863937,0.0646848979839,23.5266269854,17.7907,-0.101295,25.0336,0.0883318063171,0.123031205402,5.28589799956,0.90153,0.120567,20,7.13379400994,0.121638111504,-4.02382521456
0.0246251589348,5.21180432449,0.0178144599084,13.1577768501,0.102933,17.6191138303,1.44099863316,10.2617484631,0.00129193,0.0152709683581,0.0721857962797,22.0514445071,17.9629,-0.118785,25.6664,0.102955937661,0.137936402122,3.72124583986,0.897569,0.135673,21,6.33193057374,0.113549096484,-0.883402635373
0.0259748605859,7.25592777247,0.0229157727491,13.6597067132,0.120418,22.2604140127,-1.34273266166,10.5164808242,0.00144597,0.00125635048818,0.0753807693574,27.5426404791,18.1322,-0.139405,26.2386,0.120500910426,0.153344866544,4.69901153141,0.941105,0.151146,22,7.77477070073,0.143803841365,-3.3393026677
0.0277619924677,7.16565242297,0.0239742860977,14.4154338766,0.140785,23.2091150795,1.72760272297,10.7204505366,0.00165992,0.0229685928806,0.0819581072346,25.9116553615,18.2687,-0.159806,26.8483,0.140908108771,0.170802378561,5.21113873821,0.944314,0.168749,23,8.10790786834,0.137331839611,-5.19617131441
0.0296397471229,6.18686734877,0.0252987405185,15.5074203882,0.162964,20.5863422579,2.91308866069,11.3642351262,0.0019428,0.0245154598976,0.086785391582,32.2321767474,18.3797,-0.183931,27.3812,0.163072020252,0.192024154182,5.25972169999,0.937292,0.189866,24,6.54204157992,0.169163387527,-5.65981908754
