PolicyRegParamNorm,MinEsReturn,AverageY,AverageAbsQ,MinReturn,AveragePolicySurr,MaxReturn,AverageQLoss,Epoch,QFunRegParamNorm,AverageDiscountedReturn,AverageEsReturn,AverageAction,AverageQ,AverageReturn,StdReturn,AverageAbsY,StdEsReturn,Iteration,MaxEsReturn,AverageAbsQYDiff
11.71,-17.5250301587,2.80271059082,1.34272,-4.68860601933,0.585357,-1.40977022186,19.3308,9,11.492,-1.77574515513,-4.14267650095,0.205754,-1.24162,-3.53443651003,0.592078021897,2.86508441684,4.23864950486,9,24.6902046033,4.04433021176
12.1384,-14.8875477227,1.22944538687,1.3603,-8.24715561276,-1.5018,-7.92782091805,0.461952,10,11.735,-7.81506470062,-8.17459048859,0.999895,1.19242,-8.09235833407,0.0648204266227,1.46538050968,2.77892439093,10,2.50353251049,0.427489074456
12.5076,-29.5670496763,0.432765885441,1.2831,-11.4829850376,-0.756385,-5.49917109443,0.0627572,11,11.9453,-5.37111004328,-7.38638965226,0.999982,0.431291,-8.74580329403,1.3046487308,1.29517441028,4.08842062809,11,0.715646598797,0.190446543542
12.5705,-33.8186553172,0.445997942022,1.71317,-11.7882798076,-1.41595,-5.9041865048,0.0786296,12,12.454,-5.46092833898,-14.180238419,0.999999,0.443698,-8.86102325745,1.43996668228,1.72257316186,9.77881823774,12,6.24487946109,0.209388353914
12.5698,-58.6073596384,0.702140746892,2.1189,-11.1517843159,-1.80728,-5.58746860826,0.108905,13,13.131,-5.36030688093,-12.8753815678,0.999998,0.699377,-8.73463643472,1.28887403704,2.13151562043,13.2197819663,13,6.4425472808,0.242915493769
13.7555,-31.3491210492,0.924520947901,2.49336,147.033018072,-2.04653,393.919813944,0.123056,14,13.864,102.531159195,-12.3275255371,0.732509,0.923268,223.248293288,55.3561508351,2.50589431173,7.02906013497,14,0.528950644236,0.254736784352
14.6417,-44.4259125501,1.29805335736,3.03949,1.93510916993,-2.8716,59.0797232039,0.199404,15,14.57,26.8991466993,133.848728102,0.782428,1.29657,15.760892762,12.5605330458,3.05679164255,132.091048674,15,340.476394495,0.303869803471
15.4837,-21.9384654543,2.28791188785,3.71182,20.0083036919,-3.75878,37.0433399909,0.23991,16,15.2541,29.6373512205,59.9902467731,0.618364,2.28578,27.6408592467,3.33036370816,3.73125415473,102.931277631,16,317.522691343,0.31335098654
16.3352,-16.4624573691,3.05953205634,4.4131,52.0019979822,-4.57398,479.287651576,0.30344,17,16.0488,66.1904601529,72.8341245829,0.862103,3.05805,122.502302673,98.871002506,4.43570906886,103.145511132,17,311.345126443,0.344372041926
16.9223,35.7242525123,3.87355824921,5.1939,47.9847183659,-5.36067,198.297556279,0.401378,18,16.893,58.269631262,149.48999964,0.927052,3.87112,81.4262752062,28.287143749,5.21623405539,106.498084245,18,330.49929115,0.379010523878
17.7646,67.8917017488,4.65309829742,5.99618,48.3792305271,-6.12222,145.827020866,0.503031,19,17.7137,57.0873464469,173.799124637,0.947979,4.65097,79.2010367302,21.6104638283,6.01980147231,114.774606869,19,344.838782852,0.41576092534
18.4501,21.661397727,5.55373830812,6.80069,61.6294150016,-7.107,981.706806763,0.575554,20,18.453,82.0697344763,95.8819901085,0.530322,5.54986,361.6763814,270.050640494,6.82236272391,58.0777900483,20,194.621164907,0.435576796507
19.1265,33.3343336677,6.34783263137,7.55223,201.677167702,-7.86905,412.262533489,0.720369,21,19.1846,103.017255648,158.010786028,0.632689,6.34442,238.501706093,41.1646829712,7.56943463709,95.9954070184,21,304.299353518,0.481915742422
