AverageQ,AverageReturn,AverageY,MaxReturn,PolicyRegParamNorm,AverageAbsQ,AverageAbsY,AverageDiscountedReturn,MaxEsReturn,Iteration,AverageEsReturn,AverageAction,StdReturn,AveragePolicySurr,AverageAbsQYDiff,MinEsReturn,Epoch,QFunRegParamNorm,AverageQLoss,StdEsReturn,MinReturn
0.524082,-8.17198740667,2.0226330763,-8.06748851004,11.7808,0.773316,2.29478986357,-7.57348018829,2.02487333257,9,-9.77506853284,0.565898,0.0383248560851,-1.07621,2.0653981986,-18.5159181581,9,11.5829,5.44401,3.35894425797,-8.297887675
0.815376,-8.31855538786,0.831380191797,-8.08123901774,12.606,1.23799,1.33539257171,-8.02995684433,-2.39360992438,10,-7.6910368788,0.998468,0.0809765924814,-1.47263,0.377646235832,-17.7515597919,10,11.9463,0.326477,1.78418567978,-8.51571856423
-0.0609208,-3.7841098523,-0.0596021581326,-3.54335026263,12.8211,1.3499,1.35961257865,-3.65768122991,0.806834377353,11,-4.40705850593,0.999992,0.0726775628331,-0.247301,0.153883507325,-9.86791645377,11,12.1788,0.0415621,1.96830913141,-3.94345880937
-0.552778,82.2275872354,-0.551913159906,132.081554729,13.2101,1.84526,1.85023930946,59.3253920084,294.625519781,12,1.08380965406,0.999981,19.1342551308,-0.467513,0.169111936704,-3.7917529763,12,12.7197,0.0506468,35.6032508057,51.8659858637
0.140188,83.0958266815,0.141498897121,131.483155162,13.6705,2.25671,2.26351475438,56.8603419209,179.167197379,13,111.367347459,0.859191,15.6178121324,-1.56783,0.175013879701,32.182188677,13,13.3514,0.0574084,60.2731331564,59.1660435764
0.702893,81.8109515801,0.704113306239,192.13476197,14.4535,2.76589,2.77453178599,58.4034840974,373.819056529,14,121.787705646,0.632764,25.6378704327,-2.28683,0.210364613826,4.23823630561,14,14.2802,0.0887629,123.311933617,52.3090968905
1.39093,76.4190050975,1.39235235952,205.512793398,15.2459,3.36495,3.37561129305,56.3326851201,355.146219573,15,172.229568731,0.876318,26.5051287477,-3.12604,0.250468055513,4.95871508851,15,15.2499,0.140197,114.224917173,50.3246518495
2.19119,408.863150799,2.19271909673,522.607509299,16.0692,4.0575,4.07127001679,119.744692322,413.009386124,16,137.449828766,0.65721,75.7161947836,-3.94053,0.291052202486,-9.1360575565,16,16.1732,0.228283,162.589988646,117.767869197
3.06922,441.969246319,3.07024478573,541.952204843,16.9115,4.83651,4.85209175086,125.476445087,526.186693386,17,218.120492629,0.618265,41.5190179437,-4.88558,0.323334003766,33.8966551163,17,17.0988,0.268728,178.219741004,306.613836019
3.92639,445.554646867,3.92846368226,598.582557929,17.8011,5.64364,5.66108026538,135.975398219,342.912189526,18,217.499982594,0.634682,52.5621247805,-5.76627,0.375471191258,53.3200635172,18,18.1255,0.393859,115.624193939,345.604382588
