MinEsReturn,AverageEsReturn,MinForwardProgress,AverageReturn,MinReturn,Epoch,AverageDiscountedReturn,StdReturn,AverageAbsQ,AverageQ,AverageAction,AverageAbsY,StdForwardProgress,AverageAbsQYDiff,MaxForwardProgress,PolicyRegParamNorm,MaxReturn,MaxEsReturn,AverageQLoss,QFunRegParamNorm,AveragePolicySurr,AverageForwardProgress,StdEsReturn,AverageY
0.993046555812,34.5144518768,-0.0478266071001,14.0800266244,8.86491979875,9,13.233498958,1.74957512309,0.113053,0.113053,0.0107344,0.119628661687,0.0221136619417,0.0377235582443,0.101342612784,14.173,20.6615506852,63.5923373683,0.00267151,14.0889,-0.109073,0.0197283355092,11.8065445077,0.119628661687
2.86294618954,4.64575612647,-0.0412010874207,4.26047285551,2.57888204476,10,4.19293851832,0.513627930469,0.126522,0.126447,0.980195,0.126739963292,0.00743332544479,0.0178865223685,0.0264109165165,15.01,6.41574868491,27.0175411347,0.000843803,14.494,-0.135338,0.00128032094957,1.86310656074,0.126739963292
2.90999398596,4.23281794417,-0.0240916231753,4.27880287647,2.7388897943,11,4.21074486913,0.510323043772,0.144576,0.144503,0.997419,0.144683812396,0.00755089373853,0.012420353673,0.0276138764792,15.2585,6.51698978092,6.08195204266,0.000450542,14.8535,-0.149708,0.0013270740573,0.534177621746,0.144683812396
2.37757412619,4.04601271373,-0.0344575785805,4.45932608812,2.45445529187,12,4.38438144585,0.691619710468,0.136568,0.136435,0.94572,0.136499235919,0.00776213357837,0.00958316880683,0.0314966244676,15.5448,6.89489969502,6.06248463843,0.000275944,15.2806,-0.130978,0.0019904930466,0.663924090439,0.136491911161
2.2597421749,7.20304602813,-0.03131752274,14.8696299618,4.33378818433,13,13.8111534077,4.90316272718,0.130137,0.129947,0.939331,0.130070397727,0.0308668321181,0.0102241613967,0.341975853567,15.85,56.4194483891,54.5085314405,0.000335959,15.8737,-0.158299,0.0232461761833,7.53201596245,0.130060037091
7.48038360129,14.5801582629,-0.0399082928793,14.4227168921,5.94166878922,14,13.431188732,4.20882680328,0.16157,0.161382,0.985938,0.161578231898,0.0228892743233,0.0126059615641,0.138104282995,15.9424,36.8692447313,26.8328336667,0.00046624,16.4262,-0.200935,0.020056096523,4.31916161313,0.161566324188
4.83299694376,17.8550735393,-0.0263789221075,21.6876367966,4.36401813171,15,19.5865525134,8.95201089514,0.176708,0.176478,0.884625,0.176600192718,0.0728177710288,0.0133280210301,0.432036590898,16.0051,56.9754821375,44.9862892295,0.00050656,16.8652,-0.199863,0.0747893642456,7.55841568568,0.176581625567
4.84822731738,26.4286191211,-0.0906852439083,7.94112436232,4.24563304864,16,7.62802367019,1.24882167433,0.178817,0.178577,0.87173,0.178655392479,0.013812133503,0.0127157021428,0.0174405137804,16.0875,12.7038267509,65.9328359925,0.000455741,17.2468,-0.200448,-0.0328154791008,19.8403004877,0.178646123089
4.93023997308,8.17951452339,-0.171746408046,18.7941487047,9.8123012125,17,16.9151841685,4.50897340273,0.18187,0.181634,0.814559,0.18166894779,0.0426056941188,0.0142666682113,0.0661064765761,16.2215,35.0487618824,20.7506118549,0.000596588,17.7486,-0.208806,-0.0613107774938,2.46698564618,0.181650301618
4.89000072359,45.9997514151,-0.315315637264,48.9469013567,16.6271243239,18,37.8097432374,19.3418143893,0.190479,0.190266,0.847713,0.190293813175,0.0700250068812,0.0155835248061,0.157636264854,16.3679,129.110806918,78.3083041175,0.000677404,18.3507,-0.208926,0.0566809353066,17.9723327794,0.190277766906
8.85856397782,35.6132829331,-0.180468900356,27.3976549357,9.44589636676,19,23.9075829128,8.27933465359,0.199703,0.199501,0.789312,0.199567488699,0.0548926298224,0.015167489459,0.177555672698,16.4611,51.131804938,61.9975375383,0.000679352,18.9282,-0.217312,0.046549614716,12.7211775664,0.199546834449
12.501104173,27.1862022804,-0.144098714784,22.2694523115,9.5614502227,20,20.1235399811,6.03808864479,0.20747,0.207219,0.775291,0.207322410001,0.0445813102692,0.0154805756684,0.264014228846,16.4879,41.2547278077,56.1050552336,0.000771657,19.4763,-0.223926,0.0643709958109,10.6855065431,0.207307249743
5.43702759689,35.999853565,-0.254357315616,38.6643845792,3.95319825543,21,32.1566221172,18.9009877003,0.213917,0.21371,0.71658,0.21375693948,0.148897608289,0.0156071965027,0.57755382705,16.5301,99.0299937,67.1066233704,0.000817891,20.0554,-0.22816,0.179910156431,15.5281500412,0.213743691903
4.57514202634,46.8654497754,-0.122041245722,49.7628645906,4.1460792795,22,40.6502500942,20.3926655897,0.218732,0.218486,0.75608,0.218539785438,0.173499134764,0.0155223226963,0.551807831077,16.6313,80.4896445609,79.9707066646,0.000817207,20.6552,-0.232297,0.309773367876,20.5102308977,0.218527197135
14.7066371895,48.2695245333,-0.188485026626,45.2474655422,4.80837894891,23,37.3712205791,17.8246882633,0.222831,0.222542,0.709214,0.222607716922,0.152106084842,0.0157177055231,0.512797451945,16.747,78.9746796324,74.9597332318,0.000855168,21.2449,-0.236891,0.25685795374,15.4488096552,0.222593919344
6.20392821148,49.177530506,-0.557631390805,48.8852426189,5.03124059411,24,39.7031839197,19.7832182927,0.227625,0.22735,0.654468,0.227385577347,0.171561685275,0.0156076453987,0.499136415808,16.861,80.4089189788,68.2578449614,0.00088603,21.7984,-0.240984,0.279322744521,20.4566085421,0.227372484734
