PolicyRegParamNorm,AverageReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAction,MinReturn,AverageAbsQ,AverageEsReturn,AverageY,AveragePolicySurr,MinEsReturn,StdReturn,MaxEsReturn,AverageDiscountedReturn,MaxReturn,Epoch,Iteration,AverageQ,AverageQLoss,AverageAbsY,StdEsReturn
24.0153,615.526068555,25.4546,0.587085770828,0.846802,576.625789512,8.41992,412.630480799,8.4175482008,-9.29247,412.630480799,33.6260959768,412.630480799,72.0461055487,667.398098929,29,29,8.41319,0.660128,8.42914808882,0.0
24.4086,647.00364742,26.0119,0.606178227188,0.812187,487.050563062,9.06465,355.783424805,9.06593177212,-9.95775,355.783424805,145.236058099,355.783424805,94.4824643411,921.825222479,30,30,9.06013,0.725714,9.07477628631,0.0
24.8434,796.547559543,26.4846,0.620760383592,0.790537,666.554066173,9.80526,496.072561791,9.80873462461,-10.7449,496.072561791,103.644478221,496.072561791,89.5922074388,1032.6461676,31,31,9.80255,0.77759,9.81410738669,0.0
25.2193,732.151339982,27.003,0.646870502266,0.791503,353.248128575,10.5842,585.686051717,10.5875592369,-11.5404,585.686051717,321.17249428,585.686051717,99.5254971938,1527.27394554,32,32,10.5821,0.870809,10.5922816757,0.0
25.6377,789.588507997,27.4453,0.664623271071,0.810857,642.296272103,11.5524,489.735320302,11.5556543703,-12.5447,489.735320302,68.7825874165,489.735320302,88.1521769492,875.676466013,33,33,11.5502,0.904471,11.5596198466,0.0
26.0013,996.337757559,27.8807,0.679872063214,0.819407,520.74601093,12.307,734.062360306,12.3114051353,-13.3222,734.062360306,290.680518378,734.062360306,142.660611459,1541.25128373,34,34,12.3053,0.94753,12.314395857,0.0
26.2937,1090.05338266,28.3245,0.692972392646,0.844034,577.102572618,13.2555,606.13159765,13.2594900363,-14.2933,606.13159765,453.042402529,606.13159765,126.626077108,2104.52637912,35,35,13.2539,0.978859,13.2625170516,0.0
26.6405,1416.816762,28.7459,0.699365708347,0.83758,963.216420851,14.0628,674.706236295,14.0677946926,-15.0959,674.706236295,459.570587268,674.706236295,145.804910813,2186.9602175,36,36,14.0618,1.0316,14.0697380921,0.0
27.0312,1795.39328923,29.2072,0.71649038044,0.842749,973.546502471,14.9704,519.438509913,14.9748614693,-16.0195,519.438509913,341.594971062,519.438509913,138.959526967,2073.56290503,37,37,14.9696,1.10604,14.9767159413,0.0
27.4371,1433.27015191,29.6186,0.742283784394,0.850897,775.77434474,16.0628,552.059702419,16.0693885274,-17.1192,552.059702419,439.299424591,552.059702419,168.915340404,2233.81391535,38,38,16.0627,1.22488,16.0701634045,0.0
