MaxReturn,AverageAbsQYDiff,MaxEsReturn,AverageDiscountedReturn,Epoch,AveragePolicySurr,MinEsReturn,StdReturn,AverageReturn,MinReturn,QFunRegParamNorm,AverageAction,AverageY,AverageAbsQ,Iteration,AverageQ,AverageAbsY,StdEsReturn,PolicyRegParamNorm,AverageQLoss,AverageEsReturn
-4.18402707297,0.132126659831,-28.1693215692,-8.6522284,28,1.19333,-56.5530328167,2.82100703309,-10.7079453006,-17.83725239,22.885,0.0217817,-1.90810978861,1.90882,28,-1.90715,1.90984284275,7.2237676499,22.9152,0.0396271,-36.8044948856
-5.88831712091,0.13809390943,-22.7776283921,-8.73684316228,29,1.28192,-56.483704899,2.85662787051,-10.8203171223,-18.5085178448,23.5573,0.0241556,-2.00402831199,2.00495,29,-2.00364,2.00554130907,8.28990092924,23.4186,0.0446761,-37.1031086401
-5.63914600388,0.146909841838,-23.5999439528,-9.02211241284,30,1.40422,-50.0817089052,3.19139209691,-11.2021760401,-19.1595269379,24.2036,0.0252122,-2.11341379863,2.11317,30,-2.11222,2.1143259934,6.40539512791,23.973,0.0518715,-36.6610273317
-5.48381177158,0.15256864683,-22.7655744379,-8.48817051138,31,1.51746,-58.0311441962,2.74055055014,-10.5547459985,-16.9113605695,24.8508,0.0227382,-2.21490583951,2.21456,31,-2.21395,2.21550052566,7.92727940522,24.4376,0.0583532,-37.0258615463
-6.11211909706,0.157897510385,-22.921070793,-9.46491386,32,1.61573,-46.6486988473,3.00072046552,-11.7546399759,-18.1755122399,25.443,0.0299184,-2.31282446288,2.31251,32,-2.31211,2.31331547602,7.38721655654,24.8768,0.0626554,-36.3770065633
-5.80288680615,0.162107710986,-20.236350142,-8.51812824204,33,1.71242,-47.4712433221,3.01869390204,-10.4820381879,-18.4922464531,26.0438,0.0278094,-2.40478106254,2.40396,33,-2.40358,2.40517219533,7.06016431551,25.2934,0.0695986,-35.4297927074
-5.47851026472,0.17068932936,-25.3911680009,-8.38989947267,34,1.81627,-52.8857000228,2.99681027195,-10.4341115605,-17.2372315161,26.5992,0.0233588,-2.49687999014,2.49598,34,-2.49571,2.49713143811,6.00028307346,25.6712,0.0756998,-36.8746052439
-5.09089082511,0.175834335034,-26.1807263132,-8.2620087885,35,1.89257,-49.4163428192,3.29518047584,-10.1414668768,-17.2729264739,27.1283,0.0201435,-2.57803533474,2.57713,35,-2.57679,2.57841518198,5.88960523663,26.0336,0.0810624,-36.9603476435
-4.36971516241,0.182774515788,-22.3370505986,-7.35477548496,36,2.00188,-52.5528307119,3.25361259699,-8.98778485546,-17.4309023286,27.6316,0.0192272,-2.68523844495,2.68345,36,-2.68339,2.685296904,6.86706877613,26.4441,0.0892473,-38.5948334412
-2.8543961942,0.18560467814,-28.6752963885,-7.60457244358,37,2.08443,-46.1762350093,3.25019386486,-9.33395143743,-16.4703466376,28.1388,0.0172067,-2.75835696388,2.75737,37,-2.75729,2.75843443529,4.97565608093,26.8792,0.0951302,-35.6676334994
-4.05399077902,0.188013249106,-24.2161956871,-6.98935048795,38,2.16654,-47.3943856586,3.21223691261,-8.50497667982,-17.1140670428,28.6253,0.0168699,-2.83080308314,2.82916,38,-2.82906,2.83091459119,6.80765113252,27.266,0.0985895,-37.3099246298
-4.54453171861,0.194459310842,-25.2990685809,-7.59194965604,39,2.26192,-46.24513623,2.94906713498,-9.33742785351,-18.1540247728,29.0997,0.0208942,-2.92460003739,2.92331,39,-2.92322,2.92471320818,6.36565210198,27.6231,0.109598,-36.7089048125
-5.38178720641,0.194731111832,-27.3299045981,-7.63468916541,40,2.33435,-52.773820713,2.55661490374,-9.36932255898,-15.7103425677,29.572,0.021332,-2.99933207079,2.99821,40,-2.99816,2.99937457163,6.23535641705,27.9498,0.110753,-37.0021360513
-5.70953113645,0.200660497516,-23.863842787,-8.29679301357,41,2.43901,-50.0035086886,2.84727297675,-10.195366106,-18.0433781826,30.0142,0.0243157,-3.09003602801,3.08793,41,-3.08787,3.09008868437,6.91977761879,28.3725,0.117769,-35.6407284912
-4.75521319344,0.204579950099,-18.4325592166,-7.9327676637,42,2.53203,-54.3039362106,3.03863964812,-9.78355413658,-18.7374644887,30.4711,0.0205394,-3.17440232149,3.17282,42,-3.17279,3.17444978794,8.73987811296,28.7271,0.122523,-35.5837330243
-5.72594253786,0.214864906308,-25.1033882935,-8.04503011805,43,2.64347,-45.5200253135,2.50873966324,-9.93263148286,-17.4433014095,30.8908,0.0221163,-3.28631733748,3.28396,43,-3.28393,3.28633096674,5.63515272409,29.0517,0.142063,-36.2222015985
-3.33980876348,0.215354134797,-24.5175924153,-7.17250579747,44,2.72894,-55.8486634291,3.37554374127,-8.86880337345,-17.2162641863,31.3749,0.0149257,-3.35954394446,3.35786,44,-3.35786,3.35954618742,7.13133010268,29.3364,0.144711,-36.8692747939
-5.16235714844,0.227924702564,-26.2511313679,-7.50846025462,45,2.80844,-49.7486995802,2.91219734973,-9.33290200071,-16.6393764377,31.8039,0.0178169,-3.44934248864,3.44745,45,-3.44745,3.44934248864,6.22655996953,29.6082,0.167875,-36.3673871594
-5.19347279429,0.226691247206,-22.9889614272,-7.64359246142,46,2.87721,-49.7805272522,3.14125583633,-9.47415833763,-18.6034837527,32.2683,0.0204106,-3.51554482002,3.51358,46,-3.51358,3.51554482002,7.19055801054,29.9146,0.168277,-37.0257100391
-4.5646420635,0.219852249917,-28.1316159829,-7.70700637179,47,2.97661,-55.6357277951,3.3027274173,-9.62074634176,-18.733921905,32.6671,0.0209952,-3.61011972459,3.60882,47,-3.60882,3.61011972459,6.60561462337,30.1759,0.158422,-38.4823992835
