AverageAction,AverageQLoss,AverageAbsQYDiff,MinEsReturn,AverageEsReturn,StdEsReturn,AverageQ,MaxReturn,QFunRegParamNorm,AverageAbsY,PolicyRegParamNorm,MinReturn,Iteration,AveragePolicySurr,MaxEsReturn,AverageY,AverageReturn,Epoch,StdReturn,AverageAbsQ,AverageDiscountedReturn
0.219318,3.32488,1.7472169904,2.03045917009,9.7318182317,6.73385879958,-0.237468,9.33679710577,11.13,1.50974902937,11.2293,9.09485499751,9,-0.0148609,55.6465058779,1.50974902937,9.21884786226,9,0.0498201339551,0.298665,8.79455655146
0.930455,0.0564071,0.123606235527,2.93600158165,4.45853231881,2.01820065698,1.18582,4.95772684665,11.4764,1.20666693205,12.1462,4.80758507746,10,-1.26312,17.9407368321,1.19537274961,4.882823492,10,0.0294221432696,1.19367,4.75420511246
0.999974,0.0146474,0.0725960375356,4.70361358009,18.1347266876,15.6522605488,1.4198,41.9524206636,11.9057,1.43679906952,12.6337,36.7157076535,11,-1.49448,47.3860386412,1.42046332178,38.8494828083,11,0.970040880711,1.43728,34.5219571096
0.999979,0.0423637,0.10014745208,3.12005457887,41.5719182717,9.49613660528,2.04845,41.8380469841,12.7441,2.07421130618,12.6363,36.6661690967,12,-2.30858,82.3440965524,2.04946767288,38.8065204844,12,0.86623593837,2.07471,34.487361513
0.888867,0.108451,0.150787887212,17.2946427467,42.4727122525,8.06570107508,3.0229,42.0143586396,14.2337,3.04905315621,13.4301,36.6972277291,13,-3.39113,79.4144801043,3.02426300586,38.7566037946,13,0.911567319709,3.04965,34.444114788
0.940245,0.174008,0.191308906618,32.9074715189,42.5443239592,6.1744415319,4.10217,40.7289823853,15.6614,4.12640374141,14.69,36.6028070613,14,-4.56815,63.2148916775,4.10357302734,38.7826809259,14,0.94994059217,4.12683,34.4669425638
0.958554,0.220513,0.221241276457,15.7432607099,65.258560761,45.9405920577,5.28383,178.425393103,16.9633,5.30570017281,16.4007,170.461244497,15,-5.85673,173.943285568,5.28515860835,175.526483862,15,1.84401879599,5.30674,112.844452218
0.695916,0.289625,0.254675680155,16.776929173,141.494833191,40.0959756907,6.61493,176.34877681,18.1755,6.63206172996,17.5883,147.705332644,16,-7.37177,178.107461938,6.6169389399,163.226627834,16,7.14057490269,6.63313,107.878681107
0.871636,0.493299,0.313482305789,14.5900603689,134.602304245,52.6534901147,8.10789,178.900855565,19.3778,8.12285668498,19.0602,163.065064398,17,-8.98285,190.027107793,8.10960612323,172.869306248,17,4.58471505505,8.12517,111.931795004
0.849103,0.713398,0.368047370156,41.4131245046,155.608780211,36.238446591,9.62921,175.180824893,20.6912,9.6428922655,20.2556,166.838998595,18,-10.6331,182.24829329,9.63154525984,172.698790717,18,1.81275318677,9.64562,111.749909225
