AverageReturn,AverageAbsQ,wrapped_AverageForwardProgress,QFunRegParamNorm,StdEsReturn,AverageDiscountedReturn,wrapped_MaxForwardProgress,AverageQLoss,AverageAction,MaxEsReturn,AverageQ,wrapped_AverageReturn,Gather_MinReturn,Epoch,Gather_StdReturn,AverageEsReturn,MaxReturn,AveragePolicySurr,PolicyRegParamNorm,AverageAbsY,MinEsReturn,StdReturn,AverageY,wrapped_StdForwardProgress,MinReturn,Gather_AverageReturn,wrapped_MinForwardProgress,AverageAbsQYDiff,Gather_MaxReturn,Gather_MedianReturn
0.0,0.00180712,0.0318891888904,7.82295,0.0,0.0,0.132351771577,7.20344e-07,0.997514,0.0,-0.000511906,-4.25502935713,0,10,0.0,0.0,0.0,-6.82574e-05,15.0892,0.00186698215651,0.0,0.0,-0.000510101751563,0.0477749129375,0.0,0.0,-0.0967785046444,0.000585819014897,0,0.0
0.0,0.00194433,-0.0282307128002,7.66517,0.0,0.0,0.0754180606063,5.30323e-07,0.997644,0.0,0.000841882,-5.4154561997,0,11,0.0,0.0,0.0,-0.00170974,15.4689,0.00202112668903,0.0,0.0,0.000842189755533,0.0644373429281,0.0,0.0,-0.162874100517,0.000523497061045,0,0.0
0.0,0.00220594,0.0268699455641,7.55669,0.0,0.0,0.204830465077,4.15393e-07,0.987757,0.0,0.00172425,-4.30340319117,0,12,0.0,0.0,0.0,-0.00253895,15.7806,0.00226067635046,0.0,0.0,0.00172458760699,0.0851571158174,0.0,0.0,-0.126680628559,0.000455621018985,0,0.0
0.0,0.00265838,-0.0398162191884,7.48295,0.0,0.0,0.10327151081,2.72105e-07,0.986953,0.0,0.00246301,-5.62496790302,0,13,0.0,0.0,0.0,-0.00319092,16.0084,0.00268902926818,0.0,0.0,0.00246365099056,0.0735916386234,0.0,0.0,-0.191656102983,0.000378420935989,0,0.0
0.0,0.00315298,-0.0456953067974,7.4053,0.0,0.0,0.0540529262155,2.25176e-07,0.98519,0.0,0.00305604,-5.74832661187,0,14,0.0,0.0,0.0,-0.00366738,16.1676,0.00316902693131,0.0,0.0,0.00305618468651,0.0545634054662,0.0,0.0,-0.136998919491,0.000344299530846,0,0.0
0.0,0.00355089,-0.00571467797872,7.32374,0.0,0.0,0.101954279346,1.88262e-07,0.97912,0.0,0.00348441,-4.97584615079,0,15,0.0,0.0,0.0,-0.00396267,16.2976,0.00356171380382,0.0,0.0,0.00348446679675,0.0669156620696,0.0,0.0,-0.115442170854,0.000316303240938,0,0.0
0.05,0.00388109,-0.308468606236,7.26088,0.0,0.0035924521225,0.382650279348,1.6407e-07,0.532776,0.0,0.0038305,-8.84083679042,0,16,0.217944947177,0.0,1.0,-0.00425457,16.3715,0.00388729958074,0.0,0.217944947177,0.00383055313359,0.439182183061,0.0,0.05,-1.18298183582,0.000292731406254,1,0.0
0.0,0.00402451,-0.0430712563042,7.18394,0.0,0.0,0.791210518279,1.45815e-07,0.950132,0.0,0.00400543,-5.60423705406,0,17,0.0,0.0,0.0,-0.00436328,16.391,0.00402566190823,0.0,0.0,0.00400541363791,0.558505887625,0.0,0.0,-0.974176237291,0.000279122853169,0,0.0
0.0,0.00414687,0.185764699011,7.12701,0.0,0.0,1.2014866564,1.15921e-07,0.992657,0.0,0.00414259,-1.26053599665,0,18,0.0,0.0,0.0,-0.00437667,16.3588,0.00414693531325,0.0,0.0,0.0041426178178,0.596603378332,0.0,0.0,-1.01238765247,0.000247709516561,0,0.0
0.0,0.004228,-0.0274750438044,7.07824,0.0,0.0,0.543419511052,8.27663e-08,0.947883,0.0,0.00422733,-5.28557960858,0,19,0.0,0.0,0.0,-0.00438062,16.3526,0.00422798582777,0.0,0.0,0.00422735204471,0.430851366315,0.0,0.0,-0.778680622881,0.000210692021088,0,0.0
0.0,0.00431302,0.652459392751,7.03699,0.0,0.0,0.766317455117,6.91099e-08,0.524717,0.0,0.00431298,10.4449488615,0,20,0.0,0.0,0.0,-0.00443602,16.4007,0.00431305408258,0.0,0.0,0.00431299330369,0.0869891300607,0.0,0.0,0.448512867419,0.000189417699874,0,0.0
0.0,0.00440824,0.439872065815,6.99637,0.0,0.0,0.635653927183,5.22668e-08,0.526771,0.0,0.00440824,6.17552886713,0,21,0.0,0.0,0.0,-0.00453905,16.4878,0.0044081890436,0.0,0.0,0.0044081890436,0.109211418764,0.0,0.0,0.240350255161,0.000164380048169,0,0.0
0.0,0.00460573,0.402785758113,6.95659,0.0,0.0,0.619259097717,5.31773e-08,0.547105,0.0,0.00460573,5.30839599724,0,22,0.0,0.0,0.0,-0.0047496,16.5956,0.00460595406195,0.0,0.0,0.00460595406195,0.129365624138,0.0,0.0,0.097833383131,0.000166891148499,0,0.0
0.0,0.0048009,0.361509849205,6.92108,0.0,0.0,0.521887431874,4.44507e-08,0.561479,0.0,0.0048009,4.43388189836,0,23,0.0,0.0,0.0,-0.00494945,16.7294,0.0048007244673,0.0,0.0,0.0048007244673,0.0895582847633,0.0,0.0,0.206507068887,0.000151961008084,0,0.0
0.0,0.00498183,0.353792066521,6.87969,0.0,0.0,0.561869824362,4.7395e-08,0.549859,0.0,0.00498183,4.31825211316,0,24,0.0,0.0,0.0,-0.00513882,16.8661,0.00498190944181,0.0,0.0,0.00498190944181,0.123687123673,0.0,0.0,0.0185976395786,0.000154604411089,0,0.0
0.0,0.00515015,0.277316113467,6.84295,0.0,0.0,0.49249905208,4.26624e-08,0.559127,0.0,0.00515015,2.75509027974,0,25,0.0,0.0,0.0,-0.00531682,16.9838,0.00515023757214,0.0,0.0,0.00515023757214,0.0913701419288,0.0,0.0,0.0520787377434,0.000146983668863,0,0.0
0.0,0.0053299,0.274616916275,6.8091,0.0,0.0,0.599824625077,3.90328e-08,0.547334,0.0,0.0053299,2.76699424496,0,26,0.0,0.0,0.0,-0.00549445,17.1124,0.00532978398199,0.0,0.0,0.00532978398199,0.121841913348,0.0,0.0,0.0824142756545,0.000143141200828,0,0.0
0.0,0.0055004,0.218075536191,6.78211,0.0,0.0,0.605742387571,3.3191e-08,0.689331,0.0,0.0055004,0.914074283522,0,27,0.0,0.0,0.0,-0.00565631,17.2643,0.00550053608005,0.0,0.0,0.00550053608005,0.159796804516,0.0,0.0,0.026180067662,0.00013075776177,0,0.0
0.0,0.00567257,0.268132004273,6.75713,0.0,0.0,0.597736815122,3.158e-08,0.848766,0.0,0.00567257,1.12771378123,0,28,0.0,0.0,0.0,-0.00581733,17.3738,0.00567243021004,0.0,0.0,0.00567243021004,0.124823612433,0.0,0.0,0.0485664820731,0.000128353619746,0,0.0
0.0,0.00578958,0.156191805578,6.73056,0.0,0.0,0.406716955261,3.03189e-08,0.912433,0.0,0.00578958,-1.43434945848,0,29,0.0,0.0,0.0,-0.00591818,17.495,0.00578969376977,0.0,0.0,0.00578969376977,0.111272693283,0.0,0.0,-0.0407337007128,0.00012588154403,0,0.0
0.0,0.00591976,0.129148568822,6.71014,0.0,0.0,0.683025739621,2.55317e-08,0.932053,0.0,0.00591976,-2.07881272819,0,30,0.0,0.0,0.0,-0.00604471,17.5571,0.00591963967792,0.0,0.0,0.00591963967792,0.224648348958,0.0,0.0,-0.19958402403,0.0001140686674,0,0.0
0.0,0.00601657,0.240364826549,6.69071,0.0,0.0,0.475681535194,2.66956e-08,0.972454,0.0,0.00601657,-0.0674600168421,0,31,0.0,0.0,0.0,-0.00613014,17.6041,0.00601659063927,0.0,0.0,0.00601659063927,0.109696544546,0.0,0.0,0.0786199651584,0.000116851438777,0,0.0
0.0,0.00609733,0.20752820272,6.66942,0.0,0.0,0.481883590616,2.30036e-08,0.989633,0.0,0.00609733,-0.807877556048,0,32,0.0,0.0,0.0,-0.00621016,17.7275,0.00609738082164,0.0,0.0,0.00609738082164,0.158965843262,0.0,0.0,-0.0840027761214,0.00010830417158,0,0.0
0.0,0.00618484,0.142154651124,6.64934,0.0,0.0,0.543635664746,2.21346e-08,0.989861,0.0,0.00618484,-2.09996500787,0,33,0.0,0.0,0.0,-0.0062916,17.839,0.00618486555887,0.0,0.0,0.00618486555887,0.167852320455,0.0,0.0,-0.0971396980413,0.000106000334683,0,0.0
0.0,0.00625672,0.19004658077,6.6322,0.0,0.0,0.538730893834,1.9653e-08,0.994143,0.0,0.00625672,-1.16884248457,0,34,0.0,0.0,0.0,-0.00636213,17.966,0.00625669854968,0.0,0.0,0.00625669854968,0.164704568953,0.0,0.0,-0.0842784925381,9.85336268979e-05,0,0.0
