AverageAbsQ,MaxReturn,StdReturn,AverageAbsQYDiff,Gather_StdReturn,AverageY,AverageAbsY,wrapped_AverageReturn,AveragePolicySurr,MinReturn,Gather_MinReturn,AverageQLoss,wrapped_MinForwardProgress,Gather_AverageReturn,AverageDiscountedReturn,Epoch,wrapped_MaxForwardProgress,MinEsReturn,AverageQ,PolicyRegParamNorm,AverageEsReturn,MaxEsReturn,wrapped_AverageForwardProgress,QFunRegParamNorm,AverageAction,Gather_MaxReturn,StdEsReturn,AverageReturn,wrapped_StdForwardProgress,Gather_MedianReturn
0.00225057,0.0,0.0,0.000696834987507,0.0,-0.000581517934461,0.00229370620839,-5.62935211961,3.52244e-05,0.0,0,2.13017e-06,-0.5196530514,0.0,0.0,10,0.107014725832,0.0,-0.000541018,17.5508,0.0,0.0,-0.0797988970674,14.9171,0.804786,0,0.0,0.0,0.127031499469,0.0
0.0018259,0.0,0.0,0.000328850785983,0.0,-0.000695781819808,0.00185168723347,-6.82159914848,-4.99215e-05,0.0,0,3.01995e-07,-0.371724660528,0.0,0.0,11,0.224108042764,0.0,-0.000696413,17.4854,0.0,0.0,-0.129556934513,15.0153,0.846066,0,0.0,0.0,0.188783143605,0.0
0.00156397,0.0,0.0,0.000223093156084,0.0,5.62941715598e-05,0.0015876476983,-5.92330039292,-0.000825323,0.0,0,1.74468e-07,-0.396367850941,0.0,0.0,12,0.467053592119,0.0,5.62086e-05,17.5044,0.0,0.0,-0.0467062066549,15.0729,0.997064,0,0.0,0.0,0.236881668726,0.0
0.0017532,0.0,0.0,0.000209836960397,0.0,0.000745272700909,0.00177288530212,-4.30193447988,-0.00146404,0.0,0,1.58808e-07,-0.365795211446,0.0,0.0,13,0.29245295553,0.0,0.000745388,17.5769,0.0,0.0,0.0348721951216,15.1244,0.999889,0,0.0,0.0,0.181826175388,0.0
0.00199831,0.0,0.0,0.000223666110838,0.0,0.00111553767172,0.00201665682124,-3.96879869068,-0.00154256,0.0,0,1.85883e-07,-0.291287132501,0.0,0.0,14,0.394842926742,0.0,0.00111526,17.6197,0.0,0.0,0.0521100996592,15.1738,0.999856,0,0.0,0.0,0.222055903154,0.0
0.00219096,0.0,0.0,0.000214692301886,0.0,0.00140275396902,0.00220876018914,0.630170005121,-0.00165082,0.0,0,1.88602e-07,-0.16991813708,0.0,0.0,15,0.716766006103,0.0,0.00140257,17.5507,0.0,0.0,0.161973759469,15.2114,0.525681,0,0.0,0.0,0.216501993985,0.0
0.00219635,0.0,0.0,0.000216395061002,0.0,0.0014928961625,0.00221260487463,-4.88079079137,-0.0016475,0.0,0,1.93806e-07,-0.369055988934,0.0,0.0,16,0.409657092952,0.0,0.00149342,17.6043,0.0,0.0,0.00613919775982,15.2791,0.999977,0,0.0,0.0,0.220973967378,0.0
0.00202726,0.0,0.0,0.000211436781766,0.0,0.00136919590493,0.00204591524925,-4.99900614496,-0.00135985,0.0,0,1.94959e-07,-0.469185273912,0.0,0.0,17,0.456689917828,0.0,0.00136912,17.815,0.0,0.0,0.000616230922365,15.3259,0.999981,0,0.0,0.0,0.2598636606,0.0
0.00187663,0.0,0.0,0.000202899938247,0.0,0.00127092467271,0.00189463548033,-3.28848010544,-0.00122912,0.0,0,1.88179e-07,-0.382593647183,0.0,0.0,18,0.371120234118,0.0,0.00127091,17.8167,0.0,0.0,0.0854320236899,15.381,0.998216,0,0.0,0.0,0.238361011385,0.0
0.0016455,0.0,0.0,0.000178975519813,0.0,0.00109049356763,0.00166021494709,-6.13862519119,-0.00103536,0.0,0,1.49092e-07,-0.354161468041,0.0,0.0,19,0.191309977487,0.0,0.00109077,17.8129,0.0,0.0,-0.0580266072725,15.4429,0.999556,0,0.0,0.0,0.167663480199,0.0
0.00150526,0.0,0.0,0.000164314409931,0.0,0.00100558103455,0.00151861065653,-5.02355717621,-0.00109641,0.0,0,1.22321e-07,-0.41248611803,0.0,0.0,20,0.372658829149,0.0,0.00100538,17.8395,0.0,0.0,-0.00312267816999,15.4743,0.995338,0,0.0,0.0,0.219326174836,0.0
0.00145916,0.0,0.0,0.00016885415459,0.0,0.000994034677344,0.0014739354583,-5.19135360263,-0.00104217,0.0,0,1.27263e-07,-0.367895830257,0.0,0.0,21,0.400674230924,0.0,0.000994239,17.8414,0.0,0.0,-0.0101472088078,15.5088,0.998486,0,0.0,0.0,0.206316382906,0.0
0.00139926,0.0,0.0,0.000159059375285,0.0,0.000959975290207,0.00141186437504,-2.86019110503,-0.000908844,0.0,0,1.1344e-07,-0.357794805571,0.0,0.0,22,0.452703816566,0.0,0.000959701,17.8471,0.0,0.0,0.105594747438,15.553,0.992894,0,0.0,0.0,0.241259723257,0.0
0.0012698,0.0,0.0,0.000140660064317,0.0,0.000850917873986,0.001281722507,1.19845589032,-0.000820927,0.0,0,1.05169e-07,-0.117727769663,0.0,0.0,23,0.54425787317,0.0,0.00085091,17.8616,0.0,0.0,0.190658134757,15.5899,0.523179,0,0.0,0.0,0.196184938799,0.0
0.0011817,0.0,0.0,0.000127848693727,0.0,0.000786564550416,0.00119260789131,-2.23571062529,-0.000767164,0.0,0,8.52366e-08,-0.369142730656,0.0,0.0,24,0.430079879519,0.0,0.000786725,17.8869,0.0,0.0,0.0993905266922,15.6322,0.842624,0,0.0,0.0,0.251115928007,0.0
0.00112409,0.0,0.0,0.000138466214965,0.0,0.000747735315847,0.00113445738445,0.204447977362,-0.000743459,0.0,0,9.56436e-08,-0.0531065758488,0.0,0.0,25,0.491100923676,0.0,0.000747798,17.8455,0.0,0.0,0.152917698809,15.67,0.573989,0,0.0,0.0,0.137178133402,0.0
0.00105257,0.0,0.0,0.00012551302496,0.0,0.000710387830914,0.00106225831587,-3.02042122958,-0.000678831,0.0,0,8.25545e-08,-0.0126596294211,0.0,0.0,26,0.261650479956,0.0,0.000710244,17.9383,0.0,0.0,0.0940999562958,15.7071,0.981911,0,0.0,0.0,0.0635797433753,0.0
