MinEsReturn,MaxForwardProgress,AverageAbsQ,AverageAbsY,Epoch,MaxEsReturn,AverageEsReturn,AverageDiscountedReturn,AverageY,AverageAction,QFunRegParamNorm,StdReturn,StdEsReturn,MinForwardProgress,AveragePolicySurr,AverageForwardProgress,MaxReturn,MinReturn,StdForwardProgress,AverageReturn,AverageQLoss,PolicyRegParamNorm,AverageAbsQYDiff,AverageQ
-52.9745837299,0.063702637318,0.197823,0.0286413218569,9,16.9387719887,-2.92676525441,5.35996262428,-0.0136361616172,0.945506,10.768,1.72312789873,4.85093137108,0.0166185594079,-0.193838,0.040244618512,11.0522770193,1.16882972914,0.00822669522791,6.07097528503,0.0513913,16.1553,0.205117150522,0.179949
-12.0056266898,0.00966133786416,0.0665293,0.0652854774938,10,8.89867768196,1.20255108314,-3.55341245587,-0.00923666516216,0.856241,10.8418,1.40450757896,3.61954245403,-0.0301288370355,-0.0249889,-0.0107629616837,0.540711215959,-7.98668042498,0.00651433769585,-3.86408361335,0.0034172,16.1358,0.0405095259419,-0.00596054
-28.9446288929,0.0380942915935,0.0793496,0.0848756038511,11,4.47198290796,-4.07344118133,-0.0632306154995,0.0394391824303,0.878835,11.0742,2.07477416381,5.62385251193,-0.0190734400374,-0.0823663,0.00865429340664,5.98878810593,-5.77601962681,0.00994479867676,-0.0382504858872,0.001476,16.2984,0.0278748120176,0.0392897
-4.99540777446,0.0446080302219,0.100986,0.10464995043,12,6.86699236912,0.504095702515,0.882698740563,0.0769896863324,0.755542,11.3108,2.03432850244,2.42773478254,-0.0163158497919,-0.11966,0.0130156056122,7.55813954907,-4.72029735494,0.00980090663887,0.994203676165,0.00096366,16.3421,0.0224373185185,0.0768222
-5.53655437076,0.0449776019217,0.125035,0.127410713124,13,6.17552289493,1.01328485965,1.48735140494,0.1083192561,0.634511,11.458,1.96945639451,2.91401756259,-0.0169743902131,-0.145872,0.0145276490887,8.00903165809,-4.71699528822,0.00946769820962,1.70809728683,0.000816024,16.3929,0.0200120965687,0.108237
-6.65033832122,0.0387357688604,0.144234,0.146164951624,14,7.33721458325,0.915332077596,1.42308411,0.129901842314,0.626109,11.7694,2.16362371525,2.86203400952,-0.0252754953313,-0.161631,0.0129634991992,6.95928867548,-6.3419197961,0.0104000163757,1.6397053559,0.000717103,16.4811,0.0189482808551,0.129813
-5.36010841113,0.0535101246213,0.155981,0.157560526245,15,7.54385685907,0.674723828554,1.43654921686,0.141522446615,0.750311,12.0232,2.06981105882,2.90788475019,-0.0199098434235,-0.167629,0.0164362066211,9.15476067692,-5.769044543,0.0099818339315,1.62826859381,0.000757493,16.6481,0.0191831500789,0.141454
-9.50083327543,0.0612323476114,0.165323,0.166780060466,16,9.73230189628,2.5816286584,3.15543589785,0.150676011126,0.879235,12.3804,2.1776985439,4.17853483027,-0.0083695834187,-0.17392,0.0275317719115,10.6189419636,-3.88016501115,0.0104624177956,3.60984044309,0.000837205,16.8491,0.0200897183688,0.150555
-21.034961977,0.0402443002819,0.176376,0.177668060995,17,7.23206159008,-0.35007033145,-1.41675277622,0.159821189326,0.88293,12.8484,3.83662735561,5.34214836811,-0.0609182629394,-0.184837,0.000611954348714,6.77140924003,-14.5198761365,0.0180556755513,-1.58338412644,0.00093611,16.9267,0.0211846981687,0.159777
-18.5520939584,0.0816207662004,0.189022,0.190246580549,18,12.5388585817,3.34809923834,7.68873474598,0.170678483604,0.775546,13.253,2.15681356454,6.16592683203,0.0210632724871,-0.197893,0.0515016375904,15.3829806281,2.61514625184,0.0103963603292,9.0038596098,0.00108668,16.9439,0.0228101237825,0.170673
-1.99778773677,0.0876659594491,0.206721,0.20785874898,19,15.0921646241,6.86408204631,8.83737101983,0.188252660525,0.828001,13.5971,2.14252309255,3.49597203716,0.0217647975687,-0.217474,0.0569934737572,16.662702723,2.92465037516,0.0102437919799,10.2591903306,0.00120782,17.1319,0.0241332689629,0.18822
-4.42060971064,0.140645065155,0.230553,0.231846888606,20,17.9107643074,8.96046644572,12.6193501118,0.212128358949,0.84999,13.9041,3.40817025545,6.28333093442,0.0434703091381,-0.24773,0.0862725686036,26.64018428,6.5110154677,0.0164834858286,15.3018295192,0.00138248,17.3814,0.0259402731615,0.212147
-2.5231108579,0.148739069081,0.26029,0.261472691874,21,18.9626892365,9.62399598387,13.3017283466,0.241753443232,0.762411,14.189,3.96485540551,6.00469186275,0.00383866338764,-0.282936,0.0920940649459,28.0921946929,-1.47896769122,0.0193654670785,16.6184799578,0.00162145,17.5804,0.0279492984002,0.241759
2.94493371816,0.186881607452,0.292142,0.293112818199,22,16.8695681981,10.0064798522,15.5583902251,0.273571602023,0.752373,14.4999,5.1673504742,3.73671006632,0.0300685393383,-0.318469,0.107708368567,35.0316755323,4.49445783725,0.02622283873,19.4607717948,0.00179287,17.7622,0.0291919395124,0.273598
4.18529877666,0.231149450247,0.328659,0.329611764765,23,28.8192949448,14.2447564055,21.6258877431,0.311043833649,0.735529,14.822,5.37715392601,8.42055591779,0.0582829404454,-0.359658,0.152722235265,44.2888602325,9.21321412516,0.0265794820507,28.4396961769,0.00201092,17.9761,0.0307404882436,0.311058
0.0109622112036,0.23414831646,0.366517,0.367271008174,24,41.0312889052,14.3741468984,20.8787684188,0.348867943271,0.858508,15.1048,5.79486831801,9.45337643409,0.0823215295137,-0.400469,0.153737285683,44.1601632464,13.356958449,0.0286261946863,27.703891264,0.00225429,18.2125,0.0321768671853,0.348854
