Epoch,AverageY,MinForwardProgress,StdReturn,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,AverageAbsY,AverageQ,MaxEsReturn,MaxReturn,AverageReturn,AverageForwardProgress,QFunRegParamNorm,AverageQLoss,MinEsReturn,AveragePolicySurr,MinReturn,AverageAction,StdEsReturn,AverageAbsQYDiff,MaxForwardProgress,PolicyRegParamNorm,StdForwardProgress
9,0.0256922898026,-0.0604818383174,6.61975305503,23.3073415671,0.00842728,17.2741665277,0.0256922898026,-0.00835577,41.7838495521,39.9392873692,25.5568184021,0.092072514653,14.1912,0.00132846,0.19222907815,-0.0205106,6.56859027864,0.000342561,8.77502484631,0.034048059617,0.210446807733,14.1287,0.0536214915702
10,0.0483707713296,-0.176144996019,5.25634381844,16.952399609,0.0486694,1.59362803124,0.0488358053527,0.0483154,71.6956718721,16.2892002254,0.91177196315,-0.0399597549163,15.006,0.000112119,-6.82504145397,-0.0768664,-16.1026748704,0.965108,17.079335587,0.00510924583692,0.0848746357654,15.0433,0.0432084814468
11,0.0984205557158,-0.115642844649,3.96550559284,5.43238972938,0.0985831,2.11530208296,0.0987247311632,0.0983418,19.8716902169,14.9779812648,1.75146241764,-0.0397642359072,15.7886,0.000120751,-6.83743616148,-0.124153,-8.07488098301,0.91091,6.07213012813,0.00583198204598,0.0599744315087,15.586,0.0312292086765
12,0.148636878896,-0.0341001220622,7.27731572131,18.4168436025,0.148997,14.0950374623,0.149126846358,0.148571,75.4024131799,41.8043459705,19.1138698134,0.0768186101413,16.7233,0.000227619,-6.60658167586,-0.179855,4.43954978393,0.991462,20.7032430437,0.00793521913636,0.232920649764,16.2217,0.0534808221659
13,0.199160225725,-0.0669438159374,5.73960958668,17.0008862298,0.199798,11.4214060581,0.199907771264,0.199095,27.1302074512,30.2037942098,15.147295966,0.0499111637255,17.6499,0.000393753,3.31459978183,-0.223594,-0.637050423773,0.994038,6.89228706955,0.0103052432675,0.161393492505,16.4338,0.0427775888351
14,0.242878685519,0.00617072396817,16.5564213955,17.1734047185,0.243689,28.1672833384,0.243800578516,0.242808,27.1935866057,81.6601345671,40.912640162,0.228966697414,18.5272,0.000548843,6.01962509036,-0.264898,10.5426669649,0.956259,5.95326005219,0.0117780279603,0.506547926795,16.5239,0.116766608826
15,0.28998920506,-0.0495568266284,6.3712894581,29.6033563165,0.290769,18.2936599328,0.290890371952,0.289898,63.9355390978,38.8865183341,24.3107174167,0.102049352714,19.4739,0.000853963,6.09325948045,-0.319955,5.66402017126,0.992634,13.9837410236,0.0146728145576,0.215257833509,16.9457,0.049511982105
16,0.344294471803,0.0250785803512,12.2712272295,23.7073878512,0.344901,26.3931565538,0.345052232126,0.344145,37.671619955,72.1847023633,38.9660324224,0.212820034995,20.2973,0.000957744,10.3256868659,-0.372182,13.2372299818,0.982343,5.7747547937,0.0159087013539,0.441504711403,17.2616,0.0871551588522
17,0.395435742833,0.0591598906744,12.9128776999,47.6482611002,0.395814,28.4051925315,0.395905691124,0.395333,85.39199248,80.3780118294,43.4164144515,0.226420347364,21.1573,0.00123539,9.38613342555,-0.417893,19.8264574678,0.989461,24.1884161812,0.0186221973364,0.453898057629,17.691,0.0882479306031
18,0.447890111779,0.0953222908531,13.1238964579,56.2500632393,0.447929,33.9127033479,0.448128839395,0.447687,83.8941713278,88.1169444162,55.8453228396,0.306042786215,21.9453,0.00149905,31.8016982261,-0.471477,28.3614515619,0.989147,19.4965496729,0.0199519659205,0.562516315864,17.9197,0.0950134127064
