Iteration,StdEsReturn,AverageDiscountedReturn,StdReturn,AveragePolicySurr,AverageQ,AverageAbsQ,AverageAbsQYDiff,AverageEsReturn,MinEsReturn,QFunRegParamNorm,AverageQLoss,AverageReturn,MaxReturn,PolicyRegParamNorm,MaxEsReturn,MinReturn,AverageAbsY,AverageAction,Epoch,AverageY
9,17.1585801985,11.3926327708,0.251892989703,0.440103,-0.675799,0.675799,1.31593848645,14.6325735358,1.22718372571,11.1653,2.30739,12.1312985165,12.7781254704,11.1815,224.745908267,11.494932494,0.640153013267,0.0394875,9,0.640139077521
10,0.875857441411,1.70851902871,0.078893148206,-0.502226,0.397694,0.399092,0.100278987791,2.36782537978,0.403388061751,11.2704,0.037288,1.70313461851,1.88738013112,12.1583,5.34408655235,1.49920554709,0.400544160398,0.999705,10,0.400296704747
11,0.561912687542,1.70437815595,0.0787819429709,-0.421538,0.355565,0.357381,0.0481056041692,2.30499338984,1.19485655921,11.3805,0.00688009,1.69883700056,1.87960645228,12.4655,4.29426421114,1.48992705861,0.35653117848,0.999992,11,0.356186467393
12,0.667187922921,0.505904048728,0.399724746201,-0.442593,0.393727,0.397428,0.0369314677284,2.36537540133,0.639186952946,11.4674,0.00349768,0.383960962415,1.54524807394,12.8516,4.9287021062,-0.0113829482244,0.3944925059,0.984381,12,0.394024246839
13,0.969631816935,0.422895972842,0.442413939634,-0.428727,0.391394,0.39623,0.0297553722557,1.13953807594,-0.708363958651,11.5732,0.00208263,0.282860558049,0.674098233859,13.1789,4.29981826341,-1.2889237887,0.392800506632,0.96441,13,0.391485863117
14,0.839178668571,-0.451359730881,0.24061245007,-0.392336,0.373561,0.379145,0.0267819799816,0.883605326638,-1.77537673929,11.6654,0.00161534,-1.15395913557,-0.649055203582,13.6791,3.34559617069,-2.26853234081,0.376364512964,0.895751,14,0.373587525783
15,20.6328580519,34.3081067355,0.885793479556,-0.416677,0.363573,0.368318,0.0262813263124,17.2512688668,-1.85512541324,11.8051,0.00176911,38.5909986727,40.3715243233,14.4313,49.4833021229,36.4273285661,0.366653789748,0.992982,15,0.3637562967
16,14.6324733286,34.3078545787,0.928150298972,-0.433636,0.388545,0.391387,0.0259169037098,34.9466573409,-1.09122818234,11.9938,0.00185723,38.6088992688,41.3328697252,14.9119,50.7068429948,36.5512223731,0.389799054122,0.994572,16,0.388766812482
17,25.7055770481,46.9222090263,3.78367381023,-0.443118,0.402802,0.405094,0.0250714297991,54.2243830394,-1.20782301238,12.2483,0.00196227,55.3573731071,80.7286962874,15.3667,94.4191498087,52.3079385502,0.403794188578,0.966764,17,0.402966580132
18,30.5745439398,60.6038844071,1.57450590211,-0.463563,0.421696,0.423749,0.0262705514857,69.6154750046,3.95993227729,12.5851,0.00229347,75.241032795,77.7071100742,15.694,183.033435587,71.4113801944,0.422659280448,0.985403,18,0.42189827442
19,38.4896577682,104.24036445,4.49180988424,-0.490272,0.443555,0.445641,0.0242110167718,67.1791502749,3.95935838891,12.9275,0.00189754,171.673617131,182.492787672,16.2579,224.637131178,161.524740707,0.444632782127,0.920336,19,0.443695362629
20,73.8566807901,109.463682446,1.35623610535,-0.540574,0.470332,0.47195,0.0249896955928,123.73701271,9.18375225096,13.4057,0.00215055,186.324415051,189.111717164,16.8197,205.033224645,181.413455968,0.47129664157,0.929458,20,0.470471265576
21,58.7809880493,111.254604307,11.2302718469,-0.573428,0.507096,0.508595,0.0256068059485,152.798112144,15.4596502757,13.7887,0.00242591,191.952217079,218.847523268,17.3559,219.97289795,171.489956336,0.508075788613,0.918716,21,0.507311322821
22,52.5152481388,104.652780429,9.52910511251,-0.607863,0.542027,0.543395,0.0263738253114,149.30109429,35.2857230023,14.2102,0.00275754,165.963991643,189.193817448,17.953,201.624276852,148.824526548,0.542923837368,0.801316,22,0.542200508012
23,50.593053253,112.544495682,2.20612081376,-0.632402,0.568509,0.569969,0.0249410678628,108.788863062,7.99381605075,14.6666,0.00255293,175.065003976,182.594333028,18.7198,186.066709026,170.986235817,0.56949923222,0.961467,23,0.568673917275
24,27.8368363342,109.695174987,2.31534644091,-0.671388,0.600742,0.602198,0.0271938596239,164.193381781,90.2737305644,15.1579,0.00322231,169.958216521,175.260595338,19.1869,208.872645035,163.993925086,0.601716558725,0.956266,24,0.600924874864
25,41.833346822,111.997361027,2.28375328471,-0.704008,0.634065,0.635469,0.0259507710676,155.561248199,37.5650262156,15.661,0.00287986,173.802034623,179.037945243,19.7596,185.381324086,169.484563374,0.635040515909,0.942777,25,0.634216301741
