AverageAction,MaxReturn,MinReturn,AverageDiscountedReturn,AveragePolicySurr,AverageEsReturn,MaxEsReturn,Iteration,AverageQLoss,AverageQ,AverageAbsQ,QFunRegParamNorm,AverageAbsY,AverageY,StdReturn,AverageReturn,AverageAbsQYDiff,StdEsReturn,MinEsReturn,PolicyRegParamNorm,Epoch
0.444663,1067.91330397,1065.7637854,121.706101346,0.444706,170.225030473,359.41104759,24,0.00342132,-0.588068,0.606063,14.9875,0.606394909253,-0.588041682613,0.607883641283,1066.7286358,0.0390518783002,115.662597889,32.3538275006,16.5562,24
0.72224,349.023757607,69.6693797703,68.9261482699,0.320041,159.984617398,262.298443935,25,0.00318315,-0.476108,0.521221,15.261,0.521988585996,-0.475950159505,48.1653570072,115.984781366,0.0364318901904,73.7972404296,38.3381208548,17.2394,25
0.68835,388.54820845,41.4402130801,55.3417373603,0.206712,182.083458147,332.623558194,26,0.00349318,-0.371954,0.460155,15.589,0.46059092486,-0.371717095256,51.9995853783,77.6188145994,0.0358023130741,128.754368497,22.8259493525,17.649,26
0.704178,525.068491225,52.0373916232,83.6347323853,0.0836598,205.268978926,291.186348483,27,0.00466267,-0.26365,0.425616,16.0025,0.426280861938,-0.263288691405,148.481768054,222.541265601,0.0386533866265,66.5096339281,101.558109299,18.0732,27
0.758589,480.488971861,59.5735664693,85.1896541172,-0.0610498,253.409551555,360.815023928,28,0.00576288,-0.13563,0.413555,16.4267,0.415314325099,-0.135284436782,134.558062473,217.437384637,0.0437251726536,99.0568140059,60.5410503549,18.5698,28
0.806682,354.69574504,199.236996426,117.247592564,-0.210674,197.282286632,286.114805112,29,0.00869094,0.00172695,0.426334,16.9471,0.428996743269,0.00216903277038,37.423518502,287.383953969,0.0502629569918,76.7839693041,56.1383364209,18.9094,29
0.975518,238.223702996,168.303289208,112.34436581,-0.377004,261.729454364,372.038857399,30,0.00954808,0.151598,0.460039,17.4049,0.463121538869,0.151921856671,15.4561859213,188.502422921,0.0528315357392,61.7052290171,185.423346342,19.1494,30
0.873081,285.671206984,226.607396441,117.759145869,-0.538556,245.088116631,390.11915374,31,0.0095314,0.32205,0.533329,17.9155,0.536646979083,0.322539158824,11.6375644728,249.901647759,0.0548640765229,73.516033319,150.650173469,19.5538,31
0.837942,1032.88110877,51.7216769854,82.0082758725,-0.715756,191.335561629,433.717061261,32,0.0111713,0.46628,0.615962,18.3921,0.6187411449,0.466767221664,303.312853059,304.04298083,0.0570013605113,122.194294602,9.32456830474,20.2874,32
0.804265,474.126089062,48.5578345879,72.4965780712,-0.872573,143.096886567,268.602840848,33,0.0135069,0.622825,0.731891,18.8774,0.73494271859,0.623454559708,127.891325838,188.09518537,0.0636344554431,95.0636973322,28.3004023316,20.8161,33
0.799343,443.823118039,167.446620623,115.522047405,-0.947707,214.364578362,489.177906247,34,0.015523,0.74455,0.83503,19.3523,0.837714197023,0.745074498592,52.842582995,269.787429426,0.0686913832642,178.479975856,35.7479508303,21.3634,34
0.832605,380.152384241,51.7568928077,94.7385514553,-1.0877,199.157351997,404.056757236,35,0.0193116,0.869767,0.940417,19.8388,0.943046875215,0.870195365802,94.0217406205,220.416792873,0.0725203370066,109.737601535,49.2010727,21.7282,35
0.808856,360.507913138,37.041449789,58.4396876824,-1.2131,214.777087312,302.493557708,36,0.0180595,1.00106,1.05834,20.2805,1.0608647356,1.00154119955,77.7093241721,107.805178215,0.0736547819166,54.3950650792,122.383715849,22.0225,36
0.785455,302.506121537,-6.59668625621,8.41282476503,-1.36595,85.8523920662,251.018925977,37,0.0215198,1.12507,1.17218,20.7711,1.17541639404,1.12576259006,22.4787215984,10.5044082522,0.0791756641381,77.050513241,4.21094998742,22.4798,37
0.815304,632.79446355,40.3929602035,103.583005609,-1.55261,123.235580128,399.576692244,38,0.0273738,1.27749,1.3162,21.3155,1.31911771319,1.27832660628,147.068454435,337.004811943,0.0898653529351,148.22773287,-19.8061998071,22.6995,38
0.817727,316.109380434,-156.248334297,4.90253643608,-1.71924,161.953014279,283.384658075,39,0.0292268,1.45065,1.47904,21.7723,1.48193140888,1.45158314734,84.7690027818,-19.7328299543,0.0949398221538,70.3928406865,66.5477821274,23.0436,39
0.852375,474.598352407,-7.26580980688,54.5702701682,-1.84853,70.3804573823,271.18109855,40,0.0356298,1.5818,1.6094,22.2374,1.61218066998,1.5825531246,129.989496188,116.789726267,0.104694659893,101.593312225,-17.4008272655,23.6088,40
0.858628,703.00923611,8.69036727585,110.739093616,-1.96307,125.931849882,243.998490747,41,0.0401537,1.70862,1.73361,22.7347,1.73673479826,1.7098326402,152.909748561,353.373368425,0.111883387022,95.2802169766,-0.822039302639,23.9552,41
0.83254,702.241274391,-8.09560959713,109.590218095,-2.10323,240.213464952,432.198148626,42,0.0409469,1.84136,1.86865,23.2338,1.87101718257,1.84233545997,124.36323534,281.554312362,0.115235406442,143.764951224,41.3029693704,24.3068,42
0.844577,678.823211945,56.6278108404,116.0268135,-2.2035,163.969479778,313.589022068,43,0.0479089,1.94114,1.97176,23.7119,1.97418619602,1.94219248543,141.997006127,369.184572748,0.121971082027,116.093741724,5.14062788103,24.5612,43
0.829539,787.353497821,30.8145399936,108.065869952,-2.34444,151.720613012,357.932437542,44,0.0490447,2.08941,2.1243,24.1939,2.12658579467,2.09058585633,147.251283342,297.153302549,0.126268522444,105.795281458,47.2393762627,24.9915,44
0.908289,372.926243733,96.694099773,92.6549261412,-2.49466,195.198376814,369.641949419,45,0.0604484,2.22133,2.26049,24.6769,2.26289005323,2.22239562123,37.6666984759,164.250494208,0.135395809342,93.410642423,66.1089841065,25.5032,45
0.885289,472.796023189,-29.7875247662,64.2508432884,-2.65638,155.466089312,300.580105654,46,0.0580074,2.37171,2.41685,25.1033,2.41875017849,2.37284769424,100.940882734,127.453546,0.138809298173,86.2463138712,17.4911904419,26.054,46
0.849978,456.475043903,3.59564912733,55.3211112658,-2.77864,151.289668691,310.496401692,47,0.0746228,2.48826,2.53997,25.5402,2.54188598554,2.4895991644,112.824725241,131.567876745,0.150779060896,104.652300699,18.0295761794,26.5706,47
0.895229,402.14874021,-156.400375603,96.6008386197,-2.94873,115.372094787,286.540063276,48,0.0792311,2.6516,2.70632,26.0007,2.70719946883,2.65264429679,112.897072259,206.796700982,0.156341015917,101.70927179,-22.2735556531,26.9603,48
0.890234,524.299633662,27.2223059962,90.8256635976,-3.09078,64.3011959278,171.763374748,49,0.0971453,2.7832,2.83837,26.5088,2.83965656555,2.78452936829,92.3973425779,190.485160179,0.168358118524,77.3940687583,-85.6616392597,27.3162,49
0.929238,222.535300965,-185.674968467,75.4643444314,-3.21823,199.850536981,390.598342422,50,0.0935834,2.90379,2.96123,26.9268,2.96273306036,2.90533254601,76.9599670841,135.438386161,0.169815346692,108.967379055,30.1053110704,27.6516,50
0.926336,940.081354138,-182.347558807,80.054689135,-3.38945,66.1333684183,157.296036617,51,0.0923013,3.05262,3.10422,27.3317,3.10562535405,3.05380567108,116.18339549,132.009953142,0.176103196032,55.1259120168,-13.881754715,28.0337,51
0.936329,95.9483859145,91.7844172926,67.7522321301,-3.60306,86.0544964156,206.032476475,52,0.100682,3.24928,3.29226,27.7438,3.29405682233,3.25055543752,0.725469740897,94.2153102767,0.182545969704,67.7673585165,-0.414078922714,28.371,52
0.90707,233.965437708,8.96686575623,59.2412570959,-3.7114,33.5415512648,159.869264224,53,0.114557,3.36571,3.40747,28.1827,3.4094186001,3.36725820969,43.2250602525,79.6976143941,0.196005351715,61.5364675164,-65.2484604889,28.7107,53
0.917181,204.144955644,-17.1885089024,60.3099581427,-3.90786,127.170723143,227.576867399,54,0.137819,3.5491,3.58691,28.6176,3.5893505244,3.55100468699,53.0379806322,88.7092742507,0.209476150214,55.6273619954,18.6881212774,29.053,54
0.934273,202.185687431,-21.4687775002,51.1597946142,-4.08946,108.134154842,206.155239578,55,0.131609,3.73177,3.76271,29.0303,3.76521464717,3.73345769229,45.5195483524,66.6708624889,0.208659727886,69.8467838886,0.793200535953,29.3732,55
0.913469,262.069335137,53.6388088093,78.679286186,-4.24388,106.693638484,303.953199082,56,0.132836,3.88997,3.92059,29.4039,3.92315042349,3.89144296201,34.6019695715,120.460607906,0.212256998975,96.0676361618,-28.6816925282,29.6118,56
0.935755,91.52832799,80.8774881989,62.200534858,-4.39321,84.6455473427,210.697018085,57,0.160283,4.034,4.06409,29.7457,4.06782707379,4.03583925724,2.31980470252,85.7082212082,0.22520167346,63.0040406754,2.75444808582,29.8872,57
0.930147,140.891304171,79.9402865084,72.4558237039,-4.5874,132.079133117,245.42530988,58,0.144381,4.21372,4.24079,30.132,4.24390285212,4.21536276805,5.34864523421,98.9374693787,0.220573246865,59.210550974,41.4119499996,30.0898,58
0.938039,231.242385225,87.0858650511,74.2027056093,-4.74184,149.179422862,296.370075382,59,0.155609,4.36793,4.39401,30.5053,4.39775500172,4.36994572767,19.3533358708,107.247753213,0.227971199494,79.954201782,63.7809855806,30.2698,59
0.929506,129.503125117,77.2492375973,71.3037842072,-4.97433,114.288785586,267.376081474,60,0.167116,4.57766,4.6015,30.9091,4.60514117986,4.57944262358,12.9869476575,107.670739143,0.23268920623,91.5320124908,-2.31973146565,30.4494,60
0.940619,168.33118945,77.7781999962,68.9424309511,-5.1794,152.21315865,361.921118488,61,0.161336,4.75971,4.78474,31.2396,4.78775602843,4.76165880931,15.4823880765,97.0389978555,0.238297555953,89.8859018924,60.5548067974,30.6308,61
0.920455,211.984494277,87.5163695836,83.4208957171,-5.3704,100.532964532,197.192845429,62,0.177921,4.94162,4.96633,31.588,4.96908242489,4.9435087107,23.1742391398,126.66022831,0.245835912794,69.6954326305,-11.1394365021,30.8049,62
0.942909,307.369631433,85.6935120915,84.3520458845,-5.53448,139.162080779,273.96576747,63,0.202984,5.09805,5.12405,31.9401,5.1273289671,5.10025691406,22.4994364717,140.175911997,0.256036278913,61.6783825698,77.2321190176,30.9962,63
0.943901,486.824201075,85.2329793154,107.872008578,-5.7737,130.453883254,253.586008465,64,0.195673,5.33583,5.35917,32.3073,5.36201757987,5.3372922841,90.7513391367,257.087550794,0.257870830992,69.058727451,37.4139903409,31.1759,64
0.875057,126.016646948,69.4009622735,61.0243346163,-5.93128,121.155922288,249.711202319,65,0.196195,5.49746,5.52166,32.6986,5.52483763376,5.49985323142,8.88889125312,84.3241832092,0.263783736538,60.1086650788,10.7327260783,31.3476,65
0.891043,313.548817523,69.2067534982,71.1240809176,-6.10173,134.825362417,273.39511348,66,0.217729,5.65999,5.68154,33.0725,5.68502514368,5.66245211815,53.5439677693,117.987442218,0.269053498056,68.0108671961,5.59515422983,31.5062,66
0.889656,449.360458927,110.480924499,98.9408940346,-6.34373,124.596050692,299.530672883,67,0.221539,5.8892,5.91082,33.4195,5.9134285595,5.89160062173,64.7021464434,223.993683015,0.278278845608,101.433255817,4.54206604265,31.6587,67
0.897493,306.631507761,99.3814255286,84.8802035878,-6.50288,118.210619962,242.729686894,68,0.236338,6.0534,6.07482,33.7776,6.07686573793,6.05553002186,45.7653656445,152.91998671,0.283912502058,67.4474167461,46.8949565407,31.9068,68
0.868162,408.381492027,82.815882451,83.5080763922,-6.66775,84.4601199211,183.03939323,69,0.247265,6.21511,6.23738,34.0828,6.23941852595,6.21743380628,59.7859012013,146.591238963,0.289379312238,61.7301958977,-3.22874077585,32.0463,69
0.863221,230.172765485,88.4315918682,81.3587688399,-6.7971,103.618401332,175.906462831,70,0.243623,6.34334,6.36587,34.4365,6.36746700643,6.34562471915,27.8755957573,138.111191005,0.2904802946,48.5343703587,24.2833577182,32.2141,70
0.88107,255.996077012,94.1748768501,78.0408334703,-6.99337,175.610498191,286.136117845,71,0.247199,6.51988,6.53846,34.7282,6.54190201807,6.5228584098,25.6896304412,125.485318053,0.291291767192,76.8403232901,76.4920345458,32.407,71
0.847766,513.881428161,98.5480788444,82.0662819714,-7.18222,128.539559078,305.05842973,72,0.277001,6.69803,6.71739,35.0982,6.72013484891,6.70024085089,64.5936660808,150.767479316,0.305242409622,83.5978166691,3.74673514313,32.6512,72
0.853633,522.321798881,52.267747109,81.2404784786,-7.34658,88.095754022,218.807947988,73,0.295441,6.84915,6.86898,35.4177,6.87060755592,6.85148646975,81.5874653831,213.757322609,0.312029759865,71.4845412054,8.14725159493,32.8269,73
0.921515,223.763656089,113.371026337,81.7274882396,-7.53676,94.4044272606,182.267112407,74,0.304362,7.05227,7.07211,35.7071,7.07359304431,7.0545765879,17.5517148075,146.816518399,0.315752786001,61.0060285524,8.10420270612,33.0179,74
0.903718,432.924852874,117.536870777,83.3682429923,-7.68697,124.960213619,534.70976823,75,0.335754,7.19779,7.21679,36.0464,7.21903754622,7.20070844918,38.2282947951,145.782650993,0.32763510165,157.770750349,2.90891626656,33.2108,75
0.888062,536.66051857,80.3581716514,83.8953474061,-7.84643,149.214450097,360.572599898,76,0.298842,7.34941,7.36827,36.3591,7.37049220696,7.35271460358,76.3959628676,155.376303397,0.322113178859,85.6448722107,62.1463113923,33.3981,76
0.873606,749.545020435,-23.6731147778,75.6156733626,-8.03296,111.332023106,266.134373619,77,0.340382,7.55549,7.5748,36.7064,7.57609988494,7.55779440204,127.669811334,160.289922221,0.335454377448,85.003600041,-9.37169071988,33.573,77
0.871071,451.854628921,-15.6656547731,80.7061838151,-8.15145,134.83648654,253.184517355,78,0.327874,7.66421,7.68276,36.9935,7.68467459971,7.66736857776,70.4131099028,149.559586661,0.334898540403,74.7698172877,24.017370576,33.7358,78
0.914079,439.872192129,122.018410116,104.100800823,-8.29202,110.248416034,304.450769502,79,0.35156,7.79261,7.80981,37.3243,7.81087726131,7.79535161629,70.2066352793,195.845176875,0.341780837491,96.3314801173,-24.2922572537,33.9571,79
0.932509,155.587632376,120.607927552,86.2674952785,-8.50807,130.672347934,339.62478605,80,0.357082,7.99431,8.01025,37.6425,8.01270743252,7.9978730652,4.56620362454,126.636089222,0.349829782047,82.9382395739,1.38095543977,34.1928,80
0.912256,143.338720943,98.1790451571,73.4491917777,-8.61477,107.775073281,154.733190396,81,0.371002,8.12044,8.13806,37.9285,8.13887923475,8.12270077122,4.85915938202,103.39347731,0.350392857855,42.5811113019,0.323262669118,34.3771,81
0.894196,410.564851923,27.6011185595,86.0119180367,-8.78496,235.253854179,581.764436124,82,0.397888,8.27027,8.28647,38.2146,8.28811642498,8.27399103278,94.8439975274,178.485251274,0.356923628901,183.786248122,2.09772354252,34.6037,82
0.899687,529.152187779,73.8241779796,88.1998334656,-8.93845,125.577075541,293.773782106,83,0.37687,8.43902,8.4549,38.517,8.45521569633,8.44175703876,60.0590936877,156.493617694,0.356936672127,101.355353463,-0.160765361705,34.806,83
0.917472,456.369578794,37.0780511708,98.9197280968,-9.08844,202.457724673,384.856936477,84,0.386123,8.58034,8.59514,38.8358,8.59635269555,8.58401211299,39.6306179591,166.821244249,0.359712634922,83.7811447014,107.199521559,34.9869,84
0.880242,495.839432334,61.6460884091,98.2144723716,-9.24226,206.815602686,415.920894165,85,0.368453,8.72657,8.74262,39.175,8.74317687784,8.72986827659,79.9198266883,197.951971395,0.364134261788,150.087747131,3.49187952841,35.1519,85
0.920864,437.508969413,112.076672885,92.2966610383,-9.41609,105.727036756,196.606948767,86,0.419135,8.90303,8.91787,39.5114,8.91820685345,8.90575607621,57.3497165638,148.056791287,0.371101897163,52.3465489846,12.5936514752,35.3622,86
0.858993,549.91113819,-7.30761627229,99.3388226821,-9.54367,125.727774541,188.124865229,87,0.41089,9.05131,9.06579,39.7701,9.06534033065,9.05407113232,102.672793614,287.333902084,0.369360582866,59.5657115136,1.0628545827,35.5613,87
0.861735,626.418964592,25.2695155984,82.1399976068,-9.64427,147.209445562,329.427144141,88,0.406538,9.15297,9.16827,40.0545,9.16948338908,9.15598814105,138.700598326,313.161277522,0.372632653049,108.347216044,9.77783524329,35.7389,88
0.88638,412.52494854,-16.4761414347,83.9132733797,-9.74497,187.42748684,422.979206513,89,0.433304,9.26563,9.28038,40.3202,9.27981946553,9.26851620404,83.708783404,222.405966782,0.374074649427,154.581949122,-43.0695190863,35.9494,89
0.88417,460.038682989,130.212216207,96.2287883851,-9.86159,169.976577874,306.431572528,90,0.41141,9.38786,9.40243,40.5713,9.40166392628,9.3903553689,61.9635864404,194.65747808,0.372728740471,91.0287206933,44.9949217493,36.0874,90
0.860545,98.0933571878,91.7048279522,68.7336888255,-9.95947,185.187332354,331.718704994,91,0.418073,9.4615,9.47604,40.828,9.4761417859,9.46474899556,1.23345190878,95.303496865,0.377797751784,82.4664661958,76.2572134308,36.2742,91
0.85875,140.350102981,100.708559045,84.11719086,-10.0902,107.934268751,236.892415977,92,0.424987,9.60502,9.61892,41.0596,9.61788445305,9.60772302007,7.93060244873,119.62441273,0.374540068328,66.1960107803,-26.9719108535,36.442,92
0.868711,168.941914063,120.588268929,91.9272064481,-10.176,120.032153755,351.07719007,93,0.394686,9.68691,9.69914,41.3326,9.70129312159,9.69057829821,11.0848744736,138.763542984,0.37016676338,110.482761866,-13.6656321913,36.636,93
0.840468,530.802770969,100.715559356,90.924762214,-10.3362,111.870666053,264.339981944,94,0.406538,9.86213,9.87517,41.6004,9.87497730583,9.86477044408,59.8320549209,151.356472462,0.378890087307,86.7492968624,-10.3228070461,36.828,94
0.842016,122.448600413,87.7845103085,68.9376841959,-10.4275,167.067251295,264.632927774,95,0.439762,9.96448,9.97802,41.8087,9.97773840412,9.96725162836,3.65697938955,96.2828951105,0.383598999986,60.2156848187,60.9513396734,37.0271,95
0.827344,968.924406598,-9.46177165194,80.2177961887,-10.5395,206.577785475,577.930050604,96,0.396308,10.0578,10.0706,42.0523,10.069794856,10.0603143619,188.293359911,196.202656946,0.37865236472,200.539558422,-16.8649752885,37.1892,96
0.806998,996.812762609,63.2433502713,88.992517163,-10.5834,242.692657891,402.554530702,97,0.490132,10.1113,10.1244,42.2932,10.1248507692,10.1145697135,181.976891313,267.585640753,0.393909050469,155.712806589,31.6020728904,37.3579,97
0.869271,454.246172098,88.6806111785,90.5627145519,-10.7577,162.884213583,333.659854351,98,0.50139,10.2836,10.2961,42.505,10.2960506832,10.2862575103,78.150470854,158.087326692,0.399870541733,111.69197609,-3.07469811637,37.5897,98
