PolicyRegParamNorm,MaxEsReturn,StdForwardProgress,Epoch,AverageQ,AverageAction,AverageAbsY,AverageY,MinReturn,AverageReturn,MinEsReturn,AverageAbsQYDiff,StdReturn,AverageQLoss,AveragePolicySurr,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm,MinForwardProgress,StdEsReturn,MaxForwardProgress,AverageForwardProgress,AverageAbsQ,MaxReturn
11.3549,95.4735425483,0.249484918958,10,0.0977468,0.967134,0.0642971043354,0.0641478985173,7.20427946477,65.70982277,-17.9686186844,0.0564576691472,25.7852910557,0.0378945,-0.134971,38.3187871991,30.142908156,10.0583,-0.114456543973,23.5546019912,0.856442576023,0.45533160985,0.106288,107.258841797
11.7079,116.168348226,0.272331498737,11,0.123206,0.936975,0.123582236006,0.123422858089,-29.9027915466,65.7834493923,1.480364531,0.0130084222215,28.1134531657,0.000362567,-0.130195,38.5291894672,58.8705111671,10.135,-0.455913334795,37.2943333706,0.904900059621,0.458672675868,0.123322,111.305460519
11.9123,99.395879091,0.243470561714,12,0.131152,0.912564,0.13156169602,0.131417202629,-25.7292543566,43.2305146477,-25.805314603,0.0110334735997,24.4586072193,0.000342906,-0.164321,29.2296806947,41.9720974046,10.1694,-0.445852471169,35.0951084951,0.700746049947,0.269902130273,0.131225,89.3939694207
12.2846,98.035857298,0.379129660425,13,0.126963,0.954315,0.127210486697,0.127030738489,-46.7568258144,2.59680418914,-25.1262074183,0.00882371816801,40.9740828025,0.000214293,-0.13558,1.13547123735,18.9022802362,10.2795,-0.618609110769,41.4417932409,0.924901377269,-0.121695317992,0.12705,113.772579251
12.5645,93.0804337629,0.421721905712,14,0.140118,0.965362,0.140458252629,0.140383680092,-52.8114806725,15.6946706081,-32.8256520184,0.00800778414588,45.3428933944,0.000181336,-0.144406,9.10875581978,10.4207946313,10.3522,-0.673140932715,40.2514769812,0.885691508345,-0.00398799531041,0.140158,110.055701003
12.9757,84.7240857964,0.15339081121,15,0.137288,0.992247,0.137450430909,0.137335330927,22.79168147,58.3178519439,24.5111560357,0.0071347420419,16.0192582002,0.000141037,-0.145269,35.8250060837,50.7244046237,10.4927,0.0377540674205,19.7147591263,0.751222253954,0.392662846825,0.137354,95.7615811722
13.1267,74.1772779391,0.14588040966,16,0.144588,0.999561,0.144832094907,0.144664083239,29.1088122615,61.3063258729,24.9007927067,0.00678433630607,15.1902922951,0.000134081,-0.143932,37.4647116181,57.5542150522,10.6496,0.103544245559,12.8139412565,0.745565626299,0.421817541853,0.144693,95.0002773047
13.2329,84.5816904472,0.169872831769,17,0.147322,0.999999,0.147437922465,0.147325507191,-1.84026717642,59.1542290642,15.9673231449,0.00610180943688,17.674225208,0.00012594,-0.149009,36.1735135909,64.8925768126,10.8294,-0.200896443749,19.3016185422,0.739353706165,0.401372667887,0.147373,93.985996697
13.2573,79.622442481,0.180803565313,18,0.146154,1.0,0.146260686859,0.146166816556,9.78739846276,62.8530636441,0.869662725932,0.00588670821209,18.8855073857,0.000126278,-0.145386,38.1867451944,60.2863947381,11.0355,-0.0874642557448,22.2280637692,0.852509009198,0.436885042905,0.146187,105.883646872
13.7016,95.2428723526,0.163111137529,19,0.149248,0.997222,0.149319437204,0.149264618046,1.05792607511,62.3745642687,40.8627111937,0.00574534253551,17.0340501465,0.000116849,-0.150792,38.2140009834,61.3179525806,11.2116,-0.171902525972,17.2255540643,0.802874419935,0.432831871713,0.149268,101.068822838
13.7641,88.2269531816,0.152855501186,20,0.150969,0.999825,0.151028586703,0.150985072555,19.6183840403,62.4160371221,-3.16776590608,0.00563945679273,16.0181294696,0.000114906,-0.151312,38.1857147968,36.6866527634,11.4059,0.0226657396408,34.7605804406,0.760140139741,0.432749505795,0.150983,96.7144278199
13.9301,85.3330328093,0.133380366096,21,0.156067,0.994905,0.156117738012,0.156083438984,30.5360991974,66.1034107926,15.3816718139,0.00540345995477,13.9855156304,0.000108105,-0.160626,39.8952540617,61.079591585,11.5909,0.11368876462,20.231832107,0.892261082172,0.468815295493,0.156076,110.270042132
13.9825,100.575144148,0.169929972736,22,0.16381,0.9948,0.163882381857,0.163868916392,-8.64738231593,60.9956291755,44.2427906829,0.00568860550031,17.6012949983,0.000126706,-0.168335,37.0342506412,70.2056798179,11.8054,-0.266245405115,17.132784354,0.73402181273,0.418363655704,0.163811,93.5767204131
14.1297,77.991469207,0.139158728244,23,0.170778,0.987679,0.170823740542,0.170809102273,23.1633702539,63.0979312106,1.92656733074,0.00558283182391,14.6287587314,0.000114772,-0.175086,38.6815197854,56.2775666293,11.9671,0.0810768127348,21.1018708616,0.89318473785,0.441533724396,0.170778,110.402925307
14.2395,82.6122287028,0.148729324531,24,0.178366,0.994392,0.178383269663,0.178373810347,9.48513209585,63.2227949017,4.37257636934,0.00533448113266,15.6314929905,0.000107339,-0.182686,38.6164881479,62.3043877757,12.146,-0.0910188491446,22.3486126256,0.741697918003,0.442774106853,0.178368,94.4772026912
14.2884,97.9122299761,0.148533406531,25,0.185025,0.970742,0.185040869484,0.185029336994,34.4781659833,65.5892600628,0.76162626452,0.00542725040584,15.6216878554,0.000110572,-0.188784,40.0398157916,67.2169930419,12.4133,0.170513810949,25.1048315245,0.809981689838,0.465528626133,0.185027,101.450542541
14.4933,98.2910427531,0.153677205246,26,0.191069,0.993322,0.191111698449,0.191101043553,20.221001825,65.4290792519,0.898489181282,0.00544291657987,16.0867081634,0.000111603,-0.193716,39.9819651318,58.1174111864,12.6535,0.0218088631177,25.4101634659,0.813955939361,0.464576528185,0.19107,102.132669737
